Project	variable	value
Cd_3	Baseline	0.02447079393052154
Cd_4	Baseline	0.01977857642490171
Kp_1	Baseline	0.010342424174292332
Kp_2	Baseline	0.009483899426554919
Sa_1	Baseline	0.00776047401814273
Sa_2	Baseline	0.0068119653652502655
Efm_1	Baseline	0.008339812000848117
Efs_1	Baseline	0.005714935600352563
Sm_1	Baseline	0.024723466422642844
Lc_1	Baseline	0.011799669785360484
Cd_3	Low	0.029191221296484455
Cd_4	Low	0.02382728885083481
Kp_1	Low	0.011988114850553072
Kp_2	Low	0.013930722891566265
Sa_1	Low	0.009257218426272867
Sa_2	Low	0.00777489818585709
Efm_1	Low	0.009603596240294238
Efs_1	Low	0.00630879911455451
Sm_1	Low	0.03010879926371495
Lc_1	Low	0.014137015717736885
Cd_3	Moderate	0.025853503857943137
Cd_4	Moderate	0.021704421871022977
Kp_1	Moderate	0.008038193598674916
Kp_2	Moderate	0.0063254744105807935
Sa_1	Moderate	0.007266121707538601
Sa_2	Moderate	0.0080904470490613
Efm_1	Moderate	0.009810791871058164
Efs_1	Moderate	0.006412825651302605
Sm_1	Moderate	0.016607802431856784
Lc_1	Moderate	0.01070518266779949
Cd_3	High	0.03766478342749529
Cd_4	High	0.02385008517887564
Kp_1	High	0.007978723404255319
Kp_2	High	0.007194244604316547
Sa_1	High	0.02197802197802198
Sa_2	High	0.021791767554479417
Efm_1	High	0
Efs_1	High	0.008130081300813009
Sm_1	High	0.01812688821752266
Lc_1	High	0.013100436681222707
