Project	SNP_Type	Total_Num_SNPs	Num_Times_SNP_Arises	Count_SNP_Arises	relative_frequency	Num_Convergence_Events	Num_Convergence_Events_8_bin	Locus Type
Cd_1	biallelic	4695	1	4673	99.531416400426	0	0	biallelic
Cd_1	biallelic	4695	2	13	0.276890308839191	1	1	biallelic
Cd_1	biallelic	4695	3	3	0.0638977635782748	2	2	biallelic
Cd_1	biallelic	4695	4	3	0.0638977635782748	3	3	biallelic
Cd_1	biallelic	4695	5	2	0.0425985090521832	4	4	biallelic
Cd_1	biallelic	4695	6	1	0.0212992545260916	5	5	biallelic
Cd_1	multiallelic	5	1	5	100	0	0	multiallelic
Cd_2	biallelic	6853	1	6631	96.7605428279586	0	0	biallelic
Cd_2	biallelic	6853	2	210	3.06435137895812	1	1	biallelic
Cd_2	biallelic	6853	3	5	0.0729607471180505	2	2	biallelic
Cd_2	biallelic	6853	4	4	0.0583685976944404	3	3	biallelic
Cd_2	biallelic	6853	5	1	0.0145921494236101	4	4	biallelic
Cd_2	biallelic	6853	6	1	0.0145921494236101	5	5	biallelic
Cd_2	biallelic	6853	9	1	0.0145921494236101	8	>7	biallelic
Cd_2	multiallelic	9	1	8	88.8888888888889	0	0	multiallelic
Cd_2	multiallelic	9	3	1	11.1111111111111	2	2	multiallelic
Cd_3	biallelic	319692	0	465	0.145452498029353	-1	-1	biallelic
Cd_3	biallelic	319692	1	278885	87.2355266944434	0	0	biallelic
Cd_3	biallelic	319692	2	21951	6.86629631019857	1	1	biallelic
Cd_3	biallelic	319692	3	8794	2.75077261864545	2	2	biallelic
Cd_3	biallelic	319692	4	3372	1.05476521151608	3	3	biallelic
Cd_3	biallelic	319692	5	1744	0.545525067877832	4	4	biallelic
Cd_3	biallelic	319692	6	1056	0.330317931008596	5	5	biallelic
Cd_3	biallelic	319692	7	771	0.241169625764799	6	6	biallelic
Cd_3	biallelic	319692	8	490	0.153272524805125	7	7	biallelic
Cd_3	biallelic	319692	9	322	0.100721944871939	8	>7	biallelic
Cd_3	biallelic	319692	10	252	0.0788258698997785	9	>7	biallelic
Cd_3	biallelic	319692	11	189	0.0591194024248339	10	>7	biallelic
Cd_3	biallelic	319692	12	145	0.0453561552994757	11	>7	biallelic
Cd_3	biallelic	319692	13	128	0.040038537091951	12	>7	biallelic
Cd_3	biallelic	319692	14	99	0.0309673060320559	13	>7	biallelic
Cd_3	biallelic	319692	15	99	0.0309673060320559	14	>7	biallelic
Cd_3	biallelic	319692	16	60	0.018768064261852	15	>7	biallelic
Cd_3	biallelic	319692	17	52	0.0162656556936051	16	>7	biallelic
Cd_3	biallelic	319692	18	80	0.0250240856824694	17	>7	biallelic
Cd_3	biallelic	319692	19	56	0.0175168599777286	18	>7	biallelic
Cd_3	biallelic	319692	20	59	0.0184552631908212	19	>7	biallelic
Cd_3	biallelic	319692	21	60	0.018768064261852	20	>7	biallelic
Cd_3	biallelic	319692	22	64	0.0200192685459755	21	>7	biallelic
Cd_3	biallelic	319692	23	79	0.0247112846114385	22	>7	biallelic
Cd_3	biallelic	319692	24	75	0.023460080327315	23	>7	biallelic
Cd_3	biallelic	319692	25	60	0.018768064261852	24	>7	biallelic
Cd_3	biallelic	319692	26	55	0.0172040589066977	25	>7	biallelic
Cd_3	biallelic	319692	27	53	0.016578456764636	26	>7	biallelic
Cd_3	biallelic	319692	28	30	0.00938403213092602	27	>7	biallelic
Cd_3	biallelic	319692	29	38	0.011886440699173	28	>7	biallelic
Cd_3	biallelic	319692	30	24	0.00750722570474081	29	>7	biallelic
Cd_3	biallelic	319692	31	24	0.00750722570474081	30	>7	biallelic
Cd_3	biallelic	319692	32	20	0.00625602142061734	31	>7	biallelic
Cd_3	biallelic	319692	33	9	0.0028152096392778	32	>7	biallelic
Cd_3	biallelic	319692	34	7	0.00218960749721607	33	>7	biallelic
Cd_3	biallelic	319692	35	2	6.25602142061734e-4	34	>7	biallelic
Cd_3	biallelic	319692	36	7	0.00218960749721607	35	>7	biallelic
Cd_3	biallelic	319692	37	4	0.00125120428412347	36	>7	biallelic
Cd_3	biallelic	319692	38	1	3.12801071030867e-4	37	>7	biallelic
Cd_3	biallelic	319692	40	5	0.00156400535515434	39	>7	biallelic
Cd_3	biallelic	319692	42	1	3.12801071030867e-4	41	>7	biallelic
Cd_3	biallelic	319692	43	1	3.12801071030867e-4	42	>7	biallelic
Cd_3	biallelic	319692	44	2	6.25602142061734e-4	43	>7	biallelic
Cd_3	biallelic	319692	64	1	3.12801071030867e-4	63	>7	biallelic
Cd_3	biallelic	319692	68	1	3.12801071030867e-4	67	>7	biallelic
Cd_3	multiallelic	13729	1	11038	80.3991550732027	0	0	multiallelic
Cd_3	multiallelic	13729	2	1440	10.4887464491223	1	1	multiallelic
Cd_3	multiallelic	13729	3	542	3.94784762182242	2	2	multiallelic
Cd_3	multiallelic	13729	4	263	1.91565299730497	3	3	multiallelic
Cd_3	multiallelic	13729	5	190	1.38393182314808	4	4	multiallelic
Cd_3	multiallelic	13729	6	113	0.823075242188069	5	5	multiallelic
Cd_3	multiallelic	13729	7	82	0.597275839463908	6	6	multiallelic
Cd_3	multiallelic	13729	8	26	0.189380144220264	7	7	multiallelic
Cd_3	multiallelic	13729	9	14	0.101973923810911	8	>7	multiallelic
Cd_3	multiallelic	13729	10	2	0.0145677034015587	9	>7	multiallelic
Cd_3	multiallelic	13729	11	4	0.0291354068031175	10	>7	multiallelic
Cd_3	multiallelic	13729	13	1	0.00728385170077937	12	>7	multiallelic
Cd_3	multiallelic	13729	14	2	0.0145677034015587	13	>7	multiallelic
Cd_3	multiallelic	13729	16	1	0.00728385170077937	15	>7	multiallelic
Cd_3	multiallelic	13729	18	1	0.00728385170077937	17	>7	multiallelic
Cd_3	multiallelic	13729	21	1	0.00728385170077937	20	>7	multiallelic
Cd_3	multiallelic	13729	23	1	0.00728385170077937	22	>7	multiallelic
Cd_3	multiallelic	13729	25	1	0.00728385170077937	24	>7	multiallelic
Cd_3	multiallelic	13729	26	1	0.00728385170077937	25	>7	multiallelic
Cd_3	multiallelic	13729	27	2	0.0145677034015587	26	>7	multiallelic
Cd_3	multiallelic	13729	29	1	0.00728385170077937	28	>7	multiallelic
Cd_3	multiallelic	13729	30	2	0.0145677034015587	29	>7	multiallelic
Cd_3	multiallelic	13729	31	1	0.00728385170077937	30	>7	multiallelic
Kp_1	biallelic	68464	0	580	0.847160551530731	-1	-1	biallelic
Kp_1	biallelic	68464	1	51558	75.3067305445198	0	0	biallelic
Kp_1	biallelic	68464	2	15749	23.0033302173405	1	1	biallelic
Kp_1	biallelic	68464	3	221	0.32279738256602	2	2	biallelic
Kp_1	biallelic	68464	4	88	0.12853470437018	3	3	biallelic
Kp_1	biallelic	68464	5	68	0.0993222715587754	4	4	biallelic
Kp_1	biallelic	68464	6	25	0.0365155410142557	5	5	biallelic
Kp_1	biallelic	68464	7	34	0.0496611357793877	6	6	biallelic
Kp_1	biallelic	68464	8	36	0.0525823790605282	7	7	biallelic
Kp_1	biallelic	68464	9	32	0.0467398924982473	8	>7	biallelic
Kp_1	biallelic	68464	10	22	0.032133676092545	9	>7	biallelic
Kp_1	biallelic	68464	11	8	0.0116849731245618	10	>7	biallelic
Kp_1	biallelic	68464	12	3	0.00438186492171068	11	>7	biallelic
Kp_1	biallelic	68464	13	1	0.00146062164057023	12	>7	biallelic
Kp_1	biallelic	68464	14	1	0.00146062164057023	13	>7	biallelic
Kp_1	biallelic	68464	15	1	0.00146062164057023	14	>7	biallelic
Kp_1	biallelic	68464	16	2	0.00292124328114045	15	>7	biallelic
Kp_1	biallelic	68464	17	5	0.00730310820285113	16	>7	biallelic
Kp_1	biallelic	68464	18	3	0.00438186492171068	17	>7	biallelic
Kp_1	biallelic	68464	19	5	0.00730310820285113	18	>7	biallelic
Kp_1	biallelic	68464	20	1	0.00146062164057023	19	>7	biallelic
Kp_1	biallelic	68464	21	5	0.00730310820285113	20	>7	biallelic
Kp_1	biallelic	68464	22	5	0.00730310820285113	21	>7	biallelic
Kp_1	biallelic	68464	23	6	0.00876372984342136	22	>7	biallelic
Kp_1	biallelic	68464	24	3	0.00438186492171068	23	>7	biallelic
Kp_1	biallelic	68464	25	1	0.00146062164057023	24	>7	biallelic
Kp_1	biallelic	68464	29	1	0.00146062164057023	28	>7	biallelic
Kp_1	multiallelic	526	1	462	87.8326996197719	0	0	multiallelic
Kp_1	multiallelic	526	2	64	12.1673003802281	1	1	multiallelic
Kp_2	biallelic	78950	0	153	0.193793540215326	-1	-1	biallelic
Kp_2	biallelic	78950	1	53758	68.0911969601013	0	0	biallelic
Kp_2	biallelic	78950	2	11639	14.7422419252692	1	1	biallelic
Kp_2	biallelic	78950	3	5415	6.85877137428752	2	2	biallelic
Kp_2	biallelic	78950	4	3278	4.15199493350222	3	3	biallelic
Kp_2	biallelic	78950	5	1979	2.50664977834072	4	4	biallelic
Kp_2	biallelic	78950	6	1272	1.6111462951235	5	5	biallelic
Kp_2	biallelic	78950	7	752	0.952501583280557	6	6	biallelic
Kp_2	biallelic	78950	8	361	0.457251424952502	7	7	biallelic
Kp_2	biallelic	78950	9	188	0.238125395820139	8	>7	biallelic
Kp_2	biallelic	78950	10	115	0.145661811272958	9	>7	biallelic
Kp_2	biallelic	78950	11	21	0.0265991133628879	10	>7	biallelic
Kp_2	biallelic	78950	12	2	0.00253324889170361	11	>7	biallelic
Kp_2	biallelic	78950	14	1	0.0012666244458518	13	>7	biallelic
Kp_2	biallelic	78950	15	3	0.00379987333755542	14	>7	biallelic
Kp_2	biallelic	78950	16	1	0.0012666244458518	15	>7	biallelic
Kp_2	biallelic	78950	17	2	0.00253324889170361	16	>7	biallelic
Kp_2	biallelic	78950	19	1	0.0012666244458518	18	>7	biallelic
Kp_2	biallelic	78950	20	2	0.00253324889170361	19	>7	biallelic
Kp_2	biallelic	78950	25	3	0.00379987333755542	24	>7	biallelic
Kp_2	biallelic	78950	32	1	0.0012666244458518	31	>7	biallelic
Kp_2	biallelic	78950	41	2	0.00253324889170361	40	>7	biallelic
Kp_2	biallelic	78950	57	1	0.0012666244458518	56	>7	biallelic
Kp_2	multiallelic	781	1	571	73.1113956466069	0	0	multiallelic
Kp_2	multiallelic	781	2	124	15.8770806658131	1	1	multiallelic
Kp_2	multiallelic	781	3	42	5.37772087067862	2	2	multiallelic
Kp_2	multiallelic	781	4	18	2.30473751600512	3	3	multiallelic
Kp_2	multiallelic	781	5	12	1.53649167733675	4	4	multiallelic
Kp_2	multiallelic	781	6	11	1.40845070422535	5	5	multiallelic
Kp_2	multiallelic	781	7	2	0.256081946222791	6	6	multiallelic
Kp_2	multiallelic	781	8	1	0.128040973111396	7	7	multiallelic
Sa_2	biallelic	66990	1	66034	98.572921331542	0	0	biallelic
Sa_2	biallelic	66990	2	747	1.11509180474698	1	1	biallelic
Sa_2	biallelic	66990	3	100	0.149276011344977	2	2	biallelic
Sa_2	biallelic	66990	4	36	0.0537393640841917	3	3	biallelic
Sa_2	biallelic	66990	5	17	0.0253769219286461	4	4	biallelic
Sa_2	biallelic	66990	6	16	0.0238841618151963	5	5	biallelic
Sa_2	biallelic	66990	7	10	0.0149276011344977	6	6	biallelic
Sa_2	biallelic	66990	8	5	0.00746380056724884	7	7	biallelic
Sa_2	biallelic	66990	9	3	0.00447828034034931	8	>7	biallelic
Sa_2	biallelic	66990	10	5	0.00746380056724884	9	>7	biallelic
Sa_2	biallelic	66990	11	2	0.00298552022689954	10	>7	biallelic
Sa_2	biallelic	66990	12	1	0.00149276011344977	11	>7	biallelic
Sa_2	biallelic	66990	13	3	0.00447828034034931	12	>7	biallelic
Sa_2	biallelic	66990	14	1	0.00149276011344977	13	>7	biallelic
Sa_2	biallelic	66990	18	1	0.00149276011344977	17	>7	biallelic
Sa_2	biallelic	66990	21	2	0.00298552022689954	20	>7	biallelic
Sa_2	biallelic	66990	22	1	0.00149276011344977	21	>7	biallelic
Sa_2	biallelic	66990	30	1	0.00149276011344977	29	>7	biallelic
Sa_2	biallelic	66990	32	1	0.00149276011344977	31	>7	biallelic
Sa_2	biallelic	66990	38	1	0.00149276011344977	37	>7	biallelic
Sa_2	biallelic	66990	39	1	0.00149276011344977	38	>7	biallelic
Sa_2	biallelic	66990	42	1	0.00149276011344977	41	>7	biallelic
Sa_2	biallelic	66990	44	1	0.00149276011344977	43	>7	biallelic
Sa_2	multiallelic	560	1	549	98.0357142857143	0	0	multiallelic
Sa_2	multiallelic	560	2	6	1.07142857142857	1	1	multiallelic
Sa_2	multiallelic	560	3	1	0.178571428571429	2	2	multiallelic
Sa_2	multiallelic	560	4	2	0.357142857142857	3	3	multiallelic
Sa_2	multiallelic	560	5	2	0.357142857142857	4	4	multiallelic
Efs_1	biallelic	39040	0	9	0.0230532786885246	-1	-1	biallelic
Efs_1	biallelic	39040	1	27992	71.7008196721311	0	0	biallelic
Efs_1	biallelic	39040	2	7134	18.2735655737705	1	1	biallelic
Efs_1	biallelic	39040	3	3614	9.25717213114754	2	2	biallelic
Efs_1	biallelic	39040	4	166	0.425204918032787	3	3	biallelic
Efs_1	biallelic	39040	5	20	0.0512295081967213	4	4	biallelic
Efs_1	biallelic	39040	6	14	0.0358606557377049	5	5	biallelic
Efs_1	biallelic	39040	7	13	0.0332991803278688	6	6	biallelic
Efs_1	biallelic	39040	8	14	0.0358606557377049	7	7	biallelic
Efs_1	biallelic	39040	9	16	0.040983606557377	8	>7	biallelic
Efs_1	biallelic	39040	10	7	0.0179303278688525	9	>7	biallelic
Efs_1	biallelic	39040	11	4	0.0102459016393443	10	>7	biallelic
Efs_1	biallelic	39040	12	9	0.0230532786885246	11	>7	biallelic
Efs_1	biallelic	39040	13	8	0.0204918032786885	12	>7	biallelic
Efs_1	biallelic	39040	14	2	0.00512295081967213	13	>7	biallelic
Efs_1	biallelic	39040	15	1	0.00256147540983607	14	>7	biallelic
Efs_1	biallelic	39040	16	4	0.0102459016393443	15	>7	biallelic
Efs_1	biallelic	39040	17	5	0.0128073770491803	16	>7	biallelic
Efs_1	biallelic	39040	18	3	0.0076844262295082	17	>7	biallelic
Efs_1	biallelic	39040	19	1	0.00256147540983607	18	>7	biallelic
Efs_1	biallelic	39040	21	1	0.00256147540983607	20	>7	biallelic
Efs_1	biallelic	39040	25	2	0.00512295081967213	24	>7	biallelic
Efs_1	biallelic	39040	31	1	0.00256147540983607	30	>7	biallelic
Efs_1	multiallelic	262	1	229	87.4045801526718	0	0	multiallelic
Efs_1	multiallelic	262	2	33	12.5954198473282	1	1	multiallelic
Lp_1	biallelic	107080	0	64	0.0597683974598431	-1	-1	biallelic
Lp_1	biallelic	107080	1	68551	64.0184908479641	0	0	biallelic
Lp_1	biallelic	107080	2	16736	15.629435935749	1	1	biallelic
Lp_1	biallelic	107080	3	8915	8.32555098991408	2	2	biallelic
Lp_1	biallelic	107080	4	5036	4.7030257751214	3	3	biallelic
Lp_1	biallelic	107080	5	2477	2.31322375793799	4	4	biallelic
Lp_1	biallelic	107080	6	1252	1.16921927530818	5	5	biallelic
Lp_1	biallelic	107080	7	823	0.76858423608517	6	6	biallelic
Lp_1	biallelic	107080	8	622	0.58087411281285	7	7	biallelic
Lp_1	biallelic	107080	9	625	0.58367575644378	8	>7	biallelic
Lp_1	biallelic	107080	10	457	0.426783713111692	9	>7	biallelic
Lp_1	biallelic	107080	11	374	0.349271572655958	10	>7	biallelic
Lp_1	biallelic	107080	12	242	0.225999252895032	11	>7	biallelic
Lp_1	biallelic	107080	13	163	0.152222637280538	12	>7	biallelic
Lp_1	biallelic	107080	14	106	0.0989914082928652	13	>7	biallelic
Lp_1	biallelic	107080	15	90	0.0840493089279044	14	>7	biallelic
Lp_1	biallelic	107080	16	88	0.0821815465072843	15	>7	biallelic
Lp_1	biallelic	107080	17	72	0.0672394471423235	16	>7	biallelic
Lp_1	biallelic	107080	18	39	0.0364213672020919	17	>7	biallelic
Lp_1	biallelic	107080	19	22	0.0205453866268211	18	>7	biallelic
Lp_1	biallelic	107080	20	17	0.0158759805752708	19	>7	biallelic
Lp_1	biallelic	107080	21	17	0.0158759805752708	20	>7	biallelic
Lp_1	biallelic	107080	22	16	0.0149420993649608	21	>7	biallelic
Lp_1	biallelic	107080	23	19	0.0177437429958909	22	>7	biallelic
Lp_1	biallelic	107080	24	20	0.018677624206201	23	>7	biallelic
Lp_1	biallelic	107080	25	19	0.0177437429958909	24	>7	biallelic
Lp_1	biallelic	107080	26	32	0.0298841987299216	25	>7	biallelic
Lp_1	biallelic	107080	27	21	0.019611505416511	26	>7	biallelic
Lp_1	biallelic	107080	28	27	0.0252147926783713	27	>7	biallelic
Lp_1	biallelic	107080	29	16	0.0149420993649608	28	>7	biallelic
Lp_1	biallelic	107080	30	16	0.0149420993649608	29	>7	biallelic
Lp_1	biallelic	107080	31	18	0.0168098617855809	30	>7	biallelic
Lp_1	biallelic	107080	32	12	0.0112065745237206	31	>7	biallelic
Lp_1	biallelic	107080	33	17	0.0158759805752708	32	>7	biallelic
Lp_1	biallelic	107080	34	14	0.0130743369443407	33	>7	biallelic
Lp_1	biallelic	107080	35	23	0.0214792678371311	34	>7	biallelic
Lp_1	biallelic	107080	36	9	0.00840493089279044	35	>7	biallelic
Lp_1	biallelic	107080	37	3	0.00280164363093015	36	>7	biallelic
Lp_1	biallelic	107080	38	3	0.00280164363093015	37	>7	biallelic
Lp_1	biallelic	107080	39	1	9.33881210310048e-4	38	>7	biallelic
Lp_1	biallelic	107080	42	1	9.33881210310048e-4	41	>7	biallelic
Lp_1	biallelic	107080	105	1	9.33881210310048e-4	104	>7	biallelic
Lp_1	biallelic	107080	122	1	9.33881210310048e-4	121	>7	biallelic
Lp_1	biallelic	107080	135	1	9.33881210310048e-4	134	>7	biallelic
Lp_1	biallelic	107080	167	1	9.33881210310048e-4	166	>7	biallelic
Lp_1	biallelic	107080	204	1	9.33881210310048e-4	203	>7	biallelic
Lp_1	multiallelic	2525	1	1911	75.6831683168317	0	0	multiallelic
Lp_1	multiallelic	2525	2	302	11.960396039604	1	1	multiallelic
Lp_1	multiallelic	2525	3	129	5.10891089108911	2	2	multiallelic
Lp_1	multiallelic	2525	4	64	2.53465346534653	3	3	multiallelic
Lp_1	multiallelic	2525	5	37	1.46534653465347	4	4	multiallelic
Lp_1	multiallelic	2525	6	28	1.10891089108911	5	5	multiallelic
Lp_1	multiallelic	2525	7	21	0.831683168316832	6	6	multiallelic
Lp_1	multiallelic	2525	8	11	0.435643564356436	7	7	multiallelic
Lp_1	multiallelic	2525	9	9	0.356435643564356	8	>7	multiallelic
Lp_1	multiallelic	2525	10	4	0.158415841584158	9	>7	multiallelic
Lp_1	multiallelic	2525	11	4	0.158415841584158	10	>7	multiallelic
Lp_1	multiallelic	2525	12	1	0.0396039603960396	11	>7	multiallelic
Lp_1	multiallelic	2525	13	2	0.0792079207920792	12	>7	multiallelic
Lp_1	multiallelic	2525	14	1	0.0396039603960396	13	>7	multiallelic
Lp_1	multiallelic	2525	15	1	0.0396039603960396	14	>7	multiallelic
Lc_1	biallelic	53846	0	797	1.48014708613453	-1	-1	biallelic
Lc_1	biallelic	53846	1	31491	58.4834528098652	0	0	biallelic
Lc_1	biallelic	53846	2	15853	29.4413698324852	1	1	biallelic
