"ref_maj"	"ref_anc"	"maj_anc"
"Cd_3"	0.0419721799853579	0.00498958157346399	0.0426817593061891
"Cd_4"	0.0181546450684243	0	0.0181546450684243
"Efm_1"	0.186205254385269	0.221684260655608	0.037542662116041
"Efs_1"	0.00686605376469219	0.00669149307575934	0.000232747585243803
"Kp_1"	0.000200380723374411	0.000200380723374411	0
"Kp_2"	0.0280304893041554	0.0147528891074502	0.0135234816818294
"Lc_1"	0.396706050841389	0.479949874686717	0.398854278553527
"Sa_1"	0.000176822933934531	4.42057334836328e-05	0.000132617200450898
"Sa_2"	0.00218310347217409	0.00015593596229815	0.00202716750987594
"Sm_1"	0.128541477989888	3.92209996363144e-05	0.128509388081095
