"","times_snp_appears"
"300",1
"684",1
"905",1
"957",1
"1162",1
"1425",1
"1471",1
"1511",1
"1663",1
"1672",2
"1677",2
"1782",1
"1797",2
"1800",0
"1918",1
"2047",1
"2412",1
"2416",2
"2576",1
"2593",1
"2852",1
"2952",2
"3057",1
"3060",1
"3075",1
"3076",1
"3098",1
"3209",1
"3353",1
"3359",1
"3509",2
"3767",2
"3780",1
"3837",1
"3867",1
"4160",1
"4483",1
"4520",1
"4707",1
"4802",1
"4886",1
"5001",1
"5141",2
"5180",1
"5420",1
"5691",1
"5829",1
"5861",1
"6162",1
"6398",1
"6461",2
"7266",0
"7518",1
"7602",1
"7895",1
"7896",1
"7898",1
"7899",1
"7901",1
"7907",1
"7910",1
"7916",1
"7919",1
"7931",8
"7937",7
"7946",2
"7958",6
"7964",1
"7965",1
"7966",1
"7967",1
"7976",1
"7979",1
"7988",1
"7991",1
"7992",1
"7994",1
"8012",1
"8021",1
"8027",1
"8030",1
"8036",1
"8042",1
"8046",1
"8047",1
"8051",1
"8054",1
"8057",1
"8066",1
"8073",1
"8078",1
"8087",1
"8090",1
"8093",1
"8096",1
"8099",1
"8132",1
"8139",1
"8153",1
"8159",1
"8168",1
"8174",1
"8177",1
"8207",1
"8213",1
"8219",1
"8222",1
"8225",1
"8228",1
"8231",1
"8234",1
"8237",1
"8240",1
"8246",1
"8248",1
"8253",1
"8254",1
"8261",1
"8274",1
"8285",1
"8300",1
"8303",3
"8306",3
"8307",3
"8309",3
"8313",3
"8324",1
"8330",1
"8333",1
"8336",1
"8337",1
"8354",1
"8369",1
"8381",1
"8387",1
"8396",1
"8402",1
"8403",1
"8438",1
"8462",1
"8474",2
"8477",2
"8480",2
"8483",2
"8495",2
"8498",2
"8513",1
"8531",1
"8534",1
"8546",1
"8549",1
"8551",1
"8552",1
"8558",1
"8567",1
"8576",1
"8582",1
"8585",1
"8591",1
"8600",1
"8609",1
"8611",1
"8612",1
"8615",1
"8617",1
"8618",1
"8633",1
"8639",1
"8640",1
"8648",2
"8654",1
"8687",2
"8688",2
"8690",2
"8698",1
"8723",1
"8784",1
"8788",1
"8806",1
"8822",1
"8902",1
"8982",2
"8988",1
"8989",1
"9006",1
"9058",1
"9641",1
"9666",1
"9706",1
"9832",2
"9895",2
"10012",1
"10116",0
"10140",0
"10146",0
"10152",0
"10153",0
"10157",1
"10158",1
"10172",1
"10190",1
"10191",1
"10194",1
"10200",1
"10211",1
"10212",1
"10215",0
"10218",1
"10219",1
"10220",1
"10224",0
"10227",1
"10230",1
"10242",1
"10245",0
"10246",1
"10248",1
"10310",1
"10317",1
"10320",1
"10341",0
"10344",0
"10351",0
"10354",1
"10358",1
"10361",0
"10365",0
"10371",0
"10374",0
"10388",1
"10404",1
"10428",0
"10434",1
"10437",1
"10464",1
"10467",1
"10473",1
"10479",1
"10488",1
"10496",1
"10497",1
"10500",1
"10512",1
"10512.1",1
"10515",1
"10518",2
"10527",1
"10544",2
"10548",2
"10556",1
"10559",1
"10560",1
"10561",1
"10568",1
"10569",1
"10570",2
"10578",1
"10583",1
"10587",1
"10596",1
"10600",1
"10618",1
"10621",2
"10624",1
"10630",1
"10633",1
"10636",2
"10639",2
"10642",1
"10648",1
"11388",4
"11395",4
"11396",4
"11416",6
"11422",4
"11426",1
"11428",1
"11429",1
"11431",1
"11452",3
"11459",1
"11462",1
"11463",1
"11473",1
"11474",1
"11476",1
"11479",1
"11485",1
"11498",1
"11503",1
"11504",1
"11506",1
"11507",1
"11622",1
"11706",1
"11977",1
"12135",3
"12155",2
"12159",2
"12168",1
"12171",1
"12201",0
"12280",1
"12820",1
"12953",0
"12955",0
"12961",1
"12966",1
"12972",0
"12989",1
"12991",2
"12997",1
"13001",1
"13013",1
"13017",0
"13054",2
"13117",1
"13150",1
"13162",0
"13186",0
"13237",1
"13249",0
"13306",1
