,BM_pheno_1,WN_pheno_1
PH130,-0.0831855870533691,-0.121973561200325
PH133,-0.0831730759915272,-0.00746300587698937
PH2,-0.0913795859344899,-0.0433502354784003
PH25,-0.0722410698235967,-0.0426558056939981
PH14,-0.0804531853426016,-0.118278241835398
PH117,-0.0265683016383844,-0.187244374406071
PH51,-0.155259114426203,-0.0831730759915272
PH102,-0.187636230021319,-0.0500163587618402
PH120,-0.190380895472125,-0.103982546003446
PH123,-0.196517006521472,0.0483474292281146
PH124,-0.192788925637277,-0.214000859408178
PH126,-0.193686876540142,-0.245578999787414
PH127,-0.193858399039559,-0.192788925637277
PH143,-0.193031444348637,-0.193686876540142
PH48,-0.194118050206922,-0.217581659509604
PH55,-0.190534226516067,-0.226868380860709
PH6,-0.191258808053693,-0.193858399039559
PH59,-0.192089607202868,-0.112897197137195
PH54,-0.191259230022851,-0.118644936639899
PH38,-0.176198938618643,-0.107821143661128
PH125,-0.185195397748755,-0.263994064098845
PH135,-0.184523469764084,-0.155259114426203
PH114,-0.182241850261704,-0.194051475822789
PH144,-0.179126724669349,-0.110631443786158
PH139,-0.185890051853235,-0.173674919437682
PH34,-0.173098544283792,-0.240069309723804
PH40,-0.173674919437682,-0.207648240714916
PH37,-0.182960229865604,-0.0129881422816723
PH32,-0.189494363937801,-0.0395372269961593
PH119,-0.194051475822789,-0.110559650783852
PH136,-0.187244374406071,-0.163510848312249
PH31,-0.185293377982239,-0.191258808053693
PH36,-0.1866853410841,-0.190534226516067
PH110,-0.213730314102111,-0.0193063883541549
PH122,-0.279040168216407,-0.145744245809688
PH26,-0.153688695479452,-0.184523469764084
PH27,-0.149016795532016,-0.108421342450262
PH33,-0.30386385431646,-0.187636230021319
PH8,-0.148583999184313,-0.245487724680197
PH49,-0.163510848312249,-0.30386385431646
PH108,-0.0395372269961593,-0.1866853410841
PH7,-0.048567362303557,-0.112647406495687
PH22,-0.0444931378577745,-0.0523209726863493
PH128,-0.0426558056939981,-0.191259230022851
PH132,-0.011551729007308,0.00153273047307395
PH3,-0.0193037850469011,-0.189494363937801
PH99,-0.00746300587698937,-0.153688695479452
PH100,-0.0193063883541549,-0.0913795859344899
PH21,-0.0100270522962443,-0.110848327481734
PH4,-0.0134802951980704,-0.0444931378577745
PH56,-0.0129881422816723,-0.0885065796557484
PH50,-0.0523209726863493,-0.192089607202868
PH138,-0.245578999787414,-0.185195397748755
PH18,-0.201348309144198,-0.0193037850469011
PH35,-0.207648240714916,-0.048567362303557
PH23,-0.240069309723804,-0.106305778280761
PH104,-0.101312762649168,-0.220943455038786
PH1,-0.09348902558079,-0.173098544283792
PH112,-0.102091283103587,-0.201348309144198
PH129,-0.265475216049279,-0.0722410698235967
PH58,-0.263994064098845,-0.0831855870533691
PH145,-0.245487724680197,-0.182241850261704
PH121,-0.0885065796557484,-0.110320434810075
PH137,0.0483474292281146,-0.10445180610689
PH13,0.0498185497967521,-0.0804531853426016
PH15,-0.12006021558291,-0.118909516269323
PH9,-0.118909516269323,-0.190380895472125
PH115,-0.169657599318222,-0.194118050206922
PH11,-0.173037211819837,-0.107754309195468
PH116,-0.14684886183313,-0.114052021995689
PH140,-0.145744245809688,-0.11812898333354
PH24,-0.107821143661128,-0.102091283103587
PH101,-0.118644936639899,-0.12006021558291
PH107,-0.114052021995689,-0.0432315358305326
PH43,-0.112897197137195,-0.107089576046482
PH42,-0.118278241835398,-0.10911395425433
PH60,-0.110848327481734,-0.011551729007308
PH16,-0.121973561200325,-0.0393420927426861
PH57,-0.11812898333354,-0.0265683016383844
PH118,-0.140961907000764,-0.185293377982239
PH103,-0.10911395425433,-0.140961907000764
PH28,-0.10445180610689,-0.149016795532016
PH105,-0.112647406495687,-0.104361726778262
PH61,-0.110320434810075,-0.108618423858956
PH63,-0.110559650783852,-0.176198938618643
PH109,-0.108421342450262,-0.185890051853235
PH97,-0.103982546003446,-0.265475216049279
PH141,-0.10046541229218,-0.120764591139291
PH41,-0.120764591139291,-0.14684886183313
PH46,-0.107754309195468,-0.214479735809478
PH17,-0.108618423858956,-0.0134802951980704
PH30,-0.110631443786158,0.0498185497967521
PH44,-0.106305778280761,-0.108343795240716
PH29,-0.110752865231184,-0.196517006521472
PH45,-0.108343795240716,-0.179126724669349
PH47,-0.107089576046482,-0.110752865231184
PH111,-0.104361726778262,-0.213730314102111
PH106,-0.214000859408178,-0.173037211819837
PH113,-0.217581659509604,-0.182960229865604
PH19,-0.220943455038786,-0.10046541229218
PH39,-0.214479735809478,-0.193031444348637
PH52,-0.226868380860709,-0.279040168216407
PH131,-0.0500163587618402,-0.148583999184313
PH134,-0.0393420927426861,-0.09348902558079
PH62,-0.0432315358305326,-0.169657599318222
PH20,-0.0433502354784003,-0.0100270522962443
PH5,0.00153273047307395,-0.101312762649168
