,PH130,PH133,PH2,PH25,PH14,PH117,PH51,PH102,PH120,PH123,PH124,PH126,PH127,PH143,PH48,PH55,PH6,PH59,PH54,PH38,PH125,PH135,PH114,PH144,PH139,PH34,PH40,PH37,PH32,PH119,PH136,PH31,PH36,PH110,PH122,PH26,PH27,PH33,PH8,PH49,PH108,PH7,PH22,PH128,PH132,PH3,PH99,PH100,PH21,PH4,PH56,PH50,PH138,PH18,PH35,PH23,PH104,PH1,PH112,PH129,PH58,PH145,PH121,PH137,PH13,PH15,PH9,PH115,PH11,PH116,PH140,PH24,PH101,PH107,PH43,PH42,PH60,PH16,PH57,PH118,PH103,PH28,PH105,PH61,PH63,PH109,PH97,PH141,PH41,PH46,PH17,PH30,PH44,PH29,PH45,PH47,PH111,PH106,PH113,PH19,PH39,PH52,PH131,PH134,PH62,PH20,PH5
PH130,84471,84261,84271,84203,84234,17008,16372,7147,7147,7147,7147,7145,7145,7147,7143,7148,7146,7140,7141,7143,7148,7147,7149,7147,7149,7153,7153,7147,7142,7155,7155,7146,7153,7101,7280,6957,6954,7132,7650,5730,3307,3308,3307,3307,3330,3326,3359,3928,3928,3930,3934,3887,3273,3211,3276,3268,4283,4283,4297,3881,3880,3878,2766,3202,3199,3396,3399,4767,4763,3205,3201,3246,3422,3422,3419,3420,3419,3422,3421,3528,3432,3430,3431,3430,3430,3433,3431,3433,3432,3431,3428,3428,3431,3431,3323,3326,3346,3294,3293,3291,3295,3291,1767,1763,1761,1761,30
PH133,84261,84373,84329,84223,84251,17000,16370,7149,7149,7149,7149,7147,7147,7149,7145,7150,7148,7142,7143,7145,7150,7149,7151,7149,7151,7155,7155,7149,7144,7152,7152,7148,7155,7103,7266,6960,6957,7133,7648,5729,3307,3308,3307,3307,3327,3323,3356,3929,3929,3931,3935,3883,3273,3207,3272,3264,4283,4283,4297,3882,3881,3879,2767,3202,3199,3396,3399,4764,4760,3205,3201,3246,3422,3422,3419,3420,3419,3422,3421,3528,3432,3430,3431,3430,3430,3433,3431,3433,3432,3431,3428,3428,3431,3431,3323,3326,3346,3294,3293,3291,3295,3291,1768,1764,1762,1762,30
PH2,84271,84329,84490,84270,84303,17010,16389,7150,7150,7150,7150,7148,7148,7150,7147,7153,7150,7143,7145,7147,7151,7150,7152,7150,7152,7159,7158,7152,7145,7153,7153,7149,7158,7105,7264,6961,6957,7134,7650,5731,3308,3309,3308,3308,3328,3324,3357,3929,3929,3931,3935,3883,3274,3208,3273,3265,4282,4284,4297,3884,3883,3881,2767,3203,3200,3397,3400,4763,4759,3206,3202,3246,3422,3422,3419,3420,3419,3422,3421,3529,3433,3431,3432,3431,3431,3434,3432,3434,3434,3432,3429,3429,3433,3432,3324,3328,3347,3295,3294,3292,3297,3292,1768,1764,1762,1762,30
PH25,84203,84223,84270,84379,84284,16998,16364,7147,7146,7144,7144,7143,7145,7147,7141,7144,7143,7138,7139,7141,7145,7145,7146,7147,7147,7149,7149,7145,7141,7148,7148,7145,7149,7096,7266,6957,6956,7126,7645,5725,3306,3306,3306,3306,3324,3320,3355,3926,3925,3927,3930,3879,3272,3205,3270,3263,4280,4279,4294,3879,3877,3877,2764,3202,3199,3394,3396,4757,4753,3201,3198,3245,3421,3421,3419,3419,3419,3422,3420,3528,3430,3428,3429,3428,3428,3431,3429,3430,3429,3429,3426,3426,3429,3429,3323,3326,3346,3292,3292,3290,3293,3290,1767,1764,1762,1762,30
PH14,84234,84251,84303,84284,84370,16996,16365,7144,7143,7143,7143,7142,7142,7144,7140,7144,7142,7137,7140,7140,7144,7144,7145,7144,7146,7149,7149,7144,7140,7152,7152,7144,7149,7096,7268,6956,6955,7127,7646,5724,3305,3305,3305,3305,3323,3320,3353,3923,3923,3925,3928,3882,3269,3203,3268,3261,4279,4278,4293,3875,3873,3872,2765,3201,3200,3395,3395,4760,4756,3201,3196,3243,3419,3419,3417,3417,3417,3420,3418,3527,3430,3428,3429,3428,3428,3431,3429,3430,3430,3429,3426,3426,3430,3429,3321,3325,3344,3290,3290,3288,3291,3290,1764,1761,1759,1759,30
PH117,17008,17000,17010,16998,16996,40410,17057,6726,6725,6727,6726,6726,6725,6726,6726,6727,6728,6725,6727,6722,6725,6726,6726,6726,6727,6730,6730,6726,6724,6727,6727,6724,6729,6830,6907,6544,6538,6698,7326,5520,3104,3105,3104,3104,2980,2979,3034,3616,3615,3615,3619,3692,2934,2858,2936,2934,4733,4733,4751,3764,3762,3762,2847,2859,2859,3028,3028,5425,5417,2858,2857,2916,3326,3325,3323,3323,3323,3328,3326,3486,3205,3205,3205,3205,3204,3205,3205,3206,3205,3205,3203,3203,3204,3205,3041,3043,3047,2884,2884,2883,2886,2883,1366,1365,1364,1364,36
PH51,16372,16370,16389,16364,16365,17057,32951,7289,7289,7290,7290,7289,7288,7289,7290,7291,7292,7284,7287,7287,7289,7323,7290,7289,7290,7294,7294,7292,7285,7291,7291,7290,7295,7689,7486,7313,7311,7306,7743,5904,3568,3570,3568,3568,3640,3635,3692,4783,4779,4783,4788,4519,3480,3416,3484,3476,4554,4558,4580,4643,4643,4640,2842,3426,3424,3611,3616,4832,4825,3592,3591,3544,3545,3545,3542,3543,3542,3547,3547,3634,3557,3555,3557,3554,3555,3557,3557,3559,3560,3558,3554,3554,3560,3557,3444,3448,3453,3446,3445,3444,3448,3440,1858,1855,1853,1852,35
PH102,7147,7149,7150,7147,7144,6726,7289,17425,17417,17403,17405,17399,17406,17409,17392,17394,17388,17380,17387,17392,17394,17391,17397,17403,17396,17402,17398,17387,17383,17401,17400,17382,17398,11889,12877,12262,12261,12897,10451,8315,3645,3646,3645,3645,3742,3742,3767,3784,3783,3783,3783,3712,3551,3484,3557,3551,3706,3709,3726,3810,3809,3807,2821,3436,3434,3687,3692,3836,3836,3461,3460,3556,3387,3387,3387,3387,3387,3389,3389,3386,3383,3381,3383,3381,3384,3383,3383,3383,3384,3383,3381,3381,3382,3383,3316,3318,3331,3448,3449,3448,3450,3446,1823,1823,1821,1820,35
PH120,7147,7149,7150,7146,7143,6725,7289,17417,17427,17405,17406,17400,17407,17409,17389,17391,17385,17376,17383,17388,17395,17392,17399,17400,17397,17399,17399,17384,17379,17401,17396,17378,17395,11892,12874,12260,12262,12896,10450,8320,3645,3647,3645,3649,3747,3742,3771,3788,3783,3783,3784,3716,3556,3485,3558,3555,3710,3710,3730,3810,3810,3807,2825,3436,3434,3692,3694,3841,3837,3465,3461,3560,3392,3392,3391,3388,3387,3393,3390,3389,3386,3384,3386,3381,3387,3386,3383,3387,3385,3383,3381,3381,3382,3383,3316,3318,3331,3453,3453,3448,3451,3446,1824,1823,1821,1820,35
PH123,7147,7149,7150,7144,7143,6727,7290,17403,17405,17423,17418,17412,17400,17402,17405,17406,17401,17392,17399,17388,17391,17388,17395,17393,17393,17399,17399,17384,17379,17397,17392,17378,17395,11888,12876,12267,12269,12896,10459,8325,3646,3648,3646,3650,3747,3742,3771,3789,3784,3784,3785,3717,3556,3486,3559,3556,3711,3711,3731,3811,3811,3807,2826,3436,3434,3691,3693,3842,3838,3465,3461,3560,3392,3392,3391,3388,3387,3393,3390,3389,3386,3384,3386,3381,3387,3386,3383,3387,3385,3383,3381,3381,3382,3383,3316,3318,3331,3453,3453,3448,3451,3446,1824,1823,1821,1820,35
