,PH130,PH133,PH2,PH25,PH14,PH117,PH51,PH102,PH120,PH123,PH124,PH126,PH127,PH143,PH48,PH55,PH6,PH59,PH54,PH38,PH125,PH135,PH114,PH144,PH139,PH34,PH40,PH37,PH32,PH119,PH136,PH31,PH36,PH110,PH122,PH26,PH27,PH33,PH8,PH49,PH108,PH7,PH22,PH128,PH132,PH3,PH99,PH100,PH21,PH4,PH56,PH50,PH138,PH18,PH35,PH23,PH104,PH1,PH112,PH129,PH58,PH145,PH121,PH137,PH13,PH15,PH9,PH115,PH11,PH116,PH140,PH24,PH101,PH107,PH43,PH42,PH60,PH16,PH57,PH118,PH103,PH28,PH105,PH61,PH63,PH109,PH97,PH141,PH41,PH46,PH17,PH30,PH44,PH29,PH45,PH47,PH111,PH106,PH113,PH19,PH39,PH52,PH131,PH134,PH62,PH20,PH5
PH130,79674,79470,79480,79416,79447,16177,15523,6794,6794,6794,6794,6792,6792,6794,6790,6795,6793,6787,6788,6790,6795,6794,6796,6794,6796,6800,6800,6794,6789,6802,6802,6793,6800,6751,6932,6611,6608,6791,7254,5436,3156,3157,3156,3156,3177,3173,3204,3714,3714,3716,3720,3678,3110,3047,3111,3104,4065,4065,4079,3691,3691,3688,2646,3060,3057,3254,3257,4515,4511,3064,3060,3095,3257,3257,3254,3255,3254,3257,3256,3357,3259,3257,3258,3257,3257,3260,3258,3260,3259,3258,3255,3255,3258,3258,3154,3157,3176,3134,3133,3131,3135,3131,1676,1673,1671,1671,16
PH133,79470,79580,79537,79438,79466,16170,15522,6796,6796,6796,6796,6794,6794,6796,6792,6797,6795,6789,6790,6792,6797,6796,6798,6796,6798,6802,6802,6796,6791,6799,6799,6795,6802,6753,6918,6614,6611,6792,7252,5435,3156,3157,3156,3156,3174,3170,3201,3715,3715,3717,3721,3674,3110,3043,3107,3100,4065,4065,4079,3692,3692,3689,2647,3060,3057,3254,3257,4512,4508,3064,3060,3095,3257,3257,3254,3255,3254,3257,3256,3357,3259,3257,3258,3257,3257,3260,3258,3260,3259,3258,3255,3255,3258,3258,3154,3157,3176,3134,3133,3131,3135,3131,1677,1674,1672,1672,16
PH2,79480,79537,79691,79482,79515,16179,15540,6796,6796,6796,6796,6794,6794,6796,6793,6799,6796,6789,6791,6793,6797,6796,6798,6796,6798,6805,6804,6798,6791,6799,6799,6795,6804,6754,6916,6615,6611,6793,7254,5437,3157,3158,3157,3157,3175,3171,3202,3715,3715,3717,3721,3674,3111,3044,3108,3101,4064,4066,4079,3694,3694,3691,2647,3061,3058,3255,3258,4511,4507,3065,3061,3095,3257,3257,3254,3255,3254,3257,3256,3358,3260,3258,3259,3258,3258,3261,3259,3261,3261,3259,3256,3256,3260,3259,3155,3159,3177,3135,3134,3132,3137,3132,1677,1674,1672,1672,16
PH25,79416,79438,79482,79587,79497,16168,15516,6794,6793,6791,6791,6790,6792,6794,6788,6791,6790,6785,6786,6788,6792,6792,6793,6794,6794,6796,6796,6792,6788,6795,6795,6792,6796,6746,6918,6611,6610,6785,7249,5431,3155,3155,3155,3155,3171,3167,3200,3712,3711,3713,3716,3670,3109,3041,3105,3099,4063,4062,4077,3689,3688,3687,2644,3060,3057,3252,3254,4505,4501,3060,3057,3094,3256,3256,3254,3254,3254,3257,3255,3357,3257,3255,3256,3255,3255,3258,3256,3257,3256,3256,3253,3253,3256,3256,3154,3157,3176,3132,3132,3130,3133,3130,1676,1674,1672,1672,16
PH14,79447,79466,79515,79497,79579,16165,15516,6791,6790,6790,6790,6789,6789,6791,6787,6791,6789,6784,6787,6787,6791,6791,6792,6791,6793,6796,6796,6791,6787,6799,6799,6791,6796,6746,6920,6610,6609,6786,7250,5430,3154,3154,3154,3154,3170,3167,3198,3709,3709,3711,3714,3673,3106,3039,3103,3097,4061,4060,4075,3685,3684,3682,2645,3059,3058,3253,3253,4508,4504,3060,3055,3092,3254,3254,3252,3252,3252,3255,3253,3356,3257,3255,3256,3255,3255,3258,3256,3257,3257,3256,3253,3253,3257,3256,3152,3156,3174,3130,3130,3128,3131,3130,1673,1671,1669,1669,16
PH117,16177,16170,16179,16168,16165,38028,16067,6354,6353,6355,6354,6354,6353,6354,6354,6355,6356,6353,6355,6350,6353,6354,6354,6354,6355,6358,6358,6354,6352,6355,6355,6352,6357,6458,6529,6194,6188,6334,6904,5202,2928,2929,2928,2928,2819,2818,2872,3407,3406,3406,3410,3488,2769,2693,2769,2768,4456,4456,4474,3556,3555,3554,2687,2714,2714,2890,2890,5094,5086,2707,2706,2774,3142,3141,3139,3139,3139,3144,3142,3292,3018,3018,3018,3018,3017,3018,3018,3019,3018,3018,3016,3016,3017,3018,2865,2867,2871,2723,2723,2722,2725,2722,1290,1289,1288,1288,21
PH51,15523,15522,15540,15516,15516,16067,30969,6865,6865,6866,6866,6865,6864,6865,6866,6867,6868,6860,6863,6863,6865,6899,6866,6865,6866,6870,6870,6868,6861,6867,6867,6866,6871,7242,7059,6891,6889,6893,7285,5555,3361,3364,3361,3361,3434,3429,3486,4493,4489,4493,4498,4256,3281,3216,3283,3276,4313,4317,4338,4383,4384,4381,2690,3251,3249,3435,3440,4547,4541,3398,3397,3350,3348,3348,3345,3346,3345,3350,3350,3433,3360,3358,3360,3357,3358,3360,3360,3362,3363,3361,3357,3357,3363,3360,3253,3257,3262,3251,3250,3249,3253,3245,1747,1744,1742,1741,17
PH102,6794,6796,6796,6794,6791,6354,6865,16398,16390,16376,16378,16373,16379,16383,16365,16368,16363,16355,16361,16366,16367,16364,16370,16376,16370,16375,16372,16361,16357,16374,16373,16356,16372,11167,12104,11515,11514,12129,9811,7792,3423,3425,3423,3423,3511,3511,3535,3537,3536,3536,3535,3473,3330,3263,3334,3329,3491,3494,3510,3580,3579,3578,2654,3226,3224,3482,3487,3607,3607,3263,3262,3346,3184,3184,3184,3184,3184,3186,3186,3187,3184,3182,3184,3182,3185,3184,3184,3184,3185,3184,3182,3182,3183,3184,3122,3124,3138,3239,3240,3239,3241,3237,1707,1707,1705,1704,20
PH120,6794,6796,6796,6793,6790,6353,6865,16390,16399,16377,16378,16373,16379,16382,16362,16365,16360,16351,16357,16362,16367,16364,16371,16373,16370,16372,16372,16358,16353,16373,16369,16352,16369,11169,12101,11513,11514,12128,9810,7796,3423,3426,3423,3426,3515,3511,3538,3540,3536,3536,3536,3476,3334,3264,3335,3332,3494,3495,3513,3580,3580,3578,2657,3226,3224,3486,3489,3611,3608,3266,3263,3349,3188,3188,3187,3185,3184,3189,3187,3189,3186,3184,3186,3182,3187,3186,3184,3187,3186,3184,3182,3182,3183,3184,3122,3124,3138,3243,3243,3239,3242,3237,1708,1707,1705,1704,20
PH123,6794,6796,6796,6791,6790,6355,6866,16376,16377,16394,16389,16384,16372,16375,16377,16379,16375,16366,16372,16361,16362,16359,16366,16366,16365,16371,16371,16357,16352,16368,16364,16351,16368,11164,12103,11519,11520,12127,9818,7801,3424,3427,3424,3427,3515,3511,3538,3541,3537,3537,3537,3477,3334,3265,3336,3333,3495,3496,3514,3581,3581,3578,2658,3226,3224,3485,3488,3612,3609,3266,3263,3349,3188,3188,3187,3185,3184,3189,3187,3189,3186,3184,3186,3182,3187,3186,3184,3187,3186,3184,3182,3182,3183,3184,3122,3124,3138,3243,3243,3239,3242,3237,1708,1707,1705,1704,20
PH124,6794,6796,6796,6791,6790,6354,6866,16378,16378,16389,16392,16386,16373,16377,16375,16378,16373,16364,16370,16359,16364,16360,16367,16367,16366,16370,16370,16356,16351,16370,16366,16350,16367,11165,12101,11517,11518,12124,9814,7797,3424,3427,3424,3427,3515,3511,3538,3541,3537,3537,3537,3477,3334,3265,3336,3333,3495,3496,3514,3581,3581,3578,2658,3226,3224,3485,3488,3612,3609,3266,3263,3349,3188,3188,3187,3185,3184,3189,3187,3189,3186,3184,3186,3182,3187,3186,3184,3187,3186,3184,3182,3182,3183,3184,3122,3124,3138,3243,3243,3239,3242,3237,1708,1707,1705,1704,20
PH126,6792,6794,6794,6790,6789,6354,6865,16373,16373,16384,16386,16387,16372,16372,16373,16376,16371,16363,16369,16358,16358,16357,16362,16363,16362,16364,16367,16354,16347,16365,16361,16349,16364,11164,12097,11515,11514,12120,9813,7796,3424,3426,3424,3427,3514,3511,3538,3541,3537,3537,3536,3477,3333,3264,3335,3333,3495,3495,3514,3581,3580,3578,2658,3226,3224,3485,3487,3611,3608,3266,3262,3349,3187,3187,3187,3184,3184,3189,3186,3189,3186,3184,3186,3182,3187,3186,3184,3186,3185,3184,3182,3182,3183,3184,3122,3124,3138,3242,3243,3239,3241,3237,1707,1707,1705,1704,20
PH127,6792,6794,6794,6792,6789,6353,6864,16379,16379,16372,16373,16372,16387,16380,16360,16363,16358,16350,16356,16363,16364,16362,16368,16369,16368,16369,16372,16358,16351,16371,16367,16353,16369,11170,12100,11514,11513,12126,9811,7795,3423,3425,3423,3426,3514,3511,3538,3540,3536,3536,3535,3476,3333,3263,3334,3332,3494,3494,3513,3580,3579,3578,2657,3226,3224,3485,3487,3610,3607,3266,3262,3349,3187,3187,3187,3184,3184,3189,3186,3189,3186,3184,3186,3182,3187,3186,3184,3186,3185,3184,3182,3182,3183,3184,3122,3124,3138,3242,3243,3239,3241,3237,1707,1707,1704,1704,20
PH143,6794,6796,6796,6794,6791,6354,6865,16383,16382,16375,16377,16372,16380,16391,16361,16364,16359,16353,16357,16364,16368,16365,16371,16372,16373,16373,16373,16359,16357,16375,16371,16354,16370,11170,12104,11515,11517,12129,9811,7795,3423,3425,3423,3426,3514,3511,3538,3540,3536,3536,3535,3476,3333,3263,3334,3332,3494,3494,3513,3580,3579,3578,2657,3226,3224,3485,3487,3610,3607,3266,3262,3349,3187,3187,3187,3184,3184,3189,3186,3189,3186,3184,3186,3182,3187,3186,3184,3186,3185,3184,3182,3182,3183,3184,3122,3124,3138,3242,3243,3239,3241,3237,1707,1707,1704,1704,20
PH48,6790,6792,6793,6788,6787,6354,6866,16365,16362,16377,16375,16373,16360,16361,16390,16387,16377,16365,16373,16361,16348,16345,16351,16354,16350,16371,16371,16365,16348,16354,16353,16350,16370,11155,12095,11525,11514,12127,9819,7795,3423,3427,3423,3423,3511,3510,3534,3537,3536,3536,3537,3473,3330,3264,3336,3329,3493,3499,3512,3579,3580,3576,2655,3226,3224,3481,3488,3609,3609,3263,3263,3346,3184,3184,3183,3184,3183,3185,3187,3186,3183,3181,3183,3181,3184,3183,3183,3184,3186,3184,3181,3181,3183,3183,3121,3123,3137,3240,3240,3239,3243,3237,1707,1706,1704,1703,20
PH55,6795,6797,6799,6791,6791,6355,6867,16368,16365,16379,16378,16376,16363,16364,16387,16404,16377,16365,16375,16364,16351,16348,16354,16357,16353,16382,16381,16371,16348,16357,16356,16351,16380,11159,12099,11527,11515,12135,9821,7797,3424,3428,3424,3424,3513,3513,3536,3538,3538,3538,3539,3475,3331,3265,3337,3330,3493,3499,3512,3581,3582,3578,2657,3226,3224,3484,3491,3610,3610,3265,3265,3347,3185,3185,3184,3185,3184,3186,3188,3187,3185,3183,3185,3183,3186,3185,3185,3186,3188,3186,3183,3183,3185,3185,3122,3124,3138,3240,3240,3239,3243,3237,1708,1707,1705,1704,20
PH6,6793,6795,6796,6790,6789,6356,6868,16363,16360,16375,16373,16371,16358,16359,16377,16377,16383,16365,16371,16359,16346,16343,16349,16352,16350,16362,16362,16355,16343,16353,16352,16349,16362,11159,12098,11521,11515,12125,9818,7798,3424,3428,3424,3424,3512,3511,3535,3538,3537,3537,3538,3474,3331,3265,3337,3330,3493,3498,3512,3581,3582,3578,2655,3226,3224,3482,3488,3610,3610,3263,3263,3346,3185,3185,3184,3185,3184,3186,3188,3187,3184,3182,3184,3182,3185,3184,3184,3185,3187,3185,3182,3182,3184,3184,3122,3124,3138,3240,3240,3239,3243,3237,1708,1707,1705,1704,20
PH59,6787,6789,6789,6785,6784,6353,6860,16355,16351,16366,16364,16363,16350,16353,16365,16365,16365,16370,16362,16355,16337,16335,16340,16344,16344,16351,16351,16343,16344,16345,16344,16339,16351,11156,12097,11520,11512,12118,9815,7790,3421,3423,3421,3421,3508,3508,3532,3535,3536,3536,3533,3473,3327,3261,3332,3329,3491,3494,3510,3578,3577,3575,2655,3224,3222,3482,3485,3606,3606,3261,3260,3344,3181,3181,3181,3181,3181,3183,3183,3184,3181,3181,3181,3181,3182,3181,3181,3181,3182,3181,3181,3181,3180,3181,3119,3121,3135,3237,3238,3237,3239,3237,1704,1704,1704,1703,20
PH54,6788,6790,6791,6786,6787,6355,6863,16361,16357,16372,16370,16369,16356,16357,16373,16375,16371,16362,16379,16355,16343,16341,16346,16350,16346,16357,16357,16350,16342,16351,16350,16346,16357,11155,12096,11517,11514,12118,9815,7795,3421,3423,3421,3421,3508,3508,3532,3535,3534,3534,3533,3471,3327,3261,3332,3327,3491,3494,3510,3578,3577,3575,2656,3224,3224,3483,3486,3606,3606,3262,3261,3344,3181,3181,3181,3181,3181,3183,3183,3184,3181,3179,3181,3179,3182,3181,3181,3181,3182,3181,3179,3179,3180,3181,3119,3121,3135,3237,3238,3237,3239,3237,1704,1704,1702,1701,20
PH38,6790,6792,6793,6788,6787,6350,6863,16366,16362,16361,16359,16358,16363,16364,16361,16364,16359,16355,16355,16386,16350,16348,16353,16355,16353,16365,16365,16359,16353,16358,16357,16352,16365,11164,12101,11522,11513,12130,9814,7790,3423,3426,3423,3423,3510,3510,3534,3537,3536,3536,3536,3473,3329,3263,3335,3329,3493,3497,3512,3580,3580,3577,2655,3225,3223,3482,3487,3608,3608,3263,3262,3346,3183,3183,3183,3183,3183,3185,3186,3186,3183,3181,3183,3181,3184,3183,3183,3183,3185,3184,3181,3181,3183,3183,3121,3123,3137,3239,3240,3239,3242,3237,1706,1706,1703,1703,20
PH125,6795,6797,6797,6792,6791,6353,6865,16367,16367,16362,16364,16358,16364,16368,16348,16351,16346,16337,16343,16350,16378,16367,16366,16364,16365,16368,16368,16354,16349,16369,16365,16348,16365,11171,12103,11516,11517,12130,9813,7795,3424,3427,3424,3427,3514,3511,3538,3541,3537,3537,3537,3475,3334,3262,3333,3333,3495,3496,3514,3581,3581,3578,2658,3226,3224,3485,3487,3612,3609,3266,3263,3349,3188,3188,3187,3185,3184,3188,3186,3189,3186,3184,3186,3181,3186,3186,3184,3187,3186,3184,3182,3182,3183,3184,3122,3124,3138,3243,3242,3239,3242,3236,1706,1704,1701,1701,20
PH135,6794,6796,6796,6792,6791,6354,6899,16364,16364,16359,16360,16357,16362,16365,16345,16348,16343,16335,16341,16348,16367,16483,16363,16362,16363,16364,16364,16351,16347,16366,16362,16346,16361,11169,12101,11513,11515,12128,9811,7794,3424,3426,3424,3427,3514,3512,3539,3541,3537,3537,3536,3477,3332,3261,3332,3333,3495,3495,3514,3580,3579,3577,2657,3225,3223,3485,3486,3611,3608,3266,3262,3350,3187,3187,3187,3184,3184,3188,3185,3189,3186,3184,3186,3181,3186,3186,3184,3186,3185,3184,3182,3182,3183,3184,3122,3124,3138,3243,3243,3240,3242,3237,1705,1704,1701,1701,20
PH114,6796,6798,6798,6793,6792,6354,6866,16370,16371,16366,16367,16362,16368,16371,16351,16354,16349,16340,16346,16353,16366,16363,16439,16421,16425,16427,16427,16413,16408,16380,16376,16361,16376,11170,12102,11513,11514,12127,9813,7795,3423,3426,3423,3426,3513,3517,3538,3540,3536,3536,3536,3476,3333,3263,3334,3332,3495,3496,3514,3581,3581,3578,2657,3226,3224,3485,3488,3612,3609,3266,3263,3348,3188,3188,3187,3185,3184,3189,3187,3189,3186,3184,3186,3181,3186,3186,3184,3187,3186,3184,3182,3182,3183,3184,3122,3124,3138,3242,3241,3238,3241,3236,1707,1707,1703,1703,20
