,PH130,PH133,PH2,PH25,PH14,PH117,PH51,PH102,PH120,PH123,PH124,PH126,PH127,PH143,PH48,PH55,PH6,PH59,PH54,PH38,PH125,PH135,PH114,PH144,PH139,PH34,PH40,PH37,PH32,PH119,PH136,PH31,PH36,PH110,PH122,PH26,PH27,PH33,PH8,PH49,PH108,PH7,PH22,PH128,PH132,PH3,PH99,PH100,PH21,PH4,PH56,PH50,PH138,PH18,PH35,PH23,PH104,PH1,PH112,PH129,PH58,PH145,PH121,PH137,PH13,PH15,PH9,PH115,PH11,PH116,PH140,PH24,PH101,PH107,PH43,PH42,PH60,PH16,PH57,PH118,PH103,PH28,PH105,PH61,PH63,PH109,PH97,PH141,PH41,PH46,PH17,PH30,PH44,PH29,PH45,PH47,PH111,PH106,PH113,PH19,PH39,PH52,PH131,PH134,PH62,PH20,PH5
PH130,85919,85780,85785,85681,85746,18813,17601,8063,8063,8063,8063,8061,8063,8065,8060,8064,8062,8059,8060,8061,8070,8067,8017,8000,8016,8020,8020,8014,8013,8054,8054,8064,8070,8036,7749,8043,8041,8226,8772,7085,5024,5023,5024,5024,4984,4864,4993,5228,5238,5244,5244,5458,4881,4724,4713,4713,6005,6004,6009,5520,5522,5516,4999,5005,5004,5082,5091,6407,6403,4924,4921,4979,4889,4889,4886,4886,4884,4889,4888,4983,4860,4860,4859,4861,4858,4861,4859,4861,4859,4859,4858,4858,4860,4860,4796,4799,4812,4903,4902,4900,4902,4897,5094,5095,4978,5096,5217
PH133,85780,85963,85914,85772,85834,18876,17670,8136,8136,8136,8136,8134,8136,8138,8133,8137,8135,8132,8133,8134,8143,8140,8090,8073,8089,8093,8093,8087,8086,8122,8122,8137,8143,8109,7806,8117,8115,8298,8841,7155,5095,5094,5095,5095,5052,4932,5061,5300,5310,5316,5316,5525,4952,4791,4780,4780,6076,6075,6080,5592,5594,5588,5071,5076,5075,5153,5162,6475,6471,4995,4992,5050,4960,4960,4957,4957,4955,4960,4959,5054,4931,4931,4930,4932,4929,4932,4930,4932,4930,4930,4929,4929,4931,4931,4867,4870,4883,4974,4973,4971,4973,4968,5166,5167,5050,5168,5288
PH2,85785,85914,86070,85814,85881,18881,17684,8132,8132,8132,8132,8130,8132,8134,8130,8135,8132,8128,8130,8131,8139,8136,8086,8069,8085,8092,8091,8085,8082,8118,8118,8133,8141,8106,7799,8113,8110,8294,8838,7152,5091,5090,5091,5091,5048,4928,5057,5295,5305,5311,5311,5520,4948,4787,4776,4776,6070,6071,6075,5589,5591,5585,5066,5072,5071,5149,5158,6469,6465,4991,4988,5045,4955,4955,4952,4952,4950,4955,4954,5050,4927,4927,4926,4928,4925,4928,4926,4928,4927,4926,4925,4925,4928,4927,4863,4867,4879,4970,4969,4967,4970,4964,5161,5162,5045,5163,5283
PH25,85681,85772,85814,85887,85826,18833,17623,8093,8092,8090,8090,8089,8093,8095,8088,8090,8089,8087,8088,8089,8097,8095,8044,8030,8044,8046,8046,8042,8042,8077,8077,8093,8096,8061,7765,8073,8073,8250,8797,7110,5053,5051,5053,5053,5008,4888,5019,5256,5265,5271,5270,5480,4910,4748,4737,4738,6032,6030,6036,5548,5549,5545,5027,5035,5034,5110,5118,6427,6423,4950,4948,5008,4918,4918,4916,4915,4914,4919,4917,5013,4888,4888,4887,4889,4886,4889,4887,4888,4886,4887,4886,4886,4888,4888,4826,4829,4842,4931,4931,4929,4930,4926,5124,5126,5009,5127,5247
PH14,85746,85834,85881,85826,85946,18865,17658,8124,8123,8123,8123,8122,8124,8126,8121,8124,8122,8120,8123,8122,8130,8128,8077,8061,8077,8080,8080,8075,8075,8115,8115,8126,8130,8095,7801,8106,8106,8285,8832,7143,5086,5084,5086,5086,5041,4922,5051,5287,5297,5303,5302,5517,4941,4780,4769,4770,6065,6063,6069,5578,5579,5574,5062,5068,5069,5145,5151,6464,6460,4984,4980,5040,4950,4950,4948,4947,4946,4951,4949,5046,4922,4922,4921,4923,4920,4923,4921,4922,4921,4921,4920,4920,4923,4922,4858,4862,4874,4963,4963,4961,4962,4960,5155,5157,5040,5158,5281
PH117,18813,18876,18881,18833,18865,42572,18643,7999,7998,8000,7999,7999,8000,8001,8000,8000,8001,8001,8003,7997,8004,8003,7951,7936,7951,7954,7954,7950,7952,7983,7983,7999,8003,8122,7733,7987,7982,8149,8805,7232,5178,5177,5178,5178,4991,4874,5025,5273,5282,5286,5286,5620,4899,4728,4730,4736,6812,6811,6820,5760,5761,5757,5437,5019,5021,5071,5077,7422,7414,4934,4934,5006,5150,5149,5147,5146,5145,5152,5150,5298,4990,4992,4990,4993,4989,4990,4990,4991,4989,4990,4990,4990,4990,4991,4871,4873,4870,4850,4850,4849,4850,4846,5050,5054,4938,5056,5580
PH51,17601,17670,17684,17623,17658,18643,33961,7986,7986,7987,7987,7986,7987,7988,7988,7988,7989,7984,7987,7986,7992,8024,7939,7923,7938,7942,7942,7940,7937,7971,7971,7989,7993,8405,7736,8180,8179,8181,8646,7040,5066,5066,5066,5066,5075,4954,5107,5864,5870,5878,5879,5871,4869,4710,4702,4702,6057,6060,6073,6063,6066,6059,4856,5010,5010,5078,5089,6253,6246,5092,5092,5058,4793,4793,4790,4790,4788,4795,4795,4870,4766,4766,4766,4766,4764,4766,4766,4768,4768,4767,4765,4765,4770,4767,4698,4702,4700,4836,4835,4834,4836,4827,4966,4968,4851,4968,5003
PH102,8063,8136,8132,8093,8124,7999,7986,17809,17801,17787,17789,17783,17792,17795,17777,17778,17772,17767,17774,17778,17784,17779,17733,17724,17731,17737,17733,17722,17722,17768,17767,17768,17783,12292,12814,12816,12816,13459,11041,9138,4830,4829,4830,4830,4864,4748,4869,4552,4561,4565,4561,4751,4627,4465,4462,4464,4896,4898,4906,4917,4919,4913,4522,4707,4707,4841,4852,4944,4944,4648,4648,4757,4322,4322,4322,4321,4320,4324,4324,4309,4279,4279,4279,4280,4280,4279,4279,4279,4279,4279,4279,4279,4279,4280,4257,4259,4265,4525,4526,4525,4525,4520,4618,4623,4506,4623,4690
PH120,8063,8136,8132,8092,8123,7998,7986,17801,17811,17789,17790,17784,17793,17795,17774,17775,17769,17763,17770,17774,17785,17780,17735,17721,17732,17734,17734,17719,17718,17768,17763,17764,17780,12295,12811,12814,12817,13458,11040,9143,4830,4830,4830,4834,4869,4748,4873,4556,4561,4565,4562,4755,4632,4466,4463,4468,4900,4899,4910,4917,4920,4913,4526,4707,4707,4846,4854,4949,4945,4652,4649,4761,4327,4327,4326,4322,4320,4328,4325,4312,4282,4282,4282,4280,4283,4282,4279,4283,4280,4279,4279,4279,4279,4280,4257,4259,4265,4530,4530,4525,4526,4520,4619,4623,4506,4623,4690
PH123,8063,8136,8132,8090,8123,8000,7987,17787,17789,17807,17802,17796,17786,17788,17790,17790,17785,17779,17786,17774,17781,17776,17731,17714,17728,17734,17734,17719,17718,17764,17759,17764,17780,12291,12813,12821,12824,13458,11049,9148,4831,4831,4831,4835,4869,4748,4873,4557,4562,4566,4563,4756,4632,4467,4464,4469,4901,4900,4911,4918,4921,4913,4527,4707,4707,4845,4853,4950,4946,4652,4649,4761,4327,4327,4326,4322,4320,4328,4325,4312,4282,4282,4282,4280,4283,4282,4279,4283,4280,4279,4279,4279,4279,4280,4257,4259,4265,4530,4530,4525,4526,4520,4619,4623,4506,4623,4690
