,PH130,PH133,PH2,PH25,PH14,PH117,PH51,PH102,PH120,PH123,PH124,PH126,PH127,PH143,PH48,PH55,PH6,PH59,PH54,PH38,PH125,PH135,PH114,PH144,PH139,PH34,PH40,PH37,PH32,PH119,PH136,PH31,PH36,PH110,PH122,PH26,PH27,PH33,PH8,PH49,PH108,PH7,PH22,PH128,PH132,PH3,PH99,PH100,PH21,PH4,PH56,PH50,PH138,PH18,PH35,PH23,PH104,PH1,PH112,PH129,PH58,PH145,PH121,PH137,PH13,PH15,PH9,PH115,PH11,PH116,PH140,PH24,PH101,PH107,PH43,PH42,PH60,PH16,PH57,PH118,PH103,PH28,PH105,PH61,PH63,PH109,PH97,PH141,PH41,PH46,PH17,PH30,PH44,PH29,PH45,PH47,PH111,PH106,PH113,PH19,PH39,PH52,PH131,PH134,PH62,PH20,PH5
PH130,80906,80773,80778,80679,80743,17723,16518,7507,7507,7507,7507,7505,7507,7509,7504,7508,7506,7503,7504,7505,7514,7511,7464,7447,7463,7467,7467,7461,7460,7498,7498,7508,7514,7478,7196,7483,7481,7672,8178,6576,4624,4623,4624,4624,4592,4473,4600,4789,4799,4805,4805,5010,4481,4323,4312,4313,5537,5536,5541,5084,5085,5079,4588,4612,4611,4681,4690,5918,5914,4526,4523,4579,4502,4502,4499,4499,4497,4502,4501,4586,4461,4461,4460,4462,4459,4462,4460,4462,4460,4460,4459,4459,4461,4461,4397,4400,4410,4507,4506,4504,4506,4501,4663,4664,4548,4665,4756
PH133,80773,80954,80906,80772,80833,17787,16588,7580,7580,7580,7580,7578,7580,7582,7577,7581,7579,7576,7577,7578,7587,7584,7537,7520,7536,7540,7540,7534,7533,7566,7566,7581,7587,7551,7253,7557,7555,7744,8247,6646,4695,4694,4695,4695,4660,4541,4668,4861,4871,4877,4877,5077,4552,4390,4379,4380,5608,5607,5612,5156,5157,5151,4660,4683,4682,4752,4761,5986,5982,4597,4594,4650,4573,4573,4570,4570,4568,4573,4572,4657,4532,4532,4531,4533,4530,4533,4531,4533,4531,4531,4530,4530,4532,4532,4468,4471,4481,4578,4577,4575,4577,4572,4735,4736,4620,4737,4827
PH2,80778,80906,81055,80811,80877,17791,16601,7575,7575,7575,7575,7573,7575,7577,7573,7578,7575,7571,7573,7574,7582,7579,7532,7515,7531,7538,7537,7531,7528,7561,7561,7576,7584,7547,7246,7553,7550,7740,8244,6643,4691,4690,4691,4691,4656,4537,4664,4856,4866,4872,4872,5072,4548,4386,4375,4376,5602,5603,5607,5153,5154,5148,4655,4679,4678,4748,4757,5980,5976,4593,4590,4645,4568,4568,4565,4565,4563,4568,4567,4653,4528,4528,4527,4529,4526,4529,4527,4529,4528,4527,4526,4526,4529,4528,4464,4468,4477,4574,4573,4571,4574,4568,4730,4731,4615,4732,4822
PH25,80679,80772,80811,80881,80824,17745,16542,7538,7537,7535,7535,7534,7538,7540,7533,7535,7534,7532,7533,7534,7542,7540,7492,7478,7492,7494,7494,7490,7490,7522,7522,7538,7541,7504,7213,7514,7514,7697,8204,6602,4654,4652,4654,4654,4617,4498,4627,4818,4827,4833,4832,5033,4511,4348,4337,4339,5566,5564,5570,5113,5113,5109,4617,4643,4642,4710,4718,5939,5935,4553,4551,4609,4532,4532,4530,4529,4528,4533,4531,4617,4490,4490,4489,4491,4488,4491,4489,4490,4488,4489,4488,4488,4490,4490,4428,4431,4441,4536,4536,4534,4535,4531,4694,4696,4580,4697,4787
PH14,80743,80833,80877,80824,80939,17775,16575,7568,7567,7567,7567,7566,7568,7570,7565,7568,7566,7564,7567,7566,7574,7572,7524,7508,7524,7527,7527,7522,7522,7559,7559,7570,7574,7537,7248,7546,7546,7731,8238,6634,4686,4684,4686,4686,4649,4531,4658,4848,4858,4864,4863,5069,4541,4379,4368,4370,5597,5595,5601,5142,5142,5137,4651,4675,4676,4744,4750,5975,5971,4586,4582,4640,4563,4563,4561,4560,4559,4564,4562,4649,4523,4523,4522,4524,4521,4524,4522,4523,4522,4522,4521,4521,4524,4523,4459,4463,4472,4567,4567,4565,4566,4564,4724,4726,4610,4727,4820
PH117,17723,17787,17791,17745,17775,39888,17376,7381,7380,7382,7381,7381,7382,7383,7382,7382,7383,7383,7385,7379,7386,7385,7336,7321,7336,7339,7339,7335,7337,7365,7365,7381,7385,7499,7107,7380,7375,7529,8142,6656,4710,4709,4710,4710,4548,4432,4582,4796,4805,4809,4809,5134,4454,4283,4284,4291,6242,6241,6250,5263,5263,5259,4943,4580,4582,4631,4637,6811,6803,4483,4483,4572,4701,4700,4698,4697,4696,4703,4701,4835,4534,4536,4534,4537,4533,4534,4534,4535,4533,4534,4534,4534,4534,4535,4422,4424,4419,4410,4410,4409,4410,4406,4591,4594,4479,4596,5075
PH51,16518,16588,16601,16542,16575,17376,31727,7341,7341,7342,7342,7341,7342,7343,7343,7343,7344,7339,7342,7341,7347,7379,7297,7281,7296,7300,7300,7298,7295,7326,7326,7344,7348,7732,7086,7526,7525,7537,7972,6458,4592,4593,4592,4592,4612,4492,4645,5331,5337,5345,5346,5351,4415,4255,4247,4248,5548,5551,5563,5539,5541,5535,4395,4566,4566,4625,4636,5713,5707,4623,4623,4597,4356,4356,4353,4353,4351,4358,4358,4425,4325,4325,4325,4325,4323,4325,4325,4327,4327,4326,4324,4324,4329,4326,4259,4263,4259,4387,4386,4385,4387,4378,4497,4498,4382,4498,4520
PH102,7507,7580,7575,7538,7568,7381,7341,16592,16584,16570,16572,16567,16575,16579,16560,16562,16557,16552,16558,16562,16567,16562,16519,16510,16518,16523,16520,16509,16509,16551,16550,16552,16567,11375,11849,11868,11868,12491,10216,8413,4372,4372,4372,4372,4407,4292,4412,4093,4102,4106,4101,4286,4182,4020,4016,4019,4444,4446,4453,4454,4454,4450,4077,4259,4259,4390,4401,4491,4491,4206,4206,4311,3910,3910,3910,3909,3908,3912,3912,3897,3867,3867,3867,3868,3868,3867,3867,3867,3867,3867,3867,3867,3867,3868,3846,3848,3853,4093,4094,4093,4093,4088,4175,4179,4063,4179,4241
PH120,7507,7580,7575,7537,7567,7380,7341,16584,16593,16571,16572,16567,16575,16578,16557,16559,16554,16548,16554,16558,16567,16562,16520,16507,16518,16520,16520,16506,16505,16550,16546,16548,16564,11377,11846,11866,11868,12490,10215,8417,4372,4373,4372,4375,4411,4292,4415,4096,4102,4106,4102,4289,4186,4021,4017,4022,4447,4447,4456,4454,4455,4450,4080,4259,4259,4394,4403,4495,4492,4209,4207,4314,3914,3914,3913,3910,3908,3915,3913,3899,3869,3869,3869,3868,3870,3869,3867,3870,3868,3867,3867,3867,3867,3868,3846,3848,3853,4097,4097,4093,4094,4088,4176,4179,4063,4179,4241
PH123,7507,7580,7575,7535,7567,7382,7342,16570,16571,16588,16583,16578,16568,16571,16572,16573,16569,16563,16569,16557,16562,16557,16515,16500,16513,16519,16519,16505,16504,16545,16541,16547,16563,11372,11848,11872,11874,12489,10223,8422,4373,4374,4373,4376,4411,4292,4415,4097,4103,4107,4103,4290,4186,4022,4018,4023,4448,4448,4457,4455,4456,4450,4081,4259,4259,4393,4402,4496,4493,4209,4207,4314,3914,3914,3913,3910,3908,3915,3913,3899,3869,3869,3869,3868,3870,3869,3867,3870,3868,3867,3867,3867,3867,3868,3846,3848,3853,4097,4097,4093,4094,4088,4176,4179,4063,4179,4241
