,PH130,PH133,PH2,PH25,PH14,PH117,PH51,PH102,PH120,PH123,PH124,PH126,PH127,PH143,PH48,PH55,PH6,PH59,PH54,PH38,PH125,PH135,PH114,PH144,PH139,PH34,PH40,PH37,PH32,PH119,PH136,PH31,PH36,PH110,PH122,PH26,PH27,PH33,PH8,PH49,PH108,PH7,PH22,PH128,PH132,PH3,PH99,PH100,PH21,PH4,PH56,PH50,PH138,PH18,PH35,PH23,PH104,PH1,PH112,PH129,PH58,PH145,PH121,PH137,PH13,PH15,PH9,PH115,PH11,PH116,PH140,PH24,PH101,PH107,PH43,PH42,PH60,PH16,PH57,PH118,PH103,PH28,PH105,PH61,PH63,PH109,PH97,PH141,PH41,PH46,PH17,PH30,PH44,PH29,PH45,PH47,PH111,PH106,PH113,PH19,PH39,PH52,PH131,PH134,PH62,PH20,PH5
PH130,84282,84073,84083,84014,84045,16825,16178,6971,6971,6971,6971,6969,6969,6971,6967,6972,6970,6964,6965,6967,6972,6971,6973,6971,6973,6977,6977,6971,6966,6979,6979,6970,6977,6928,7091,6769,6766,6953,7462,5538,3155,3156,3155,3155,3125,3121,3156,3759,3759,3761,3765,3725,3081,3019,3084,3076,4101,4101,4109,3689,3688,3686,2644,3020,3017,3195,3198,4588,4584,3014,3010,3035,3251,3251,3248,3249,3248,3251,3250,3358,3254,3252,3253,3252,3252,3255,3253,3255,3254,3253,3250,3250,3253,3253,3153,3157,3176,3091,3090,3088,3092,3088,1758,1753,1752,1752,217
PH133,84073,84186,84142,84035,84063,16818,16177,6974,6974,6974,6974,6972,6972,6974,6970,6975,6973,6967,6968,6970,6975,6974,6976,6974,6976,6980,6980,6974,6969,6977,6977,6973,6980,6931,7078,6773,6770,6955,7461,5538,3156,3157,3156,3156,3123,3119,3154,3761,3761,3763,3767,3722,3082,3016,3081,3073,4102,4102,4110,3691,3690,3688,2646,3021,3018,3196,3199,4586,4582,3015,3011,3036,3252,3252,3249,3250,3249,3252,3251,3359,3255,3253,3254,3253,3253,3256,3254,3256,3255,3254,3251,3251,3254,3254,3154,3158,3177,3092,3091,3089,3093,3089,1760,1755,1754,1754,218
PH2,84083,84142,84303,84082,84115,16828,16196,6975,6975,6975,6975,6973,6973,6975,6972,6978,6975,6968,6970,6972,6976,6975,6977,6975,6977,6984,6983,6977,6970,6978,6978,6974,6983,6933,7076,6774,6770,6956,7463,5540,3157,3158,3157,3157,3124,3120,3155,3761,3761,3763,3767,3722,3083,3017,3082,3074,4101,4103,4110,3693,3692,3690,2646,3022,3019,3197,3200,4585,4581,3016,3012,3036,3252,3252,3249,3250,3249,3252,3251,3360,3256,3254,3255,3254,3254,3257,3255,3257,3257,3255,3252,3252,3256,3255,3155,3160,3178,3093,3092,3090,3095,3090,1760,1755,1754,1754,218
PH25,84014,84035,84082,84190,84095,16815,16170,6971,6970,6968,6968,6967,6969,6971,6965,6968,6967,6962,6963,6965,6969,6969,6970,6971,6971,6973,6973,6969,6965,6972,6972,6969,6973,6923,7077,6769,6768,6947,7457,5533,3154,3154,3154,3154,3119,3115,3152,3757,3756,3758,3761,3717,3080,3013,3078,3071,4098,4097,4106,3687,3685,3685,2642,3020,3017,3193,3195,4578,4574,3010,3007,3034,3250,3250,3248,3248,3248,3251,3249,3358,3252,3250,3251,3250,3250,3253,3251,3252,3251,3251,3248,3248,3251,3251,3153,3157,3176,3089,3089,3087,3090,3087,1758,1754,1753,1753,217
PH14,84045,84063,84115,84095,84181,16813,16171,6968,6967,6967,6967,6966,6966,6968,6964,6968,6966,6961,6964,6964,6968,6968,6969,6968,6970,6973,6973,6968,6964,6976,6976,6968,6973,6923,7079,6768,6767,6948,7458,5532,3153,3153,3153,3153,3118,3115,3150,3754,3754,3756,3759,3720,3077,3011,3076,3069,4097,4096,4105,3683,3681,3680,2643,3019,3018,3194,3194,4581,4577,3010,3005,3032,3248,3248,3246,3246,3246,3249,3247,3357,3252,3250,3251,3250,3250,3253,3251,3252,3252,3251,3248,3248,3252,3251,3151,3156,3174,3087,3087,3085,3088,3087,1755,1751,1750,1750,217
PH117,16825,16818,16828,16815,16813,40233,16869,6556,6555,6557,6556,6556,6555,6556,6556,6557,6558,6555,6557,6552,6555,6556,6556,6556,6557,6560,6560,6556,6554,6557,6557,6554,6559,6663,6724,6362,6356,6525,7144,5334,2958,2959,2958,2958,2781,2780,2837,3453,3452,3452,3456,3536,2748,2672,2750,2748,4557,4557,4569,3578,3576,3576,2731,2683,2683,2833,2833,5252,5244,2673,2672,2711,3161,3160,3158,3158,3158,3163,3161,3322,3033,3033,3033,3033,3032,3033,3033,3034,3033,3033,3031,3031,3032,3033,2877,2880,2883,2687,2687,2686,2689,2686,1363,1361,1361,1361,229
PH51,16178,16177,16196,16170,16171,16869,32752,7108,7108,7109,7109,7108,7107,7108,7109,7110,7111,7103,7106,7106,7108,7142,7109,7108,7109,7113,7113,7111,7104,7110,7110,7109,7114,7511,7292,7120,7118,7122,7550,5707,3411,3413,3411,3411,3430,3425,3484,4609,4605,4609,4614,4352,3283,3219,3287,3279,4367,4371,4387,4446,4446,4443,2715,3239,3237,3405,3410,4648,4641,3396,3395,3328,3369,3369,3366,3367,3366,3371,3371,3459,3374,3372,3374,3371,3372,3374,3374,3376,3377,3375,3371,3371,3377,3374,3269,3274,3278,3238,3237,3236,3240,3232,1844,1840,1839,1838,217
PH102,6971,6974,6975,6971,6968,6556,7108,17262,17254,17240,17242,17236,17243,17246,17229,17231,17225,17217,17224,17229,17231,17228,17234,17240,17233,17239,17235,17224,17220,17238,17237,17219,17235,11729,12701,12087,12086,12731,10276,8136,3506,3507,3506,3506,3550,3550,3577,3628,3627,3627,3627,3563,3372,3305,3378,3372,3537,3540,3551,3631,3630,3628,2712,3267,3265,3499,3504,3670,3670,3283,3282,3358,3229,3229,3229,3229,3229,3231,3231,3229,3218,3216,3218,3216,3219,3218,3218,3218,3219,3218,3216,3216,3217,3218,3159,3162,3174,3258,3259,3258,3260,3256,1827,1826,1825,1824,235
PH120,6971,6974,6975,6970,6967,6555,7108,17254,17264,17242,17243,17237,17244,17246,17226,17228,17222,17213,17220,17225,17232,17229,17236,17237,17234,17236,17236,17221,17216,17238,17233,17215,17232,11732,12698,12085,12087,12730,10275,8141,3506,3508,3506,3510,3555,3550,3581,3632,3627,3627,3628,3567,3377,3306,3379,3376,3541,3541,3555,3631,3631,3628,2716,3267,3265,3504,3506,3675,3671,3287,3283,3362,3234,3234,3233,3230,3229,3235,3232,3232,3221,3219,3221,3216,3222,3221,3218,3222,3220,3218,3216,3216,3217,3218,3159,3162,3174,3263,3263,3258,3261,3256,1828,1826,1825,1824,235
PH123,6971,6974,6975,6968,6967,6557,7109,17240,17242,17260,17255,17249,17237,17239,17242,17243,17238,17229,17236,17225,17228,17225,17232,17230,17230,17236,17236,17221,17216,17234,17229,17215,17232,11728,12700,12092,12094,12730,10284,8146,3507,3509,3507,3511,3555,3550,3581,3633,3628,3628,3629,3568,3377,3307,3380,3377,3542,3542,3556,3632,3632,3628,2717,3267,3265,3503,3505,3676,3672,3287,3283,3362,3234,3234,3233,3230,3229,3235,3232,3232,3221,3219,3221,3216,3222,3221,3218,3222,3220,3218,3216,3216,3217,3218,3159,3162,3174,3263,3263,3258,3261,3256,1828,1826,1825,1824,235
