,PH130,PH133,PH2,PH25,PH14,PH117,PH51,PH102,PH120,PH123,PH124,PH126,PH127,PH143,PH48,PH55,PH6,PH59,PH54,PH38,PH125,PH135,PH114,PH144,PH139,PH34,PH40,PH37,PH32,PH119,PH136,PH31,PH36,PH110,PH122,PH26,PH27,PH33,PH8,PH49,PH108,PH7,PH22,PH128,PH132,PH3,PH99,PH100,PH21,PH4,PH56,PH50,PH138,PH18,PH35,PH23,PH104,PH1,PH112,PH129,PH58,PH145,PH121,PH137,PH13,PH15,PH9,PH115,PH11,PH116,PH140,PH24,PH101,PH107,PH43,PH42,PH60,PH16,PH57,PH118,PH103,PH28,PH105,PH61,PH63,PH109,PH97,PH141,PH41,PH46,PH17,PH30,PH44,PH29,PH45,PH47,PH111,PH106,PH113,PH19,PH39,PH52,PH131,PH134,PH62,PH20,PH5
PH130,79471,79268,79278,79213,79244,15981,15319,6605,6605,6605,6605,6603,6603,6605,6601,6606,6604,6598,6599,6601,6606,6605,6607,6605,6607,6611,6611,6605,6600,6613,6613,6604,6611,6566,6731,6409,6406,6600,7055,5231,2991,2992,2991,2991,2959,2955,2988,3537,3537,3539,3543,3507,2906,2843,2907,2900,3873,3873,3881,3483,3483,3480,2510,2868,2865,3037,3040,4322,4318,2864,2860,2872,3070,3070,3067,3068,3067,3070,3069,3171,3067,3065,3066,3065,3065,3068,3066,3068,3067,3066,3063,3063,3066,3066,2968,2972,2990,2918,2917,2915,2919,2915,1668,1664,1663,1663,217
PH133,79268,79379,79336,79236,79264,15975,15319,6608,6608,6608,6608,6606,6606,6608,6604,6609,6607,6601,6602,6604,6609,6608,6610,6608,6610,6614,6614,6608,6603,6611,6611,6607,6614,6569,6718,6413,6410,6602,7054,5231,2992,2993,2992,2992,2957,2953,2986,3539,3539,3541,3545,3504,2907,2840,2904,2897,3874,3874,3882,3485,3485,3482,2512,2869,2866,3038,3041,4320,4316,2865,2861,2873,3071,3071,3068,3069,3068,3071,3070,3172,3068,3066,3067,3066,3066,3069,3067,3069,3068,3067,3064,3064,3067,3067,2969,2973,2991,2919,2918,2916,2920,2916,1670,1666,1665,1665,218
PH2,79278,79336,79490,79280,79313,15984,15337,6608,6608,6608,6608,6606,6606,6608,6605,6611,6608,6601,6603,6605,6609,6608,6610,6608,6610,6617,6616,6610,6603,6611,6611,6607,6616,6570,6716,6414,6410,6603,7056,5233,2993,2994,2993,2993,2958,2954,2987,3539,3539,3541,3545,3504,2908,2841,2905,2898,3873,3875,3882,3487,3487,3484,2512,2870,2867,3039,3042,4319,4315,2866,2862,2873,3071,3071,3068,3069,3068,3071,3070,3173,3069,3067,3068,3067,3067,3070,3068,3070,3070,3068,3065,3065,3069,3068,2970,2975,2992,2920,2919,2917,2922,2917,1670,1666,1665,1665,218
PH25,79213,79236,79280,79384,79294,15972,15312,6605,6604,6602,6602,6601,6603,6605,6599,6602,6601,6596,6597,6599,6603,6603,6604,6605,6605,6607,6607,6603,6599,6606,6606,6603,6607,6561,6717,6409,6408,6594,7050,5226,2990,2990,2990,2990,2953,2949,2984,3535,3534,3536,3539,3499,2905,2837,2901,2895,3871,3870,3879,3481,3480,3479,2508,2868,2865,3035,3037,4312,4308,2860,2857,2871,3069,3069,3067,3067,3067,3070,3068,3171,3065,3063,3064,3063,3063,3066,3064,3065,3064,3064,3061,3061,3064,3064,2968,2972,2990,2916,2916,2914,2917,2914,1668,1665,1664,1664,217
PH14,79244,79264,79313,79294,79376,15969,15312,6602,6601,6601,6601,6600,6600,6602,6598,6602,6600,6595,6598,6598,6602,6602,6603,6602,6604,6607,6607,6602,6598,6610,6610,6602,6607,6561,6719,6408,6407,6595,7051,5225,2989,2989,2989,2989,2952,2949,2982,3532,3532,3534,3537,3502,2902,2835,2899,2893,3869,3868,3877,3477,3476,3474,2509,2867,2866,3036,3036,4315,4311,2860,2855,2869,3067,3067,3065,3065,3065,3068,3066,3170,3065,3063,3064,3063,3063,3066,3064,3065,3065,3064,3061,3061,3065,3064,2966,2971,2988,2914,2914,2912,2915,2914,1665,1662,1661,1661,217
PH117,15981,15975,15984,15972,15969,37839,15870,6172,6171,6173,6172,6172,6171,6172,6172,6173,6174,6171,6173,6168,6171,6172,6172,6172,6173,6176,6176,6172,6170,6173,6173,6170,6175,6280,6335,5999,5993,6150,6712,5004,2770,2771,2770,2770,2608,2607,2663,3237,3236,3236,3240,3324,2572,2496,2572,2571,4271,4271,4283,3355,3354,3353,2558,2529,2529,2680,2680,4908,4900,2514,2513,2558,2962,2961,2959,2959,2959,2964,2962,3113,2833,2833,2833,2833,2832,2833,2833,2834,2833,2833,2831,2831,2832,2833,2686,2689,2692,2514,2514,2513,2516,2513,1289,1287,1287,1287,229
PH51,15319,15319,15337,15312,15312,15870,30764,6675,6675,6676,6676,6675,6674,6675,6676,6677,6678,6670,6673,6673,6675,6709,6676,6675,6676,6680,6680,6678,6671,6677,6677,6676,6681,7056,6857,6688,6686,6701,7085,5349,3195,3198,3195,3195,3215,3210,3269,4315,4311,4315,4320,4084,3076,3011,3078,3071,4120,4124,4139,4174,4175,4172,2553,3058,3056,3217,3222,4353,4347,3197,3196,3126,3160,3160,3157,3158,3157,3162,3162,3246,3167,3165,3167,3164,3165,3167,3167,3169,3170,3168,3164,3164,3170,3167,3066,3071,3075,3034,3033,3032,3036,3028,1738,1734,1733,1732,217
PH102,6605,6608,6608,6605,6602,6172,6675,16223,16215,16201,16203,16198,16204,16208,16190,16193,16188,16180,16186,16191,16192,16189,16195,16201,16195,16200,16197,16186,16182,16199,16198,16181,16197,10996,11917,11327,11326,11952,9626,7601,3272,3274,3272,3272,3307,3307,3333,3374,3373,3373,3372,3316,3140,3073,3144,3139,3313,3316,3326,3386,3385,3384,2532,3048,3046,3279,3284,3428,3428,3077,3076,3137,3011,3011,3011,3011,3011,3013,3013,3015,3006,3004,3006,3004,3007,3006,3006,3006,3007,3006,3004,3004,3005,3006,2950,2953,2966,3037,3038,3037,3039,3035,1713,1712,1711,1710,235
PH120,6605,6608,6608,6604,6601,6171,6675,16215,16224,16202,16203,16198,16204,16207,16187,16190,16185,16176,16182,16187,16192,16189,16196,16198,16195,16197,16197,16183,16178,16198,16194,16177,16194,10998,11914,11325,11326,11951,9625,7605,3272,3275,3272,3275,3311,3307,3336,3377,3373,3373,3373,3319,3144,3074,3145,3142,3316,3317,3329,3386,3386,3384,2535,3048,3046,3283,3286,3432,3429,3080,3077,3140,3015,3015,3014,3012,3011,3016,3014,3017,3008,3006,3008,3004,3009,3008,3006,3009,3008,3006,3004,3004,3005,3006,2950,2953,2966,3041,3041,3037,3040,3035,1714,1712,1711,1710,235
PH123,6605,6608,6608,6602,6601,6173,6676,16201,16202,16219,16214,16209,16197,16200,16202,16204,16200,16191,16197,16186,16187,16184,16191,16191,16190,16196,16196,16182,16177,16193,16189,16176,16193,10993,11916,11331,11332,11950,9633,7610,3273,3276,3273,3276,3311,3307,3336,3378,3374,3374,3374,3320,3144,3075,3146,3143,3317,3318,3330,3387,3387,3384,2536,3048,3046,3282,3285,3433,3430,3080,3077,3140,3015,3015,3014,3012,3011,3016,3014,3017,3008,3006,3008,3004,3009,3008,3006,3009,3008,3006,3004,3004,3005,3006,2950,2953,2966,3041,3041,3037,3040,3035,1714,1712,1711,1710,235
