,BM_pheno_1,WN_pheno_1
3399-4058-0-RVRE,-0.0848602457339383,-0.174796705265264
1016-2017-0-RVRE,-0.0374797755627361,-0.118422265140076
5948-6048-14-RVRE,-0.0476958955333538,-0.0776840284564047
793-A001-120-G-TIPmvre,-0.0377170607392812,-0.0281873648324513
1090-E022-60-R-TIPmvre,-0.0304074547246671,-0.0622255623250214
738-E023-1-R-TIPmvre,-0.0191479713565995,-0.0848602457339383
1047-4017-14-GVRE,-0.0493700279075329,-0.0169418726757714
1896-4034-0-HVRE,-0.0532059862715426,0.0210817097959587
5855-2060-0-RVRE,-0.0688786161588101,-0.0846518983138653
635-C003-1-G-TIPmvre,-0.0551205903745862,0.0116997244187495
1352-E036-1-G-TIPmvre,-0.0385341449730834,-0.0914356175181946
3362-E077-30-R-TIPmvre,-0.036534358909386,-0.145618912006037
546-I005-14-R-TIPmvre,-0.00608386398809278,-0.0856837046738033
5902-1089-0-RVRE,-0.0438073409464426,-0.0675825294175083
3363-A015-14-R-TIPmvre,-0.0388453963841386,-0.080623256669237
7151-3115-0-RVRE,-0.0450840936978983,-0.0834139549307064
6430-1097-0-RVRE,0.0116997244187495,-0.00378977420481945
1537-1034-0-RVRE,-0.0115022979377754,-0.036534358909386
824-4018-0-RVRE,-0.0268364130028984,-0.0613744013893186
1341-E033-1-R-TIPmvre,-0.0486717305413098,-0.094652561441948
4133-3066-0-RVRE,-0.0481123237069327,-0.0228772890655999
5489-2056-0-HVRE,-0.0228772890655999,-0.00622249324913786
7258-3113-14-RVRE,-0.0278715185182778,0.0356675725253612
629-2013-0-RVRE,-0.0223070724547006,-0.0651385650684631
4030-H021-30-R-TIPmvre,-0.121786088944077,-0.0532059862715426
539-1018-0-RVRE,-0.116440612309177,-0.0975295536777032
1028-E026-1-R-TIPmvre,-0.105138357870693,-0.0128095451348834
4794-5029-0-RVRE,-0.0976818430460775,-0.0360441654659511
7413-3121-0-RVRE,-0.11593923138576,-0.0301527540668699
1053-6004-0-R1VRE,-0.116456443225392,0.0503283853367295
6242-5037-0-RVRE,-0.0675825294175083,-0.0515706723792171
949-3025-0-RVRE,-0.0947086201292739,0.0368629682352059
1096-1026-0-RVRE,-0.0596645813628533,-0.0637791201340271
1278-1019-30-RVRE,-0.0634499534324934,-0.0230499861745448
1644-3031-14-RVRE,-0.0710930226210079,-0.00197039703108367
702-3020-0-RVRE,-0.0830177466839008,-0.0977697226025402
5080-2051-0-HVRE,-0.0731271367935473,-0.0963651877258049
1543-4028-0-GVRE,-0.0659101478405705,-0.0329292729115302
1638-6008-0-RVRE,-0.094652561441948,-0.111998023020256
236-4004-0-RVRE,-0.0722220929975766,-0.121978331229919
1137-4020-14-RVRE,-0.0963651877258049,-0.0647290057919168
219-2005-0-RVRE,-0.118422265140076,0.00778736140661642
711-4015-0-RVRE,-0.13568113465473,-0.136189975761347
4313-6035-0-GVRE,-0.112778543996788,0.0363562864108591
4462-6037-0-RVRE,-0.11509587003955,-0.00608386398809278
6077-4098-0-GVRE,-0.103231278709522,-0.0450840936978983
1455-4025-0-RVRE,-0.118990915027948,0.00905877067439407
2963-2031-14-RVRE,-0.0761739954045383,-0.0327529207939157
4922-2049-0-RVRE,-0.0914356175181946,-0.0633389425388856
5363-2050-14-RVRE,-0.0846518983138653,-0.0486771415475808
80-2003-0-RVRE,-0.0799291344613375,-0.0340668009366431
1463-1033-0-HVRE,-0.145618912006037,-0.0318739885236222
2471-4044-0-GVRE,-0.123931379940808,-0.127176598812392
2492-6012-14-GVRE,-0.136189975761347,-0.116471843908675
8512-3145-0-RVRE,-0.077655059589668,-0.154359040085198
8088-3137-0-RVRE,-0.21545864535313,-0.0705733869581646
8513-3147-0-RVRE,-0.19327234012787,0.038400859440347
898-4011-30-GVRE,-0.127176598812392,-0.0664859539157095
609-6002-30-RVRE,-0.1051856649175,0.0320001548695523
4362-6036-0-RVRE,-0.0975295536777032,-0.0229793323326211
4693-4077-0-HVRE,-0.116471843908675,-0.039303942214405
4007-5020-0-RVRE,-0.119153580244339,-0.0170997561747569
4031-J032-1-G-TIPmvre,-0.102150277864685,0.0044309438940729
2026-4040-0-RVRE,-0.174796705265264,-0.0889014019214479
3744-F061-90-G-TIPmvre,-0.154359040085198,0.0587917593928818
7600-3125-0-GVRE,-0.111998023020256,-0.105927021165928
7891-2076-0-OVRE,-0.131957109465283,-0.11593923138576
5232-4088-0-RVRE,-0.0982666825238997,-0.0191479713565995
217-2001-30-HVRE,-0.080623256669237,-0.105138357870693
5856-4095-0-GVRE,-0.0776840284564047,0.0241745057763156
851-5002-0-RVRE,-0.0889014019214479,-0.118990915027948
409-1015-0-RVRE,-0.0810688503276643,-0.116456443225392
3884-J030-1-G-TIPmvre,-0.0856837046738033,-0.096536653659661
3070-L011-1-G-TIPmvre,-0.120573998498321,-0.0659101478405705
3686-C018-1-R-TIPmvre,-0.105927021165928,0.0254819939263996
6697-4104-0-GVRE,-0.0698189353159256,-0.0304074547246671
697-3019-0-RVRE,-0.0647290057919168,-0.0268364130028984
5827-6047-14-RVRE,-0.0486771415475808,-0.0698189353159256
4639-1079-0-RVRE,-0.0281873648324513,-0.0278715185182778
4832-1081-0-GVRE,-0.0301677096095392,0.0490782654586151
5541-1082-30-RVRE,-0.0318739885236222,-0.0486717305413098
1420-2021-0-RVRE,0.0356675725253612,-0.0176665637004092
6304-2065-0-RVRE,0.00778736140661642,-0.119153580244339
6651-2067-0-RVRE,0.00824123947163987,-0.077655059589668
1488-4026-0-HVRE,0.01771511589251,-0.0080170114302471
1929-4036-0-GVRE,0.038400859440347,-0.0447230630337646
6950-4109-0-RVRE,0.0241745057763156,-0.0544659463257188
2308-2029-0-RVRE,0.0259127475458841,-0.0616374065788607
4948-4081-0-RVRE,0.0503283853367295,0.0259127475458841
5954-3098-0-R1VRE,0.0587917593928818,-0.0596645813628533
6435-4099-14-GVRE,0.0475175629497838,0.0140520800577406
7053-4107-14-RVRE,0.0320001548695523,-0.120573998498321
4384-3073-0-RVRE,0.0210817097959587,-0.0457629192401704
5348-3091-0-RVRE,0.0294460000441598,-0.0374797755627361
9019-3156-0-RVRE,0.0490782654586151,-0.0115022979377754
1676-4031-0-GVRE,-0.0315140715454859,-0.0551205903745862
2386-6013-0-R1VRE,-0.0279299208601274,0.00685306431975849
3994-6029-0-GVRE,-0.0230499861745448,-0.0481123237069327
4593-3077-0-RVRE,-0.00996106128457531,-0.0810688503276643
7583-5041-0-HVRE,-0.00378977420481945,-0.0388453963841386
621-2007-14-RVRE,-0.0248301166582522,0.0187777696053712
5284-6044-0-RVRE,-0.0266033339771091,-0.0761739954045383
483-2008-0-RVRE,-0.0170997561747569,0.00824123947163987
