,3399-4058-0-RVRE,1016-2017-0-RVRE,5948-6048-14-RVRE,793-A001-120-G-TIPmvre,1090-E022-60-R-TIPmvre,738-E023-1-R-TIPmvre,1047-4017-14-GVRE,1896-4034-0-HVRE,5855-2060-0-RVRE,635-C003-1-G-TIPmvre,1352-E036-1-G-TIPmvre,3362-E077-30-R-TIPmvre,546-I005-14-R-TIPmvre,5902-1089-0-RVRE,3363-A015-14-R-TIPmvre,7151-3115-0-RVRE,6430-1097-0-RVRE,1537-1034-0-RVRE,824-4018-0-RVRE,1341-E033-1-R-TIPmvre,4133-3066-0-RVRE,5489-2056-0-HVRE,7258-3113-14-RVRE,629-2013-0-RVRE,4030-H021-30-R-TIPmvre,539-1018-0-RVRE,1028-E026-1-R-TIPmvre,4794-5029-0-RVRE,7413-3121-0-RVRE,1053-6004-0-R1VRE,6242-5037-0-RVRE,949-3025-0-RVRE,1096-1026-0-RVRE,1278-1019-30-RVRE,1644-3031-14-RVRE,702-3020-0-RVRE,5080-2051-0-HVRE,1543-4028-0-GVRE,1638-6008-0-RVRE,236-4004-0-RVRE,1137-4020-14-RVRE,219-2005-0-RVRE,711-4015-0-RVRE,4313-6035-0-GVRE,4462-6037-0-RVRE,6077-4098-0-GVRE,1455-4025-0-RVRE,2963-2031-14-RVRE,4922-2049-0-RVRE,5363-2050-14-RVRE,80-2003-0-RVRE,1463-1033-0-HVRE,2471-4044-0-GVRE,2492-6012-14-GVRE,8512-3145-0-RVRE,8088-3137-0-RVRE,8513-3147-0-RVRE,898-4011-30-GVRE,609-6002-30-RVRE,4362-6036-0-RVRE,4693-4077-0-HVRE,4007-5020-0-RVRE,4031-J032-1-G-TIPmvre,2026-4040-0-RVRE,3744-F061-90-G-TIPmvre,7600-3125-0-GVRE,7891-2076-0-OVRE,5232-4088-0-RVRE,217-2001-30-HVRE,5856-4095-0-GVRE,851-5002-0-RVRE,409-1015-0-RVRE,3884-J030-1-G-TIPmvre,3070-L011-1-G-TIPmvre,3686-C018-1-R-TIPmvre,6697-4104-0-GVRE,697-3019-0-RVRE,5827-6047-14-RVRE,4639-1079-0-RVRE,4832-1081-0-GVRE,5541-1082-30-RVRE,1420-2021-0-RVRE,6304-2065-0-RVRE,6651-2067-0-RVRE,1488-4026-0-HVRE,1929-4036-0-GVRE,6950-4109-0-RVRE,2308-2029-0-RVRE,4948-4081-0-RVRE,5954-3098-0-R1VRE,6435-4099-14-GVRE,7053-4107-14-RVRE,4384-3073-0-RVRE,5348-3091-0-RVRE,9019-3156-0-RVRE,1676-4031-0-GVRE,2386-6013-0-R1VRE,3994-6029-0-GVRE,4593-3077-0-RVRE,7583-5041-0-HVRE,621-2007-14-RVRE,5284-6044-0-RVRE,483-2008-0-RVRE,5533-3092-0-HVRE,8303-3140-0-H1VRE,5214-4087-0-HVRE,5924-3095-14-RVRE,4280-2041-14-HVRE,615-3018-0-HVRE,3233-1045-60-H1VRE,905-4021-0-RVRE,5006-5030-0-RVRE,5925-3097-0-HVRE,6648-4103-0-HVRE,4703-4078-0-R1VRE,4902-4076-14-RVRE,729-4016-0-HVRE,6129-1092-0-HVRE,8052-3132-0-HVRE,4784-3082-0-RVRE,1334-2020-0-R1VRE,2886-5012-0-RVRE,6748-6057-0-HVRE,2243-3041-14-RVRE,1889-3036-0-OVRE,4145-6030-14-RVRE,3320-D044-1-R-TIPmvre,4009-E118-14-R-TIPmvre,5261-4089-0-RVRE,5285-6045-0-RVRE,3226-4049-14-RVRE,344-1009-0-HVRE,899-D004-14-G-TIPmvre,3082-3051-0-RVRE,5088-6043-0-HVRE,6988-1099-0-RVRE,3717-G013-14-O-TIPmvre,4143-2042-0-RVRE,3673-4064-0-HVRE,4999-3085-0-HVRE,3743-D050-1-G-TIPmvre,1781-3033-30-RVRE,3890-6028-0-RVRE,3667-E109-14-R-TIPmvre,3672-K017-1-G-TIPmvre,442-1011-14-RVRE,4544-5027-0-RVRE,4786-5025-14-HVRE,8232-2079-0-HVRE,1321-3028-0-RVRE,6429-1096-0-RVRE,6652-3103-14-RVRE
3399-4058-0-RVRE,36,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,13,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,16,16,16,13,13,13,13,13,13,13,13,13,13,14,13,13,13,13,13,13,21,13,9,13,14,13,13,13,13,13,13,13,13,22,13,13,13,13,3,3,3,3,3,3,3,3,3,3,3,3,3,4,13,13,13,13,13,13,13,13,13,20,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,3,3,3,3,23,23,23,23,23,23,3,4,3,7,7,16,7,7,9,34,29,29,29,29,28,36,36,36,36,32,36,36
1016-2017-0-RVRE,29,1081,1068,1067,1067,1067,1063,1063,1061,1063,1063,1060,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1062,1063,1063,382,385,382,381,382,382,381,381,382,382,382,382,382,382,382,380,382,271,271,271,382,382,382,382,382,382,382,382,380,382,381,382,382,380,382,382,382,390,380,378,382,380,382,382,382,382,382,382,382,381,390,382,382,382,382,335,335,335,335,335,335,335,335,334,335,335,335,335,334,343,343,343,343,343,342,343,343,343,256,343,343,343,343,343,343,343,343,343,343,341,339,340,352,432,279,279,279,279,324,324,324,324,324,323,278,277,281,426,426,437,429,430,377,549,432,600,600,600,599,64,64,64,64,53,56,56
5948-6048-14-RVRE,29,1068,1104,1067,1067,1067,1063,1063,1061,1063,1063,1060,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1062,1063,1063,382,385,382,381,382,382,381,381,382,382,382,382,382,382,382,380,382,271,271,271,382,382,382,382,382,382,382,382,380,382,381,382,382,380,382,382,382,390,380,378,382,380,382,382,382,382,382,382,382,381,390,382,381,381,381,335,335,335,335,335,335,335,335,334,335,335,335,335,334,343,343,343,343,343,342,343,343,343,256,343,343,343,343,343,343,343,343,343,343,341,339,340,352,432,279,279,279,279,323,323,323,323,323,322,277,276,280,426,426,437,429,430,377,549,432,600,600,600,599,64,64,64,64,53,56,56
793-A001-120-G-TIPmvre,29,1067,1067,1096,1067,1067,1063,1063,1061,1063,1063,1060,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1062,1063,1063,382,385,382,381,382,382,381,381,382,382,382,382,382,382,382,380,382,271,271,271,382,382,382,382,382,382,382,382,380,382,381,382,382,380,382,382,382,390,380,378,382,380,382,382,382,382,382,382,382,381,390,382,381,381,381,335,335,335,335,335,335,335,335,334,335,335,335,335,334,343,343,343,343,343,342,343,343,343,256,343,343,343,343,343,343,343,343,343,343,341,339,340,352,432,279,279,279,279,323,323,323,323,323,322,277,276,280,426,426,437,429,430,377,549,432,600,600,600,599,64,64,64,64,53,56,56
1090-E022-60-R-TIPmvre,29,1067,1067,1067,1089,1087,1063,1063,1061,1063,1063,1060,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1062,1063,1063,382,385,382,381,382,382,381,381,382,382,382,382,382,382,382,380,382,271,271,271,382,382,382,382,382,382,382,382,380,382,381,382,382,380,382,382,382,390,380,378,382,380,382,382,382,382,382,382,382,381,390,382,381,381,381,335,335,335,335,335,335,335,335,334,335,335,335,335,334,343,343,343,343,343,342,343,343,343,256,343,343,343,343,343,343,343,343,343,343,341,339,340,352,432,279,279,279,279,323,323,323,323,323,322,277,276,280,426,426,437,429,430,377,549,432,600,600,600,599,64,64,64,64,53,56,56
738-E023-1-R-TIPmvre,29,1067,1067,1067,1087,1087,1063,1063,1061,1063,1063,1060,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1062,1063,1063,382,385,382,381,382,382,381,381,382,382,382,382,382,382,382,380,382,271,271,271,382,382,382,382,382,382,382,382,380,382,381,382,382,380,382,382,382,390,380,378,382,380,382,382,382,382,382,382,382,381,390,382,381,381,381,335,335,335,335,335,335,335,335,334,335,335,335,335,334,343,343,343,343,343,342,343,343,343,256,343,343,343,343,343,343,343,343,343,343,341,339,340,352,432,279,279,279,279,323,323,323,323,323,322,277,276,280,426,426,437,429,430,377,549,432,600,600,600,599,64,64,64,64,53,56,56
1047-4017-14-GVRE,29,1063,1063,1063,1063,1063,1115,1104,1081,1082,1078,1074,1077,1078,1078,1070,1066,1064,1064,1064,1064,1064,1064,1062,1063,1063,382,385,382,381,382,382,381,381,382,382,382,382,382,382,382,380,382,271,271,271,382,382,382,382,382,382,382,382,380,382,381,382,382,380,382,382,382,390,380,378,382,380,382,382,382,382,382,382,382,381,390,382,381,381,381,335,335,335,335,335,335,335,335,334,335,335,335,335,334,343,343,343,343,343,342,343,343,343,256,343,343,343,343,343,343,343,343,343,343,341,339,340,353,432,279,279,279,279,323,323,323,323,323,322,277,276,280,426,426,437,429,430,377,549,432,602,602,602,600,64,64,64,64,53,56,56
1896-4034-0-HVRE,29,1063,1063,1063,1063,1063,1104,1121,1082,1083,1078,1074,1077,1078,1078,1070,1066,1064,1064,1064,1064,1064,1064,1062,1063,1063,382,385,382,381,382,382,381,381,382,382,382,382,382,382,382,380,382,271,271,271,382,382,382,382,382,382,382,382,380,382,381,382,382,380,382,382,382,390,380,378,382,380,382,382,382,382,382,382,382,381,390,382,381,381,381,335,335,335,335,335,335,335,335,334,335,335,335,335,334,343,343,343,343,343,342,343,343,343,256,343,343,343,343,343,343,343,343,343,343,341,339,340,353,432,279,279,279,279,323,323,323,323,323,322,277,276,280,426,426,437,429,430,377,549,432,602,602,602,600,64,64,64,64,53,56,56
5855-2060-0-RVRE,29,1061,1061,1061,1061,1061,1081,1082,1110,1080,1075,1073,1074,1075,1075,1067,1063,1062,1062,1062,1062,1062,1062,1060,1061,1061,381,384,381,380,381,381,380,380,381,381,380,381,381,381,381,381,381,272,272,272,381,381,381,381,381,381,381,381,381,381,380,381,381,379,381,381,381,389,385,377,381,379,381,381,381,381,381,381,381,384,389,381,380,380,380,344,344,344,344,344,344,344,340,339,340,344,344,344,343,342,342,342,342,342,340,342,342,342,257,342,342,342,342,342,342,342,342,342,342,340,340,339,352,431,283,283,283,283,334,334,334,334,335,333,286,285,288,435,435,445,438,439,381,550,433,601,601,601,601,64,64,64,64,53,56,56
635-C003-1-G-TIPmvre,29,1063,1063,1063,1063,1063,1082,1083,1080,1087,1078,1074,1077,1078,1078,1070,1066,1064,1064,1064,1064,1064,1064,1062,1063,1063,382,385,382,381,382,382,381,381,382,382,382,382,382,382,382,380,382,271,271,271,382,382,382,382,382,382,382,382,380,382,381,382,382,380,383,382,382,390,380,378,382,380,382,382,382,382,382,382,383,381,390,382,381,381,381,335,335,335,335,335,335,335,335,334,335,335,335,335,334,343,343,343,343,343,342,343,343,343,256,343,343,344,343,343,343,343,343,343,343,341,339,340,353,432,279,279,279,279,323,323,323,323,323,322,277,276,280,426,426,437,429,430,377,549,432,602,602,602,600,65,64,64,64,53,56,56
