,BM_pheno_1,WN_pheno_1
1009-2016-0-R1VRE,-0.0450538339860444,-0.00653606297859108
5067-4084-0-GVRE,-0.0765618568881799,-0.0554600922578017
1810-J012-1-G-TIPmvre,-0.0687636264024102,-0.0083640438587343
3349-F048-60-R-VRE-TIP,-0.0562172163703531,0.0111364008402383
1030-E028-1-O-TIPmvre,-0.0661469389749507,-0.00410882359127319
1201-6005-0-GVRE,-0.0589116015826991,-0.00356288558737969
1523-3033-0-GVRE,-0.0457515727271613,-0.0779945975383255
2427-4042-30-RVRE,-0.0568948765359695,-0.0528759639993398
3421-E085-30-G-TIPmvre,-0.0335515628167506,-0.0417015578014728
6773-4106-0-GVRE,-0.0362146632388057,-0.0503500249647759
6994-4073-120-HVRE,-0.035537516342795,-0.0765618568881799
8638-6066-0-GVRE,-0.0435419534190666,-0.0106632793833371
8805-1121-0-RVRE,-0.0454790972397906,-0.0462867047285136
5745-3096-0-GVRE,-0.0554600922578017,-0.0170312892850967
4783-3081-0-RVRE,-0.052123268366223,0.00235140921055822
7763-4119-0-GVRE,-0.0491551735797751,-0.052123268366223
6071-3100-0-RVRE,-0.0591134972630894,-0.0695168747153519
9573-3160-14-RVRE,-0.0574629936125623,-0.083896523614371
2565-5010-0-GVRE,-0.0354922114210649,-0.0290437240549836
1969-E060-1-G-TIPmvre,-0.0829728344784091,-0.0728508207322121
3238-E079-1-G-TIPmvre,-0.0695168747153519,-0.063051126146861
7605-4117-0-HVRE,-0.074772373407415,-0.0259847849060141
9378-3164-0-GVRE,-0.0616540047169015,-0.0168203396596718
3254-F047-14-G-TIPmvre,-0.0667199702663316,-0.0177473196643034
3982-F070-1-F-TIPmvre,-0.0588529618869694,-0.0661469389749507
3556-F057-1-G-TIPmvre,-0.0653812541647549,-0.0593621689920336
3993-E116-14-R-TIPmvre,-0.0546702583177391,-0.0030415589780942
315-4007-0-GVRE,-0.0628468008009841,-0.00536671238811183
12-3002-0-RVRE,-0.0506752450530643,-0.034627908343605
1157-3026-0-RVRE,-0.0593621689920336,-0.0319083751856589
358-3009-14-HVRE,-0.0554723798247579,-0.00166963740666166
5182-3089-0-RVRE,-0.063051126146861,-0.0362976529271911
3429-F034-240-G-TIPmvre,-0.0487513510695674,-0.0145541992955958
3043-J015-1-G-TIPmvre,-0.0528759639993398,-0.0216270658744881
177-3007-14-RVRE,-0.0439478933818249,-0.0295223134024741
1784-G009-120-U-VRE-TIP,-0.061646059084883,-0.0594445384313471
28-A002-1-G-TIPmvre,-0.0552922725818268,-0.000907716741810929
1933-L010-1-G-TIPmvre,-0.0649028871013186,-0.0340539025746709
3302-E081-1-G-TIPmvre,-0.0618113175318274,-0.0628468008009841
292-F002-1-G-TIPmvre,-0.0480023197397991,0.00313020661052681
3485-E103-1-G-TIPmvre,-0.0495641622284766,0.00556863714995293
3668-E110-1-G-TIPmvre,-0.0594445384313471,-0.0157321375609368
2846-4047-0-GVRE,-0.0305010283157633,-0.0312205336479449
950-3024-0-RVRE,-0.0350504551084436,-0.0184523610284046
3567-3050-30-R1VRE,-0.0456402920180852,0.035077777874952
6825-3107-0-RVRE,-0.0259847849060141,0.0517241530543709
3735-J027-1-R-TIPmvre,-0.0296587547889902,-0.0435419534190666
3936-E115-1-N-TIPmmrsa,-0.0290437240549836,0.000447448244767766
3995-4065-30-GVRE,-0.0295223134024741,-0.00245754925146091
5087-6042-0-RVRE,-0.0312205336479449,-0.0967011178331909
3951-2040-0-RVRE,-0.023270784146756,-0.0332998688565733
4232-1070-0-R1VRE,-0.0294544234485293,-0.00173164704966484
3871-E114-1-R-TIPmvre,-0.0299496898225207,-0.00112779657786249
3444-E095-1-R-TIPmvre,-0.036008962558159,-0.0241172281935167
4916-5026-30-GVRE,-0.0280253705944382,-0.0133327793478591
295-E005-14-R-TIPmvre,-0.0362976529271911,-0.0416688144288736
2593-3042-14-RVRE,-0.0331720181371698,-0.0821225935451615
