,1009-2016-0-R1VRE,5067-4084-0-GVRE,1810-J012-1-G-TIPmvre,3349-F048-60-R-VRE-TIP,1030-E028-1-O-TIPmvre,1201-6005-0-GVRE,1523-3033-0-GVRE,2427-4042-30-RVRE,3421-E085-30-G-TIPmvre,6773-4106-0-GVRE,6994-4073-120-HVRE,8638-6066-0-GVRE,8805-1121-0-RVRE,5745-3096-0-GVRE,4783-3081-0-RVRE,7763-4119-0-GVRE,6071-3100-0-RVRE,9573-3160-14-RVRE,2565-5010-0-GVRE,1969-E060-1-G-TIPmvre,3238-E079-1-G-TIPmvre,7605-4117-0-HVRE,9378-3164-0-GVRE,3254-F047-14-G-TIPmvre,3982-F070-1-F-TIPmvre,3556-F057-1-G-TIPmvre,3993-E116-14-R-TIPmvre,315-4007-0-GVRE,12-3002-0-RVRE,1157-3026-0-RVRE,358-3009-14-HVRE,5182-3089-0-RVRE,3429-F034-240-G-TIPmvre,3043-J015-1-G-TIPmvre,177-3007-14-RVRE,1784-G009-120-U-VRE-TIP,28-A002-1-G-TIPmvre,1933-L010-1-G-TIPmvre,3302-E081-1-G-TIPmvre,292-F002-1-G-TIPmvre,3485-E103-1-G-TIPmvre,3668-E110-1-G-TIPmvre,2846-4047-0-GVRE,950-3024-0-RVRE,3567-3050-30-R1VRE,6825-3107-0-RVRE,3735-J027-1-R-TIPmvre,3936-E115-1-N-TIPmmrsa,3995-4065-30-GVRE,5087-6042-0-RVRE,3951-2040-0-RVRE,4232-1070-0-R1VRE,3871-E114-1-R-TIPmvre,3444-E095-1-R-TIPmvre,4916-5026-30-GVRE,295-E005-14-R-TIPmvre,2593-3042-14-RVRE,519-1016-0-RVRE,1864-6011-0-RVRE,2849-4048-0-RVRE,4893-2046-0-GVRE,30-1004-14-HVRE,3934-F068-1-R-TIPmvre,1885-F033-1-G-TIPmvre,1798-F029-1-R-TIPmvre,604-4008-14-RVRE,984-F014-1-G-TIPmvre,3640-F062-1-O-TIPmvre,1783-D030-1-R-TIPmvre,2063-K016-1-G-TIPmvre,3252-F045-30-G-TIPmvre,3671-J024-1-R-TIPmvre,3891-A018-1-G-TIPmvre,1565-1035-0-GVRE,501-4010-0-HVRE,9076-6068-0-RVRE,5701-2058-0-GVRE,8517-3146-0-GVRE,1432-E039-1-G-TIPmvre,507-E016-1-F-TIPmvre,508-L001-60-G-TIPmvre,514-E013-14-R-VRE-TIP,681-L003-30-G-TIPmvre,513-E013-14-G-VRE-TIP,682-E013-DC-G-VRE-TIP,3505-F055-14-R-TIPmvre,3901-F066-14-G-TIPmvre,1519-B006-30-G-TIPmvre,3419-D045-14-G-TIPmvre,3471-F053-1-G-TIPmvre,6940-3111-0-RVRE,853-5001-0-RVRE,6842-4101-30-RVRE,3983-J022-240-G-TIPmvre,4477-1075-0-RVRE,1205-6006-0-RVRE,1826-4032-14-R1VRE,187-4002-30-RVRE,1325-4024-0-RVRE,2313-4043-0-RVRE,4785-3083-0-GVRE,1643-4030-14-RVRE,2017-4039-0-R1VRE,2312-4041-14-RVRE,3963-3061-0-GVRE,1739-6010-0-RVRE,7500-6059-14-GVRE,692-2014-0-GVRE,850-2015-0-RVRE,5282-6041-14-GVRE,6241-5036-0-RVRE,2395-5005-30-G2VRE,3687-D049-1-G-TIPmvre,1812-E055-1-R-TIPmvre,3407-E087-14-R-TIPmvre,3470-E088-30-R-TIPmvre,3511-E104-14-G-TIPmvre,1964-B008-1-G-TIPmvre,3828-L019-14-G-TIPmvre,6299-6052-0-GVRE,7209-6060-0-RVRE-EMPTY,8117-4125-0-RVRE,3902-H020-1-G-TIPmvre,1214-J006-60-R-TIPmvre,3220-4053-0-RVRE,1238-K002-240-R-TIPmvre,352-K001-60-G-TIPmvre,3366-F050-14-G-VRE-TIP,3367-F050-14-R-VRE-TIP,3447-F050-30-G-VRE-TIP,4-K003-1-G-TIPmvre,1750-K011-150-G-TIPmvre,19-K005-1-R-TIPmvre,31-K009-1-G-TIPmvre,3954-F065-30-G-TIPmvre,3448-F050-30-R-VRE-TIP,1551-E024-120-R-TIPmvre,579-E017-14-G-TIPmvre,3618-L016-1-R-TIPmvre,1809-F010-300-G-TIPmvre,3338-F021-360-U-TIPmvre,3733-F064-1-R-TIPmvre,3825-C019-1-G-TIPmvre,1957-4037-0-RVRE,3401-5015-0-H1VRE,3339-E083-14-G-VRE-TIP,3535-4051-30-HVRE,3889-4054-60-RVRE,6557-3102-14-GVRE,1726-E049-14-O-TIPmvre,2015-F036-14-G-TIPmvre,2186-5008-0-RVRE,2031-F038-1-G-TIPmvre,3016-E071-14-G-TIPmvre,365-J004-14-G-TIPmvre,289-F001-1-G-TIPmvre,4029-G017-1-G-TIPmvre
1009-2016-0-R1VRE,462,451,443,440,439,439,443,438,438,439,438,439,439,186,438,438,443,442,443,442,442,438,442,439,439,439,439,439,408,440,437,440,439,439,443,444,444,443,443,443,443,443,440,440,444,444,444,440,440,444,444,443,444,446,443,440,440,444,439,441,440,443,444,440,444,439,444,444,446,445,187,444,444,190,444,443,444,432,443,439,443,439,443,439,438,443,443,443,442,187,189,442,428,439,428,435,435,435,435,435,435,434,435,435,435,435,435,183,183,435,437,437,435,437,437,436,437,435,434,437,437,437,436,109,107,295,295,295,295,295,295,294,295,294,294,127,305,305,305,305,305,305,286,305,305,305,305,305,305,264,263,58,264,263,242,192,265
5067-4084-0-GVRE,451,463,442,440,437,437,441,437,437,437,436,437,437,184,437,437,441,441,441,440,440,437,441,437,437,437,437,437,406,439,436,439,437,437,441,442,442,442,442,442,442,442,439,439,442,442,442,438,438,442,442,442,442,444,441,438,438,442,438,439,438,442,442,438,442,438,442,442,444,444,185,442,442,188,442,442,442,430,441,437,441,437,441,437,436,441,441,441,440,186,187,440,426,437,426,433,433,433,433,433,433,432,433,433,433,433,433,181,181,433,435,435,433,435,435,434,435,433,432,435,435,435,434,108,106,293,293,293,293,293,293,293,293,293,293,126,304,304,304,304,304,304,285,304,304,304,304,304,304,263,262,58,263,262,241,191,264
1810-J012-1-G-TIPmvre,443,442,456,440,438,438,438,437,438,438,437,438,438,185,437,437,438,437,438,437,437,437,437,438,438,438,438,438,407,440,437,440,438,438,438,439,439,438,438,438,438,438,438,438,439,439,439,439,439,439,439,438,439,441,438,439,439,439,438,439,439,438,439,439,439,438,439,439,441,441,186,439,439,186,439,438,439,427,438,438,438,438,438,438,437,438,438,438,437,186,185,437,423,434,423,430,430,430,430,430,430,429,430,430,430,430,430,178,178,430,432,432,430,432,432,431,432,430,429,432,432,432,431,107,105,293,293,293,293,293,293,292,293,292,293,125,304,304,304,304,304,304,285,304,304,304,304,304,304,261,261,58,261,260,241,191,262
3349-F048-60-R-VRE-TIP,440,440,440,450,435,435,435,435,435,435,434,435,435,184,435,435,435,435,435,434,434,435,435,435,435,435,435,435,406,437,434,437,435,435,435,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,438,435,436,436,436,436,436,436,436,436,436,436,436,436,436,438,438,185,436,436,185,436,436,436,424,435,435,435,435,435,435,434,435,435,435,434,186,184,434,420,431,420,427,427,427,427,427,427,426,427,427,427,427,427,177,177,427,429,429,427,429,429,428,429,427,426,429,429,429,428,106,104,291,291,291,291,291,291,291,291,291,291,124,302,302,302,302,302,302,283,302,302,302,302,302,302,261,261,58,261,260,241,191,262
1030-E028-1-O-TIPmvre,439,437,438,435,449,441,440,439,439,440,439,440,440,187,439,439,440,439,440,439,439,439,439,441,441,441,441,441,410,440,437,440,441,441,438,439,439,438,438,438,438,438,438,438,439,439,439,439,439,439,439,438,439,439,438,439,439,439,438,439,439,438,439,439,439,438,439,439,439,438,186,439,439,186,439,438,439,427,440,440,440,440,440,440,439,440,440,440,439,186,186,438,422,435,424,431,431,431,431,431,431,430,431,431,431,431,431,179,179,431,431,431,429,431,431,430,431,431,430,431,431,431,430,106,106,292,292,292,292,292,292,291,292,291,291,124,305,305,305,305,305,305,286,305,305,305,305,305,305,262,262,58,262,261,242,192,263
1201-6005-0-GVRE,439,437,438,435,441,450,440,439,439,440,439,440,440,187,439,439,440,439,440,439,439,439,439,441,441,441,441,441,410,440,437,440,441,441,438,439,439,438,438,438,438,438,438,438,439,439,439,439,439,439,439,438,439,439,438,439,439,439,438,439,439,438,439,439,439,438,439,439,439,438,186,439,439,186,439,438,439,427,440,440,440,440,440,440,439,440,440,440,439,186,186,438,422,435,424,431,431,431,431,431,431,430,431,431,431,431,431,179,179,431,431,431,429,431,431,430,431,431,430,431,431,431,430,106,106,292,292,292,292,292,292,291,292,291,291,124,305,305,305,305,305,305,286,305,305,305,305,305,305,262,262,58,262,261,242,192,263
1523-3033-0-GVRE,443,441,438,435,440,440,496,479,479,480,479,480,480,227,479,479,483,482,444,443,443,439,443,440,440,440,440,440,409,439,436,439,440,440,442,443,443,442,442,442,442,442,439,439,443,443,443,439,439,443,443,442,443,443,443,439,439,443,438,440,439,442,443,439,443,438,443,443,443,442,186,443,443,189,443,442,443,431,446,442,446,442,446,442,441,446,446,446,445,188,189,442,426,439,428,435,435,435,435,435,435,434,435,435,435,435,435,183,183,435,435,435,433,435,435,434,435,435,434,435,435,435,434,125,125,311,311,311,311,311,311,310,311,310,310,143,340,340,339,339,339,339,320,339,339,339,339,339,339,275,274,69,275,274,253,203,276
2427-4042-30-RVRE,438,437,437,435,439,439,479,489,478,479,478,479,479,226,479,479,478,478,439,438,438,439,439,439,439,439,439,439,408,438,435,438,439,439,437,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,437,438,438,438,438,438,438,438,438,438,438,438,438,438,438,437,185,438,438,185,438,438,438,426,441,441,441,441,441,441,440,441,441,441,440,188,185,437,421,434,423,430,430,430,430,430,430,429,430,430,430,430,430,178,178,430,430,430,428,430,430,429,430,430,429,430,430,430,429,124,124,309,309,309,309,309,309,309,309,309,308,142,339,339,339,339,339,339,320,339,339,339,339,339,339,273,273,69,273,272,253,203,274
3421-E085-30-G-TIPmvre,438,437,438,435,439,439,479,478,486,480,479,480,480,226,478,478,478,477,439,438,438,438,438,439,439,439,439,439,408,439,436,439,439,439,437,438,438,437,437,437,437,437,437,437,438,438,438,438,438,438,438,437,438,438,437,438,438,438,437,438,438,437,438,438,438,437,438,438,438,438,185,438,438,185,438,437,438,426,443,443,441,443,443,443,442,441,441,441,440,187,185,437,421,434,423,430,430,430,430,430,430,429,430,430,430,430,430,178,178,430,430,430,428,430,430,429,430,430,429,430,430,430,429,124,124,310,310,310,310,310,310,309,310,309,310,142,339,339,339,339,339,339,322,339,339,339,339,339,339,272,272,69,272,271,252,202,273
6773-4106-0-GVRE,439,437,438,435,440,440,480,479,480,489,488,486,483,227,479,479,479,478,440,439,439,439,439,440,440,440,440,440,409,439,436,439,440,440,438,439,439,438,438,438,438,438,438,438,439,439,439,439,439,439,439,438,439,439,438,439,439,439,438,439,439,438,439,439,439,438,439,439,439,438,186,439,439,186,439,438,439,427,442,442,442,442,442,442,441,442,442,442,441,188,186,438,422,435,424,431,431,431,431,431,431,430,431,431,431,431,431,179,179,431,431,431,429,431,431,430,431,431,430,431,431,431,430,125,125,311,311,311,311,311,311,310,311,310,310,143,339,339,339,339,339,339,320,339,339,339,339,339,339,273,273,69,273,272,253,203,274
