,BM_pheno_1,WN_pheno_1
CB1,-0.087995468239368,-0.251627203824985
CB2,-0.133304603339982,-0.195245950750978
CB3,-0.146723482709925,-0.133304603339982
ERR2092980,-0.0657891999243796,-0.193247741338091
ERR2092981,-0.0748023550249858,-0.256165187183735
ERR1045849,-0.177365925489854,-0.198065860051204
ERR1045852,-0.117610583825077,-0.248419459680435
SRR447229,-0.195245950750978,-0.385687231996016
SRR447230,-0.193247741338091,-0.0748023550249858
SRR447234,-0.206171626098869,-0.206171626098869
SRR515127,-0.113753445895163,-0.0552051442346075
SRR515554,-0.0552051442346075,-0.0420095869724024
SRR515126,-0.264928022610445,-0.264928022610445
SRR515552,-0.248419459680435,-0.438222280918277
SRR064779,-0.0420095869724024,-0.087995468239368
SRR447236,-0.0520276396330291,-0.0584975795664749
SRR447245,-0.0601872547364954,-0.213330776915394
SRR447239,-0.0584975795664749,0.104866923867501
ERR1045847,0.104866923867501,-0.34991960106357
ERR1045795,-0.198065860051204,-0.0520276396330291
SRR2095366,-0.213330776915394,-0.363860487368185
ERR1045798,-0.379829164654221,-0.113753445895163
SRR6000499,-0.385687231996016,-0.379829164654221
ERR1045859,-0.363860487368185,-0.0657891999243796
SRR3664368,-0.34991960106357,-0.0601872547364954
SRR1151145,-0.251627203824985,-0.117610583825077
SRR5364843,-0.256165187183735,-0.177365925489854
ERR1045815,-0.438222280918277,-0.146723482709925
