,MRSA_jail_100,MRSA_jail_195,MRSA_jail_37,MRSA_jail_95,MRSA_jail_536,MRSA_jail_282,MRSA_jail_233,MRSA_jail_46,MRSA_jail_581,MRSA_jail_36,MRSA_jail_539,MRSA_jail_128,MRSA_jail_187,MRSA_jail_132,MRSA_jail_543,MRSA_jail_208,MRSA_jail_262,MRSA_jail_535,MRSA_jail_531,MRSA_jail_30,MRSA_jail_284,MRSA_jail_285,MRSA_jail_43,MRSA_jail_537,MRSA_jail_560,MRSA_jail_89,MRSA_jail_213,MRSA_jail_256,MRSA_jail_281,MRSA_jail_60,MRSA_jail_561,MRSA_jail_201,MRSA_jail_251,MRSA_jail_224,MRSA_jail_107,MRSA_jail_152,MRSA_jail_2,MRSA_jail_147,MRSA_jail_164,MRSA_jail_25,MRSA_jail_196,MRSA_jail_47,MRSA_jail_92,MRSA_jail_179,MRSA_jail_40,MRSA_jail_74,MRSA_jail_559,MRSA_jail_230,MRSA_jail_111,MRSA_jail_190,MRSA_jail_525,MRSA_jail_149,MRSA_jail_163,MRSA_jail_86,MRSA_jail_169,MRSA_jail_520,MRSA_jail_77,MRSA_jail_103,MRSA_jail_136,MRSA_jail_205,MRSA_jail_161,MRSA_jail_109,MRSA_jail_118,MRSA_jail_13,MRSA_jail_211,MRSA_jail_225,MRSA_jail_29,MRSA_jail_10,MRSA_jail_231,MRSA_jail_188,MRSA_jail_254,MRSA_jail_234,MRSA_jail_236,MRSA_jail_518,MRSA_jail_261,MRSA_jail_28,MRSA_jail_24,MRSA_jail_174,MRSA_jail_239,MRSA_jail_112,MRSA_jail_19,MRSA_jail_181,MRSA_jail_274,MRSA_jail_170,MRSA_jail_521,MRSA_jail_160,MRSA_jail_268,MRSA_jail_229,MRSA_jail_58,MRSA_jail_59,MRSA_jail_135,MRSA_jail_16,MRSA_jail_155,MRSA_jail_221,MRSA_jail_150,MRSA_jail_96,MRSA_jail_590,MRSA_jail_114,MRSA_jail_148,MRSA_jail_63,MRSA_jail_1,MRSA_jail_157,MRSA_jail_235,MRSA_jail_241,MRSA_jail_258,MRSA_jail_534,MRSA_jail_247,MRSA_jail_582,MRSA_jail_158,MRSA_jail_528,MRSA_jail_61,MRSA_jail_167,MRSA_jail_200,MRSA_jail_557,MRSA_jail_524,MRSA_jail_5,MRSA_jail_156,MRSA_jail_276,MRSA_jail_172,MRSA_jail_80,MRSA_jail_523,MRSA_jail_193,MRSA_jail_139,MRSA_jail_27,MRSA_jail_55,MRSA_jail_283,MRSA_jail_197,MRSA_jail_26,MRSA_jail_569,MRSA_jail_162,MRSA_jail_227,MRSA_jail_145,MRSA_jail_522,MRSA_jail_587,MRSA_jail_87,MRSA_jail_115,MRSA_jail_240,MRSA_jail_214,MRSA_jail_232,MRSA_jail_575,MRSA_jail_218,MRSA_jail_263,MRSA_jail_130,MRSA_jail_209,MRSA_jail_33,MRSA_jail_84,MRSA_jail_591,MRSA_jail_180,MRSA_jail_66
MRSA_jail_100,14695,14666,14664,14670,14669,14666,14600,14614,14611,14395,14383,14438,14439,14441,14435,14374,14436,14432,14429,14373,14421,14418,14404,14436,14436,6724,6803,6798,6801,6801,6672,6337,7434,286,178,177,177,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_195,14666,14697,14662,14665,14667,14663,14598,14605,14611,14388,14386,14432,14431,14433,14438,14372,14437,14436,14430,14373,14419,14414,14397,14439,14436,6728,6807,6802,6805,6805,6678,6337,7434,286,178,177,177,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_37,14664,14662,14685,14676,14679,14664,14601,14603,14609,14386,14381,14430,14430,14431,14433,14370,14432,14430,14427,14371,14420,14415,14393,14433,14434,6724,6803,6800,6801,6801,6671,6339,7438,286,178,177,177,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_95,14670,14665,14676,14688,14681,14663,14601,14609,14610,14392,14385,14435,14435,14436,14434,14373,14435,14431,14428,14375,14420,14415,14400,14435,14435,6725,6804,6799,6802,6803,6671,6339,7436,286,178,177,177,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_536,14669,14667,14679,14681,14693,14666,14602,14609,14614,14390,14388,14436,14435,14437,14437,14376,14438,14434,14432,14375,14422,14417,14398,14440,14438,6727,6806,6803,6804,6803,6675,6341,7438,286,178,177,177,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_282,14666,14663,14664,14663,14666,14685,14599,14606,14609,14389,14382,14433,14433,14435,14434,14373,14435,14430,14428,14371,14422,14418,14396,14435,14435,6724,6803,6800,6801,6801,6673,6338,7436,286,178,177,177,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_233,14600,14598,14601,14601,14602,14599,14613,14601,14605,14323,14324,14367,14367,14368,14369,14306,14368,14367,14364,14369,14357,14352,14330,14370,14370,6722,6754,6751,6752,6752,6662,6292,7391,286,178,177,177,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_46,14614,14605,14603,14609,14609,14606,14601,14628,14610,14334,14325,14377,14378,14380,14375,14315,14377,14372,14369,14371,14361,14358,14344,14377,14376,6724,6756,6751,6754,6754,6665,6291,7387,286,178,177,177,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_581,14611,14611,14609,14610,14614,14609,14605,14610,14777,14334,14330,14379,14378,14380,14381,14318,14380,14378,14376,14377,14366,14361,14341,14382,14382,6727,6759,6756,6757,6756,6669,6294,7392,432,254,253,253,191,191,191,192,191,191,191,191,191,157,57,7,4,4,1,2,1,1,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,1,0,2,0,0,1,1,0,0,3,1,0,0,0,1,6,0,0,0,14,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
MRSA_jail_36,14395,14388,14386,14392,14390,14389,14323,14334,14334,14531,14474,14270,14271,14272,14268,14207,14269,14265,14262,14206,14240,14238,14226,14251,14251,6668,6748,6742,6745,6745,6570,6243,7352,277,179,178,178,188,188,188,189,188,188,188,188,188,155,71,7,4,4,1,2,1,2,2,0,0,0,0,1,2,2,1,1,1,1,2,3,2,1,0,0,1,0,0,0,0,2,0,0,1,1,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
