,MRSA_jail_100,MRSA_jail_195,MRSA_jail_37,MRSA_jail_95,MRSA_jail_536,MRSA_jail_282,MRSA_jail_233,MRSA_jail_46,MRSA_jail_581,MRSA_jail_36,MRSA_jail_539,MRSA_jail_128,MRSA_jail_187,MRSA_jail_132,MRSA_jail_543,MRSA_jail_208,MRSA_jail_262,MRSA_jail_535,MRSA_jail_531,MRSA_jail_30,MRSA_jail_284,MRSA_jail_285,MRSA_jail_43,MRSA_jail_537,MRSA_jail_560,MRSA_jail_89,MRSA_jail_213,MRSA_jail_256,MRSA_jail_281,MRSA_jail_60,MRSA_jail_561,MRSA_jail_201,MRSA_jail_251,MRSA_jail_224,MRSA_jail_107,MRSA_jail_152,MRSA_jail_2,MRSA_jail_147,MRSA_jail_164,MRSA_jail_25,MRSA_jail_196,MRSA_jail_47,MRSA_jail_92,MRSA_jail_179,MRSA_jail_40,MRSA_jail_74,MRSA_jail_559,MRSA_jail_230,MRSA_jail_111,MRSA_jail_190,MRSA_jail_525,MRSA_jail_149,MRSA_jail_163,MRSA_jail_86,MRSA_jail_169,MRSA_jail_520,MRSA_jail_77,MRSA_jail_103,MRSA_jail_136,MRSA_jail_205,MRSA_jail_161,MRSA_jail_109,MRSA_jail_118,MRSA_jail_13,MRSA_jail_211,MRSA_jail_225,MRSA_jail_29,MRSA_jail_10,MRSA_jail_231,MRSA_jail_188,MRSA_jail_254,MRSA_jail_234,MRSA_jail_236,MRSA_jail_518,MRSA_jail_261,MRSA_jail_28,MRSA_jail_24,MRSA_jail_174,MRSA_jail_239,MRSA_jail_112,MRSA_jail_19,MRSA_jail_181,MRSA_jail_274,MRSA_jail_170,MRSA_jail_521,MRSA_jail_160,MRSA_jail_268,MRSA_jail_229,MRSA_jail_58,MRSA_jail_59,MRSA_jail_135,MRSA_jail_16,MRSA_jail_155,MRSA_jail_221,MRSA_jail_150,MRSA_jail_96,MRSA_jail_590,MRSA_jail_114,MRSA_jail_148,MRSA_jail_63,MRSA_jail_1,MRSA_jail_157,MRSA_jail_235,MRSA_jail_241,MRSA_jail_258,MRSA_jail_534,MRSA_jail_247,MRSA_jail_582,MRSA_jail_158,MRSA_jail_528,MRSA_jail_61,MRSA_jail_167,MRSA_jail_200,MRSA_jail_557,MRSA_jail_524,MRSA_jail_5,MRSA_jail_156,MRSA_jail_276,MRSA_jail_172,MRSA_jail_80,MRSA_jail_523,MRSA_jail_193,MRSA_jail_139,MRSA_jail_27,MRSA_jail_55,MRSA_jail_283,MRSA_jail_197,MRSA_jail_26,MRSA_jail_569,MRSA_jail_162,MRSA_jail_227,MRSA_jail_145,MRSA_jail_522,MRSA_jail_587,MRSA_jail_87,MRSA_jail_115,MRSA_jail_240,MRSA_jail_214,MRSA_jail_232,MRSA_jail_575,MRSA_jail_218,MRSA_jail_263,MRSA_jail_130,MRSA_jail_209,MRSA_jail_33,MRSA_jail_84,MRSA_jail_591,MRSA_jail_180,MRSA_jail_66
MRSA_jail_100,14701,14672,14670,14676,14675,14672,14606,14620,14617,14401,14389,14444,14445,14447,14441,14380,14442,14438,14435,14379,14427,14424,14410,14442,14442,6730,6809,6804,6807,6807,6678,6343,7440,292,184,183,183,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_195,14672,14703,14668,14671,14673,14669,14604,14611,14617,14394,14392,14438,14437,14439,14444,14378,14443,14442,14436,14379,14425,14420,14403,14445,14442,6734,6813,6808,6811,6811,6684,6343,7440,292,184,183,183,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_37,14670,14668,14691,14682,14685,14670,14607,14609,14615,14392,14387,14436,14436,14437,14439,14376,14438,14436,14433,14377,14426,14421,14399,14439,14440,6730,6809,6806,6807,6807,6677,6345,7444,292,184,183,183,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_95,14676,14671,14682,14694,14687,14669,14607,14615,14616,14398,14391,14441,14441,14442,14440,14379,14441,14437,14434,14381,14426,14421,14406,14441,14441,6731,6810,6805,6808,6809,6677,6345,7442,292,184,183,183,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_536,14675,14673,14685,14687,14699,14672,14608,14615,14620,14396,14394,14442,14441,14443,14443,14382,14444,14440,14438,14381,14428,14423,14404,14446,14444,6733,6812,6809,6810,6809,6681,6347,7444,292,184,183,183,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_282,14672,14669,14670,14669,14672,14691,14605,14612,14615,14395,14388,14439,14439,14441,14440,14379,14441,14436,14434,14377,14428,14424,14402,14441,14441,6730,6809,6806,6807,6807,6679,6344,7442,292,184,183,183,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_233,14606,14604,14607,14607,14608,14605,14619,14607,14611,14329,14330,14373,14373,14374,14375,14312,14374,14373,14370,14375,14363,14358,14336,14376,14376,6728,6760,6757,6758,6758,6668,6298,7397,292,184,183,183,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_46,14620,14611,14609,14615,14615,14612,14607,14634,14616,14340,14331,14383,14384,14386,14381,14321,14383,14378,14375,14377,14367,14364,14350,14383,14382,6730,6762,6757,6760,6760,6671,6297,7393,292,184,183,183,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_581,14617,14617,14615,14616,14620,14615,14611,14616,14783,14340,14336,14385,14384,14386,14387,14324,14386,14384,14382,14383,14372,14367,14347,14388,14388,6733,6765,6762,6763,6762,6675,6300,7398,438,260,259,259,197,197,197,198,197,197,197,197,197,163,63,13,10,10,7,8,7,7,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,2,1,3,1,1,2,2,1,1,4,2,1,1,1,2,7,1,1,1,15,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
MRSA_jail_36,14401,14394,14392,14398,14396,14395,14329,14340,14340,14537,14480,14276,14277,14278,14274,14213,14275,14271,14268,14212,14246,14244,14232,14257,14257,6674,6754,6748,6751,6751,6576,6249,7358,283,185,184,184,194,194,194,195,194,194,194,194,194,161,77,13,10,10,7,8,7,8,8,6,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,6,6,7,6,6,6,7
