,MRSA_jail_100,MRSA_jail_195,MRSA_jail_37,MRSA_jail_95,MRSA_jail_536,MRSA_jail_282,MRSA_jail_233,MRSA_jail_46,MRSA_jail_581,MRSA_jail_36,MRSA_jail_539,MRSA_jail_128,MRSA_jail_187,MRSA_jail_132,MRSA_jail_543,MRSA_jail_208,MRSA_jail_262,MRSA_jail_535,MRSA_jail_531,MRSA_jail_30,MRSA_jail_284,MRSA_jail_285,MRSA_jail_43,MRSA_jail_537,MRSA_jail_560,MRSA_jail_89,MRSA_jail_213,MRSA_jail_256,MRSA_jail_281,MRSA_jail_60,MRSA_jail_561,MRSA_jail_201,MRSA_jail_251,MRSA_jail_224,MRSA_jail_107,MRSA_jail_152,MRSA_jail_2,MRSA_jail_147,MRSA_jail_164,MRSA_jail_25,MRSA_jail_196,MRSA_jail_47,MRSA_jail_92,MRSA_jail_179,MRSA_jail_40,MRSA_jail_74,MRSA_jail_559,MRSA_jail_230,MRSA_jail_111,MRSA_jail_190,MRSA_jail_525,MRSA_jail_149,MRSA_jail_163,MRSA_jail_86,MRSA_jail_169,MRSA_jail_520,MRSA_jail_77,MRSA_jail_103,MRSA_jail_136,MRSA_jail_205,MRSA_jail_161,MRSA_jail_109,MRSA_jail_118,MRSA_jail_13,MRSA_jail_211,MRSA_jail_225,MRSA_jail_29,MRSA_jail_10,MRSA_jail_231,MRSA_jail_188,MRSA_jail_254,MRSA_jail_234,MRSA_jail_236,MRSA_jail_518,MRSA_jail_261,MRSA_jail_28,MRSA_jail_24,MRSA_jail_174,MRSA_jail_239,MRSA_jail_112,MRSA_jail_19,MRSA_jail_181,MRSA_jail_274,MRSA_jail_170,MRSA_jail_521,MRSA_jail_160,MRSA_jail_268,MRSA_jail_229,MRSA_jail_58,MRSA_jail_59,MRSA_jail_135,MRSA_jail_16,MRSA_jail_155,MRSA_jail_221,MRSA_jail_150,MRSA_jail_96,MRSA_jail_590,MRSA_jail_114,MRSA_jail_148,MRSA_jail_63,MRSA_jail_1,MRSA_jail_157,MRSA_jail_235,MRSA_jail_241,MRSA_jail_258,MRSA_jail_534,MRSA_jail_247,MRSA_jail_582,MRSA_jail_158,MRSA_jail_528,MRSA_jail_61,MRSA_jail_167,MRSA_jail_200,MRSA_jail_557,MRSA_jail_524,MRSA_jail_5,MRSA_jail_156,MRSA_jail_276,MRSA_jail_172,MRSA_jail_80,MRSA_jail_523,MRSA_jail_193,MRSA_jail_139,MRSA_jail_27,MRSA_jail_55,MRSA_jail_283,MRSA_jail_197,MRSA_jail_26,MRSA_jail_569,MRSA_jail_162,MRSA_jail_227,MRSA_jail_145,MRSA_jail_522,MRSA_jail_587,MRSA_jail_87,MRSA_jail_115,MRSA_jail_240,MRSA_jail_214,MRSA_jail_232,MRSA_jail_575,MRSA_jail_218,MRSA_jail_263,MRSA_jail_130,MRSA_jail_209,MRSA_jail_33,MRSA_jail_84,MRSA_jail_591,MRSA_jail_180,MRSA_jail_66
MRSA_jail_100,14696,14667,14665,14671,14670,14667,14601,14615,14612,14396,14384,14439,14440,14442,14436,14375,14437,14433,14430,14374,14422,14419,14405,14437,14437,6725,6804,6799,6802,6802,6673,6338,7435,287,179,178,178,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_195,14667,14698,14663,14666,14668,14664,14599,14606,14612,14389,14387,14433,14432,14434,14439,14373,14438,14437,14431,14374,14420,14415,14398,14440,14437,6729,6808,6803,6806,6806,6679,6338,7435,287,179,178,178,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_37,14665,14663,14686,14677,14680,14665,14602,14604,14610,14387,14382,14431,14431,14432,14434,14371,14433,14431,14428,14372,14421,14416,14394,14434,14435,6725,6804,6801,6802,6802,6672,6340,7439,287,179,178,178,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_95,14671,14666,14677,14689,14682,14664,14602,14610,14611,14393,14386,14436,14436,14437,14435,14374,14436,14432,14429,14376,14421,14416,14401,14436,14436,6726,6805,6800,6803,6804,6672,6340,7437,287,179,178,178,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_536,14670,14668,14680,14682,14694,14667,14603,14610,14615,14391,14389,14437,14436,14438,14438,14377,14439,14435,14433,14376,14423,14418,14399,14441,14439,6728,6807,6804,6805,6804,6676,6342,7439,287,179,178,178,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_282,14667,14664,14665,14664,14667,14686,14600,14607,14610,14390,14383,14434,14434,14436,14435,14374,14436,14431,14429,14372,14423,14419,14397,14436,14436,6725,6804,6801,6802,6802,6674,6339,7437,287,179,178,178,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_233,14601,14599,14602,14602,14603,14600,14614,14602,14606,14324,14325,14368,14368,14369,14370,14307,14369,14368,14365,14370,14358,14353,14331,14371,14371,6723,6755,6752,6753,6753,6663,6293,7392,287,179,178,178,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_46,14615,14606,14604,14610,14610,14607,14602,14629,14611,14335,14326,14378,14379,14381,14376,14316,14378,14373,14370,14372,14362,14359,14345,14378,14377,6725,6757,6752,6755,6755,6666,6292,7388,287,179,178,178,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_581,14612,14612,14610,14611,14615,14610,14606,14611,14778,14335,14331,14380,14379,14381,14382,14319,14381,14379,14377,14378,14367,14362,14342,14383,14383,6728,6760,6757,6758,6757,6670,6295,7393,433,255,254,254,192,192,192,193,192,192,192,192,192,158,58,8,5,5,2,3,2,2,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,2,1,3,1,1,2,2,1,1,4,2,1,0,0,2,7,1,1,1,15,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
MRSA_jail_36,14396,14389,14387,14393,14391,14390,14324,14335,14335,14532,14475,14271,14272,14273,14269,14208,14270,14266,14263,14207,14241,14239,14227,14252,14252,6669,6749,6743,6746,6746,6571,6244,7353,278,180,179,179,189,189,189,190,189,189,189,189,189,156,72,8,5,5,2,3,2,3,3,1,1,1,1,2,3,3,2,2,2,2,3,4,3,2,1,1,2,1,1,1,1,3,1,1,2,2,1,1,4,2,1,0,0,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,3,1,2,2,3,5,3,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2
