,BM_pheno_1,WN_pheno_1
1014-G002-150-F-TIPmmrsa,-0.00941439971015639,-0.00284997342144999
3216-E075-1-G1-TIPmmrsa,-0.00129581076417311,-0.00304873764903671
3337-E083-14-G-TIPmmrsa,-0.00101681660190651,-0.0105822624028169
3985-G015-30-R-TIPmmrsa,0.00421977294006103,-0.00223458672957531
454-G006-30-N-TIPmmrsa,-0.00672237925712906,0.00421977294006103
522-2011-0-NMRSA,0.000349796935736637,-0.00868306454611354
1675-F027-1-O-TIPmmrsa,-0.0117211467268894,-0.00773453413898245
1907-2026-0-NMRSA,0.00225642943782921,-0.00385531194729292
1952-3040-0-NMRSA,-0.00381500250073366,-0.00763095012880503
172-3006-0-NMRSA,-0.0133812784823088,-0.00543130046285511
7726-2071-14-HMRSA,-0.00491912681028641,0.00128681706856081
2893-4047-0-NMRSA,0.0063724392798599,-0.0112697379662982
1104-1026-0-HMRSA,-0.00440403352245686,-0.00138564577566272
974-1019-14-NMRSA,-0.00344100875521326,0.00174193296486407
982-1024-0-HMRSA,-0.00313550693528604,-0.0205762890492964
1572-E041-1-G-TIPmmrsa,-0.00166535790821518,-0.0169132246875579
2897-4048-0-HMRSA,-0.00101330203315217,-0.00217216881909019
7635-3125-0-NMRSA,0.00202050861060463,-0.0167905361657617
587-1018-0-HMRSA,0.00299626521269225,-0.00101681660190651
2087-F041-14-U-TIPmmrsa,-0.00486137486045324,-0.00369403147128765
504-1008-0-NMRSA,-0.00543130046285511,0.00772121312433091
1567-1035-0-NMRSA,-0.00310673517319815,0.0115003155557475
1999-1039-0-HMRSA,-0.00208009732293156,0.00208807524298745
5633-4094-0-NMRSA,-0.00412458614255467,-0.00307488756838029
3725-K018-1-N-TIPmmrsa,-0.0027445611502447,-0.00274095779453926
1837-E055-1-N-TIPmmrsa,-0.00229067890285581,-0.0133812784823088
1894-F033-1-G-TIPmmrsa,-0.00495761077310356,-0.00600612365324714
2084-F036-60-O-TIPmmrsa,-0.00742010275451781,-0.00400838702238814
3218-E076-1-N-TIPmmrsa,-0.00464932152048011,-0.00219686176821655
3258-F045-30-R-TIPmmrsa,-0.00542761003229126,-0.00594460577345505
3377-F049-30-N-TIPmmrsa,-0.00572107230931388,-0.0103597558677909
3404-F048-90-N-TIPmmrsa,-0.00906935609952222,-0.0027445611502447
3477-F053-1-N1-TIPmmrsa,-0.0069721068033176,0.0016399462303468
3611-F059-14-N-TIPmmrsa,-0.00422763472977296,-0.0106799336718879
3658-F063-1-F-TIPmmrsa,-0.00594460577345505,-0.0112420752117934
5510-4088-14-RMRSA,0.00362885268438321,-0.00351726051963138
5870-4054-180-NMRSA,-0.00879589327405257,0.00113160451578775
3842-4067-0-HMRSA,-0.0108430779667461,-0.00446456070440215
731-F008-60-G-TIPmmrsa,-0.0015716101327824,-0.00486137486045324
733-G008-14-F-TIPmmrsa,-0.00138564577566272,-0.00118941955386146
1653-E043-14-N-TIPmmrsa,-0.00486799161942384,-0.00853565843892698
2010-4038-0-NMRSA,-0.00149416541484264,0.00225642943782921
4681-4078-0-NMRSA,-0.00284997342144999,-0.00578496556707865
1507-2023-0-NMRSA,-0.00408482113073073,-0.00762902235535784
7122-4107-14-NMRSA,0.00366367622423969,-0.00979572675169619
