Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Cd_3	C. difficile	11	4300000	47300000	97481	96382	1088	11	1099	70446	69526	920	28513	28151	362	222	215	7	22717.272727272728	8712	76812	10033
Cd_3	C. difficile	11	4300000	47300000	24844	24753	89	2	91	17219	17147	72	8015	7987	28	63	62	1	10903.690909090908	17175	17629	2869
Cd_3	C. difficile	11	4300000	47300000	35346	35129	215	2	217	24121	23946	175	11739	11665	74	102	100	2	12467.181818181818	17172	18779	4073
Cd_3	C. difficile	11	4300000	47300000	104401	103051	1334	16	1350	74511	73387	1124	31397	30958	439	265	259	6	25366.654545454545	17295	79677	10366
Cd_3	C. difficile	11	4300000	47300000	30076	29923	151	2	153	20508	20384	124	10005	9958	47	77	75	2	11741.2	16854	17815	3411
Cd_3	C. difficile	11	4300000	47300000	90905	90240	658	7	665	66152	65589	563	26183	25983	200	221	218	3	19804.236363636363	8592	78690	9957
Cd_3	C. difficile	11	4300000	47300000	97249	96261	982	6	988	70136	69322	814	28567	28238	329	227	222	5	31630.236363636363	13821	79539	9972
Cd_3	C. difficile	11	4300000	47300000	94162	93329	829	4	833	68336	67640	696	27285	27019	266	210	206	4	23442.454545454544	17433	80001	9960
Cd_3	C. difficile	11	4300000	47300000	31756	31576	178	2	180	21987	21846	141	10232	10170	62	104	100	4	11313.236363636364	9913	19262	3651
Cd_3	C. difficile	11	4300000	47300000	32228	32043	184	1	185	21852	21707	145	10843	10776	67	96	94	2	11812.218181818182	13726	17638	3866
