Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Cd_4	C. difficile	6	4300000	25800000	3001	2998	3	0	3	1886	1883	3	1150	1149	1	14	14	0	1277.1333333333334	1365	2579	316
Cd_4	C. difficile	6	4300000	25800000	6325	6312	13	0	13	4077	4066	11	2330	2325	5	23	23	0	2342.5333333333333	2193	3521	661
Cd_4	C. difficile	6	4300000	25800000	7801	7778	23	0	23	4761	4740	21	3111	3103	8	46	46	0	2829.3333333333335	2983	3827	809
Cd_4	C. difficile	6	4300000	25800000	6423	6410	13	0	13	4137	4126	11	2355	2350	5	21	21	0	2397.9333333333334	2287	3950	601
Cd_4	C. difficile	6	4300000	25800000	10546	10525	21	0	21	6874	6857	17	3753	3748	5	45	45	0	3740.866666666667	2842	7361	1090
Cd_4	C. difficile	6	4300000	25800000	6219	6205	14	0	14	3962	3950	12	2347	2342	5	34	34	0	2427.2	2390	3676	633
Cd_4	C. difficile	6	4300000	25800000	5984	5964	20	0	20	3632	3615	17	2409	2403	6	35	34	1	2454.9333333333334	2617	3336	617
Cd_4	C. difficile	6	4300000	25800000	24548	24501	47	0	47	16442	16403	39	8304	8290	14	119	119	0	8363.266666666666	5088	21064	2547
Cd_4	C. difficile	6	4300000	25800000	8179	8160	19	0	19	5208	5189	19	3073	3069	4	48	47	1	3091.5333333333333	3242	3764	806
Cd_4	C. difficile	6	4300000	25800000	69177	69075	102	0	102	50175	50095	80	19758	19718	40	169	169	0	23094.066666666666	2244	66887	6301
