Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Efm_1	E. faecium	4	2900000	11600000	4788	4769	19	0	19	3718	3702	16	1074	1070	4	15	15	0	2965.5	4059.5	4314	1
Efm_1	E. faecium	4	2900000	11600000	4849	4848	1	0	1	3812	3811	1	1037	1037	0	17	17	0	2416.8333333333335	2402.5	4815	1
Efm_1	E. faecium	4	2900000	11600000	5888	5854	34	0	34	4584	4556	28	1306	1298	8	19	19	0	3352.3333333333335	3903	4407	2
Efm_1	E. faecium	4	2900000	11600000	6433	6399	34	0	34	4908	4881	27	1518	1511	7	25	25	0	3615.3333333333335	3765	4755	2
Efm_1	E. faecium	4	2900000	11600000	5235	5226	9	0	9	4098	4089	9	1139	1137	2	21	21	0	2977.8333333333335	3666	4461	3
Efm_1	E. faecium	4	2900000	11600000	6889	6863	26	0	26	5193	5171	22	1685	1681	4	31	31	0	3760	4141.5	4507	2
Efm_1	E. faecium	4	2900000	11600000	6538	6512	26	0	26	4977	4955	22	1556	1552	4	25	25	0	3591.5	3965	4523	3
Efm_1	E. faecium	4	2900000	11600000	4370	4370	0	0	0	3389	3389	0	980	980	0	15	15	0	2893.6666666666665	4298.5	4323	2
Efm_1	E. faecium	4	2900000	11600000	8109	8108	1	0	1	6215	6215	0	1893	1892	1	29	29	0	4036.1666666666665	4019.5	8076	5
Efm_1	E. faecium	4	2900000	11600000	4596	4595	1	0	1	3383	3383	0	1204	1203	1	24	24	0	2296.3333333333335	2298.5	4524	2
