Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Efm_1	E. faecium	8	2900000	23200000	7036	6988	48	0	48	5285	5246	39	1748	1736	12	27	27	0	3139.3928571428573	3814	4543	2
Efm_1	E. faecium	8	2900000	23200000	5760	5744	16	0	16	4439	4425	14	1319	1317	2	24	24	0	2187.6785714285716	1066.5	4815	2
Efm_1	E. faecium	8	2900000	23200000	7156	7121	35	0	35	5338	5309	29	1810	1802	8	31	31	0	2824.9285714285716	3811.5	5310	2
Efm_1	E. faecium	8	2900000	23200000	8312	8258	54	0	54	6331	6286	45	1977	1966	11	29	29	0	3589	4053.5	5157	2
Efm_1	E. faecium	8	2900000	23200000	8561	8493	68	0	68	6514	6456	58	2040	2025	15	33	33	0	3498.6428571428573	4001	5332	3
Efm_1	E. faecium	8	2900000	23200000	7208	7164	44	0	44	5396	5359	37	1802	1793	9	33	33	0	3196	3823	4522	3
Efm_1	E. faecium	8	2900000	23200000	6786	6751	35	0	35	5112	5084	28	1667	1660	7	30	30	0	3061.5714285714284	3552	4822	3
Efm_1	E. faecium	8	2900000	23200000	6556	6530	26	0	26	4953	4931	22	1596	1592	4	26	26	0	2927.8928571428573	4289.5	4559	3
Efm_1	E. faecium	8	2900000	23200000	10157	10090	67	0	67	7628	7572	56	2518	2497	21	40	40	0	3842.785714285714	3841	8076	5
Efm_1	E. faecium	8	2900000	23200000	6589	6561	28	0	28	4958	4935	23	1618	1613	5	33	33	0	2679.1428571428573	4200.5	4551	3
