Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Efs_1	E. faecalis	4	2900000	11600000	16262	16262	0	0	0	13034	13034	0	2984	2984	0	31	31	0	8102.666666666667	8075.5	16201	10
Efs_1	E. faecalis	4	2900000	11600000	16258	16258	0	0	0	13037	13037	0	2980	2980	0	30	30	0	8131.166666666667	8140.5	16214	10
Efs_1	E. faecalis	4	2900000	11600000	86	86	0	0	0	43	43	0	42	42	0	1	1	0	41.666666666666664	41.5	72	0
Efs_1	E. faecalis	4	2900000	11600000	74	74	0	0	0	39	39	0	33	33	0	2	2	0	37.333333333333336	35	67	0
Efs_1	E. faecalis	4	2900000	11600000	16478	16478	0	0	0	13215	13215	0	3104	3104	0	32	32	0	8236.833333333334	8237.5	16444	8
Efs_1	E. faecalis	4	2900000	11600000	13009	13009	0	0	0	10224	10224	0	2567	2567	0	22	22	0	6500.333333333333	6500	12992	3
Efs_1	E. faecalis	4	2900000	11600000	16443	16443	0	0	0	13196	13196	0	3090	3090	0	30	30	0	8226.5	8227	16405	8
Efs_1	E. faecalis	4	2900000	11600000	16302	16301	1	0	1	13079	13078	1	2980	2979	1	33	33	0	8157.333333333333	8167.5	16242	10
Efs_1	E. faecalis	4	2900000	11600000	13066	13066	0	0	0	10264	10264	0	2585	2585	0	21	21	0	6495.166666666667	6449.5	12995	3
Efs_1	E. faecalis	4	2900000	11600000	17561	17560	1	0	1	14021	14020	1	3344	3343	1	37	37	0	8775.166666666666	8776.5	17509	9
