Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Efs_1	E. faecalis	8	2900000	23200000	16315	16315	0	0	0	13052	13052	0	3017	3017	0	34	34	0	6961.357142857143	79	16230	10
Efs_1	E. faecalis	8	2900000	23200000	16379	16379	0	0	0	13107	13107	0	3028	3028	0	33	33	0	6982.607142857143	81.5	16267	10
Efs_1	E. faecalis	8	2900000	23200000	17582	17581	1	0	1	14029	14028	1	3357	3356	1	36	36	0	4388.142857142857	45	17496	9
Efs_1	E. faecalis	8	2900000	23200000	16326	16325	1	0	1	13079	13078	1	3003	3003	0	32	32	0	4091.964285714286	56	16264	10
Efs_1	E. faecalis	8	2900000	23200000	16553	16553	0	0	0	13244	13244	0	3147	3147	0	34	34	0	4148.821428571428	75.5	16449	8
Efs_1	E. faecalis	8	2900000	23200000	23921	23857	64	0	64	18951	18894	57	4582	4567	15	47	47	0	6912.535714285715	23.5	17893	12
Efs_1	E. faecalis	8	2900000	23200000	27037	26939	98	0	98	21671	21587	84	5019	4996	23	53	53	0	7741.392857142857	84.5	20148	15
Efs_1	E. faecalis	8	2900000	23200000	16358	16357	1	0	1	13100	13099	1	3013	3012	1	36	36	0	4108.821428571428	75.5	16263	10
Efs_1	E. faecalis	8	2900000	23200000	13105	13105	0	0	0	10272	10272	0	2614	2614	0	23	23	0	3267.8214285714284	54	12996	3
Efs_1	E. faecalis	8	2900000	23200000	17658	17657	1	0	1	14063	14062	1	3399	3398	1	37	37	0	4426.928571428572	79.5	17509	9
