Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Kp_1	K. pneumoniae	23	5400000	124200000	26310	26309	1	0	1	21147	21146	1	5108	5108	0	58	58	0	2286.02371541502	53	25945	530
Kp_1	K. pneumoniae	23	5400000	124200000	39593	39440	153	0	153	32040	31897	143	7487	7470	17	66	66	0	6519.059288537549	36	27100	566
Kp_1	K. pneumoniae	23	5400000	124200000	38299	38174	125	0	125	30592	30482	110	7634	7609	25	73	72	1	4349.498023715415	33	25694	543
Kp_1	K. pneumoniae	23	5400000	124200000	39872	39729	141	2	143	31991	31863	128	7807	7782	25	72	71	1	9808.185770750988	51	26274	575
Kp_1	K. pneumoniae	23	5400000	124200000	48359	48124	235	0	235	38887	38676	211	9394	9352	42	67	67	0	6505.505928853755	33	26872	558
Kp_1	K. pneumoniae	23	5400000	124200000	25889	25887	2	0	2	20663	20661	2	5186	5186	0	48	47	1	4220.063241106719	39	25529	482
Kp_1	K. pneumoniae	23	5400000	124200000	38633	38528	105	0	105	30873	30783	90	7673	7653	20	72	72	0	4314.075098814229	50	25551	562
Kp_1	K. pneumoniae	23	5400000	124200000	322	322	0	0	0	84	84	0	215	215	0	20	20	0	39.094861660079054	35	91	7
Kp_1	K. pneumoniae	23	5400000	124200000	39281	39155	126	0	126	31511	31401	110	7699	7674	25	73	72	1	4391.395256916996	41	25954	572
Kp_1	K. pneumoniae	23	5400000	124200000	438	438	0	0	0	121	121	0	291	291	0	30	30	0	45.74308300395257	38	119	8
