Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Kp_1	K. pneumoniae	34	5400000	183600000	26418	26417	1	0	1	21184	21183	1	5172	5172	0	65	65	0	1559.7308377896613	41	25945	532
Kp_1	K. pneumoniae	34	5400000	183600000	39864	39711	153	0	153	32111	31968	143	7671	7654	17	83	83	0	4531.577540106952	41	27130	569
Kp_1	K. pneumoniae	34	5400000	183600000	38495	38369	126	0	126	30652	30541	111	7755	7730	25	87	86	1	4338.77183600713	45	25694	545
Kp_1	K. pneumoniae	34	5400000	183600000	40058	39914	142	2	144	32030	31902	128	7938	7912	26	87	86	1	8183.976827094474	53	26292	575
Kp_1	K. pneumoniae	34	5400000	183600000	63675	63212	458	5	463	50658	50242	416	12884	12804	80	109	107	2	7154.800356506239	36	26872	449
Kp_1	K. pneumoniae	34	5400000	183600000	26095	26093	2	0	2	20722	20720	2	5324	5324	0	57	56	1	2920.994652406417	37	25632	484
Kp_1	K. pneumoniae	34	5400000	183600000	38871	38763	108	0	108	30954	30862	92	7816	7795	21	88	88	0	4286.199643493761	55	25551	564
Kp_1	K. pneumoniae	34	5400000	183600000	25267	25266	1	0	1	20078	20077	1	5126	5126	0	56	56	0	1493.445632798574	35	24898	483
Kp_1	K. pneumoniae	34	5400000	183600000	39438	39312	126	0	126	31558	31448	110	7802	7777	25	80	79	1	3007.354723707665	39	25954	575
Kp_1	K. pneumoniae	34	5400000	183600000	26088	26085	3	0	3	20835	20833	2	5184	5182	2	66	66	0	1534.668449197861	37	25570	479
