Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Lc_1	L. crispatus	2	2040000	4080000	6246	6246	0	0	0	4611	4611	0	1609	1609	0	42	42	0	6246	6246	6246	2
Lc_1	L. crispatus	2	2040000	4080000	6367	6367	0	0	0	4756	4756	0	1595	1595	0	39	39	0	6367	6367	6367	8
Lc_1	L. crispatus	2	2040000	4080000	19701	19701	0	0	0	15060	15060	0	4642	4642	0	68	68	0	19701	19701	19701	15
Lc_1	L. crispatus	2	2040000	4080000	3795	3795	0	0	0	2759	2759	0	1017	1017	0	24	24	0	3795	3795	3795	1
Lc_1	L. crispatus	2	2040000	4080000	2669	2669	0	0	0	1914	1914	0	748	748	0	12	12	0	2669	2669	2669	0
Lc_1	L. crispatus	2	2040000	4080000	15928	15928	0	0	0	11925	11925	0	3979	3979	0	74	74	0	15928	15928	15928	17
Lc_1	L. crispatus	2	2040000	4080000	13081	13081	0	0	0	9891	9891	0	3165	3165	0	55	55	0	13081	13081	13081	9
Lc_1	L. crispatus	2	2040000	4080000	3454	3454	0	0	0	2472	2472	0	961	961	0	28	28	0	3454	3454	3454	2
Lc_1	L. crispatus	2	2040000	4080000	16504	16504	0	0	0	12411	12411	0	4074	4074	0	65	65	0	16504	16504	16504	15
Lc_1	L. crispatus	2	2040000	4080000	3368	3368	0	0	0	2354	2354	0	1001	1001	0	20	20	0	3368	3368	3368	1
