Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Sa_2	S. aureus	27	2800000	75600000	12915	12910	5	0	5	8562	8559	3	4325	4322	3	83	82	1	2392.957264957265	227	11069	11
Sa_2	S. aureus	27	2800000	75600000	47965	47740	225	0	225	35291	35104	187	12631	12567	64	146	145	1	5885.054131054131	285	40252	30
Sa_2	S. aureus	27	2800000	75600000	13144	13134	10	0	10	8680	8673	7	4442	4438	4	79	79	0	4065.7521367521367	271	11040	13
Sa_2	S. aureus	27	2800000	75600000	12735	12727	8	0	8	8498	8492	6	4218	4215	3	74	74	0	3592.6267806267806	275	11095	9
Sa_2	S. aureus	27	2800000	75600000	46751	46534	217	0	217	34655	34468	187	12059	12007	52	136	134	2	6315.25641025641	229	39596	29
Sa_2	S. aureus	27	2800000	75600000	46766	46547	219	0	219	34635	34443	192	12091	12037	54	142	139	3	6280.185185185185	302	39581	30
Sa_2	S. aureus	27	2800000	75600000	47557	47337	220	0	220	35161	34975	186	12359	12302	57	139	137	2	8947.410256410256	326	40201	29
Sa_2	S. aureus	27	2800000	75600000	13038	13029	9	0	9	8567	8561	6	4449	4445	4	78	77	1	4511.811965811966	292	11066	11
Sa_2	S. aureus	27	2800000	75600000	12466	12463	3	0	3	8438	8437	1	4014	4012	2	67	67	0	4467.242165242165	233	11032	12
Sa_2	S. aureus	27	2800000	75600000	47711	47486	225	0	225	35242	35048	194	12436	12380	56	137	135	2	8938.809116809116	255	40182	29
