Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Sa_2	S. aureus	33	2800000	92400000	48380	48149	231	0	231	35397	35199	198	12918	12856	62	168	165	3	4912.560606060606	265	40213	29
Sa_2	S. aureus	33	2800000	92400000	48128	47901	227	0	227	35335	35147	188	12745	12680	65	151	150	1	6218.407196969697	385.5	40252	30
Sa_2	S. aureus	33	2800000	92400000	13337	13327	10	0	10	8734	8727	7	4570	4566	4	91	91	0	3498.753787878788	243	11040	14
Sa_2	S. aureus	33	2800000	92400000	12944	12934	10	0	10	8559	8552	7	4359	4355	4	81	80	1	3513.8352272727275	246.5	11095	9
Sa_2	S. aureus	33	2800000	92400000	46997	46778	219	0	219	34724	34535	189	12227	12175	52	146	144	2	5746.174242424242	222	39596	30
Sa_2	S. aureus	33	2800000	92400000	47212	46988	224	0	224	34745	34550	195	12412	12356	56	157	154	3	5295.314393939394	267.5	39581	31
Sa_2	S. aureus	33	2800000	92400000	47713	47491	222	0	222	35200	35013	187	12473	12415	58	142	140	2	7520.217803030303	242	40201	29
Sa_2	S. aureus	33	2800000	92400000	13297	13287	10	0	10	8639	8633	6	4629	4624	5	86	85	1	3922.3314393939395	263.5	11066	11
Sa_2	S. aureus	33	2800000	92400000	12873	12869	4	0	4	8563	8562	1	4286	4283	3	80	80	0	4256.994318181818	237	11033	12
Sa_2	S. aureus	33	2800000	92400000	48148	47909	239	0	239	35380	35178	202	12724	12659	65	150	148	2	8300.193181818182	261	40182	31
