Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Sm_1	S. maltophilia	15	4850000	72750000	35199	34955	244	0	244	28134	27907	227	8243	8202	41	97	96	1	7163.961904761904	313	23240	11239
Sm_1	S. maltophilia	15	4850000	72750000	51155	50614	540	1	541	39547	39052	495	13319	13239	80	128	128	0	9660.42857142857	10485	23741	15097
Sm_1	S. maltophilia	15	4850000	72750000	49943	49468	470	5	475	38750	38311	439	12810	12735	75	120	120	0	10375.4	12792	23222	14819
Sm_1	S. maltophilia	15	4850000	72750000	52569	52014	552	3	555	40853	40340	513	13421	13335	86	116	116	0	11329.580952380953	14394	23734	15622
Sm_1	S. maltophilia	15	4850000	72750000	36192	35962	229	1	230	28299	28081	218	9139	9109	30	69	69	0	6408.571428571428	284	21629	11221
Sm_1	S. maltophilia	15	4850000	72750000	51124	50597	524	3	527	39520	39036	484	13333	13251	82	109	108	1	12475.085714285715	14401	21388	15330
Sm_1	S. maltophilia	15	4850000	72750000	60839	60055	777	7	784	46976	46263	713	15883	15754	129	136	136	0	14996.27619047619	14923	27598	18287
Sm_1	S. maltophilia	15	4850000	72750000	70956	69929	1015	12	1027	54268	53334	934	18999	18818	181	174	172	2	15617.019047619047	16266	26682	20684
Sm_1	S. maltophilia	15	4850000	72750000	41048	40713	335	0	335	32297	31980	317	10149	10102	47	95	95	0	9551.895238095238	11108	24639	12930
Sm_1	S. maltophilia	15	4850000	72750000	57861	57165	690	6	696	44855	44220	635	14860	14734	126	133	133	0	13506.819047619048	14560	24091	17039
