Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene
Sm_1	S. maltophilia	11	4850000	53350000	29888	29754	134	0	134	23928	23804	124	6971	6944	27	72	72	0	6189.727272727273	245	22224	9757
Sm_1	S. maltophilia	11	4850000	53350000	47939	47480	459	0	459	36997	36578	419	12565	12496	69	117	117	0	11388.872727272726	14767	23741	14346
Sm_1	S. maltophilia	11	4850000	53350000	40468	40164	303	1	304	31708	31427	281	10091	10043	48	105	105	0	10321.454545454546	12792	21263	12403
Sm_1	S. maltophilia	11	4850000	53350000	47365	46926	437	2	439	37101	36697	404	11818	11752	66	99	99	0	11182.90909090909	14944	23009	14326
Sm_1	S. maltophilia	11	4850000	53350000	27141	27040	101	0	101	21372	21280	92	6707	6690	17	50	50	0	5888.054545454545	233	17961	8610
Sm_1	S. maltophilia	11	4850000	53350000	42486	42120	364	2	366	33330	32990	340	10618	10564	54	81	81	0	11282.709090909091	13913	20346	13081
Sm_1	S. maltophilia	11	4850000	53350000	60783	60000	776	7	783	46949	46236	713	15853	15725	128	136	136	0	17630.81818181818	19560	27598	18278
Sm_1	S. maltophilia	11	4850000	53350000	67357	66430	916	11	927	51616	50772	844	17951	17792	159	163	161	2	17179.745454545453	17262	26682	19750
Sm_1	S. maltophilia	11	4850000	53350000	38593	38283	310	0	310	30597	30301	296	9308	9266	42	90	90	0	9636.218181818182	11112	22118	12184
Sm_1	S. maltophilia	11	4850000	53350000	49167	48691	474	2	476	38634	38199	435	12117	12039	78	106	106	0	12960.89090909091	14742	24091	14930
