AvgNumVariantSite	AvgNumMultiallelicSite	Species	Percent	MeanSNPDist	MedianSNPDist	MaxSNPDist	Project	Dataset	hex_color	color
20384.9	13.7	C. difficile	2.5	13554.566666666668	18681.3	18991.6	Cd_3	C. difficile #3	#42d4f4	cyan
35121.6	150.7	C. difficile	5	15998.4	12757.05	28888	Cd_3	C. difficile #3	#42d4f4	cyan
47368.9	321.6	C. difficile	7.5	15923.067857142858	12957.45	36017.6	Cd_3	C. difficile #3	#42d4f4	cyan
63844.8	576.1	C. difficile	10	18119.83818181818	14069.3	48584.2	Cd_3	C. difficile #3	#42d4f4	cyan
75325.6	751	C. difficile	12.5	18830.797435897435	15250.3	57040.9	Cd_3	C. difficile #3	#42d4f4	cyan
93638.1	1273.2	C. difficile	25	17053.535897435897	13820.3	65476.6	Cd_3	C. difficile #3	#42d4f4	cyan
128443	2658.1	C. difficile	50	17529.088679245284	14086.2	79373.3	Cd_3	C. difficile #3	#42d4f4	cyan
138930	3231	C. difficile	75	18387.4039556962	15710.875	80037.375	Cd_3	C. difficile #3	#42d4f4	cyan
144131	3527	C. difficile	100	18010.370481396578	16071	80084	Cd_3	C. difficile #3	#42d4f4	cyan
9649.2	0	C. difficile	1	9649.2	9649.2	9649.2	Cd_4	C. difficile #4	#4363d8	blue
14820.3	27.5	C. difficile	2.5	5201.88	2725.1	11996.5	Cd_4	C. difficile #4	#4363d8	blue
32107.8	121.4	C. difficile	5	5999.031818181818	2531.85	25329	Cd_4	C. difficile #4	#4363d8	blue
48210.1	238.2	C. difficile	7.5	6023.2210526315785	2481.8	38099.1	Cd_4	C. difficile #4	#4363d8	blue
64854.9	459.6	C. difficile	10	6923.157	2642.15	50799.7	Cd_4	C. difficile #4	#4363d8	blue
72583.8	536.7	C. difficile	12.5	6819.238279569892	2582.1	56966.9	Cd_4	C. difficile #4	#4363d8	blue
90274.1	1050.8	C. difficile	25	6060.455737704918	2470.9	65040.5	Cd_4	C. difficile #4	#4363d8	blue
109965.25	1788.25	C. difficile	50	7121.642964857068	2415.75	72343.25	Cd_4	C. difficile #4	#4363d8	blue
120527	2291	C. difficile	75	7468.032549941246	2642	72812	Cd_4	C. difficile #4	#4363d8	blue
124377	2460	C. difficile	100	6840.76893453145	2495	72812	Cd_4	C. difficile #4	#4363d8	blue
2862.9	0	E. faecium	1	2862.9	2862.9	2862.9	Efm_1	E. faecium #1	#9A6324	brown
5769.5	15.1	E. faecium	2.5	3190.55	3651.9	4870.5	Efm_1	E. faecium #1	#9A6324	brown
7412.1	42.1	E. faecium	5	3094.7035714285716	3645.25	5168.7	Efm_1	E. faecium #1	#9A6324	brown
7840.7	48.4	E. faecium	7.5	3098.5127272727273	3965.8	5304.2	Efm_1	E. faecium #1	#9A6324	brown
8363.1	55.4	E. faecium	10	3048.1209523809525	3675.6	5482.1	Efm_1	E. faecium #1	#9A6324	brown
8773.7	62.3	E. faecium	12.5	3079.7912280701753	3899.3	5529.7	Efm_1	E. faecium #1	#9A6324	brown
9800.4	76.2	E. faecium	25	2993.8321479374113	3744.2	5848.8	Efm_1	E. faecium #1	#9A6324	brown
11577.7	92.2	E. faecium	50	3018.3553333333334	3787.6	6734.1	Efm_1	E. faecium #1	#9A6324	brown
13377.8	110.7	E. faecium	75	3005.5711069709673	3741.7	7832.1	Efm_1	E. faecium #1	#9A6324	brown
14149	118	E. faecium	100	2976.497211571976	3727	8107	Efm_1	E. faecium #1	#9A6324	brown
12501.6	0	E. faecalis	1	12501.6	12501.6	12501.6	Efs_1	E. faecalis #1	#bfef45	Lime
12553.9	0.2	E. faecalis	2.5	6270.416666666667	6265.05	12514.1	Efs_1	E. faecalis #1	#bfef45	Lime
18123.4	16.6	E. faecalis	5	5303.039285714286	65.4	16751.5	Efs_1	E. faecalis #1	#bfef45	Lime
24223.1	74.3	E. faecalis	7.5	6307.55	2957.8	19119.5	Efs_1	E. faecalis #1	#bfef45	Lime
28860.9	125.3	E. faecalis	10	7067.093333333333	4224.05	19787.5	Efs_1	E. faecalis #1	#bfef45	Lime
30815.6	149	E. faecalis	12.5	6557.238947368421	2643.8	20288.3	Efs_1	E. faecalis #1	#bfef45	Lime
33261.5	177.5	E. faecalis	25	5847.766261808367	72.4	20467.6	Efs_1	E. faecalis #1	#bfef45	Lime
34493	193	E. faecalis	50	5851.42360972361	73.6	20743.8	Efs_1	E. faecalis #1	#bfef45	Lime
34865.7	197	E. faecalis	75	5861.294147472114	72.8	20823.6	Efs_1	E. faecalis #1	#bfef45	Lime
35171	201	E. faecalis	100	5960.129430017965	73	20891	Efs_1	E. faecalis #1	#bfef45	Lime
7940.1	0.1	K. pneumoniae	1	3159.97	43.8	7895.6	Kp_1	K. pneumoniae #1	#911eb4	purple
22045	39	K. pneumoniae	2.5	4893.061818181818	43.5	18148.9	Kp_1	K. pneumoniae #1	#911eb4	purple
29699.6	89	K. pneumoniae	5	4247.864426877471	40.9	20912.9	Kp_1	K. pneumoniae #1	#911eb4	purple
36426.9	112.7	K. pneumoniae	7.5	3901.1520499108738	41.9	25953.8	Kp_1	K. pneumoniae #1	#911eb4	purple
38809.9	143.1	K. pneumoniae	10	3627.7759595959596	43.5	26107	Kp_1	K. pneumoniae #1	#911eb4	purple
43321.7	192	K. pneumoniae	12.5	3807.13984962406	43.8	26231.2	Kp_1	K. pneumoniae #1	#911eb4	purple
56696	359.5	K. pneumoniae	25	3762.440723767383	43.4	26594.9	Kp_1	K. pneumoniae #1	#911eb4	purple
72396.5	603	K. pneumoniae	50	3231.063992133727	44	27209	Kp_1	K. pneumoniae #1	#911eb4	purple
78502.7	715	K. pneumoniae	75	3579.822699982648	43.1	27085.1	Kp_1	K. pneumoniae #1	#911eb4	purple
88954	920	K. pneumoniae	100	3825.3720330539763	44	27209	Kp_1	K. pneumoniae #1	#911eb4	purple
504	0.2	K. pneumoniae	1	330.3	463.8	483.5	Kp_2	K. pneumoniae #2	#e6beff	lavendar
661.8	1.3	K. pneumoniae	2.5	217.62857142857143	81.7	554.1	Kp_2	K. pneumoniae #2	#e6beff	lavendar
976.8	2.3	K. pneumoniae	5	213.8934065934066	70.3	740.3	Kp_2	K. pneumoniae #2	#e6beff	lavendar
1185.1	2.8	K. pneumoniae	7.5	215.7447619047619	70.6	834.1	Kp_2	K. pneumoniae #2	#e6beff	lavendar
1412.6	6.7	K. pneumoniae	10	204.678078817734	66	927.5	Kp_2	K. pneumoniae #2	#e6beff	lavendar
