Project	NumOverlapSites	NumIdenticalImpact	NumDifferentImpact	NumBadAnnot	NumHighHigh	NumHighModerate	NumHighLow	NumModerateModerate	NumModerateLow	NumLowLow	percent_different
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cd_3	120	60	60	0	0	7	8	21	45	39	50
Cd_4	86	34	52	0	0	4	7	10	41	24	60.46511627906977
Kp_1	74	23	51	0	0	5	2	16	44	7	68.91891891891892
Kp_2	8	3	5	0	1	0	1	2	4	0	62.5
Sa_1	47	17	30	0	3	7	1	14	22	0	63.829787234042556
Sa_2	38	15	23	0	0	3	4	15	16	0	60.526315789473685
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Efm_1	6	2	4	0	0	1	1	2	2	0	66.66666666666667
Efs_1	20	6	14	0	0	0	4	6	10	0	70
Sm_1	170	78	92	0	6	12	9	41	71	31	54.11764705882353
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lc_1	29	9	20	0	0	1	2	4	17	5	68.96551724137932
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
