Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MeanSNPDist	MedianSNPDist	MaxSNPDist	NumBiallelicOverlappingGene	Percent	Dataset Size (#)	Dataset	hex_color	color
Cd_3	C. difficile	107	4300000	460100000	144131	140604	3471	56	3527	98420	95547	2873	47305	46082	1223	531	511	20	18010.370481396578	16071	80084	11511	100	107	C. difficile #3	#42d4f4	cyan
Cd_4	C. difficile	247	4300000	1062100000	124377	121917	2436	24	2460	81755	79807	1948	43217	42279	938	587	573	14	6840.76893453145	2495	72812	7862	100	247	C. difficile #4	#4363d8	blue
Kp_1	K. pneumoniae	453	5400000	2446200000	88954	88034	907	13	920	67984	67169	815	20527	20362	165	376	373	3	3825.3720330539763	44	27209	76	100	453	K. pneumoniae #1	#911eb4	purple
Kp_2	K. pneumoniae	286	5400000	1544400000	4534	4491	42	1	43	2656	2619	37	1739	1728	11	139	138	1	204.56596736596737	67	2125	8	100	286	K. pneumoniae #2	#e6beff	lavendar
Sa_1	S. aureus	150	2800000	420000000	38142	37846	295	1	296	22685	22475	210	14313	14209	104	364	356	8	5194.964295302014	479	14627	74	100	150	S. aureus #1	#e6194B	red
Sa_2	S. aureus	267	2800000	747600000	57399	57008	391	0	391	37814	37520	294	19282	19126	156	413	404	9	5561.357438540171	270	40302	38	100	267	S. aureus #2	#fabebe	pink
Efm_1	E. faecium	152	2900000	440800000	14149	14031	118	0	118	9788	9694	94	4281	4239	42	112	112	0	2976.497211571976	3727	8107	8	100	152	E. faecium #1	#9A6324	brown
Efs_1	E. faecalis	157	2900000	455300000	35171	34970	201	0	201	27105	26934	171	7485	7437	48	123	122	1	5960.129430017965	73	20891	20	100	157	E. faecalis #1	#bfef45	Lime
Sm_1	S. maltophilia	149	4850000	722650000	124578	121498	3018	62	3080	91269	88521	2748	37091	36475	616	331	325	6	11243.41030292037	14312	28842	32594	100	149	S. maltophilia #1	#aaffc3	mint
Lc_1	L. crispatus	28	2040000	57120000	45425	44889	531	5	536	33529	33055	474	11770	11644	126	229	226	3	9501.513227513227	6219.5	23148	34	100	28	L. crispatus #1	#f032e6	magenta
Cd_3	C. difficile	3	4300000	12900000	11204	11184	20	0	20	7849	7830	19	3542	3538	4	32	32	0	7390.333333333333	7520	8570	1447	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	17637	17637	0	0	0	12341	12341	0	5570	5570	0	34	34	0	11757.666666666666	17617	17629	2091	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	13836	13813	23	0	23	9791	9768	23	4286	4284	2	44	44	0	9152.333333333334	8969	10064	1765	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	17325	17325	0	0	0	12021	12021	0	5563	5563	0	42	42	0	11516.333333333334	17201	17295	2091	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	21165	21116	49	0	49	14801	14763	38	6692	6676	16	42	41	1	14119.333333333334	17307	17619	2485	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	8806	8806	0	0	0	6157	6157	0	2803	2803	0	29	29	0	5824	8642	8778	1155	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	78081	78080	1	0	1	57847	57846	1	21557	21556	1	154	154	0	52037	78006	78052	9200	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	6658	6658	0	0	0	4708	4708	0	2065	2065	0	16	16	0	4436	6645	6651	859	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	8048	8048	0	0	0	5734	5734	0	2464	2464	0	28	28	0	5350	7981	8014	1074	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	3	4300000	12900000	21089	21045	44	0	44	14621	14585	36	6788	6775	13	56	56	0	13962.666666666666	16925	17244	2505	2.5	3	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	90619	89851	767	1	768	66228	65580	648	25816	25581	235	188	184	4	37787.3	17769.5	76812	9690	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	21208	21159	49	0	49	14814	14776	38	6718	6702	16	46	45	1	11995.2	17296	17629	2488	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	26653	26555	97	1	98	18568	18489	79	8504	8474	30	71	70	1	11803.7	9664.5	18685	3116	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	21203	21165	38	0	38	14491	14461	30	6998	6986	12	56	56	0	9276.5	8032.5	17295	2551	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	23789	23710	79	0	79	16521	16458	63	7652	7628	24	54	53	1	12630.4	17296	17619	2785	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	17236	17177	59	0	59	12016	11967	49	5522	5505	17	61	61	0	7996.1	8756	10184	2224	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	81430	81212	218	0	218	60165	59985	180	22603	22529	74	165	165	0	33139.9	6349	78099	9360	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	20823	20785	38	0	38	14509	14482	27	6635	6623	12	47	46	1	11806.8	17432	17484	2441	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	24317	24239	78	0	78	16893	16831	62	7801	7775	26	64	62	2	10937.8	8054	17615	2857	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	5	4300000	21500000	23938	23856	82	0	82	16529	16464	65	7771	7743	28	66	64	2	12610.3	16921	17458	2821	5	5	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	92846	91979	863	4	867	67655	66929	726	26636	26361	275	197	193	4	27679.64285714286	17381	76812	9804	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	24666	24575	89	2	91	17133	17061	72	7918	7890	28	63	62	1	11336.17857142857	17178	17629	2851	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	33433	33242	190	1	191	22928	22774	154	10994	10930	64	94	92	2	11818.642857142857	10069	18685	3744	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	35060	34857	201	2	203	23688	23524	164	11850	11781	69	110	110	0	13300.25	16957.5	18785	4145	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	27321	27200	120	1	121	18715	18617	98	9020	8983	37	65	63	2	12070.285714285714	16949.5	17629	3174	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	90861	90197	657	7	664	66129	65567	562	26163	25963	200	220	217	3	25239.714285714286	8756	78690	9946	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	92920	92115	802	3	805	67597	66933	664	26781	26524	257	203	199	4	25764.285714285714	8850	78909	9724	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	25490	25406	83	1	84	17631	17565	66	8254	8228	26	64	63	1	10351.964285714286	8530.5	17936	3097	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	24604	24523	81	0	81	17061	16997	64	7919	7892	27	69	67	2	10133.785714285714	8054	17624	2889	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	8	4300000	34400000	26488	26379	108	1	109	18128	18043	85	8737	8699	38	79	77	2	11535.92857142857	16849	17477	3284	7.5	8	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	97481	96382	1088	11	1099	70446	69526	920	28513	28151	362	222	215	7	22717.272727272728	8712	76812	10033	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	24844	24753	89	2	91	17219	17147	72	8015	7987	28	63	62	1	10903.690909090908	17175	17629	2869	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	35346	35129	215	2	217	24121	23946	175	11739	11665	74	102	100	2	12467.181818181818	17172	18779	4073	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	104401	103051	1334	16	1350	74511	73387	1124	31397	30958	439	265	259	6	25366.654545454545	17295	79677	10366	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	30076	29923	151	2	153	20508	20384	124	10005	9958	47	77	75	2	11741.2	16854	17815	3411	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	90905	90240	658	7	665	66152	65589	563	26183	25983	200	221	218	3	19804.236363636363	8592	78690	9957	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	97249	96261	982	6	988	70136	69322	814	28567	28238	329	227	222	5	31630.236363636363	13821	79539	9972	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	94162	93329	829	4	833	68336	67640	696	27285	27019	266	210	206	4	23442.454545454544	17433	80001	9960	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	31756	31576	178	2	180	21987	21846	141	10232	10170	62	104	100	4	11313.236363636364	9913	19262	3651	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	11	4300000	47300000	32228	32043	184	1	185	21852	21707	145	10843	10776	67	96	94	2	11812.218181818182	13726	17638	3866	10	11	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	97511	96412	1088	11	1099	70457	69537	920	28532	28170	362	222	215	7	21074.48717948718	12823.5	76812	10040	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	93808	92973	830	5	835	68119	67420	699	27151	26888	263	210	206	4	21399.384615384617	17288.5	80001	9763	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	38412	38137	273	2	275	26255	26031	224	12698	12607	91	120	118	2	12687.641025641025	17199	19284	4392	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	104427	103077	1334	16	1350	74522	73398	1124	31412	30973	439	265	259	6	23121.29487179487	17327.5	79677	10378	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	34439	34232	205	2	207	23195	23030	165	11729	11662	67	95	92	3	11827.705128205129	16441	18073	4045	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	98704	97642	1052	10	1062	71137	70254	883	29065	28724	341	239	234	5	20510.5641025641	9252	79597	10216	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	99653	98549	1098	6	1104	71589	70678	911	29542	29171	371	244	239	5	29478.076923076922	14054	79641	10128	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	94216	93383	829	4	833	68345	67649	696	27326	27060	266	215	211	4	20878.82051282051	17426.5	80001	9962	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	57550	57025	523	2	525	40651	40226	425	17747	17568	179	163	158	5	15612.679487179486	17192	39408	6322	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	13	4300000	55900000	34536	34316	219	1	220	23296	23129	167	11744	11660	84	105	101	4	11717.320512820514	13499	17915	4091	12.5	13	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	103493	102135	1342	16	1358	73770	72652	1118	31223	30761	462	259	251	8	16145.524216524216	13729	77244	10353	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	105405	104043	1346	16	1362	75013	73881	1132	31900	31464	436	281	273	8	16175.552706552706	16113	80001	10497	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	68259	67460	791	8	799	46929	46268	661	22266	22003	263	211	206	5	13820.569800569801	13625	39487	7330	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	121930	119538	2360	32	2392	85007	83040	1967	38454	37659	795	404	392	12	18504.63817663818	16933	79677	10893	25	27	C. difficile #3	#42d4f4	cyan
Cd_3	C. difficile	27	4300000	116100000	43786	43432	351	3	354	29289	29004	285	15076	14959	117	149	146	3	11590.649572649572	9846	19262	4994	25	27	C. difficile #3	#42d4f4	cyan
