AvgNumVariantSite	AvgNumMultiallelicSite	Species	Percent	MaxSNPDist	Project	Dataset	hex_color	color
266.5	0	C. difficile	2.5	259	Cd_1	C. difficile #1	#469990	teal
309.3	0.1	C. difficile	5	266.4	Cd_1	C. difficile #1	#469990	teal
345.2	0.2	C. difficile	7.5	277.1	Cd_1	C. difficile #1	#469990	teal
599.7	0.5	C. difficile	10	501.5	Cd_1	C. difficile #1	#469990	teal
626.8	0.7	C. difficile	12.5	507.9	Cd_1	C. difficile #1	#469990	teal
1386.2	1.7	C. difficile	25	1146	Cd_1	C. difficile #1	#469990	teal
1957	2.6	C. difficile	50	1476.8	Cd_1	C. difficile #1	#469990	teal
2950.8	3.9	C. difficile	75	2229.5	Cd_1	C. difficile #1	#469990	teal
3667	5	C. difficile	100	2738	Cd_1	C. difficile #1	#469990	teal
20384.9	13.7	C. difficile	2.5	18991.6	Cd_3	C. difficile #3	#42d4f4	cyan
35121.6	150.7	C. difficile	5	28888	Cd_3	C. difficile #3	#42d4f4	cyan
47368.9	321.6	C. difficile	7.5	36017.6	Cd_3	C. difficile #3	#42d4f4	cyan
63844.8	576.1	C. difficile	10	48584.2	Cd_3	C. difficile #3	#42d4f4	cyan
75325.6	751	C. difficile	12.5	57040.9	Cd_3	C. difficile #3	#42d4f4	cyan
93638.1	1273.2	C. difficile	25	65476.6	Cd_3	C. difficile #3	#42d4f4	cyan
128443	2658.1	C. difficile	50	79373.3	Cd_3	C. difficile #3	#42d4f4	cyan
141631	3398.285714285714	C. difficile	75	80030.71428571429	Cd_3	C. difficile #3	#42d4f4	cyan
144131	3527	C. difficile	100	80084	Cd_3	C. difficile #3	#42d4f4	cyan
9649.2	0	C. difficile	1	9649.2	Cd_4	C. difficile #4	#4363d8	blue
14820.3	27.5	C. difficile	2.5	11996.5	Cd_4	C. difficile #4	#4363d8	blue
32107.8	121.4	C. difficile	5	25329	Cd_4	C. difficile #4	#4363d8	blue
48210.1	238.2	C. difficile	7.5	38099.1	Cd_4	C. difficile #4	#4363d8	blue
64854.9	459.6	C. difficile	10	50799.7	Cd_4	C. difficile #4	#4363d8	blue
72583.8	536.7	C. difficile	12.5	56966.9	Cd_4	C. difficile #4	#4363d8	blue
90274.1	1050.8	C. difficile	25	65040.5	Cd_4	C. difficile #4	#4363d8	blue
109965.25	1788.25	C. difficile	50	72343.25	Cd_4	C. difficile #4	#4363d8	blue
120527	2291	C. difficile	75	72812	Cd_4	C. difficile #4	#4363d8	blue
124377	2460	C. difficile	100	72812	Cd_4	C. difficile #4	#4363d8	blue
