AvgNumMultiallelicSite	Species	MaxSNPDist	Project	Percent
2.5	C. difficile	2738	Cd_1	25
2.6666666666666665	C. difficile	2738	Cd_1	50
4.142857142857143	C. difficile	2738	Cd_1	75
5	C. difficile	2738	Cd_1	100
1	C. difficile	78052	Cd_3	2.5
493	C. difficile	77455.5	Cd_3	5
778.6666666666666	C. difficile	78137	Cd_3	7.5
987	C. difficile	78943.8	Cd_3	10
1047.1666666666667	C. difficile	79288.16666666667	Cd_3	12.5
1542.5714285714287	C. difficile	79515.57142857143	Cd_3	25
2658.1	C. difficile	79373.3	Cd_3	50
3398.285714285714	C. difficile	80030.71428571429	Cd_3	75
3527	C. difficile	80084	Cd_3	100
1209	C. difficile	71815	Cd_4	10
1227	C. difficile	72037	Cd_4	12.5
1475	C. difficile	71975	Cd_4	25
1788.25	C. difficile	72343.25	Cd_4	50
2291	C. difficile	72812	Cd_4	75
2460	C. difficile	72812	Cd_4	100
1	E. faecium	8076	Efm_1	2.5
67	E. faecium	8076	Efm_1	5
76	E. faecium	8087	Efm_1	7.5
77	E. faecium	8087	Efm_1	10
101	E. faecium	8087	Efm_1	12.5
106	E. faecium	8104.5	Efm_1	25
111.2	E. faecium	8105.2	Efm_1	50
114.66666666666667	E. faecium	8106.333333333333	Efm_1	75
118	E. faecium	8107	Efm_1	100
98	E. faecalis	20148	Efs_1	5
104.25	E. faecalis	20400.25	Efs_1	7.5
147.42857142857142	E. faecalis	20326.571428571428	Efs_1	10
155.22222222222223	E. faecalis	20338.333333333332	Efs_1	12.5
177.5	E. faecalis	20467.6	Efs_1	25
193	E. faecalis	20743.8	Efs_1	50
197	E. faecalis	20823.6	Efs_1	75
201	E. faecalis	20891	Efs_1	100
30	K. pneumoniae	2112	Kp_2	25
37.4	K. pneumoniae	2119.8	Kp_2	50
40.833333333333336	K. pneumoniae	2122.8333333333335	Kp_2	75
43	K. pneumoniae	2125	Kp_2	100
37	L. crispatus	22018	Lc_1	10
45	L. crispatus	22018	Lc_1	12.5
208.5	L. crispatus	22559.75	Lc_1	25
340.25	L. crispatus	22969.5	Lc_1	50
474.3	L. crispatus	23091.4	Lc_1	75
536	L. crispatus	23148	Lc_1	100
206	S. aureus	40006	Sa_2	2.5
210.33333333333334	S. aureus	39946.333333333336	Sa_2	5
215.6	S. aureus	39926.6	Sa_2	7.5
221.2	S. aureus	39962.4	Sa_2	10
227	S. aureus	40004.166666666664	Sa_2	12.5
255.33333333333334	S. aureus	40178.11111111111	Sa_2	25
305.8	S. aureus	40260.9	Sa_2	50
344	S. aureus	40302	Sa_2	75
391	S. aureus	40302	Sa_2	100
