Project	Species	NumIsolates	AvgGenomeBP	TotalBP	NumVariantSite	NumBiallelicSite	NumTriallelicSite	NumQuadallelicSite	NumMultiallelicSite	NumVariantLow	NumBiallelicLow	NumMultiallelicLow	NumVariantModerate	NumBiallelicModerate	NumMultiallelicModerate	NumVariantHigh	NumBiallelicHigh	NumMultiallelicHigh	MaxSNPDist	NumBiallelicOverlappingGene	Percent	SNPDist_95p_of_max	Within_5p_MaxSNPDist	Plot_name	hex_color	color
Cd_1	C. difficile	137	4300000	589100000	3667	3662	5	0	5	2148	2148	0	1446	1441	5	56	56	0	2738	72	100	2601.1	TRUE	C. difficle #1	#469990	teal
Cd_3	C. difficile	107	4300000	460100000	144131	140604	3471	56	3527	98420	95547	2873	47305	46082	1223	531	511	20	80084	11511	100	76079.8	TRUE	C. difficle #3	#42d4f4	cyan
Cd_4	C. difficile	247	4300000	1062100000	124377	121917	2436	24	2460	81755	79807	1948	43217	42279	938	587	573	14	72812	7862	100	69171.4	TRUE	C. difficle #4	#4363d8	blue
Kp_2	K. pneumoniae	286	5400000	1544400000	4534	4491	42	1	43	2656	2619	37	1739	1728	11	139	138	1	2125	8	100	2018.75	TRUE	K. pneumoniae #2	#e6beff	lavendar
Sa_2	S. aureus	267	2800000	747600000	57399	57008	391	0	391	37814	37520	294	19282	19126	156	413	404	9	40302	38	100	38286.9	TRUE	S. aureus #2	#fabebe	pink
Efm_1	E. faecium	152	2900000	440800000	14149	14031	118	0	118	9788	9694	94	4281	4239	42	112	112	0	8107	8	100	7701.65	TRUE	E. faecium #1	#9A6324	brown
Efs_1	E. faecalis	157	2900000	455300000	35171	34970	201	0	201	27105	26934	171	7485	7437	48	123	122	1	20891	20	100	19846.45	TRUE	E. faecalis #1	#bfef45	Lime
Lc_1	L. crispatus	28	2040000	57120000	45425	44889	531	5	536	33529	33055	474	11770	11644	126	229	226	3	23148	34	100	21990.6	TRUE	L. crispatus #1	#f032e6	magenta
Cd_1	C. difficile	3	4300000	12900000	57	57	0	0	0	9	9	0	42	42	0	6	6	0	50	2	2.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	3	4300000	12900000	48	48	0	0	0	9	9	0	37	37	0	2	2	0	41	0	2.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	3	4300000	12900000	50	50	0	0	0	11	11	0	39	39	0	0	0	0	37	5	2.5	2601.1	FALSE	C. difficle #1	#469990	teal
Cd_1	C. difficile	3	4300000	12900000	24	24	0	0	0	5	5	0	17	17	0	2	2	0	20	2	2.5	2601.1	FALSE	C. difficle #1	#469990	teal
