Project	variable	value
Cd_3	Low	0.7666666666666667
Cd_4	Low	0.8372093023255814
Kp_1	Low	0.7162162162162162
Kp_2	Low	0.625
Sa_1	Low	0.48936170212765956
Sa_2	Low	0.5263157894736842
Efm_1	Low	0.5
Efs_1	Low	0.7
Sm_1	Low	0.6529411764705882
Lc_1	Low	0.8275862068965517
Cd_3	Moderate	0.6083333333333333
Cd_4	Moderate	0.6395348837209303
Kp_1	Moderate	0.8783783783783784
Kp_2	Moderate	0.75
Sa_1	Moderate	0.9148936170212766
Sa_2	Moderate	0.8947368421052632
Efm_1	Moderate	0.8333333333333334
Efs_1	Moderate	0.8
Sm_1	Moderate	0.7294117647058823
Lc_1	Moderate	0.7586206896551724
Cd_3	High	0.125
Cd_4	High	0.12790697674418605
Kp_1	High	0.0945945945945946
Kp_2	High	0.25
Sa_1	High	0.23404255319148937
Sa_2	High	0.18421052631578946
Efm_1	High	0.3333333333333333
Efs_1	High	0.2
Sm_1	High	0.1588235294117647
Lc_1	High	0.10344827586206896
