"","times_snp_appears"
"2792.1",1
"2816.1",1
"3058.1",5
"3172.1",1
"3172.2",3
"3185.1",1
"3248.1",1
"3308.1",2
"4000.1",1
"4237.1",1
"11322.1",1
"13777.1",1
"13804.1",1
"14224.1",1
"14230.1",2
"14239.1",1
"14515.1",3
"14843.1",1
"14887.1",2
"15023.1",1
"15368.1",1
"15398.1",2
"15641.1",7
"15874.1",1
"15877.1",1
"16295.1",1
"16422.1",3
"16478.1",1
"16719.1",1
"16719.2",1
"16761.1",1
"16865.1",3
"16896.1",5
"17114.1",1
"17120.1",1
"17199.1",1
"17376.1",5
"17379.1",1
"17457.1",1
"17664.1",1
"18033.1",5
"18213.1",2
"18335.1",1
"18539.1",1
"18641.1",2
"19067.1",1
"19615.1",1
"19636.1",1
"20302.1",1
"20572.1",4
"20695.1",3
"20710.1",2
"20734.1",1
"20917.1",1
"20947.1",2
"20992.1",4
"21112.1",1
"21121.1",4
"21390.1",2
"21442.1",1
"21910.1",3
"22108.1",2
"22291.1",4
"22522.1",1
"22816.1",4
"23023.1",4
"23260.1",1
"23314.1",4
"23326.1",1
"23329.1",3
"23374.1",4
"23497.1",2
"23521.1",2
"23656.1",2
"23675.1",1
"23920.1",3
"23997.1",2
"24153.1",1
"24360.1",2
"24367.1",2
"24447.1",4
"24466.1",2
"24495.1",4
"24540.1",1
"24666.1",3
"24690.1",4
"24786.1",4
"24969.1",1
"25020.1",4
"25158.1",4
"25221.1",4
"25377.1",4
"25647.1",2
"33801.1",2
"33930.1",1
"34134.1",1
"34493.1",1
"34496.1",1
"34499.1",1
"34547.1",1
"34589.1",1
"34607.1",1
"34637.1",1
"34741.1",1
"34775.1",1
"34823.1",3
"35726.1",14
"35747.1",1
"36008.1",2
"36035.1",2
"36038.1",2
"36359.1",1
"36605.1",1
"36626.1",1
"36653.1",3
"36869.1",1
"36881.1",1
"36907.1",1
"36920.1",1
"36989.1",2
"37081.1",1
"37085.1",1
"37361.1",1
"37595.1",1
"37610.1",1
"39703.1",1
"40387.1",1
"41044.1",1
"41044.2",1
"41056.1",1
"41125.1",5
"41157.1",1
"41233.1",1
"41296.1",1
"41335.1",1
"41386.1",5
"41404.1",1
"42124.1",2
"42211.1",2
"42283.1",1
"48702.1",4
"48747.1",1
"48810.1",1
"49044.1",7
"49074.1",1
"49435.1",2
"49788.1",1
"49821.1",1
"49869.1",1
"50337.1",4
"50470.1",1
"50687.1",1
"50693.1",2
"51389.1",1
"52141.1",5
"52438.1",1
"52795.1",2
"53005.1",1
"53461.1",2
"53470.1",3
"53473.1",2
"53671.1",2
"53716.1",2
"53822.1",1
"53875.1",2
"53878.1",1
"53893.1",1
"53987.1",2
"54826.1",1
"55159.1",2
"55728.1",1
"55914.1",1
"55929.1",1
"57232.1",3
"57633.1",5
"57831.1",3
"58203.1",1
"58635.1",1
"58718.1",1
"58754.1",1
"58791.1",1
"58941.1",2
"61512.1",2
"61617.1",14
"61652.1",2
"62266.1",3
"62297.1",2
"62563.1",2
"62728.1",1
"62750.1",2
"62780.1",2
"62828.1",1
"63026.1",1
"63046.1",2
"63095.1",1
"63175.1",2
"63298.1",1
"63367.1",3
"63463.1",2
"63508.1",4
"63517.1",2
"63544.1",6
"63552.1",1
"63567.1",1
"63654.1",1
"63657.1",2
"63684.1",1
"63687.1",2
"63696.1",1
"63717.1",2
"63720.1",1
"63741.1",3
"63743.1",1
"63755.1",2
"63773.1",1
"63791.1",1
"63830.1",3
"63869.1",1
"63884.1",1
"63890.1",3
"63900.1",1
"63902.1",1
"63941.1",1
"63993.1",1
"64004.1",1
"64007.1",1
"64013.1",1
"64037.1",1
"64097.1",3
"64141.1",1
"64149.1",1
"64159.1",1
"64166.1",1
"64359.1",2
"64367.1",1
"64381.1",1
"64464.1",2
"64479.1",2
"64589.1",8
"64686.1",3
"64689.1",1
"64710.1",1
"64740.1",3
"64791.1",1
"64804.1",2
"64908.1",3
"64995.1",2
"65025.1",1
"65118.1",1
"65166.1",1
"65476.1",1
"65506.1",1
"65677.1",2
"65677.2",1
"65761.1",2
"65815.1",1
"65835.1",4
"65848.1",1
"65902.1",2
"65977.1",2
"65977.2",1
"66016.1",1
"66055.1",1
"66082.1",1
"66094.1",1
"66127.1",1
"66145.1",1
"66223.1",1
"66280.1",1
"66310.1",2
"66313.1",1
"66385.1",1
"66394.1",4
"66397.1",1
"66466.1",1
"66469.1",2
"66505.1",1
"66628.1",1
"66631.1",3
"66715.1",1
"66721.1",4
"66733.1",2
"66802.1",1
"66889.1",1
"66904.1",1
"66961.1",1
"67030.1",1
"67057.1",1
"67105.1",1
"67152.1",1
"67186.1",1
"67486.1",2
"67554.1",1
"67678.1",1
"68000.1",1
"68001.1",2
"68022.1",2
"68025.1",1
"68046.1",1
"68121.1",3
"68121.2",1
"68211.1",9
"68257.1",1
"68289.1",1
"68293.1",5
"68297.1",5
"68340.1",1
"68445.1",1
"68448.1",1
"68454.1",1
"68458.1",1
"68499.1",3
"68529.1",1
"68565.1",1
"68625.1",1
"68625.2",1
"68631.1",1
"68709.1",1
"68716.1",2
"68724.1",1
"68757.1",1
"68760.1",2
"68787.1",1
"68793.1",5
"68805.1",1
"68829.1",1
"68853.1",1
"68913.1",2
"68925.1",1
"68946.1",1
"70473.1",1
"71339.1",1
"71549.1",1
"72118.1",1
"72889.1",1
"73030.1",34
"73051.1",1
"73450.1",4
"73664.1",2
"73732.1",1
"74694.1",12
"76093.1",1
"77127.1",1
"77127.2",6
"77139.1",6
"77208.1",1
"77916.1",1
"80739.1",1
"80760.1",2
"81195.1",1
"81666.1",3
"82111.1",3
"82153.1",5
"82390.1",1
"83588.1",1
"84154.1",2
"84191.1",1
"84191.2",2
"84268.1",2
"84409.1",4
"84413.1",1
"84436.1",1
"84991.1",1
"85021.1",1
"85430.1",1
"85655.1",1
"86066.1",1
"86072.1",1
"86756.1",1
"87314.1",1
"87320.1",1
"87330.1",1
"87476.1",1
"87494.1",1
"87548.1",1
"87635.1",3
"90545.1",1
"90738.1",1
"91046.1",3
"91062.1",1
"93877.1",3
"94291.1",2
"94432.1",1
"94672.1",3
"94831.1",1
"96211.1",1
"96216.1",1
"96249.1",1
"96486.1",1
"97018.1",2
"97887.1",1
"98657.1",2
"98684.1",1
"100353.1",1
"101073.1",1
"101598.1",6
"101634.1",1
"101847.1",1
"102327.1",1
"105330.1",13
"105438.1",9
"105905.1",1
"107205.1",1
"107514.1",1
"111313.1",1
"111466.1",2
"111598.1",1
"111758.1",1
"112234.1",1
"112855.1",2
"112912.1",2
"112990.1",1
"113065.1",1
"113317.1",1
"113479.1",1
"114280.1",1
"116024.1",1
"116367.1",2
"117302.1",1
"119179.1",1
"120075.1",1
"122976.1",1
"126630.1",1
"126984.1",1
"129243.1",1
"130324.1",1
"130362.1",1
"130376.1",4
"130472.1",1
"130525.1",1
"130562.1",1
"130714.1",2
"130861.1",1
"130908.1",1
"131165.1",1
"131194.1",1
"132423.1",1
"132567.1",2
"132651.1",3
"132675.1",2
"132704.1",1
"133020.1",1
"133071.1",1
"133088.1",1
"133757.1",1
"134394.1",2
"134488.1",2
"134771.1",5
"134777.1",1
"134822.1",13
"135116.1",2
"135173.1",1
"135283.1",1
"135310.1",3
"135346.1",1
"135553.1",5
"135799.1",1
"135844.1",1
"135871.1",4
"135973.1",4
"135976.1",12
"136077.1",3
"136475.1",1
"138347.1",1
"138821.1",1
"140321.1",1
"141251.1",1
"141407.1",1
"141500.1",2
"141518.1",1
"141695.1",2
"141992.1",2
"142202.1",3
"143248.1",3
"143413.1",4
"143444.1",1
"143762.1",1
"145792.1",3
"147169.1",3
"150391.1",4
"151255.1",5
"152364.1",1
"152491.1",1
"156532.1",1
"160568.1",2
"160835.1",2
"162377.1",4
"162548.1",1
"162893.1",2
"163244.1",3
"163265.1",2
"163294.1",2
"163916.1",7
"164408.1",1
"165772.1",3
"165910.1",2
"165928.1",2
"165967.1",1
"166162.1",1
"166177.1",8
"166234.1",1
"166237.1",2
"166246.1",2
"166330.1",1
"166366.1",2
"166375.1",5
"166375.2",2
"166378.1",5
"166381.1",8
"166429.1",1
"166435.1",5
"166435.2",1
"166465.1",1
"166571.1",2
"166585.1",4
"166648.1",1
"166861.1",1
"166915.1",3
"167285.1",3
"167351.1",2
"167447.1",2
"167559.1",2
"167594.1",2
"167603.1",2
"167666.1",4
"167699.1",2
"167720.1",1
"167723.1",1
"167822.1",1
"168063.1",1
"168063.2",1
"168126.1",2
"168133.1",1
"168146.1",2
"168168.1",1
"168207.1",1
"168237.1",2
"168609.1",1
"168693.1",2
"169419.1",5
"169703.1",1
"169880.1",1
"169922.1",4
"170642.1",4
"170646.1",4
"170768.1",2
"170792.1",1
"170854.1",1
"170867.1",1
"170959.1",0
"171434.1",9
"171542.1",1
"171755.1",1
"171764.1",6
"171799.1",1
"171853.1",2
"172213.1",1
"172339.1",2
"172732.1",3
"172882.1",1
"172946.1",1
"173303.1",1
"173315.1",1
"173318.1",1
"173321.1",1
"173333.1",2
"173603.1",1
"173819.1",2
"174161.1",1
"174224.1",1
"174362.1",1
"175700.1",8
"175748.1",1
"177457.1",1
"179469.1",1
"181248.1",2
"182029.1",1
"182167.1",2
"185062.1",1
"185839.1",2
"185852.1",2
"185880.1",1
"185893.1",8
"185895.1",1
"185932.1",1
"186322.1",1
"186457.1",1
"186553.1",3
"186577.1",2
"186639.1",3
"186639.2",2
"186643.1",2
"187107.1",3
"187124.1",1
"187141.1",1
"187195.1",2
"187232.1",7
"187400.1",4
"187860.1",1
"188005.1",8
"188096.1",2
"188102.1",3
"188105.1",1
"188150.1",1
"188153.1",1
"188159.1",2
"188186.1",2
"188249.1",1
"188375.1",5
"188390.1",3
"188408.1",1
"188431.1",1
"188462.1",1
"188573.1",1
"188648.1",1
"188723.1",5
"188735.1",1
"188736.1",11
"188857.1",1
"188906.1",3
"188939.1",1
"188942.1",3
"188942.2",1
"188949.1",1
"188961.1",1
"189014.1",3
"189026.1",3
"189049.1",1
"189112.1",2
"189114.1",1
"189133.1",1
"189142.1",1
"189165.1",2
"189193.1",3
"189196.1",2
"189196.2",1
"189223.1",1
"189280.1",3
"189295.1",1
"189298.1",1
"189301.1",2
"189331.1",2
"189334.1",4
"189406.1",1
"189406.2",1
"189418.1",3
"189457.1",1
"189481.1",1
"189788.1",1
"189791.1",1
"189914.1",1
"190010.1",1
"190209.1",1
"190218.1",1
"190491.1",1
"190572.1",11
"190599.1",10
"192412.1",1
"194869.1",3
"195078.1",1
"195501.1",1
"195558.1",2
"196104.1",1
"196898.1",1
"196899.1",1
"197112.1",1
"198128.1",1
"198256.1",1
"198260.1",1
"198410.1",4
"198857.1",1
"199166.1",2
"199739.1",2
"200021.1",1
"200551.1",1
"201876.1",4
"202445.1",1
"202841.1",9
"203666.1",1
"203959.1",4
"203963.1",1
"207050.1",1
"207461.1",1
"207623.1",1
"208277.1",1
"208454.1",1
"208627.1",2
"210460.1",2
"211267.1",1
"211270.1",1
"211366.1",3
"212955.1",2
"213336.1",1
"213978.1",1
"214008.1",1
"214065.1",1
"214563.1",1
"214943.1",1
"217044.1",1
"217401.1",1
"217479.1",1
"217482.1",1
"217491.1",1
"217563.1",1
"217650.1",1
"217893.1",1
"217935.1",1
"218040.1",1
"218191.1",1
"218498.1",3
"218528.1",1
"218958.1",1
"219366.1",1
"220646.1",1
"221514.1",1
"221658.1",1
"221859.1",1
"221862.1",1
"222212.1",1
"222213.1",1
"222336.1",1
"222606.1",1
"222669.1",1
"222850.1",1
"223142.1",1
"223397.1",2
"223919.1",2
"224148.1",1
"224713.1",1
"224724.1",1
"225481.1",1
"226206.1",8
"226371.1",1
"228083.1",2
"228104.1",1
"228113.1",1
"228263.1",3
"231694.1",1
"231710.1",1
"232027.1",2
"232533.1",2
"232602.1",2
"232671.1",1
"232842.1",1
"234414.1",1
"235593.1",2
"235641.1",1
"235647.1",1
"235704.1",1
"235722.1",1
"237554.1",3
"242059.1",1
"242692.1",7
"242869.1",1
"242881.1",1
"242918.1",1
"242979.1",5
"243058.1",1
"243064.1",7
"243226.1",1
"243580.1",1
"244078.1",2
"244279.1",1
"244529.1",1
"245511.1",1
"245838.1",8
"245841.1",4
"246166.1",1
"253192.1",1
"254649.1",1
"256888.1",1
"257704.1",1
"257719.1",1
"258812.1",1
"258992.1",1
"259093.1",1
"260150.1",3
"260201.1",2
"260204.1",1
"260528.1",1
"261278.1",1
"261410.1",1
"261467.1",1
"261694.1",3
"261739.1",1
"261763.1",2
"261790.1",1
"261808.1",1
"262213.1",1
"262228.1",1
"262277.1",1
"262318.1",1
"262441.1",1
"262576.1",3
"262579.1",6
"262579.2",1
"264492.1",1
"264525.1",1
"264651.1",1
"265100.1",1
"265149.1",1
"265206.1",1
"266321.1",2
"267379.1",5
"267445.1",1
"268380.1",1
"268428.1",1
"269341.1",1
"269455.1",1
"269960.1",1
"270125.1",1
"270143.1",2
"270284.1",1
"270509.1",2
"271305.1",2
"271327.1",1
"272084.1",2
"272251.1",1
"272375.1",3
"272384.1",1
"273404.1",1
"273437.1",1
"274095.1",1
"274554.1",1
"274766.1",2
"274874.1",1
"274913.1",1
"275129.1",1
"275168.1",5
"275214.1",1
"275387.1",1
"275420.1",1
"275651.1",1
"276194.1",1
"276414.1",1
"276432.1",3
"276558.1",1
"276558.2",1
"276777.1",2
"276855.1",1
"277056.1",2
"277095.1",1
"278043.1",2
"279291.1",2
"279294.1",2
"279301.1",1
"279341.1",1
"279341.2",1
"279381.1",2
"279411.1",1
"279420.1",1
"279904.1",2
"279910.1",1
"279967.1",1
"280039.1",1
"280801.1",13
"280906.1",1
"280972.1",1
"281440.1",1
"282163.1",1
"282166.1",1
"283110.1",1
"283838.1",1
"284483.1",1
"285601.1",1
"285610.1",1
"285655.1",2
"285670.1",2
"285673.1",2
"286116.1",1
"286353.1",2
"286371.1",1
"286413.1",2
"286455.1",1
"286542.1",4
"286560.1",2
"287466.1",5
"287514.1",1
"287544.1",1
"288242.1",1
"288413.1",2
"288587.1",3
"288625.1",1
"289093.1",1
"289192.1",1
"289234.1",2
"289237.1",1
"289534.1",1
"289559.1",1
"289562.1",1
"289630.1",4
"289654.1",1
"289741.1",1
"291304.1",2
"291814.1",1
"291997.1",1
"292492.1",2
"293639.1",2
"295170.1",1
"296012.1",38
"296215.1",2
"296626.1",0
"297326.1",4
"297394.1",12
"297491.1",1
"297497.1",1
"297713.1",4
"298630.1",1
"299665.1",1
"299850.1",2
"299850.2",2
"299851.1",2
"299906.1",1
"300144.1",1
"300204.1",1
"300219.1",2
"300276.1",1
"300339.1",2
"300339.2",1
"300365.1",2
"300492.1",2
"300504.1",1
"300510.1",1
"300831.1",2
"301145.1",3
"301283.1",1
"301289.1",4
"301495.1",1
"301495.2",1
"302043.1",1
"302094.1",5
"302127.1",1
"302153.1",2
"302174.1",5
"302290.1",14
"302314.1",1
"302333.1",3
"302335.1",6
"302365.1",2
"302371.1",1
"302406.1",1
"302476.1",1
"302536.1",1
"303403.1",1
"303406.1",2
"303418.1",2
"303458.1",2
"303532.1",1
"303607.1",2
"303631.1",12
"303634.1",2
"303655.1",2
"303661.1",6
"303670.1",10
"303694.1",3
"303721.1",9
"303763.1",4
"303769.1",6
"303874.1",1
"303916.1",1
"303943.1",1
"303961.1",1
"303988.1",1
"304018.1",1
"304033.1",1
"304033.2",1
"304042.1",1
"304045.1",1
"304402.1",2
"304423.1",1
"304426.1",1
"304441.1",19
"304441.2",2
"304483.1",1
