"","times_snp_appears"
"107",1
"261",1
"298",2
"316",1
"484",1
"491",1
"537",0
"1066",1
"1114",1
"1150",1
"1168",2
"1322",2
"1349",1
"1377",0
"1378",2
"1771",1
"1906",1
"1963",1
"2359",1
"2386",1
"2443",1
"2459",2
"2576",2
"2777",0
"2789",0
"3089",2
"3098",1
"3104",3
"3110",1
"3113",1
"3242",1
"3284",1
"3311",3
"3479",3
"3506",2
"3640",1
"3785",0
"3947",1
"4060",1
"4144",1
"4150",0
"4213",1
"4293",1
"4294",1
"4351",1
"4356",1
"4540",4
"4546",1
"4763",1
"4891",1
"5012",1
"5125",2
"5158",1
"5869",1
"6004",0
"6061",1
"6124",3
"6184",1
"6205",0
"6322",1
"6460",0
"6463",1
"6505",1
"6745",3
"6883",3
"7012",1
"7060",1
"7183",0
"7228",1
"7285",1
"7324",1
"7342",3
"7354",1
"7475",3
"7520",4
"7525",4
"7586",4
"7931",2
"7964",1
"8200",0
"8308",1
"8421",1
"8626",1
"8655",1
"8812",1
"8858",1
"8891",1
"8938",1
"8953",1
"8975",0
"9137",3
"9196",2
"9226",2
"9232",2
"9235",2
"9253",1
"9258",1
"9406",1
"9478",0
"9813",1
"9843",2
"9849",1
"10065",0
"10326",3
"10407",0
"10551",0
"10635",1
"10788",1
"10821",1
"10863",3
"10887",1
"10941",1
"11064",0
"11142",1
"11160",0
"11211",1
"11259",1
"11387",1
"11576",0
"11824",0
"11863",2
"11881",1
"12085",2
"12163",0
"12197",3
"12291",0
"12382",1
"12439",0
"12457",3
"12640",1
"12661",1
"12850",1
"12879",1
"12880",2
"13006",1
"13035",1
"13059",1
"13075",1
"13144",0
"13290",0
"13310",1
"13443",1
"13480",2
"13489",1
"13498",1
"13684",0
"14023",3
"14062",1
"14092",2
"14323",1
"14413",2
"14482",1
"14533",1
"14581",1
"14637",1
"14680",1
"14953",1
"15067",2
"15070",1
"15118",0
"15247",2
"15292",1
"15295",1
"15433",1
"15457",0
"15562",3
"15648",1
"15709",1
"15757",1
"15811",1
"21090",1
"21106",0
"21150",5
"21154",3
"21156",12
"21176",1
"21216",1
"21377",1
"21422",1
"21460",1
"21470",0
"21491",3
"21516",1
"21520",1
"21527",1
"21810",1
"21872",1
"21880",1
"21913",2
"21925",1
"21934",0
"21942",1
"22081",1
"22105",1
"22132",0
"22169",1
"22312",23
"22658",1
"22719",1
"22729",1
"22757",1
"22760",1
"23002",1
"23093",1
"23162",3
"23183",1
"23187",1
"23292",1
"23354",1
"23362",1
"23389",1
"23444",0
"23897",1
"23990",1
"23997",1
"24248",1
"24469",1
"24471",1
"24482",1
"24545",1
"24620",1
"24621",3
"24771",1
"24825",1
"25056",1
"25248",1
"25431",1
"25535",0
"25539",1
"25602",1
"25620",4
"25666",1
"25799",0
"26069",1
"26084",0
"26171",1
"26211",1
"26243",1
"26413",1
"26491",1
"26546",1
"26609",3
"26624",1
"26688",1
"26689",1
"26690",2
"26728",1
"26729",1
"26775",1
"26889",1
"26897",2
"26933",1
"26973",1
"27125",1
"27200",1
"27203",1
"27227",2
"27350",1
"27473",1
"27680",3
"27740",1
"27755",1
"28031",3
"28145",1
"28268",1
"28316",1
"28484",1
"28629",1
"28829",0
"29087",2
"29174",1
"29213",0
"29381",1
"29567",0
"29613",1
"29646",1
"29669",1
"29693",1
"29694",1
"29703",1
"29704",2
"29706",3
"29719",0
"29727",1
"29913",1
"29952",1
"30263",1
"30303",1
"30353",1
"30471",1
"30476",0
"30492",1
"30706",1
"31081",1
"31121",1
"31198",1
"31213",1
"31223",1
"31243",0
"31261",1
"31267",0
"31867",1
"31912",0
"31936",3
"31990",0
"32026",1
"32037",1
"32098",3
"32158",1
"32187",2
"32256",1
"32354",3
"32391",1
"32438",1
"32457",3
"32517",4
"32523",3
"32529",3
"32562",2
"32643",1
"32877",4
"32916",1
"32952",1
"33015",1
"33042",2
"33075",1
"33155",1
"33192",3
"33327",1
"33348",1
"33414",1
"33441",2
"33543",1
"33665",0
"33674",1
"33678",3
"34001",1
"34154",1
"34378",0
"34544",1
"34685",1
"34703",2
"34772",4
"34790",1
"34931",1
"35046",1
"35090",1
"35269",1
"35641",1
"35671",2
"35686",1
"35953",1
"36022",3
"36070",1
"36088",3
"36537",1
"36627",2
"36903",1
"37324",1
"37491",1
"37602",1
"37629",3
"37644",0
"37647",0
"37659",1
"37704",1
"37774",1
"37959",1
"37980",1
"38055",0
"38073",1
"38103",1
"38118",1
"38124",1
"38202",1
"38208",1
"38210",1
"38280",0
"38415",0
"38435",1
"38454",1
"38475",1
"38484",1
"38547",1
"38622",1
"38683",1
"38742",1
"38743",1
"38744",2
"38745",1
"38746",1
"39087",1
"39228",1
"39321",0
"39380",1
"39462",1
"39477",1
"39527",0
"39539",3
"39759",1
"39824",1
"39833",1
"39840",1
"39927",0
"40040",3
"40043",1
"40166",0
"40272",0
"40369",0
"40462",1
"40612",1
"40869",1
"40872",1
"40884",1
"40920",1
"40938",1
"40956",1
"40959",1
"40974",1
"40989",1
"41001",1
"41004",1
"41034",2
"41061",1
"41064",1
"41091",1
"41097",2
"41121",1
"41136",1
"41139",1
"41145",1
"41154",0
"41163",1
"41196",2
"41209",1
"41223",1
"41238",1
"41253",1
"41283",1
"41286",1
"41310",1
"41340",2
"41355",2
"41460",2
"41496",1
"41499",1
"41511",4
"41544",1
"41547",1
"41550",1
"41562",1
"41571",1
"41577",1
"41598",1
"41625",1
"41640",1
"41665",0
"41685",1
"41726",4
"41730",3
"41751",2
"41768",1
"41774",2
"41786",3
"41791",3
"41801",2
"41837",2
"41868",1
"41900",2
"41927",0
"41933",0
"41945",0
"41950",0
"41966",0
"41972",2
"41974",0
"41988",1
"41990",1
"41993",0
"41996",0
"41999",0
"42001",0
"42002",0
"42005",0
"42007",0
"42008",0
"42026",3
"42029",3
"42047",4
"42049",4
"42050",4
"42053",4
"42056",4
"42062",4
"42069",3
"42070",3
"42077",4
"42092",1
"42094",1
"42098",1
"42107",1
"42115",1
"42119",0
"42122",0
"42125",0
"42128",0
"42131",2
"42137",3
"42161",0
"42173",0
"42179",0
"42182",1
"42200",0
"42212",0
"42215",0
"42218",0
"42219",0
"42221",0
"42224",0
"42236",0
"42238",0
"42239",0
"42244",1
"42246",0
"42251",0
"42258",0
"42261",0
"42267",0
"42275",0
"42308",0
"42314",0
"42317",0
"42323",0
"42326",0
"42341",0
"42344",0
"42351",0
"42352",0
"42356",0
"42358",0
"42362",0
"42365",0
"42367",0
"42371",0
"42374",0
"42377",0
"42385",0
"42449",0
"42473",1
"42579",1
"42619",1
"42662",1
"42694",1
"42725",1
"42793",3
"42802",0
"42806",0
"42828",1
"43024",1
"43154",2
"43212",1
"43263",1
"43335",1
"43499",1
"43511",3
"43513",3
"43565",1
"43779",2
"43818",1
"43857",1
"43992",0
"44040",1
"44060",1
"44106",3
"44232",0
"44521",1
"44662",1
"45029",1
"45271",1
"45577",2
"45589",1
"45595",2
"45598",2
"45711",1
"45738",1
"45742",0
"45982",1
"45988",3
"46405",0
"46447",2
"46483",3
"46545",1
"46600",0
"46639",1
"46726",2
"47275",1
"47461",1
"47482",4
"47635",1
"47803",1
"47812",1
"47818",2
"48021",1
"48022",1
"48061",1
"48067",1
"48076",0
"48082",0
"48085",0
"48091",0
"48106",0
"48112",0
"48121",0
"48148",0
"48154",0
"48178",0
"48184",4
"48193",0
"48196",0
"48198",0
"48199",0
"48214",0
"48217",0
"48220",0
"48223",0
"48229",0
"48262",0
"48523",1
"48655",1
"48697",1
"48787",1
"48802",1
"48826",1
"48880",1
"48889",1
"48901",1
"48919",1
"48973",1
"49102",1
"49217",1
"49229",1
"49370",1
"49375",1
"49485",1
"49516",1
"49518",3
"49568",1
"49884",2
"49927",0
"49973",1
"49995",4
"50014",1
"50016",0
"50022",1
"50124",0
"50139",2
"50172",1
"50195",1
"50203",1
"50225",0
"50235",0
"50297",0
"50306",1
"50334",1
"50559",2
"50727",1
"50730",1
"50768",1
"50772",1
"50774",1
"50790",3
"50864",1
"50924",3
"50996",3
"51158",1
"51416",1
"51521",1
"52039",1
"52048",2
"52090",1
"52102",2
"52129",1
"52226",3
"52274",1
"52372",1
"52418",1
"52472",1
"52664",1
"52733",1
"52738",3
"52817",2
"52925",1
"53150",3
"53216",1
"53219",1
"53360",3
"53468",1
"53673",3
"53709",1
"53931",1
"54093",1
"54120",3
"54154",1
"54186",1
"54291",4
"54369",4
"54405",4
"54413",1
