"","times_snp_appears"
"228",1
"261",1
"298",1
"489",1
"491",1
"604",1
"1066",1
"1114",1
"1168",3
"1210",1
"1273",1
"1338",1
"1378",1
"1379",2
"1383",1
"1422",1
"1659",1
"1771",1
"1906",1
"2035",1
"2128",1
"2302",1
"2359",2
"2386",3
"2459",1
"2576",5
"2810",1
"3089",1
"3098",1
"3104",4
"3110",2
"3236",1
"3242",2
"3305",1
"3479",5
"3506",3
"3540",1
"3631",1
"3701",1
"3773",1
"3785",9
"4213",1
"4294",1
"4510",1
"4540",2
"4546",6
"4549",3
"4599",1
"4630",1
"4820",1
"4891",1
"5065",1
"5125",3
"5248",1
"6124",3
"6184",1
"6322",2
"6325",1
"6392",1
"6463",1
"6505",1
"6766",1
"6883",2
"7012",1
"7060",1
"7285",2
"7342",3
"7354",2
"7475",5
"7478",1
"7520",3
"7521",1
"7525",3
"7528",1
"7586",4
"8009",1
"8104",1
"8144",1
"8308",1
"8421",1
"8665",1
"8812",2
"8818",1
"8891",1
"8938",1
"9226",2
"9232",2
"9235",2
"9310",1
"9406",1
"9478",3
"9813",1
"9843",1
"9849",1
"10065",6
"10125",1
"10326",4
"10368",1
"10407",1
"10503",1
"10551",1
"10821",1
"10863",4
"10941",1
"11064",2
"11142",1
"11211",1
"11259",2
"11980",1
"12001",1
"12046",1
"12073",1
"12085",3
"12155",1
"12186",1
"12197",3
"12247",1
"12292",1
"12382",1
"12640",1
"12661",1
"12850",1
"12880",4
"13006",1
"13009",1
"13078",1
"13144",3
"13168",1
"13310",2
"13477",1
"13480",2
"13489",1
"13498",3
"13516",1
"13660",1
"13696",1
"13903",1
"14092",1
"14145",1
"14236",1
"14362",1
"14410",1
"14413",5
"14442",1
"14494",1
"14533",2
"14581",2
"14596",1
"14637",1
"14680",2
"14686",1
"14953",2
"15092",1
"15118",0
"15295",1
"15331",1
"15391",1
"15433",1
"15648",1
"15685",1
"15709",1
"15713",1
"21195",1
"21220",1
"21225",1
"21312",1
"21350",1
"21460",1
"21519",1
"21520",2
"21527",1
"21532",1
"21542",1
"21810",1
"21872",1
"21913",1
"21925",1
"21934",2
"22002",1
"22012",1
"22081",1
"22105",1
"22169",7
"22249",1
"22612",1
"22658",2
"22719",1
"22729",1
"22757",1
"22760",1
"22840",2
"23093",1
"23162",4
"23183",4
"23187",4
"23292",2
"23321",1
"23354",1
"23362",1
"23389",1
"23414",1
"23420",1
"23444",6
"23503",1
"23653",1
"23894",1
"23897",2
"23990",1
"23997",1
"24020",3
"24155",1
"24248",1
"24471",3
"24482",1
"24503",1
"24545",3
"24582",1
"24771",1
"24796",2
"24825",1
"24846",1
"24900",1
"25248",1
"25561",1
"26005",1
"26069",1
"26084",6
"26363",1
"26390",1
"26626",1
"26688",1
"26689",3
"26690",1
"26728",1
"26889",1
"27029",1
"27227",1
"27680",2
"27740",1
"27755",1
"28145",4
"28268",1
"28316",1
"28484",1
"28560",1
"28569",1
"28586",1
"29087",4
"29174",2
"29213",2
"29381",1
"29669",1
"29689",1
"29693",1
"29703",3
"29837",1
"29913",1
"29998",1
"30143",1
"30353",1
"30706",2
"30928",1
"31081",1
"31116",1
"31123",1
"31172",1
"31198",1
"31213",2
"31261",4
"31568",1
"31690",2
"31903",1
"31906",1
"31912",1
"31936",5
"31976",1
"31980",1
"32012",2
"32026",1
"32098",2
"32146",1
"32158",4
"32187",2
"32354",3
"32457",1
"32553",1
"32631",1
"32643",5
"32952",1
"33015",2
"33042",3
"33075",1
"33192",5
"33227",1
"33348",1
"33414",1
"33543",1
"33558",3
"33678",4
"33723",1
"33737",1
"33887",1
"34361",1
"34427",1
"34460",1
"34544",1
"34583",1
"34685",5
"34748",1
"34772",7
"34796",1
"34844",1
"34940",1
"35209",1
"35233",1
"35269",1
"35463",1
"35641",1
"35671",3
"36034",1
"36067",1
"36082",2
"36772",1
"37387",1
"37428",1
"37602",1
"37629",1
"37653",1
"37707",1
"37725",1
"37780",1
"37948",1
"37959",2
"38055",2
"38106",1
"38163",1
"38202",2
"38208",1
"38744",2
"39067",1
"39087",1
"39165",1
"39276",1
"39300",1
"39369",1
"39391",1
"39467",1
"39479",1
"39539",4
"39824",1
"39833",1
"39840",1
"39927",1
"39930",1
"40040",4
"40043",2
"40127",1
"40272",2
"40612",1
"40854",1
"40869",1
"40872",1
"40884",1
"40920",1
"40938",1
"40956",1
"40959",1
"40974",1
"40989",1
"41001",1
"41004",1
"41034",1
"41058",1
"41061",1
"41064",1
"41091",1
"41097",2
"41121",1
"41136",2
"41139",2
"41145",2
"41154",4
"41163",2
"41196",2
"41209",2
"41238",2
"41253",3
"41265",1
"41283",3
"41310",3
"41340",3
"41355",3
"41460",3
"41496",3
"41499",3
"41511",3
"41544",1
"41547",1
"41550",1
"41562",1
"41571",1
"41577",1
"41598",1
"41625",1
"41637",1
"41640",1
"41685",2
"41730",1
"41933",8
"41950",3
"41966",3
"42190",1
"42191",2
"42244",2
"42398",1
"42449",5
"42579",1
"42601",1
"42616",1
"42688",2
"42985",1
"43154",1
"43181",1
"43402",1
"43488",1
"43496",1
"43499",1
"43511",3
"43513",3
"43583",1
"43857",1
"44045",1
"44106",6
"44232",2
"44241",1
"44355",1
"44498",1
"44662",1
"44929",1
"45271",1
"45577",4
"45589",1
"45595",4
"45598",4
"45982",1
"45988",3
"46040",1
"46447",1
"46545",1
"46600",6
"46726",2
"46909",1
