,CB1,CB2,CB3,ERR2092980,ERR2092981,ERR1045849,ERR1045852,SRR447229,SRR447230,SRR447234,SRR515127,SRR515554,SRR515126,SRR515552,SRR064779,SRR447236,SRR447245,SRR447239,ERR1045847,ERR1045795,SRR2095366,ERR1045798,SRR6000499,ERR1045859,SRR3664368,SRR1151145,SRR5364843,ERR1045815
CB1,2996,2985,2953,2117,2117,2630,2079,1921,1922,1922,1920,1909,2101,2098,2083,2083,2083,2083,2211,2278,2390,1544,1552,1503,1518,1536,1455,1544
CB2,2985,3027,2946,2113,2112,2630,2075,1924,1925,1925,1920,1908,2099,2100,2086,2086,2087,2086,2211,2287,2398,1555,1562,1540,1554,1545,1461,1550
CB3,2953,2946,2973,2120,2119,2601,2064,1907,1907,1907,1907,1895,2088,2083,2089,2089,2089,2089,2213,2272,2395,1544,1552,1501,1516,1525,1444,1533
ERR2092980,2117,2113,2120,3629,3621,2094,2069,2070,2072,2071,2089,2079,1866,1868,2446,2446,2446,2446,2585,2013,2200,1798,1804,1790,1805,1751,1677,1905
ERR2092981,2117,2112,2119,3621,3636,2098,2072,2073,2075,2074,2092,2080,1880,1879,2449,2449,2449,2449,2585,2015,2206,1805,1812,1796,1812,1758,1684,1912
ERR1045849,2630,2630,2601,2094,2098,3178,2487,2326,2327,2327,2308,2311,2460,2475,2405,2405,2408,2405,2510,2531,2576,1936,1938,1869,1875,1843,1741,1926
ERR1045852,2079,2075,2064,2069,2072,2487,3313,2530,2531,2531,2624,2627,2723,2737,2172,2172,2172,2172,2312,2337,2432,1981,1991,1920,1926,1902,1800,2058
SRR447229,1921,1924,1907,2070,2073,2326,2530,4305,4303,4304,3077,3093,2785,2810,3330,3332,3330,3331,2409,2258,2492,2912,2940,2819,2841,2924,2819,3094
SRR447230,1922,1925,1907,2072,2075,2327,2531,4303,4314,4305,3081,3096,2787,2813,3330,3332,3330,3330,2411,2264,2497,2919,2947,2826,2848,2929,2824,3099
SRR447234,1922,1925,1907,2071,2074,2327,2531,4304,4305,4307,3077,3094,2785,2811,3330,3332,3330,3330,2410,2259,2492,2912,2940,2819,2841,2923,2818,3094
SRR515127,1920,1920,1907,2089,2092,2308,2624,3077,3081,3077,3443,3418,2798,2797,2375,2375,2375,2377,2326,2000,2182,2155,2181,2104,2121,2210,2105,2315
SRR515554,1909,1908,1895,2079,2080,2311,2627,3093,3096,3094,3418,3442,2785,2815,2392,2392,2392,2392,2329,2009,2185,2166,2191,2117,2128,2213,2108,2327
SRR515126,2101,2099,2088,1866,1880,2460,2723,2785,2787,2785,2798,2785,3878,3847,2265,2267,2265,2265,2228,2850,2966,2155,2179,2096,2111,2126,2027,2363
SRR515552,2098,2100,2083,1868,1879,2475,2737,2810,2813,2811,2797,2815,3847,3887,2288,2290,2288,2288,2243,2845,2965,2181,2205,2123,2133,2142,2043,2380
SRR064779,2083,2086,2089,2446,2449,2405,2172,3330,3330,3330,2375,2392,2265,2288,4023,4020,4012,4015,2844,2253,2604,2618,2645,2542,2562,2507,2405,2720
SRR447236,2083,2086,2089,2446,2449,2405,2172,3332,3332,3332,2375,2392,2267,2290,4020,4022,4012,4014,2844,2255,2604,2618,2645,2542,2562,2509,2407,2722
SRR447245,2083,2087,2089,2446,2449,2408,2172,3330,3330,3330,2375,2392,2265,2288,4012,4012,4024,4012,2844,2252,2601,2618,2645,2543,2563,2507,2405,2722
SRR447239,2083,2086,2089,2446,2449,2405,2172,3331,3330,3330,2377,2392,2265,2288,4015,4014,4012,4027,2844,2253,2602,2615,2642,2540,2560,2507,2405,2720
ERR1045847,2211,2211,2213,2585,2585,2510,2312,2409,2411,2410,2326,2329,2228,2243,2844,2844,2844,2844,3432,2415,2522,2092,2098,2055,2061,2086,1984,2196
ERR1045795,2278,2287,2272,2013,2015,2531,2337,2258,2264,2259,2000,2009,2850,2845,2253,2255,2252,2253,2415,6206,5029,2941,2948,2894,2895,2801,2705,2818
SRR2095366,2390,2398,2395,2200,2206,2576,2432,2492,2497,2492,2182,2185,2966,2965,2604,2604,2601,2602,2522,5029,7167,3627,3654,3592,3603,3384,3289,3307
ERR1045798,1544,1555,1544,1798,1805,1936,1981,2912,2919,2912,2155,2166,2155,2181,2618,2618,2618,2615,2092,2941,3627,13860,13738,12488,12320,7981,7876,7514
SRR6000499,1552,1562,1552,1804,1812,1938,1991,2940,2947,2940,2181,2191,2179,2205,2645,2645,2645,2642,2098,2948,3654,13738,13770,12408,12261,7959,7854,7507
ERR1045859,1503,1540,1501,1790,1796,1869,1920,2819,2826,2819,2104,2117,2096,2123,2542,2542,2543,2540,2055,2894,3592,12488,12408,13672,13456,7816,7712,7427
SRR3664368,1518,1554,1516,1805,1812,1875,1926,2841,2848,2841,2121,2128,2111,2133,2562,2562,2563,2560,2061,2895,3603,12320,12261,13456,13525,7760,7667,7360
SRR1151145,1536,1545,1525,1751,1758,1843,1902,2924,2929,2923,2210,2213,2126,2142,2507,2509,2507,2507,2086,2801,3384,7981,7959,7816,7760,13992,13879,7681
SRR5364843,1455,1461,1444,1677,1684,1741,1800,2819,2824,2818,2105,2108,2027,2043,2405,2407,2405,2405,1984,2705,3289,7876,7854,7712,7667,13879,13969,7590
ERR1045815,1544,1550,1533,1905,1912,1926,2058,3094,3099,3094,2315,2327,2363,2380,2720,2722,2722,2720,2196,2818,3307,7514,7507,7427,7360,7681,7590,13967
