,3399-4058-0-RVRE,1016-2017-0-RVRE,5948-6048-14-RVRE,793-A001-120-G-TIPmvre,1090-E022-60-R-TIPmvre,738-E023-1-R-TIPmvre,1047-4017-14-GVRE,1896-4034-0-HVRE,5855-2060-0-RVRE,635-C003-1-G-TIPmvre,1352-E036-1-G-TIPmvre,3362-E077-30-R-TIPmvre,546-I005-14-R-TIPmvre,5902-1089-0-RVRE,3363-A015-14-R-TIPmvre,7151-3115-0-RVRE,6430-1097-0-RVRE,1537-1034-0-RVRE,824-4018-0-RVRE,1341-E033-1-R-TIPmvre,4133-3066-0-RVRE,5489-2056-0-HVRE,7258-3113-14-RVRE,629-2013-0-RVRE,4030-H021-30-R-TIPmvre,539-1018-0-RVRE,1028-E026-1-R-TIPmvre,4794-5029-0-RVRE,7413-3121-0-RVRE,1053-6004-0-R1VRE,6242-5037-0-RVRE,949-3025-0-RVRE,1096-1026-0-RVRE,1278-1019-30-RVRE,1644-3031-14-RVRE,702-3020-0-RVRE,5080-2051-0-HVRE,1543-4028-0-GVRE,1638-6008-0-RVRE,236-4004-0-RVRE,1137-4020-14-RVRE,219-2005-0-RVRE,711-4015-0-RVRE,4313-6035-0-GVRE,4462-6037-0-RVRE,6077-4098-0-GVRE,1455-4025-0-RVRE,2963-2031-14-RVRE,4922-2049-0-RVRE,5363-2050-14-RVRE,80-2003-0-RVRE,1463-1033-0-HVRE,2471-4044-0-GVRE,2492-6012-14-GVRE,8512-3145-0-RVRE,8088-3137-0-RVRE,8513-3147-0-RVRE,898-4011-30-GVRE,609-6002-30-RVRE,4362-6036-0-RVRE,4693-4077-0-HVRE,4007-5020-0-RVRE,4031-J032-1-G-TIPmvre,2026-4040-0-RVRE,3744-F061-90-G-TIPmvre,7600-3125-0-GVRE,7891-2076-0-OVRE,5232-4088-0-RVRE,217-2001-30-HVRE,5856-4095-0-GVRE,851-5002-0-RVRE,409-1015-0-RVRE,3884-J030-1-G-TIPmvre,3070-L011-1-G-TIPmvre,3686-C018-1-R-TIPmvre,6697-4104-0-GVRE,697-3019-0-RVRE,5827-6047-14-RVRE,4639-1079-0-RVRE,4832-1081-0-GVRE,5541-1082-30-RVRE,1420-2021-0-RVRE,6304-2065-0-RVRE,6651-2067-0-RVRE,1488-4026-0-HVRE,1929-4036-0-GVRE,6950-4109-0-RVRE,2308-2029-0-RVRE,4948-4081-0-RVRE,5954-3098-0-R1VRE,6435-4099-14-GVRE,7053-4107-14-RVRE,4384-3073-0-RVRE,5348-3091-0-RVRE,9019-3156-0-RVRE,1676-4031-0-GVRE,2386-6013-0-R1VRE,3994-6029-0-GVRE,4593-3077-0-RVRE,7583-5041-0-HVRE,621-2007-14-RVRE,5284-6044-0-RVRE,483-2008-0-RVRE,5533-3092-0-HVRE,8303-3140-0-H1VRE,5214-4087-0-HVRE,5924-3095-14-RVRE,4280-2041-14-HVRE,615-3018-0-HVRE,3233-1045-60-H1VRE,905-4021-0-RVRE,5006-5030-0-RVRE,5925-3097-0-HVRE,6648-4103-0-HVRE,4703-4078-0-R1VRE,4902-4076-14-RVRE,729-4016-0-HVRE,6129-1092-0-HVRE,8052-3132-0-HVRE,4784-3082-0-RVRE,1334-2020-0-R1VRE,2886-5012-0-RVRE,6748-6057-0-HVRE,2243-3041-14-RVRE,1889-3036-0-OVRE,4145-6030-14-RVRE,3320-D044-1-R-TIPmvre,4009-E118-14-R-TIPmvre,5261-4089-0-RVRE,5285-6045-0-RVRE,3226-4049-14-RVRE,344-1009-0-HVRE,899-D004-14-G-TIPmvre,3082-3051-0-RVRE,5088-6043-0-HVRE,6988-1099-0-RVRE,3717-G013-14-O-TIPmvre,4143-2042-0-RVRE,3673-4064-0-HVRE,4999-3085-0-HVRE,3743-D050-1-G-TIPmvre,1781-3033-30-RVRE,3890-6028-0-RVRE,3667-E109-14-R-TIPmvre,3672-K017-1-G-TIPmvre,442-1011-14-RVRE,4544-5027-0-RVRE,4786-5025-14-HVRE,8232-2079-0-HVRE,1321-3028-0-RVRE,6429-1096-0-RVRE,6652-3103-14-RVRE
3399-4058-0-RVRE,69,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,23,29,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,29,29,29,23,23,23,23,23,23,23,23,23,23,25,23,23,23,23,23,23,36,23,16,23,25,23,23,23,23,23,23,23,23,37,23,23,23,23,9,9,9,9,9,9,9,9,9,9,9,9,9,11,25,25,25,25,25,25,25,25,25,35,25,25,25,25,25,25,25,25,25,25,25,25,25,25,18,9,9,9,9,45,45,45,45,45,45,9,11,9,12,12,26,12,12,16,61,55,56,56,56,55,68,68,68,68,62,69,69
1016-2017-0-RVRE,57,1111,1098,1097,1097,1097,1093,1093,1091,1093,1093,1090,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1092,1093,1093,392,397,392,391,392,392,391,391,392,392,392,392,392,392,392,390,392,281,281,281,392,392,392,392,392,392,392,392,390,392,392,392,392,390,392,392,392,405,390,385,392,391,392,392,392,392,392,392,392,391,405,392,392,392,392,340,340,340,340,340,340,340,340,339,340,340,340,340,340,354,354,354,354,354,353,354,354,354,267,354,354,354,354,354,354,354,354,354,354,352,350,351,363,440,284,284,284,284,346,346,346,346,346,345,283,283,286,428,428,444,431,432,384,574,458,628,628,628,627,92,92,92,92,78,84,84
5948-6048-14-RVRE,57,1098,1134,1097,1097,1097,1093,1093,1091,1093,1093,1090,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1092,1093,1093,392,397,392,391,392,392,391,391,392,392,392,392,392,392,392,390,392,281,281,281,392,392,392,392,392,392,392,392,390,392,392,392,392,390,392,392,392,405,390,385,392,391,392,392,392,392,392,392,392,391,405,392,391,391,391,340,340,340,340,340,340,340,340,339,340,340,340,340,340,354,354,354,354,354,353,354,354,354,267,354,354,354,354,354,354,354,354,354,354,352,350,351,363,440,284,284,284,284,345,345,345,345,345,344,282,282,285,428,428,444,431,432,384,574,458,628,628,628,627,92,92,92,92,78,84,84
793-A001-120-G-TIPmvre,57,1097,1097,1126,1097,1097,1093,1093,1091,1093,1093,1090,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1092,1093,1093,392,397,392,391,392,392,391,391,392,392,392,392,392,392,392,390,392,281,281,281,392,392,392,392,392,392,392,392,390,392,392,392,392,390,392,392,392,405,390,385,392,391,392,392,392,392,392,392,392,391,405,392,391,391,391,340,340,340,340,340,340,340,340,339,340,340,340,340,340,354,354,354,354,354,353,354,354,354,267,354,354,354,354,354,354,354,354,354,354,352,350,351,363,440,284,284,284,284,345,345,345,345,345,344,282,282,285,428,428,444,431,432,384,574,458,628,628,628,627,92,92,92,92,78,84,84
1090-E022-60-R-TIPmvre,57,1097,1097,1097,1119,1117,1093,1093,1091,1093,1093,1090,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1092,1093,1093,392,397,392,391,392,392,391,391,392,392,392,392,392,392,392,390,392,281,281,281,392,392,392,392,392,392,392,392,390,392,392,392,392,390,392,392,392,405,390,385,392,391,392,392,392,392,392,392,392,391,405,392,391,391,391,340,340,340,340,340,340,340,340,339,340,340,340,340,340,354,354,354,354,354,353,354,354,354,267,354,354,354,354,354,354,354,354,354,354,352,350,351,363,440,284,284,284,284,345,345,345,345,345,344,282,282,285,428,428,444,431,432,384,574,458,628,628,628,627,92,92,92,92,78,84,84
738-E023-1-R-TIPmvre,57,1097,1097,1097,1117,1117,1093,1093,1091,1093,1093,1090,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1093,1092,1093,1093,392,397,392,391,392,392,391,391,392,392,392,392,392,392,392,390,392,281,281,281,392,392,392,392,392,392,392,392,390,392,392,392,392,390,392,392,392,405,390,385,392,391,392,392,392,392,392,392,392,391,405,392,391,391,391,340,340,340,340,340,340,340,340,339,340,340,340,340,340,354,354,354,354,354,353,354,354,354,267,354,354,354,354,354,354,354,354,354,354,352,350,351,363,440,284,284,284,284,345,345,345,345,345,344,282,282,285,428,428,444,431,432,384,574,458,628,628,628,627,92,92,92,92,78,84,84
1047-4017-14-GVRE,57,1093,1093,1093,1093,1093,1145,1134,1111,1112,1108,1104,1107,1108,1108,1100,1096,1094,1094,1094,1094,1094,1094,1092,1093,1093,392,397,392,391,392,392,391,391,392,392,392,392,392,392,392,390,392,281,281,281,392,392,392,392,392,392,392,392,390,392,392,392,392,390,392,392,392,405,390,385,392,391,392,392,392,392,392,392,392,391,405,392,391,391,391,340,340,340,340,340,340,340,340,339,340,340,340,340,340,354,354,354,354,354,353,354,354,354,267,354,354,354,354,354,354,354,354,354,354,352,350,351,364,440,284,284,284,284,345,345,345,345,345,344,282,282,285,428,428,444,431,432,384,574,458,630,630,630,628,92,92,92,92,78,84,84
1896-4034-0-HVRE,57,1093,1093,1093,1093,1093,1134,1151,1112,1113,1108,1104,1107,1108,1108,1100,1096,1094,1094,1094,1094,1094,1094,1092,1093,1093,392,397,392,391,392,392,391,391,392,392,392,392,392,392,392,390,392,281,281,281,392,392,392,392,392,392,392,392,390,392,392,392,392,390,392,392,392,405,390,385,392,391,392,392,392,392,392,392,392,391,405,392,391,391,391,340,340,340,340,340,340,340,340,339,340,340,340,340,340,354,354,354,354,354,353,354,354,354,267,354,354,354,354,354,354,354,354,354,354,352,350,351,364,440,284,284,284,284,345,345,345,345,345,344,282,282,285,428,428,444,431,432,384,574,458,630,630,630,628,92,92,92,92,78,84,84
5855-2060-0-RVRE,57,1091,1091,1091,1091,1091,1111,1112,1140,1110,1105,1103,1104,1105,1105,1097,1093,1092,1092,1092,1092,1092,1092,1090,1091,1091,391,396,391,390,391,391,390,390,391,391,390,391,391,391,391,391,391,282,282,282,391,391,391,391,391,391,391,391,391,391,391,391,391,389,391,391,391,404,395,384,391,390,391,391,391,391,391,391,391,394,404,391,390,390,390,349,349,349,349,349,349,349,345,344,345,349,349,349,349,353,353,353,353,353,351,353,353,353,268,353,353,353,353,353,353,353,353,353,353,351,351,350,363,439,288,288,288,288,356,356,356,356,357,355,291,291,293,437,437,452,440,441,388,575,459,629,629,629,629,92,92,92,92,78,84,84
635-C003-1-G-TIPmvre,57,1093,1093,1093,1093,1093,1112,1113,1110,1117,1108,1104,1107,1108,1108,1100,1096,1094,1094,1094,1094,1094,1094,1092,1093,1093,392,397,392,391,392,392,391,391,392,392,392,392,392,392,392,390,392,281,281,281,392,392,392,392,392,392,392,392,390,392,392,392,392,390,393,392,392,405,390,385,392,391,392,392,392,392,392,392,393,391,405,392,391,391,391,340,340,340,340,340,340,340,340,339,340,340,340,340,340,354,354,354,354,354,353,354,354,354,267,354,354,355,354,354,354,354,354,354,354,352,350,351,364,440,284,284,284,284,345,345,345,345,345,344,282,282,285,428,428,444,431,432,384,574,458,630,630,630,628,93,92,92,92,78,84,84
