"","times_snp_appears"
"60",1
"123",3
"201",4
"213",1
"249",3
"273",1
"303",1
"333",1
"351",5
"375",2
"408",3
"411",1
"435",1
"454",3
"462",1
"498",1
"564",1
"610",3
"735",1
"756",1
"757",1
"804",1
"942",1
"948",3
"963",1
"984",1
"1047",1
"1164",4
"1206",1
"1248",1
"1363",1
"1384",1
"1395",1
"1639",1
"1736",1
"1744",1
"1756",1
"1757",1
"1813",1
"1816",3
"1888",1
"1892",1
"1945",1
"1960",1
"1961",1
"1984",1
"2002",3
"2014",1
"2018",1
"2074",1
"2107",7
"2188",1
"2206",1
"2212",0
"2245",1
"2245.1",3
"2254",1
"2263",1
"2293",1
"2332",3
"2341",1
"2380",1
"2422",1
"2443",1
"2461",1
"2470",1
"2497",3
"2503",1
"2521",1
"2530",4
"2542",1
"2563",1
"2618",1
"2843",1
"2979",1
"3235",1
"3304",3
"3314",1
"3331",1
"3346",1
"3349",1
"3385",2
"3391",1
"3394",3
"3425",1
"3511",2
"3525",1
"3568",1
"3576",1
"3630",1
"3640",1
"3691",1
"3715",1
"3772",1
"3796",1
"3922",1
"3934",1
"3943",1
"3952",1
"4051",3
"4052",1
"4231",2
"4330",1
"4402",1
"4532",3
"4546",3
"4552",1
"4560",1
"4570",3
"4588",2
"4594",2
"4624",1
"4702",1
"4708",1
"4717",1
"4756",2
"4795",3
"4801",1
"4819",3
"4900",1
"4921",1
"4969",3
"4972",4
"4978",2
"5008",1
"5011",1
"5047",1
"5053",1
"5071",1
"5113",3
"5167",1
"5173",1
"5185",1
"5213",1
"5215",1
"5218",1
"5230",1
"5240",4
"5241",1
"5254",4
"5269",1
"5311",1
"5323",3
"5336",1
"5338",3
"5371",2
"5390",1
"5407",1
"5419",1
"5425",1
"5443",1
"5455",1
"5488",3
"5509",1
"5528",3
"5602",0
"5638",4
"5647",1
"5650",1
"5653",3
"5712",1
"5713",3
"5716",3
"5734",1
"5743",1
"5752",1
"5770",1
"5773",1
"5782",1
"5803",1
"5803.1",1
"5807",4
"5830",1
"5845",3
"5869",1
"5905",1
"5932",3
"5935",3
"5986",1
"6034",1
"6122",1
"6137",3
"6146",1
"6207",1
"6251",1
"6287",2
"6290",1
"6306",1
"6310",5
"6356",3
"6404",1
"6435",1
"6446",1
"6467",1
"6518",3
"6536",2
"6545",1
"6620",1
"6623",1
"6680",1
"6737",1
"6812",6
"6869",1
"6878",1
"6878.1",3
"6884",3
"6893",1
"7019",1
"7037",1
"7052",3
"7100",1
"7160",1
"7193",1
"7265",1
"7281",1
"7281.1",1
"7301",1
"7304",1
"7316",1
"7397",1
"7427",4
"7454",1
"7467",1
"7592",1
"7643",3
"7694",3
"7697",1
"7700",1
"7701",1
"7781",1
"7781.1",1
"7805",1
"7805.1",2
"7807",1
"7832",1
"7907",2
"7913",3
"7925",1
"7937",1
"7964",1
"7976",5
"7982",4
"8024",3
"8030",1
"8111",1
"8147",1
"8165",2
"8171",0
"8222",1
"8237",1
"8285",1
"8294",3
"8324",1
"8327",1
"8360",3
"8417",2
"8438",2
"8450",1
"8647",1
"8647.1",3
"8698",0
"8707",2
"8767",4
"8770",4
"8797",3
"8837",1
"8877",1
"8910",1
"8943",1
"8946",2
"8955",1
"9024",1
"9036",1
"9069",1
"9128",3
"9185",1
"9233",2
"9241",2
"9254",1
"9261",1
"9282",1
"9288",1
"9311",4
"9372",2
"9389",4
"9394",1
"9416",1
"9417",1
"9435",1
"9512",1
"9521",1
"9575",4
"9584",1
"9596",5
"9602",3
"9614",1
"9627",1
"9629",3
"9633",2
"9635",1
"9667",1
"9713",1
"9743",1
"9758",1
"9788",3
"9812",1
"9943",1
"9949",1
"10093",1
"10108",1
"10114",5
"10156",1
"10159",6
"10162",1
"10186",1
"10222",3
"10234",1
"10246",1
"10249",1
"10285",3
"10294",1
"10304",1
"10312",3
"10408",1
"10483",1
"10525",2
"10543",1
"10547",1
"10558",1
"10561",1
"10576",1
"10601",2
"10676",1
"10685",1
"12329",3
"12449",1
"12456",1
"12480",1
"12481",1
"12488",1
"12497",1
"12505",1
"12506",1
"12609",3
"12614",5
"12690",1
"15966",3
"15975",1
"15980",1
"15981",1
"15982",1
"15988",4
"15989",2
"15989.1",4
"15994",4
"16012",1
"16044",2
"16054",1
"16075",10
"16100",1
"16114",4
"16132",1
"16145",1
"16146",1
"16147",1
"16153",3
"16164",4
"16165",1
"16174",1
"16175",2
"16192",1
"16204",3
"16217",1
"16282",1
"16294",1
"16303",5
"16309",1
"16312",1
"16315",1
"16317",1
"16318",1
"16319",1
"16351",1
"16357",8
"16360",1
"16369",1
"16373",1
"16375",1
"16378",1
"16384",2
"16387",7
"16417",1
"16423",1
"16430",1
"16433",1
"16435",1
"16453",1
"16456",1
"16468",1
"16474",1
"16477",1
"16492",1
"16498",1
"16504",3
"16504.1",1
"16507",1
"16516",1
"16535",1
"16538",1
"16546",1
"16549",1
"16556",4
"16560",1
"16565",1
"16566",1
"16573",1
"16577",1
"16584",1
"16585",1
"16586",2
"16591",1
"16597",1
"16605",1
"16610",5
"16611",1
"16629",2
"16636",1
"16636.1",1
"16641",1
"16653",2
"16656",1
"16665",1
"16686",1
"16687",1
"16692",1
"16731",1
"16740",1
"16749",1
"16761",1
"16772",1
"16784",1
"16789",1
"16821",1
"16827",3
"16845",1
"16878",4
"16881",1
"16884",1
"16884.1",1
"16885",1
"16893",1
"16914",2
"16920",1
"16953",2
"16980",5
"16983",1
"16983.1",1
"16986",1
"16998",1
"17037",1
"17052",1
"17064",1
"17079",2
"17091",1
"17094",3
"17094.1",1
"17094.2",2
"17109",2
"17121",2
"17124",2
"17131",2
"17142",2
"17166",3
"17169",2
"17178",2
"17217",1
"17217.1",1
"17221",1
"17232",1
"17234",0
"17238",2
"17252",2
"17256",2
"17265",2
"17271",2
"17272",2
"17277",2
"17282",1
"17283",2
"17286",2
"17289",2
"17296",7
"17313",1
"17316",2
"17319",1
"17331",3
"17340",2
"17346",2
"17370",2
"17373",8
"17391",3
"17394",2
"17409",1
"17412",1
"17416",2
"17442",2
"17445",1
"17462",2
"17463",2
"17464",2
"17466",2
"17470",4
"17471",1
"17493",2
"17494",2
"17495",3
"17497",4
"17497.1",1
"17499",1
"17506",1
"17509",1
"17515",1
"17629",1
"17683",2
"17731",1
"17772",1
"17783",2
"17858",2
"17861",1
"17872",2
"17876",2
"17877",1
"17878",1
"17885",1
"17886",2
"17889",2
"17893",2
"17894",1
"17894.1",1
"17919",2
"17982",2
"17996",2
"18017",2
"18022",1
"18044",7
"18047",2
"18051",1
"18053",2
"18071",2
"18089",2
"18104",2
"18125",1
"18125.1",1
"18131",2
"18149",1
"18152",1
"18170",1
"18171",1
"18176",1
"18179",2
"18197",3
"18248",2
"18249",1
"18254",2
"18287",1
"18311",5
"18338",3
"18356",2
"18359",3
"18360",1
"18362",2
"18368",3
"18380",2
"18383",1
"18386",2
"18398",2
"18401",1
"18416",2
"18419",2
"18431",2
"18437",2
"18452",3
"18455",1
"18461",1
"18515",1
"18521",1
"18527",2
"18533",2
"18551",1
"18572",3
"18575",1
"18608",1
"18611",1
"18653",1
"18680",1
"18698",1
"18713",1
"18821",1
"18824",3
"18861",1
"18881",3
"18911",1
"18926",1
"18956",3
"18980",1
"19016",3
"19061",5
"19097",1
"19115",6
"19157",3
"19219",3
"19224",3
"19233",1
"19241",1
"19243",7
"19248",1
"19257",3
"19265",1
"19268",1
"19271",1
"19283",1
"19291",4
"19296",1
"19308",2
"19311",1
"19339",2
"19348",1
"19350",2
"19351",2
"19352",1
"19352.1",1
"19392",3
"19396",1
"19403",1
"19426",1
"19432",1
"19433",1
"19434",7
"19445",1
"19458",1
"19551",1
"19687",1
"19693",4
"19696",1
"19705",1
"19713",2
"19730",1
"19757",1
"19804",0
"19853",1
"19873",1
"19879",4
"19924",1
"19960",1
"19984",1
"20100",0
"20121",1
"20325",1
"20326",1
"20356",1
"20451",1
"20508",5
"20514",1
"20517",1
"20553",5
"20556",4
"20565",1
"20567",1
"20601",1
"20619",1
"20643",1
"20646",1
"20652",1
"20661",1
"20703",4
"20704",1
"20712",1
"20745",1
"20754",1
"20763",3
"20811",1
"20881",1
"20961",1
"20970",1
"20985",1
"20994",1
"21009",1
"21012",1
"21015",1
"21018",1
"21032",1
"21050",1
"21085",1
"21090",1
"21105",1
"21117",1
"21141",1
"21144",1
"21153",1
"21155",1
"21159",3
"21186",1
"21198",1
"21207",1
"21210",1
"21234",3
"21237",1
"21240",1
"21243",1
"21246",2
"21255",1
"21261",1
"21282",1
"21291",2
"21291.1",1
"21306",1
"21318",4
"21321",1
"21327",1
"21357",1
"21363",1
"21369",1
"21384",1
"21387",1
"21414",1
"21415",1
"21420",2
"21424",1
"21429",1
"21441",1
"21447",1
"21453",1
"21463",1
"21472",1
"21480",1
"21510",1
"21513",1
"21528",1
"21531",1
"21567",1
"21579",1
"21591",1
"21595",2
"21621",1
"21642",1
"21648",1
"21658",1
"21660",1
"21666",1
"21669",2
"21670",1
"21690",1
"21691",1
"21698",1
"21700",1
"21729",0
"21736",1
"21801",1
"21807",1
"21816",1
"21831",1
"21879",1
"21882",1
"21894",1
"21900",1
"21914",1
"21959",1
"21963",1
"21973",1
"21987",1
"22020",1
"22023",2
"22032",4
"22035",6
"22053",1
"22054",1
"22055",1
"22078",1
"22098",1
"22115",1
"22162",1
"22219",1
"22222",1
"22225",1
"22243",1
"22255",2
"22284",1
"22300",2
"22315",1
"22369",4
"22390",1
"22441",1
"22523",1
"22549",5
"22555",1
"22567",1
"22600",0
"22615",1
"22618",1
"22627",1
"22632",1
"22633",2
"22666",1
"22669",1
"22686",3
"22702",1
"22717",1
"22741",1
"22774",1
"22786",1
"22807",1
"22837",3
"22837.1",1
"22840",1
"22843",2
"22861",1
"22895",1
"22909",1
"22915",1
"22921",1
"22933",1
"22936",1
"22945",1
"22969",1
"22978",1
"22984",1
"22990",1
"22990.1",1
"23005",1
"23014",1
"23015",1
"23026",1
"23032",1
"23036",1
"23038",1
"23065",1
"23086",1
"23089",1
"23105",1
"23113",1
"23158",8
"23166",4
"23169",1
"23337",1
"23353",1
"23367",1
"23400",1
"23405",1
"23408",1
"23410",1
"23412",1
"23415",1
"23421",1
"23422",1
"23423",1
"23430",1
"23448",1
"23463",3
"23481",3
"23565",1
"23566",1
"23577",1
"23585",1
"23603",1
"23615",1
"23632",1
"23644",1
"23648",1
"23657",1
"23660",1
"23674",1
"23678",1
"23683",1
"23693",1
"23696",1
"23705",1
"23720",1
"23723",1
"23735",1
"23741",1
"23744",3
"23747",1
"23753",2
"23762",3
"23765",1
"23768",1
"23774",1
"23780",1
"23810",1
"23813",1
"23831",1
"23840",1
"23855",1
"23858",2
"23867",1
"23879",2
"23884",1
"23888",4
"23897",5
"23903",1
"23914",1
"23919",1
"23927",1
"23956",3
"23993",1
"24001",1
"24010",1
"24023",1
"24026",1
"24053",1
"24091",1
"24095",1
"24098",1
"24111",1
"24114",2
"24143",1
"24179",2
"24180",1
"24180.1",1
"24202",1
"24227",3
"24260",1
"24263",1
"24278",4
"24296",3
"24296.1",1
"24338",1
"24338.1",3
"24344",1
"24392",1
"24395",1
"24419",1
"24428",1
"24434",3
"24446",3
"24447",1
"24451",3
"24458",4
"24518",6
"24560",1
"24605",1
"24608",1
"24650",1
"24655",1
"24680",1
"24713",1
"24719",1
"24722",1
"24807",1
"24834",1
"24853",1
"24883",1
"24908",1
"24911",1
"24934",1
"24946",4
"25022",2
"25025",1
"25029",3
"25030",1
"25031",1
"25037",1
"25038",3
"25040",1
"25046",1
"25047",1
"25055",1
"25056",11
"25067",3
"25083",1
"25084",5
"25093",4
"25115",1
"25116",1
"25117",1
"25144",1
"25159",4
"25170",1
"26870",1
"26870.1",1
"26881",2
"26911",3
"29945",1
"29946",1
"29966",3
"29969",1
"29994",1
"30010",1
"30012",2
"30014",1
"30017",1
"30024",1
"30025",1
"30038",1
"30051",1
"30252",1
"30255",1
"31104",1
"31108",1
"31111",1
"31122",1
"31304",1
"31315",1
"31316",7
"31323",1
"31324",1
"31328",1
"31331",1
"31332",1
"31340",1
"31343",1
"31357",1
"31373",1
"31899",1
"31899.1",4
"31901",5
"31962",1
"33034",3
"33042",3
"33216",3
"33550",5
"33650",1
"33734",3
"33823",1
"33878",2
"33964",1
"33985",3
"34087",1
"34088",1
"34089",3
"34096",1
"34119",0
"34140",5
"34144",3
"34193",1
"34205",1
"34214",5
"34215",2
"34225",1
"34231",1
"34297",1
"34298",3
"34314",1
"34330",1
"34331",1
"34333",1
"34337",2
"34345",1
"34354",1
"34375",3
"34393",2
"34394",1
"34405",1
"34406",3
"34408",1
"34453",1
"34460",0
"34466",1
"34480",1
"34481",1
"34483",1
"34485",1
"34492",1
"34498",1
"34507",2
"34513",1
"34529",1
"34533",1
"34538",1
"34606",1
"34629",1
"34656",1
"34664",3
"34681",1
"34694",1
"34971",1
"34986",3
"34992",1
"34995",1
"35010",1
"35010.1",4
"35059",1
"35202",1
"35334",3
"35364",4
"35370",1
"35396",1
"35412",1
"35433",1
"35523",3
"35529",3
"35568",3
"35616",5
"35617",1
"35622",3
"35662",1
"35691",4
"35724",1
"35727",1
"35760",1
"35805",3
"35838",3
"35856",1
"35985",1
"36003",3
"36042",7
"36063",3
"36216",1
"36231",1
"36264",1
"36285",1
"36321",1
"36324",1
"36330",2
"36334",1
"36375",3
"36382",1
"36384",1
"36405",1
"36460",3
"36486",1
"36567",1
"36624",3
"36636",1
"36657",1
"36669",1
"36678",1
"36690",1
"36732",1
"36761",2
"36771",1
"36804",1
"36831",3
"36840",1
"36921",1
"36924",1
"36942",4
"36969",1
"36978",6
"37005",1
"37026",1
"37032",1
"37033",5
"37057",1
"37125",5
"37137",1
"37143",1
"37152",1
"37176",1
"37188",1
"37194",3
"37215",1
"37221",3
"37230",1
"37242",3
"37272",1
"37304",1
"37305",1
"37323",1
"37326",1
"37329",1
"37335",1
"37368",1
"37380",1
"37497",1
"37509",3
"37548",8
"37584",2
"37596",1
"37602",1
"37656",1
"37683",1
"37709",2
"37712",1
"37752",3
"37770",1
"37791",1
"37831",3
"37842",3
"37911",2
"37929",1
"37956",1
"37956.1",3
"37968",1
"37999",1
"38040",1
"38082",1
"38160",1
"38178",3
"38193",1
"38214",1
"38229",1
"38256",1
"38271",1
"38301",1
"38301.1",3
"38314",1
"38404",3
"38406",1
"38407",1
"38412",1
"38427",1
"38444",1
"38477",1
"38507",1
"38578",2
"38800",2
"38825",1
"38914",1
"38923",1
"38929",1
"38953",1
"38959",1
"38998",1
"39109",1
"39112",1
"39152",2
"39160",4
"39166",1
"39172",2
"39190",1
"39202",1
"39247",1
"39253",4
"39268",1
"39276",1
"39280",1
"39281",1
"39292",1
"39298",1
"39301",1
"39307",1
"39319",1
"39322",1
"39334",1
"39358",1
"39361",1
"39376",1
"39385",1
"39390",1
"39400",1
"39412",1
"39436",1
"39465",1
"39481",1
"39485",1
"39505",1
"39517",1
"39518",1
"39527",1
"39529",2
"39532",1
"39550",1
"39553",1
"39560",1
"39561",1
"39583",1
