"","times_snp_appears"
"3044.1",1
"22858.1",1
"27469.1",1
"38485.1",1
"57032.1",1
"67885.1",1
"72404.1",1
"73579.1",1
"75051.1",1
"75163.1",2
"75331.1",1
"75706.1",1
"91876.1",2
"94373.1",1
"95703.1",2
"95793.1",2
"95928.1",2
"96132.1",1
"101355.1",1
"103134.1",1
"138948.1",1
"170686.1",1
"174611.1",1
"174812.1",2
"175403.1",1
"185013.1",1
"196669.1",1
"214595.1",1
"217560.1",2
"229504.1",1
"230238.1",1
"245708.1",1
"255046.1",1
"266942.1",2
"270127.1",1
"278954.1",1
"282775.1",1
"287820.1",2
"343263.1",1
"359303.1",2
"366347.1",1
"375939.1",1
"377625.1",1
"384908.1",2
"387841.1",1
"395403.1",1
"396774.1",1
"417824.1",1
"420154.1",1
"423504.1",1
"444264.1",1
"500032.1",2
"597983.1",1
"600354.1",1
"612633.1",1
"621126.1",1
"622455.1",1
"624477.1",1
"640605.1",1
"640704.1",2
"641136.1",2
"641800.1",1
"641836.1",1
"642226.1",1
"651387.1",1
"653953.1",1
"656851.1",1
"658016.1",1
"668897.1",2
"673724.1",1
"692256.1",1
"696099.1",1
"696197.1",1
"696217.1",2
"702793.1",1
"704713.1",1
"707171.1",1
"719316.1",1
"722628.1",1
"726086.1",2
"730053.1",1
"730174.1",1
"731412.1",1
"732549.1",1
"735749.1",1
"735859.1",1
"753609.1",2
"768061.1",1
"768829.1",1
"804412.1",1
"808404.1",1
"809287.1",1
"817114.1",2
"817879.1",1
"834294.1",1
"847177.1",1
"859041.1",1
"874480.1",2
"910136.1",1
"910177.1",1
"919828.1",1
"919849.1",1
"919903.1",1
"930942.1",2
"961140.1",1
"968254.1",1
"971140.1",1
"973517.1",1
"983641.1",1
"1007415.1",1
"1048781.1",1
"1058514.1",1
"1067826.1",1
"1069712.1",1
"1073060.1",1
"1073414.1",1
"1097632.1",1
"1106196.1",1
"1118713.1",2
"1129974.1",1
"1151783.1",1
"1154091.1",1
"1167194.1",1
"1183913.1",1
"1191040.1",1
"1197178.1",1
"1203160.1",1
"1203566.1",1
"1571051.1",1
"1573411.1",2
"1714440.1",1
"1871692.1",1
"1881668.1",1
"1886069.1",1
"1903379.1",1
"1910500.1",1
"1965270.1",1
"1983385.1",1
"1990742.1",1
"2059640.1",1
"2075754.1",1
"2148547.1",1
"2158463.1",1
"2314696.1",1
"2336957.1",1
"2338674.1",1
"2344988.1",2
"2366529.1",1
"2368046.1",1
"2373976.1",1
"2374918.1",1
"2383715.1",1
"2391440.1",1
"2392381.1",2
"2398573.1",1
"2402022.1",1
"2402106.1",1
"2407346.1",1
"2418007.1",1
"2434755.1",1
"2490386.1",1
"2506255.1",1
"2516081.1",1
"2523051.1",1
"2530313.1",1
"2531245.1",1
"2541548.1",1
"2551162.1",2
"2556149.1",1
"2560222.1",1
"2574260.1",1
"2576275.1",1
"2585561.1",1
"2591388.1",1
"2596812.1",1
"2602091.1",1
"2602913.1",1
"2605495.1",1
"2609381.1",1
"2620577.1",1
"2632743.1",1
"2645661.1",2
"2651542.1",1
"2660393.1",1
"2678019.1",1
"2682642.1",1
"2743415.1",1
"2747399.1",1
"2750746.1",1
"2760181.1",1
"2765017.1",1
"2765342.1",1
"2788375.1",1
"2796447.1",1
"2803918.1",1
"2804465.1",1
"2811510.1",1
"2812336.1",1
"2832482.1",1
"2837815.1",2
"2840942.1",1
"2841044.1",1
"2842682.1",1
"2843848.1",1
"2845015.1",1
"2846752.1",1
"2856437.1",1
"2864492.1",1
"2869709.1",1
"2872617.1",1
"2874617.1",2
"2877841.1",1
"2886370.1",1
"2887761.1",1
"2890778.1",2
"2891357.1",1
"2892773.1",2
"2893576.1",1
"2894419.1",1
"2897457.1",1
"2897959.1",2
"2899757.1",1
"2917113.1",1
"2917767.1",1
"2944146.1",1
"2948234.1",1
"2948639.1",1
"2950094.1",1
"2950301.1",1
"2952813.1",1
"2955073.1",1
"2991160.1",1
"3000470.1",1
"3005524.1",1
"3014718.1",1
"3024661.1",2
"3025282.1",1
"3027273.1",1
"3028105.1",1
"3029825.1",1
"3030253.1",1
"3039856.1",1
"3051042.1",1
"3071137.1",1
"3072043.1",1
"3076186.1",1
"3105895.1",1
"3110270.1",1
"3114098.1",1
"3116848.1",1
"3118009.1",1
"3130937.1",1
"3138034.1",1
"3138632.1",1
"3147674.1",1
"3155476.1",1
"3158288.1",1
"3174923.1",1
"3178642.1",1
"3182734.1",1
"3186577.1",1
"3217841.1",1
