"","times_snp_appears"
"49516.1",1
"66365.1",1
"98919.1",1
"99710.1",1
"118755.1",2
"155570.1",1
"193554.1",1
"206766.1",1
"228978.1",1
"228979.1",1
"253484.1",1
"283165.1",1
"292947.1",1
"293263.1",1
"329629.1",1
"340038.1",1
"345353.1",1
"349985.1",1
"354245.1",1
"356867.1",1
"383730.1",1
"411109.1",1
"419639.1",1
"420093.1",1
"420837.1",1
"420852.1",1
"420867.1",1
"420873.1",1
"420918.1",1
"420924.1",1
"420927.1",1
"420951.1",1
"420957.1",1
"420975.1",1
"421071.1",1
"421104.1",1
"426270.1",1
"426615.1",1
"426744.1",1
"426885.1",1
"427185.1",1
"427209.1",1
"427449.1",1
"427527.1",1
"428253.1",1
"429299.1",1
"429416.1",1
"436059.1",1
"436065.1",1
"486187.1",1
"498100.1",1
"504354.1",2
"506412.1",1
"513632.1",1
"513932.1",1
"560954.1",1
"577372.1",1
"577375.1",1
"577489.1",1
"577498.1",1
"578316.1",1
"581741.1",1
"582037.1",1
"583672.1",1
"583972.1",1
"584833.1",1
"606859.1",1
"607084.1",1
"612660.1",1
"614329.1",2
"622990.1",1
"624037.1",1
"625158.1",1
"657695.1",1
"671598.1",1
"672174.1",1
"675015.1",1
"677110.1",2
"683302.1",1
"687143.1",1
"719233.1",1
"764431.1",1
"770356.1",1
"779020.1",1
"794248.1",1
"798379.1",1
"826665.1",1
"883683.1",1
"888583.1",1
"905245.1",1
"924705.1",1
"928763.1",1
"932064.1",1
"944574.1",1
"1058307.1",1
"1076085.1",1
"1084270.1",1
"1098313.1",1
"1101588.1",1
"1102546.1",1
"1108965.1",1
"1111152.1",2
"1117123.1",1
"1177936.1",1
"1184168.1",1
"1184231.1",2
"1184759.1",1
"1204858.1",1
"1205662.1",1
"1225158.1",1
"1257697.1",1
"1257721.1",1
"1257910.1",1
"1285486.1",1
"1340013.1",2
"1340203.1",1
"1353597.1",1
"1364620.1",1
"1378322.1",1
"1389949.1",2
"1390120.1",1
"1447280.1",1
"1475978.1",1
"1483861.1",1
"1486796.1",1
"1487235.1",2
"1487334.1",2
"1487343.1",2
"1487463.1",1
"1487782.1",1
"1487787.1",1
"1491364.1",1
"1509568.1",1
"1510916.1",2
"1512155.1",1
"1517699.1",1
"1524869.1",1
"1535447.1",1
"1535996.1",1
"1542631.1",1
"1578615.1",1
"1594628.1",2
"1595582.1",1
"1623069.1",1
"1624359.1",1
"1643253.1",1
"1654883.1",1
"1659147.1",1
"1662025.1",1
"1681613.1",1
"1697019.1",1
"1708116.1",1
"1721268.1",1
"1721419.1",1
"1721757.1",1
"1729558.1",1
"1732255.1",2
"1748030.1",1
"1767316.1",1
"1769948.1",1
"1825710.1",2
"1828803.1",1
"1829151.1",1
"1829412.1",1
"1849733.1",1
"1867399.1",1
"1911121.1",1
"1913315.1",1
"1957191.1",1
"1957337.1",2
"1958923.1",1
"1972743.1",1
"1980493.1",1
"1984315.1",1
"2003812.1",2
"2007319.1",2
"2008689.1",1
"2044070.1",1
"2059266.1",1
"2060228.1",1
"2093479.1",2
"2101207.1",1
"2111396.1",1
"2176815.1",1
"2178136.1",1
"2185154.1",1
"2197910.1",1
"2203664.1",1
"2204364.1",1
"2293810.1",1
"2303740.1",1
"2309887.1",1
"2314418.1",1
"2365319.1",1
"2367300.1",1
"2376836.1",1
"2376841.1",1
"2377669.1",1
"2377672.1",1
"2387052.1",1
"2387187.1",1
"2388787.1",1
"2404301.1",1
"2406705.1",1
"2414919.1",1
"2418296.1",1
"2426895.1",1
"2435091.1",2
"2442384.1",1
"2443218.1",1
"2460660.1",1
"2468429.1",1
"2468678.1",1
"2468762.1",1
"2469002.1",1
"2477413.1",1
"2480998.1",1
"2497021.1",1
"2521996.1",1
"2567530.1",1
"2590224.1",1
"2598592.1",1
"2614709.1",1
"2629049.1",1
"2632155.1",1
"2633271.1",1
"2638008.1",1
"2648399.1",1
"2649172.1",1
"2649172.2",1
"2653393.1",1
"2655977.1",1
"2663376.1",2
"2665977.1",1
"2669266.1",1
"2669350.1",1
"2684233.1",1
"2738115.1",1
"2738129.1",1
"2738894.1",1
"2739314.1",1
"2741746.1",1
"2742503.1",1
"2743871.1",1
"2748148.1",1
"2751940.1",1
"2752692.1",1
"2752938.1",2
"2753193.1",1
"2753883.1",1
"2755050.1",1
"2755584.1",1
"2755590.1",1
"2758784.1",1
"2759216.1",1
"2759471.1",1
"2759756.1",2
"2759927.1",1
"2760123.1",1
"2760374.1",1
"2761152.1",2
"2761910.1",1
"2762233.1",1
"2763110.1",1
"2763311.1",1
"2764305.1",1
"2765312.1",1
"2766930.1",1
"2766975.1",1
"2770536.1",2
"2771295.1",1
"2771973.1",1
"2772832.1",1
"2773188.1",1
"2777633.1",2
"2777719.1",2
"2780270.1",1
"2782737.1",1
"2783067.1",1
"2783100.1",1
"2783373.1",2
"2784408.1",1
"2784821.1",1
"2791961.1",1
"2798427.1",1
"2798441.1",1
"2800569.1",1
"2819179.1",1
"2839806.1",1
"2840218.1",1
"2849921.1",1
"2853337.1",1
"2867545.1",1
"2895385.1",1
"2895469.1",2
"2895896.1",1
"2897529.1",1
"2917426.1",1
"2933222.1",1
"2964771.1",1
"2985876.1",1
"2986143.1",1
"2994387.1",1
"2999103.1",1
"3006409.1",1
"3006484.1",2
"3024127.1",1
"3029086.1",1
"3034401.1",1
"3035228.1",1
"3038357.1",1
"3041590.1",1
"3051220.1",1
"3059096.1",1
"3061660.1",1
"3064988.1",1
"3065183.1",1
"3065875.1",1
"3066090.1",2
"3068174.1",1
"3078272.1",1
"3080194.1",1
"3094603.1",1
"3103004.1",1
"3118352.1",1
"3119793.1",1
"3121538.1",1
"3137860.1",1
"3164483.1",2
"3175540.1",1
"3219969.1",1
"3219973.1",2
"3222947.1",1
"3224017.1",1
"3240083.1",1
"3282160.1",1
"3285032.1",1
"3286138.1",1
"3288795.1",1
"3300482.1",2
"3341910.1",1
"3342453.1",1
"3362018.1",1
"3375455.1",1
"3395132.1",1
"3423816.1",1
"3427985.1",1
"3431986.1",2
"3435053.1",1
"3436342.1",1
"3440095.1",1
"3447828.1",1
"3447887.1",1
"3452083.1",1
"3465289.1",1
"3466288.1",1
"3495244.1",1
"3508805.1",1
"3513034.1",1
"3518040.1",1
"3524831.1",1
"3537680.1",1
"3546939.1",2
"3547134.1",1
"3552028.1",2
"3552073.1",1
