,CB1,CB2,CB3,ERR2092980,ERR2092981,ERR1045849,ERR1045852,SRR447229,SRR447230,SRR447234,SRR515127,SRR515554,SRR515126,SRR515552,SRR064779,SRR447236,SRR447245,SRR447239,ERR1045847,ERR1045795,SRR2095366,ERR1045798,SRR6000499,ERR1045859,SRR3664368,SRR1151145,SRR5364843,ERR1045815
CB1,11185,11167,11157,10023,10011,10448,9812,8612,8606,8613,9382,9357,9602,9579,9165,9163,9163,9165,9784,9104,8637,2012,2042,2073,2186,1759,1775,1922
CB2,11167,11202,11143,10012,9999,10441,9801,8608,8602,8609,9375,9349,9593,9574,9161,9159,9160,9161,9777,9106,8638,2016,2045,2103,2215,1761,1774,1921
CB3,11157,11143,11192,10041,10028,10434,9812,8613,8606,8613,9384,9358,9604,9579,9186,9184,9184,9186,9801,9113,8657,2027,2057,2086,2199,1763,1779,1926
ERR2092980,10023,10012,10041,11252,11232,9629,9519,8478,8473,8479,9268,9244,9084,9066,9245,9243,9243,9245,9875,8556,8164,1983,2011,2077,2190,1691,1714,2000
ERR2092981,10011,9999,10028,11232,11235,9621,9510,8469,8464,8470,9259,9233,9086,9065,9236,9234,9234,9236,9863,8546,8158,1978,2007,2071,2185,1686,1709,1995
ERR1045849,10448,10441,10434,9629,9621,10625,9849,8646,8640,8647,9399,9388,9590,9585,9116,9114,9117,9116,9712,8986,8452,2033,2057,2068,2172,1695,1690,1933
ERR1045852,9812,9801,9812,9519,9510,9849,10590,8765,8759,8766,9630,9619,9768,9762,8798,8796,8796,8798,9429,8707,8223,1993,2025,2034,2138,1669,1664,1980
SRR447229,8612,8608,8613,8478,8469,8646,8765,9498,9489,9497,9041,9043,8788,8793,8914,8914,8912,8915,8484,7586,7241,1882,1932,1891,2011,1649,1641,1974
SRR447230,8606,8602,8606,8473,8464,8640,8759,9489,9493,9491,9038,9039,8783,8789,8907,8907,8905,8907,8479,7585,7239,1882,1932,1891,2011,1647,1639,1972
SRR447234,8613,8609,8613,8479,8470,8647,8766,9497,9491,9500,9041,9044,8788,8794,8914,8914,8912,8914,8485,7587,7241,1882,1932,1891,2011,1648,1640,1974
SRR515127,9382,9375,9384,9268,9259,9399,9630,9041,9038,9041,10178,10139,9572,9551,8730,8728,8728,8732,9172,8099,7702,1896,1944,1947,2062,1706,1698,1966
SRR515554,9357,9349,9358,9244,9233,9388,9619,9043,9039,9044,10139,10149,9545,9555,8733,8731,8731,8733,9161,8094,7691,1893,1940,1946,2055,1695,1687,1964
SRR515126,9602,9593,9604,9084,9086,9590,9768,8788,8783,8788,9572,9545,10691,10640,8659,8659,8657,8659,9113,8988,8525,1935,1981,1978,2091,1661,1659,2053
SRR515552,9579,9574,9579,9066,9065,9585,9762,8793,8789,8794,9551,9555,10640,10660,8662,8662,8660,8662,9108,8963,8504,1941,1987,1985,2093,1657,1655,2050
SRR064779,9165,9161,9186,9245,9236,9116,8798,8914,8907,8914,8730,8733,8659,8662,9998,9993,9985,9990,9310,7972,7744,1979,2028,2005,2123,1623,1618,1991
SRR447236,9163,9159,9184,9243,9234,9114,8796,8914,8907,8914,8728,8731,8659,8662,9993,9993,9983,9987,9308,7972,7742,1977,2026,2003,2121,1623,1618,1991
SRR447245,9163,9160,9184,9243,9234,9117,8796,8912,8905,8912,8728,8731,8657,8660,9985,9983,9995,9985,9308,7969,7739,1977,2026,2004,2122,1621,1616,1991
SRR447239,9165,9161,9186,9245,9236,9116,8798,8915,8907,8914,8732,8733,8659,8662,9990,9987,9985,10002,9310,7972,7742,1976,2025,2003,2121,1623,1618,1991
ERR1045847,9784,9777,9801,9875,9863,9712,9429,8484,8479,8485,9172,9161,9113,9108,9310,9308,9308,9310,10389,8625,8153,1944,1972,2009,2113,1693,1688,1958
ERR1045795,9104,9106,9113,8556,8546,8986,8707,7586,7585,7587,8099,8094,8988,8963,7972,7972,7969,7972,8625,11669,9913,2046,2075,2101,2200,1661,1662,1833
SRR2095366,8637,8638,8657,8164,8158,8452,8223,7241,7239,7241,7702,7691,8525,8504,7744,7742,7739,7742,8153,9913,11472,2153,2202,2220,2329,1665,1667,1743
ERR1045798,2012,2016,2027,1983,1978,2033,1993,1882,1882,1882,1896,1893,1935,1941,1979,1977,1977,1976,1944,2046,2153,6607,6507,5337,5267,483,475,171
SRR6000499,2042,2045,2057,2011,2007,2057,2025,1932,1932,1932,1944,1940,1981,1987,2028,2026,2026,2025,1972,2075,2202,6507,6561,5279,5230,483,475,186
ERR1045859,2073,2103,2086,2077,2071,2068,2034,1891,1891,1891,1947,1946,1978,1985,2005,2003,2004,2003,2009,2101,2220,5337,5279,6623,6505,420,413,186
SRR3664368,2186,2215,2199,2190,2185,2172,2138,2011,2011,2011,2062,2055,2091,2093,2123,2121,2122,2121,2113,2200,2329,5267,5230,6505,6672,462,466,217
SRR1151145,1759,1761,1763,1691,1686,1695,1669,1649,1647,1648,1706,1695,1661,1657,1623,1623,1621,1623,1693,1661,1665,483,483,420,462,6249,6233,93
SRR5364843,1775,1774,1779,1714,1709,1690,1664,1641,1639,1640,1698,1687,1659,1655,1618,1618,1616,1618,1688,1662,1667,475,475,413,466,6233,6420,99
ERR1045815,1922,1921,1926,2000,1995,1933,1980,1974,1972,1974,1966,1964,2053,2050,1991,1991,1991,1991,1958,1833,1743,171,186,186,217,93,99,6534
