,3399-4058-0-RVRE,1016-2017-0-RVRE,5948-6048-14-RVRE,793-A001-120-G-TIPmvre,1090-E022-60-R-TIPmvre,738-E023-1-R-TIPmvre,1047-4017-14-GVRE,1896-4034-0-HVRE,5855-2060-0-RVRE,635-C003-1-G-TIPmvre,1352-E036-1-G-TIPmvre,3362-E077-30-R-TIPmvre,546-I005-14-R-TIPmvre,5902-1089-0-RVRE,3363-A015-14-R-TIPmvre,7151-3115-0-RVRE,6430-1097-0-RVRE,1537-1034-0-RVRE,824-4018-0-RVRE,1341-E033-1-R-TIPmvre,4133-3066-0-RVRE,5489-2056-0-HVRE,7258-3113-14-RVRE,629-2013-0-RVRE,4030-H021-30-R-TIPmvre,539-1018-0-RVRE,1028-E026-1-R-TIPmvre,4794-5029-0-RVRE,7413-3121-0-RVRE,1053-6004-0-R1VRE,6242-5037-0-RVRE,949-3025-0-RVRE,1096-1026-0-RVRE,1278-1019-30-RVRE,1644-3031-14-RVRE,702-3020-0-RVRE,5080-2051-0-HVRE,1543-4028-0-GVRE,1638-6008-0-RVRE,236-4004-0-RVRE,1137-4020-14-RVRE,219-2005-0-RVRE,711-4015-0-RVRE,4313-6035-0-GVRE,4462-6037-0-RVRE,6077-4098-0-GVRE,1455-4025-0-RVRE,2963-2031-14-RVRE,4922-2049-0-RVRE,5363-2050-14-RVRE,80-2003-0-RVRE,1463-1033-0-HVRE,2471-4044-0-GVRE,2492-6012-14-GVRE,8512-3145-0-RVRE,8088-3137-0-RVRE,8513-3147-0-RVRE,898-4011-30-GVRE,609-6002-30-RVRE,4362-6036-0-RVRE,4693-4077-0-HVRE,4007-5020-0-RVRE,4031-J032-1-G-TIPmvre,2026-4040-0-RVRE,3744-F061-90-G-TIPmvre,7600-3125-0-GVRE,7891-2076-0-OVRE,5232-4088-0-RVRE,217-2001-30-HVRE,5856-4095-0-GVRE,851-5002-0-RVRE,409-1015-0-RVRE,3884-J030-1-G-TIPmvre,3070-L011-1-G-TIPmvre,3686-C018-1-R-TIPmvre,6697-4104-0-GVRE,697-3019-0-RVRE,5827-6047-14-RVRE,4639-1079-0-RVRE,4832-1081-0-GVRE,5541-1082-30-RVRE,1420-2021-0-RVRE,6304-2065-0-RVRE,6651-2067-0-RVRE,1488-4026-0-HVRE,1929-4036-0-GVRE,6950-4109-0-RVRE,2308-2029-0-RVRE,4948-4081-0-RVRE,5954-3098-0-R1VRE,6435-4099-14-GVRE,7053-4107-14-RVRE,4384-3073-0-RVRE,5348-3091-0-RVRE,9019-3156-0-RVRE,1676-4031-0-GVRE,2386-6013-0-R1VRE,3994-6029-0-GVRE,4593-3077-0-RVRE,7583-5041-0-HVRE,621-2007-14-RVRE,5284-6044-0-RVRE,483-2008-0-RVRE,5533-3092-0-HVRE,8303-3140-0-H1VRE,5214-4087-0-HVRE,5924-3095-14-RVRE,4280-2041-14-HVRE,615-3018-0-HVRE,3233-1045-60-H1VRE,905-4021-0-RVRE,5006-5030-0-RVRE,5925-3097-0-HVRE,6648-4103-0-HVRE,4703-4078-0-R1VRE,4902-4076-14-RVRE,729-4016-0-HVRE,6129-1092-0-HVRE,8052-3132-0-HVRE,4784-3082-0-RVRE,1334-2020-0-R1VRE,2886-5012-0-RVRE,6748-6057-0-HVRE,2243-3041-14-RVRE,1889-3036-0-OVRE,4145-6030-14-RVRE,3320-D044-1-R-TIPmvre,4009-E118-14-R-TIPmvre,5261-4089-0-RVRE,5285-6045-0-RVRE,3226-4049-14-RVRE,344-1009-0-HVRE,899-D004-14-G-TIPmvre,3082-3051-0-RVRE,5088-6043-0-HVRE,6988-1099-0-RVRE,3717-G013-14-O-TIPmvre,4143-2042-0-RVRE,3673-4064-0-HVRE,4999-3085-0-HVRE,3743-D050-1-G-TIPmvre,1781-3033-30-RVRE,3890-6028-0-RVRE,3667-E109-14-R-TIPmvre,3672-K017-1-G-TIPmvre,442-1011-14-RVRE,4544-5027-0-RVRE,4786-5025-14-HVRE,8232-2079-0-HVRE,1321-3028-0-RVRE,6429-1096-0-RVRE,6652-3103-14-RVRE
3399-4058-0-RVRE,2521,2094,2094,2094,2094,2094,2094,2094,2095,2094,2094,2097,2094,2094,2094,2094,2094,2094,2094,2094,2094,2092,2094,2095,2092,2091,621,394,621,622,636,636,622,622,621,621,622,636,636,636,623,625,621,729,729,729,622,622,637,637,622,623,621,626,638,621,771,621,621,623,619,625,636,835,623,215,636,826,621,636,621,621,621,621,623,622,843,621,636,636,636,165,167,167,165,165,165,171,165,166,165,165,169,167,327,589,604,604,602,588,589,587,589,589,688,602,602,589,589,588,589,588,589,587,604,596,582,581,587,274,209,208,207,209,1240,1240,1232,1240,1241,1241,195,396,193,428,427,632,424,426,104,1669,2118,2107,2107,2107,2104,2486,2486,2486,2486,2071,2494,2494
1016-2017-0-RVRE,2094,2733,2720,2719,2719,2719,2715,2715,2714,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2713,2715,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,573,579,590,789,575,169,590,777,575,590,575,575,575,575,577,575,796,575,590,590,590,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,503,503,502,503,502,503,501,518,508,492,492,510,281,69,68,67,69,1126,1126,1118,1126,1127,1126,54,253,55,429,428,635,428,431,57,1767,2106,2264,2264,2264,2261,2095,2095,2095,2095,1672,2094,2094
5948-6048-14-RVRE,2094,2720,2756,2719,2719,2719,2715,2715,2714,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2713,2715,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,573,579,590,789,575,169,590,777,575,590,575,575,575,575,577,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,503,503,502,503,502,503,501,518,508,492,492,510,281,69,68,67,69,1125,1125,1117,1125,1126,1125,53,252,54,429,428,635,428,431,57,1767,2106,2264,2264,2264,2261,2095,2095,2095,2095,1672,2094,2094
793-A001-120-G-TIPmvre,2094,2719,2719,2748,2719,2719,2715,2715,2714,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2713,2715,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,573,579,590,789,575,169,590,777,575,590,575,575,575,575,577,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,503,503,502,503,502,503,501,518,508,492,492,510,281,69,68,67,69,1125,1125,1117,1125,1126,1125,53,252,54,429,428,635,428,431,57,1767,2106,2264,2264,2264,2261,2095,2095,2095,2095,1672,2094,2094
1090-E022-60-R-TIPmvre,2094,2719,2719,2719,2741,2739,2715,2715,2714,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2713,2715,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,573,579,590,789,575,169,590,777,575,590,575,575,575,575,577,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,503,503,502,503,502,503,501,518,508,492,492,510,281,69,68,67,69,1125,1125,1117,1125,1126,1125,53,252,54,429,428,635,428,431,57,1767,2106,2264,2264,2264,2261,2095,2095,2095,2095,1672,2094,2094
738-E023-1-R-TIPmvre,2094,2719,2719,2719,2739,2739,2715,2715,2714,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715,2713,2715,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,573,579,590,789,575,169,590,777,575,590,575,575,575,575,577,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,503,503,502,503,502,503,501,518,508,492,492,510,281,69,68,67,69,1125,1125,1117,1125,1126,1125,53,252,54,429,428,635,428,431,57,1767,2106,2264,2264,2264,2261,2095,2095,2095,2095,1672,2094,2094
1047-4017-14-GVRE,2094,2715,2715,2715,2715,2715,2767,2756,2734,2734,2730,2729,2729,2730,2730,2722,2718,2716,2716,2716,2716,2714,2716,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,573,579,590,789,575,169,590,777,575,590,575,575,575,575,577,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,503,503,502,503,502,503,501,518,508,492,492,511,281,69,68,67,69,1125,1125,1117,1125,1126,1125,53,252,54,429,428,635,428,431,57,1767,2106,2266,2266,2266,2262,2095,2095,2095,2095,1672,2094,2094
1896-4034-0-HVRE,2094,2715,2715,2715,2715,2715,2756,2773,2735,2735,2730,2729,2729,2730,2730,2722,2718,2716,2716,2716,2716,2714,2716,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,573,579,590,789,575,169,590,777,575,590,575,575,575,575,577,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,503,503,502,503,502,503,501,518,508,492,492,511,281,69,68,67,69,1125,1125,1117,1125,1126,1125,53,252,54,429,428,635,428,431,57,1767,2106,2266,2266,2266,2262,2095,2095,2095,2095,1672,2094,2094
5855-2060-0-RVRE,2095,2714,2714,2714,2714,2714,2734,2735,2764,2733,2728,2729,2727,2728,2728,2720,2716,2715,2715,2715,2715,2713,2715,2714,2712,2711,575,347,575,575,590,590,575,575,575,575,575,590,590,590,577,579,575,568,568,568,576,576,591,591,576,577,575,580,592,575,723,575,575,575,573,579,590,789,581,169,590,777,575,590,575,575,575,575,577,579,796,575,589,589,589,91,93,93,91,91,91,97,87,87,87,91,95,93,251,503,518,518,516,502,501,501,503,503,507,516,516,503,503,502,503,502,503,501,518,508,494,492,511,281,74,73,72,74,1137,1137,1129,1137,1139,1137,63,262,63,439,438,644,438,441,62,1769,2108,2266,2266,2266,2264,2096,2096,2096,2096,1673,2095,2095
635-C003-1-G-TIPmvre,2094,2715,2715,2715,2715,2715,2734,2735,2733,2739,2730,2729,2729,2730,2730,2722,2718,2716,2716,2716,2716,2714,2716,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,574,579,590,789,575,169,590,777,575,590,575,575,575,575,578,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,504,503,502,503,502,503,501,518,508,492,492,511,281,69,68,67,69,1125,1125,1117,1125,1126,1125,53,252,54,429,428,635,428,431,57,1767,2106,2266,2266,2266,2262,2096,2095,2095,2095,1672,2094,2094
1352-E036-1-G-TIPmvre,2094,2715,2715,2715,2715,2715,2730,2730,2728,2730,2740,2739,2729,2730,2730,2722,2718,2716,2716,2716,2716,2714,2716,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,577,575,566,566,566,576,576,591,591,576,577,575,580,590,575,723,575,575,575,573,579,590,789,575,169,590,777,575,590,575,575,575,575,577,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,505,516,516,503,503,502,503,502,503,501,518,509,493,492,511,281,69,68,67,69,1125,1125,1117,1125,1126,1125,53,252,54,429,428,635,428,431,57,1767,2106,2266,2266,2266,2262,2095,2095,2095,2095,1672,2094,2094
3362-E077-30-R-TIPmvre,2097,2715,2715,2715,2715,2715,2729,2729,2729,2729,2739,2747,2728,2729,2729,2721,2717,2716,2716,2716,2716,2714,2716,2715,2713,2712,575,347,575,575,590,590,575,575,575,575,576,590,590,590,577,579,575,568,568,568,576,576,591,591,576,577,575,580,592,575,723,575,575,575,573,579,590,789,577,169,590,777,575,590,575,575,575,575,577,575,796,575,589,589,589,81,83,83,81,81,81,87,81,81,81,81,85,83,241,503,518,518,516,502,502,501,503,503,507,516,516,503,503,502,503,502,503,501,518,509,495,492,511,281,69,68,67,69,1127,1127,1119,1127,1128,1127,53,252,54,429,428,635,428,431,57,1768,2108,2268,2268,2268,2264,2097,2097,2097,2097,1674,2096,2096
