"","times_snp_appears"
"18207.1",1
"24882.1",1
"24883.1",1
"79553.1",1
"79769.1",1
"79781.1",1
"79787.1",1
"193381.1",1
"210691.1",1
"214945.1",1
"574578.1",1
"582164.1",1
"601153.1",1
"618811.1",1
"619402.1",1
"622079.1",1
"729532.1",1
"730734.1",1
"730779.1",1
"735981.1",1
"753213.1",2
"786693.1",1
"789138.1",1
"837159.1",1
"837204.1",1
"837285.1",1
"837598.1",1
"837861.1",1
"838652.1",1
"838925.1",1
"839570.1",1
"839894.1",1
"871435.1",1
"928656.1",3
"1238738.1",1
"1380128.1",1
"1432010.1",1
"1619929.1",1
"1620067.1",1
"1620106.1",1
"1620163.1",1
"1621654.1",2
"1621675.1",1
"1624499.1",3
"1624502.1",3
"1624517.1",3
"1624628.1",1
"1684240.1",1
"1690349.1",1
"1690667.1",1
"1692138.1",1
"1693647.1",1
"1705683.1",4
"1705684.1",3
"1705890.1",4
"1706049.1",1
"1706265.1",1
"1706270.1",1
"1706552.1",1
"1706565.1",1
"1706730.1",1
"1706733.1",1
"1706745.1",1
"1706823.1",2
"1706862.1",1
"1707093.1",3
"1707134.1",3
"1707156.1",1
"1707204.1",1
"1707258.1",4
"1707519.1",4
"1707999.1",1
"1708323.1",2
"1709541.1",3
"1709829.1",1
"1709831.1",1
"1710668.1",1
"1711706.1",3
"1712532.1",3
"1712628.1",3
"1712796.1",1
"1713280.1",2
"1713418.1",1
"1713779.1",2
"1713914.1",6
"1714261.1",2
"1714273.1",6
"1714809.1",1
"1715314.1",1
"1716298.1",3
"1716445.1",2
"1716832.1",2
"1716949.1",2
"1717354.1",1
"1717630.1",3
"1717798.1",2
"1718895.1",2
"1720140.1",3
"1720541.1",2
"1721180.1",3
"1721465.1",3
"1723041.1",1
"1723075.1",3
"1724951.1",3
"1725254.1",1
"1725584.1",3
"1727708.1",2
"1728320.1",1
"1729366.1",4
"1730190.1",1
"1730393.1",1
"1731369.1",2
"1731682.1",3
"1733282.1",3
"1734314.1",4
"1734349.1",1
"1735590.1",1
"1735658.1",4
"1735662.1",3
"1739198.1",1
"1739225.1",1
"1740608.1",1
"1740782.1",3
"1741118.1",1
"1742413.1",1
"1742689.1",3
"1743251.1",1
"1744577.1",3
"1746606.1",3
"1747984.1",3
"1747987.1",2
"1748834.1",3
"1749380.1",1
"1749852.1",1
"1750509.1",2
"1750754.1",1
"1751201.1",1
"1751820.1",2
"1752869.1",2
"1752992.1",1
"1753025.1",2
"1787292.1",1
"1788565.1",10
"1789374.1",1
"2291376.1",1
"2291469.1",1
"2291808.1",1
"2320820.1",1
"2320909.1",1
"2376740.1",1
"2376746.1",1
"2377523.1",1
"2377544.1",1
"2377760.1",3
"2378516.1",1
"2390553.1",1
"2390613.1",1
"2390616.1",1
"2391165.1",1
"2391630.1",1
"2391633.1",1
"2391800.1",4
"2394697.1",3
"2396359.1",1
"2396368.1",1
"2396419.1",1
"2396425.1",1
"2397244.1",1
"2397275.1",1
"2397277.1",1
"2397358.1",1
"2397534.1",1
"2397550.1",1
"2397552.1",1
"2397994.1",1
"2398045.1",1
"2398048.1",1
"2398129.1",1
"2398141.1",1
"2398147.1",1
"2398919.1",1
"2398934.1",1
"2398961.1",1
"2399075.1",1
"2399129.1",1
"2399171.1",1
"2399189.1",1
"2399971.1",1
"2400634.1",1
"2400844.1",1
"2400845.1",1
"2401936.1",1
"2401952.1",1
"2401975.1",1
"2401993.1",1
"2402023.1",1
"2402035.1",1
"2402818.1",1
"2409071.1",1
"2410497.1",1
"2415102.1",3
"2415143.1",1
"2418196.1",3
"2448608.1",1
"2449076.1",1
"2449672.1",1
"2454290.1",1
"2454506.1",1
"2458134.1",1
"2462574.1",2
"2462589.1",2
"2462745.1",2
"2498703.1",1
"2499058.1",1
"2500236.1",2
"2500755.1",4
"2502404.1",2
"2502517.1",5
"2502577.1",5
"2502598.1",5
"2503110.1",1
"2503354.1",1
"2503360.1",1
"2506291.1",1
"2508335.1",1
"2508922.1",1
"2510819.1",4
"2512700.1",1
"2512754.1",1
"2512791.1",1
"2512808.1",1
"2512913.1",1
"2514682.1",1
"2516402.1",1
"2517201.1",2
"2517990.1",1
"2518422.1",1
"2518443.1",1
"2518512.1",1
"2518524.1",1
"2518770.1",3
"2518815.1",3
"2518824.1",3
"2518842.1",3
"2518842.2",1
"2518869.1",1
"2518881.1",2
"2518956.1",1
"2521630.1",1
"2521713.1",1
"2521820.1",1
"2523826.1",2
"2524785.1",1
"2524822.1",14
"2525059.1",1
"2525068.1",1
"2525080.1",1
"2525290.1",1
"2525308.1",2
"2525392.1",1
"2525440.1",2
"2525443.1",1
"2525455.1",1
"2525482.1",1
"2525515.1",1
"2525550.1",1
"2525551.1",1
"2537530.1",4
"2537797.1",1
"2537866.1",1
"2545395.1",70
"2546086.1",5
"2546173.1",6
"2546176.1",6
"2546212.1",3
"2546369.1",6
"2547240.1",1
"2547381.1",3
"2547669.1",1
"2547835.1",1
"2548718.1",1
"2548880.1",1
"2548893.1",15
"2548910.1",1
"2548961.1",1
"2548964.1",1
"2548970.1",1
"2548991.1",4
"2549003.1",1
"2549003.2",1
"2549015.1",1
"2549021.1",1
"2549276.1",2
"2549561.1",1
"2549573.1",1
"2549603.1",1
"2549666.1",1
"2549699.1",1
"2549711.1",4
"2549717.1",1
"2549733.1",4
"2549735.1",4
"2549813.1",1
"2549819.1",1
"2549912.1",3
"2550059.1",1
"2550284.1",2
"2550311.1",2
"2551060.1",3
"2551168.1",3
"2551546.1",3
"2551586.1",3
"2552842.1",1
"2552971.1",1
"2553316.1",1
"2559460.1",1
"2559703.1",9
"2559886.1",2
"2559943.1",2
"2560009.1",2
"2560135.1",2
"2560333.1",2
"2560396.1",2
"2560525.1",10
"2561538.1",8
"2561834.1",2
"2564367.1",1
"2564481.1",6
"2564481.2",1
"2564490.1",6
"2564523.1",1
"2564598.1",4
"2564670.1",1
"2564700.1",1
"2564727.1",4
"2564727.2",1
"2564925.1",1
"2565234.1",1
"2565543.1",1
"2565612.1",1
"2565948.1",6
"2566047.1",1
"2566412.1",1
"2566448.1",1
"2566457.1",5
"2566628.1",1
"2575391.1",1
"2660485.1",4
"2668380.1",1
"2688922.1",3
"2711722.1",1
"2711902.1",1
"2734589.1",1
"2763641.1",1
"2764160.1",1
"2764179.1",1
"2764190.1",1
"2764219.1",1
"2764248.1",1
"2768586.1",1
"2770757.1",1
"2770913.1",1
"2770925.1",1
"2770928.1",1
"2771548.1",1
