"","times_snp_appears"
"2245.1",5
"5254.1",1
"5803.1",1
"6878.1",4
"7281.1",0
"7781.1",1
"7805.1",2
"8647.1",3
"15989.1",0
"16504.1",0
"16636.1",0
"16884.1",2
"16983.1",0
"17094.1",0
"17094.2",6
"17217.1",0
"17497.1",1
"17894.1",0
"18125.1",1
"19352.1",1
"21018.1",1
"21291.1",1
"22837.1",1
"22837.2",1
"22990.1",1
"24180.1",1
"24296.1",1
"24338.1",4
"35010.1",2
"37956.1",3
"38301.1",3
"39859.1",1
"40016.1",2
"41643.1",3
"41964.1",1
"43189.1",3
"43561.1",3
"43777.1",2
"44770.1",1
"44911.1",1
"46689.1",1
"46839.1",1
"48567.1",1
"52214.1",1
"52556.1",6
"53016.1",1
"53107.1",1
"53142.1",1
"53377.1",1
"53707.1",1
"53821.1",1
"54335.1",1
"54394.1",1
"54451.1",1
"54631.1",1
"55022.1",1
"55045.1",1
"56452.1",1
"60196.1",1
"60486.1",1
"60708.1",12
"60744.1",1
"60787.1",12
"60943.1",1
"61594.1",1
"62504.1",1
"63455.1",1
"63457.1",2
"63690.1",1
"64580.1",1
"65006.1",11
"65006.2",7
"65333.1",7
"66308.1",0
"68363.1",2
"68414.1",1
"69171.1",2
"69558.1",2
"69604.1",1
"69614.1",2
"70317.1",2
"70907.1",1
"71568.1",8
"71897.1",1
"73756.1",13
"74248.1",1
"75617.1",1
"76629.1",1
"77191.1",1
"78202.1",1
"80003.1",2
"81256.1",1
"81568.1",4
"82560.1",1
"88750.1",1
"88779.1",3
"89215.1",9
"89347.1",1
"89781.1",1
"94211.1",4
"95537.1",15
"95657.1",1
"95729.1",1
"95798.1",15
"95813.1",1
"95828.1",1
"96089.1",1
"96473.1",0
"102190.1",1
"114142.1",1
"117638.1",3
"119660.1",1
"120628.1",2
"120980.1",4
"121259.1",3
"121393.1",1
"121436.1",1
"121439.1",1
"122849.1",2
"122944.1",2
"123118.1",1
"123420.1",1
"123735.1",1
"136721.1",1
"137019.1",1
"137396.1",1
"138478.1",1
"139666.1",1
"139826.1",1
"140962.1",1
"141119.1",1
"146656.1",1
"153053.1",1
"153166.1",3
"153553.1",1
"153744.1",1
"154349.1",1
"154565.1",1
"158819.1",1
"161447.1",2
"162187.1",2
"167543.1",1
"170780.1",1
"171982.1",2
"172957.1",2
"174888.1",2
"176567.1",2
"176606.1",1
"176777.1",1
"177544.1",1
"178279.1",2
"178279.2",1
"180195.1",1
"180195.2",1
"182374.1",6
"183095.1",1
"183727.1",1
"184397.1",1
"184618.1",1
"184703.1",1
"184805.1",1
"185150.1",1
"185210.1",1
"185758.1",1
"186538.1",1
"186586.1",1
"186913.1",1
"187728.1",8
"187806.1",1
"188194.1",1
"190979.1",0
"191054.1",1
"192239.1",3
"192734.1",2
"192998.1",4
"193582.1",1
"193759.1",1
"193885.1",1
"194674.1",1
"194775.1",2
"194960.1",1
"194992.1",1
"195025.1",3
"196318.1",1
"197911.1",2
"198247.1",2
"199886.1",4
"200469.1",3
"200963.1",1
"201230.1",3
"201251.1",2
"201819.1",3
"203098.1",3
"203233.1",1
"203257.1",2
"203674.1",3
"204001.1",4
"204319.1",1
"205729.1",0
"206259.1",1
"206348.1",1
"206365.1",1
"206536.1",1
"206599.1",1
"207094.1",10
"207413.1",1
"207567.1",1
"207657.1",1
"207797.1",1
"208235.1",2
"208376.1",5
"208487.1",1
"208562.1",4
"208772.1",3
"209157.1",2
"213274.1",2
"213547.1",8
"213551.1",8
"213562.1",8
"213569.1",7
"213571.1",4
"213571.2",2
"219378.1",1
"220479.1",1
"220489.1",3
"220558.1",2
"220945.1",1
"221064.1",2
"221172.1",2
"221408.1",6
"222848.1",0
"223113.1",1
"223183.1",3
"223183.2",5
"225040.1",2
"225480.1",1
"227071.1",1
"228006.1",1
"228327.1",2
"228327.2",9
"228450.1",9
"228501.1",2
