,3399-4058-0-RVRE,1016-2017-0-RVRE,5948-6048-14-RVRE,793-A001-120-G-TIPmvre,1090-E022-60-R-TIPmvre,738-E023-1-R-TIPmvre,1047-4017-14-GVRE,1896-4034-0-HVRE,5855-2060-0-RVRE,635-C003-1-G-TIPmvre,1352-E036-1-G-TIPmvre,3362-E077-30-R-TIPmvre,546-I005-14-R-TIPmvre,5902-1089-0-RVRE,3363-A015-14-R-TIPmvre,7151-3115-0-RVRE,6430-1097-0-RVRE,1537-1034-0-RVRE,824-4018-0-RVRE,1341-E033-1-R-TIPmvre,4133-3066-0-RVRE,5489-2056-0-HVRE,7258-3113-14-RVRE,629-2013-0-RVRE,4030-H021-30-R-TIPmvre,539-1018-0-RVRE,1028-E026-1-R-TIPmvre,4794-5029-0-RVRE,7413-3121-0-RVRE,1053-6004-0-R1VRE,6242-5037-0-RVRE,949-3025-0-RVRE,1096-1026-0-RVRE,1278-1019-30-RVRE,1644-3031-14-RVRE,702-3020-0-RVRE,5080-2051-0-HVRE,1543-4028-0-GVRE,1638-6008-0-RVRE,236-4004-0-RVRE,1137-4020-14-RVRE,219-2005-0-RVRE,711-4015-0-RVRE,4313-6035-0-GVRE,4462-6037-0-RVRE,6077-4098-0-GVRE,1455-4025-0-RVRE,2963-2031-14-RVRE,4922-2049-0-RVRE,5363-2050-14-RVRE,80-2003-0-RVRE,1463-1033-0-HVRE,2471-4044-0-GVRE,2492-6012-14-GVRE,8512-3145-0-RVRE,8088-3137-0-RVRE,8513-3147-0-RVRE,898-4011-30-GVRE,609-6002-30-RVRE,4362-6036-0-RVRE,4693-4077-0-HVRE,4007-5020-0-RVRE,4031-J032-1-G-TIPmvre,2026-4040-0-RVRE,3744-F061-90-G-TIPmvre,7600-3125-0-GVRE,7891-2076-0-OVRE,5232-4088-0-RVRE,217-2001-30-HVRE,5856-4095-0-GVRE,851-5002-0-RVRE,409-1015-0-RVRE,3884-J030-1-G-TIPmvre,3070-L011-1-G-TIPmvre,3686-C018-1-R-TIPmvre,6697-4104-0-GVRE,697-3019-0-RVRE,5827-6047-14-RVRE,4639-1079-0-RVRE,4832-1081-0-GVRE,5541-1082-30-RVRE,1420-2021-0-RVRE,6304-2065-0-RVRE,6651-2067-0-RVRE,1488-4026-0-HVRE,1929-4036-0-GVRE,6950-4109-0-RVRE,2308-2029-0-RVRE,4948-4081-0-RVRE,5954-3098-0-R1VRE,6435-4099-14-GVRE,7053-4107-14-RVRE,4384-3073-0-RVRE,5348-3091-0-RVRE,9019-3156-0-RVRE,1676-4031-0-GVRE,2386-6013-0-R1VRE,3994-6029-0-GVRE,4593-3077-0-RVRE,7583-5041-0-HVRE,621-2007-14-RVRE,5284-6044-0-RVRE,483-2008-0-RVRE,5533-3092-0-HVRE,8303-3140-0-H1VRE,5214-4087-0-HVRE,5924-3095-14-RVRE,4280-2041-14-HVRE,615-3018-0-HVRE,3233-1045-60-H1VRE,905-4021-0-RVRE,5006-5030-0-RVRE,5925-3097-0-HVRE,6648-4103-0-HVRE,4703-4078-0-R1VRE,4902-4076-14-RVRE,729-4016-0-HVRE,6129-1092-0-HVRE,8052-3132-0-HVRE,4784-3082-0-RVRE,1334-2020-0-R1VRE,2886-5012-0-RVRE,6748-6057-0-HVRE,2243-3041-14-RVRE,1889-3036-0-OVRE,4145-6030-14-RVRE,3320-D044-1-R-TIPmvre,4009-E118-14-R-TIPmvre,5261-4089-0-RVRE,5285-6045-0-RVRE,3226-4049-14-RVRE,344-1009-0-HVRE,899-D004-14-G-TIPmvre,3082-3051-0-RVRE,5088-6043-0-HVRE,6988-1099-0-RVRE,3717-G013-14-O-TIPmvre,4143-2042-0-RVRE,3673-4064-0-HVRE,4999-3085-0-HVRE,3743-D050-1-G-TIPmvre,1781-3033-30-RVRE,3890-6028-0-RVRE,3667-E109-14-R-TIPmvre,3672-K017-1-G-TIPmvre,442-1011-14-RVRE,4544-5027-0-RVRE,4786-5025-14-HVRE,8232-2079-0-HVRE,1321-3028-0-RVRE,6429-1096-0-RVRE,6652-3103-14-RVRE
3399-4058-0-RVRE,1973,1543,1543,1543,1543,1543,1543,1543,1544,1543,1543,1546,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1543,1544,1541,1540,72,264,72,73,87,87,73,73,72,72,73,87,87,87,74,76,74,187,187,187,72,72,87,87,72,74,72,77,89,72,222,72,72,74,72,76,87,285,74,84,87,271,72,87,72,72,72,72,74,73,293,72,89,89,89,176,176,176,176,176,176,182,176,177,176,176,178,176,338,574,589,589,589,574,576,574,574,574,669,589,589,574,574,574,574,575,576,574,589,581,567,566,577,259,202,200,200,202,1228,1228,1220,1228,1228,1228,188,383,186,434,433,637,430,431,96,1614,1626,1563,1563,1563,1560,1938,1938,1938,1938,1941,1946,1946
1016-2017-0-RVRE,1543,2172,2159,2158,2158,2158,2154,2154,2153,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2152,2151,18,209,18,18,33,33,18,18,18,18,19,33,33,33,20,20,20,19,19,19,18,18,33,33,18,20,18,23,33,18,166,18,18,18,18,22,33,231,18,30,33,214,18,33,18,18,18,18,20,18,238,18,35,35,35,85,85,85,85,85,85,91,85,85,85,85,87,85,245,481,496,496,496,481,482,481,481,481,482,496,496,481,481,481,481,482,483,481,496,486,470,470,493,258,55,53,53,55,1106,1106,1098,1106,1106,1105,40,233,41,430,429,635,429,431,41,1706,1606,1711,1711,1711,1708,1543,1543,1543,1543,1539,1543,1543
5948-6048-14-RVRE,1543,2159,2195,2158,2158,2158,2154,2154,2153,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2152,2151,18,209,18,18,33,33,18,18,18,18,19,33,33,33,20,20,20,19,19,19,18,18,33,33,18,20,18,23,33,18,166,18,18,18,18,22,33,231,18,30,33,214,18,33,18,18,18,18,20,18,238,18,34,34,34,85,85,85,85,85,85,91,85,85,85,85,87,85,245,481,496,496,496,481,482,481,481,481,482,496,496,481,481,481,481,482,483,481,496,486,470,470,493,258,55,53,53,55,1105,1105,1097,1105,1105,1104,39,232,40,430,429,635,429,431,41,1706,1606,1711,1711,1711,1708,1543,1543,1543,1543,1539,1543,1543
793-A001-120-G-TIPmvre,1543,2158,2158,2187,2158,2158,2154,2154,2153,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2152,2151,18,209,18,18,33,33,18,18,18,18,19,33,33,33,20,20,20,19,19,19,18,18,33,33,18,20,18,23,33,18,166,18,18,18,18,22,33,231,18,30,33,214,18,33,18,18,18,18,20,18,238,18,34,34,34,85,85,85,85,85,85,91,85,85,85,85,87,85,245,481,496,496,496,481,482,481,481,481,482,496,496,481,481,481,481,482,483,481,496,486,470,470,493,258,55,53,53,55,1105,1105,1097,1105,1105,1104,39,232,40,430,429,635,429,431,41,1706,1606,1711,1711,1711,1708,1543,1543,1543,1543,1539,1543,1543
1090-E022-60-R-TIPmvre,1543,2158,2158,2158,2180,2178,2154,2154,2153,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2152,2151,18,209,18,18,33,33,18,18,18,18,19,33,33,33,20,20,20,19,19,19,18,18,33,33,18,20,18,23,33,18,166,18,18,18,18,22,33,231,18,30,33,214,18,33,18,18,18,18,20,18,238,18,34,34,34,85,85,85,85,85,85,91,85,85,85,85,87,85,245,481,496,496,496,481,482,481,481,481,482,496,496,481,481,481,481,482,483,481,496,486,470,470,493,258,55,53,53,55,1105,1105,1097,1105,1105,1104,39,232,40,430,429,635,429,431,41,1706,1606,1711,1711,1711,1708,1543,1543,1543,1543,1539,1543,1543
738-E023-1-R-TIPmvre,1543,2158,2158,2158,2178,2178,2154,2154,2153,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2154,2152,2151,18,209,18,18,33,33,18,18,18,18,19,33,33,33,20,20,20,19,19,19,18,18,33,33,18,20,18,23,33,18,166,18,18,18,18,22,33,231,18,30,33,214,18,33,18,18,18,18,20,18,238,18,34,34,34,85,85,85,85,85,85,91,85,85,85,85,87,85,245,481,496,496,496,481,482,481,481,481,482,496,496,481,481,481,481,482,483,481,496,486,470,470,493,258,55,53,53,55,1105,1105,1097,1105,1105,1104,39,232,40,430,429,635,429,431,41,1706,1606,1711,1711,1711,1708,1543,1543,1543,1543,1539,1543,1543
1047-4017-14-GVRE,1543,2154,2154,2154,2154,2154,2206,2195,2173,2173,2169,2168,2168,2169,2169,2161,2157,2155,2155,2155,2155,2155,2155,2154,2152,2151,18,209,18,18,33,33,18,18,18,18,19,33,33,33,20,20,20,19,19,19,18,18,33,33,18,20,18,23,33,18,166,18,18,18,18,22,33,231,18,30,33,214,18,33,18,18,18,18,20,18,238,18,34,34,34,85,85,85,85,85,85,91,85,85,85,85,87,85,245,481,496,496,496,481,482,481,481,481,482,496,496,481,481,481,481,482,483,481,496,486,470,470,494,258,55,53,53,55,1105,1105,1097,1105,1105,1104,39,232,40,430,429,635,429,431,41,1706,1606,1713,1713,1713,1709,1543,1543,1543,1543,1539,1543,1543
1896-4034-0-HVRE,1543,2154,2154,2154,2154,2154,2195,2212,2174,2174,2169,2168,2168,2169,2169,2161,2157,2155,2155,2155,2155,2155,2155,2154,2152,2151,18,209,18,18,33,33,18,18,18,18,19,33,33,33,20,20,20,19,19,19,18,18,33,33,18,20,18,23,33,18,166,18,18,18,18,22,33,231,18,30,33,214,18,33,18,18,18,18,20,18,238,18,34,34,34,85,85,85,85,85,85,91,85,85,85,85,87,85,245,481,496,496,496,481,482,481,481,481,482,496,496,481,481,481,481,482,483,481,496,486,470,470,494,258,55,53,53,55,1105,1105,1097,1105,1105,1104,39,232,40,430,429,635,429,431,41,1706,1606,1713,1713,1713,1709,1543,1543,1543,1543,1539,1543,1543
5855-2060-0-RVRE,1544,2153,2153,2153,2153,2153,2173,2174,2203,2172,2167,2168,2166,2167,2167,2159,2155,2154,2154,2154,2154,2154,2154,2153,2151,2150,18,209,18,18,33,33,18,18,18,18,18,33,33,33,20,22,20,21,21,21,18,18,33,33,18,20,18,23,35,18,166,18,18,18,18,22,33,231,24,30,33,214,18,33,18,18,18,18,20,22,238,18,34,34,34,95,95,95,95,95,95,101,91,91,91,95,97,95,255,481,496,496,496,481,481,481,481,481,484,496,496,481,481,481,481,482,483,481,496,486,472,470,494,258,60,58,58,60,1117,1117,1109,1117,1118,1116,49,242,49,440,439,644,439,441,46,1708,1608,1713,1713,1713,1711,1544,1544,1544,1544,1540,1544,1544
635-C003-1-G-TIPmvre,1543,2154,2154,2154,2154,2154,2173,2174,2172,2178,2169,2168,2168,2169,2169,2161,2157,2155,2155,2155,2155,2155,2155,2154,2152,2151,18,209,18,18,33,33,18,18,18,18,19,33,33,33,20,20,20,19,19,19,18,18,33,33,18,20,18,23,33,18,166,18,18,18,19,22,33,231,18,30,33,214,18,33,18,18,18,18,21,18,238,18,34,34,34,85,85,85,85,85,85,91,85,85,85,85,87,85,245,481,496,496,496,481,482,481,481,481,482,496,496,482,481,481,481,482,483,481,496,486,470,470,494,258,55,53,53,55,1105,1105,1097,1105,1105,1104,39,232,40,430,429,635,429,431,41,1706,1606,1713,1713,1713,1709,1544,1543,1543,1543,1539,1543,1543
