"","times_snp_appears"
"261",1
"298",1
"491",1
"537",1
"1066",1
"1114",1
"1150",1
"1168",2
"1377",1
"1378",2
"1771",1
"1963",1
"2359",1
"2386",1
"2576",1
"2777",1
"2789",2
"3104",2
"3110",1
"3113",1
"3311",2
"3479",2
"3506",1
"3785",2
"4150",2
"4294",1
"4540",2
"4546",1
"4891",1
"5012",1
"5125",2
"6004",1
"6124",1
"6184",1
"6205",1
"6322",1
"6460",1
"6505",1
"6745",1
"6883",2
"7060",1
"7183",2
"7285",1
"7342",2
"7475",2
"7520",2
"7525",2
"7586",2
"8200",1
"8421",1
"8655",1
"8812",2
"8858",1
"8891",1
"8938",1
"8975",2
"9137",1
"9226",1
"9232",1
"9235",1
"9258",1
"9478",1
"9813",1
"9843",1
"10407",1
"10551",1
"10635",1
"10821",1
"10863",1
"10941",1
"11064",1
"11142",1
"11160",1
"11211",1
"11259",1
"11576",1
"11824",1
"11863",1
"12085",2
"12163",1
"12197",2
"12291",2
"12439",1
"12457",2
"12640",1
"12879",1
"13006",1
"13035",1
"13059",1
"13144",2
"13290",1
"13443",1
"13480",1
"13489",1
"13684",1
"14062",2
"14092",2
"14323",1
"14413",2
"14482",1
"14533",1
"14581",1
"14637",1
"14680",1
"14953",1
"15067",2
"15118",1
"15247",2
"15433",1
"15457",1
"15562",1
"15648",1
"15709",1
"21377",1
"21422",1
"21460",1
"21470",1
"21491",1
"21520",1
"21527",1
"21810",1
"21925",1
"21934",1
"22081",1
"22105",1
"22132",1
"22169",1
"22719",1
"22729",1
"22757",1
"22760",1
"23093",1
"23162",2
"23183",1
"23187",1
"23292",1
"23354",1
"23362",1
"23389",1
"23444",1
"23897",1
"23997",1
"24248",1
"24545",2
"24620",1
"24621",2
"24771",1
"25248",1
"25431",1
"25535",1
"25539",1
"25602",1
"25620",2
"25799",1
"26069",1
"26084",2
"26211",1
"26413",1
"26491",1
"26609",2
"26688",1
"26689",2
"26690",1
"26728",1
"26889",1
"26897",1
"26933",1
"26973",1
"27200",1
"27203",1
"27227",2
"27350",1
"27473",1
"28031",2
"28145",2
"28316",1
"28484",1
"28829",1
"29174",1
"29213",1
"29381",1
"29567",1
"29703",1
"29704",2
"29706",2
"29719",2
"29727",1
"29913",1
"30303",1
"30353",1
"30476",2
"31213",1
"31243",1
"31267",1
"31912",1
"31990",1
"32026",1
"32098",1
"32187",1
"32256",1
"32354",1
