"","times_snp_appears"
"939.1",2
"2310.1",1
"2628.1",1
"9555.1",1
"14573.1",1
"20228.1",1
"20627.1",1
"20690.1",2
"28095.1",1
"28254.1",1
"28257.1",1
"28287.1",2
"33169.1",1
"35664.1",1
"35786.1",1
"35810.1",2
"36221.1",1
"36814.1",1
"37246.1",1
"37399.1",1
"37657.1",1
"37759.1",1
"38716.1",1
"40850.1",1
"52183.1",1
"53377.1",1
"53428.1",1
"55686.1",1
"61630.1",1
"71783.1",1
"72482.1",1
"73614.1",1
"75538.1",2
"85032.1",1
"87966.1",1
"92620.1",1
"95431.1",1
"95947.1",1
"102967.1",1
"106765.1",1
"109774.1",1
"117479.1",1
"118061.1",1
"135543.1",1
"150218.1",1
"150752.1",1
"152299.1",1
"152587.1",1
"152587.2",1
"153619.1",1
"156485.1",2
"158253.1",1
"159487.1",1
"161049.1",1
"161190.1",1
"161247.1",1
"162179.1",1
"162326.1",1
"162704.1",1
"171727.1",1
"179906.1",1
"188451.1",1
"191035.1",1
"191485.1",1
"197117.1",1
"223447.1",1
"223609.1",1
"228890.1",1
"229640.1",1
"232731.1",1
"232830.1",1
"232839.1",1
"232926.1",1
"237159.1",1
"241730.1",1
"257350.1",1
"259678.1",1
"261024.1",1
"262208.1",1
"265611.1",1
"265986.1",1
"266469.1",1
"315592.1",1
"315796.1",1
"316842.1",1
"317127.1",1
"317187.1",1
"340987.1",1
"345836.1",1
"348754.1",1
"353898.1",1
"355498.1",1
"359874.1",1
"375745.1",1
"375963.1",1
"380542.1",1
"381555.1",1
"381891.1",1
"382269.1",1
"385223.1",1
"387140.1",1
"387146.1",1
"389133.1",1
"389154.1",0
"391722.1",2
"391938.1",1
"393117.1",1
"393438.1",1
"394446.1",1
"397700.1",1
"397877.1",1
"399781.1",1
"411669.1",1
"413503.1",1
"413662.1",1
"414414.1",1
"417080.1",1
"419004.1",1
"419214.1",1
"420775.1",1
"426622.1",1
"428955.1",1
"442002.1",1
"444214.1",1
"445093.1",1
"453068.1",1
"462933.1",1
"465166.1",1
"466328.1",1
"466655.1",1
"471202.1",1
"483252.1",1
"484831.1",1
"489825.1",1
"494635.1",1
"495716.1",1
"496319.1",1
"499944.1",1
"500634.1",1
"505974.1",1
