,3399-4058-0-RVRE,1016-2017-0-RVRE,5948-6048-14-RVRE,793-A001-120-G-TIPmvre,1090-E022-60-R-TIPmvre,738-E023-1-R-TIPmvre,1047-4017-14-GVRE,1896-4034-0-HVRE,5855-2060-0-RVRE,635-C003-1-G-TIPmvre,1352-E036-1-G-TIPmvre,3362-E077-30-R-TIPmvre,546-I005-14-R-TIPmvre,5902-1089-0-RVRE,3363-A015-14-R-TIPmvre,7151-3115-0-RVRE,6430-1097-0-RVRE,1537-1034-0-RVRE,824-4018-0-RVRE,1341-E033-1-R-TIPmvre,4133-3066-0-RVRE,5489-2056-0-HVRE,7258-3113-14-RVRE,629-2013-0-RVRE,4030-H021-30-R-TIPmvre,539-1018-0-RVRE,1028-E026-1-R-TIPmvre,4794-5029-0-RVRE,7413-3121-0-RVRE,1053-6004-0-R1VRE,6242-5037-0-RVRE,949-3025-0-RVRE,1096-1026-0-RVRE,1278-1019-30-RVRE,1644-3031-14-RVRE,702-3020-0-RVRE,5080-2051-0-HVRE,1543-4028-0-GVRE,1638-6008-0-RVRE,236-4004-0-RVRE,1137-4020-14-RVRE,219-2005-0-RVRE,711-4015-0-RVRE,4313-6035-0-GVRE,4462-6037-0-RVRE,6077-4098-0-GVRE,1455-4025-0-RVRE,2963-2031-14-RVRE,4922-2049-0-RVRE,5363-2050-14-RVRE,80-2003-0-RVRE,1463-1033-0-HVRE,2471-4044-0-GVRE,2492-6012-14-GVRE,8512-3145-0-RVRE,8088-3137-0-RVRE,8513-3147-0-RVRE,898-4011-30-GVRE,609-6002-30-RVRE,4362-6036-0-RVRE,4693-4077-0-HVRE,4007-5020-0-RVRE,4031-J032-1-G-TIPmvre,2026-4040-0-RVRE,3744-F061-90-G-TIPmvre,7600-3125-0-GVRE,7891-2076-0-OVRE,5232-4088-0-RVRE,217-2001-30-HVRE,5856-4095-0-GVRE,851-5002-0-RVRE,409-1015-0-RVRE,3884-J030-1-G-TIPmvre,3070-L011-1-G-TIPmvre,3686-C018-1-R-TIPmvre,6697-4104-0-GVRE,697-3019-0-RVRE,5827-6047-14-RVRE,4639-1079-0-RVRE,4832-1081-0-GVRE,5541-1082-30-RVRE,1420-2021-0-RVRE,6304-2065-0-RVRE,6651-2067-0-RVRE,1488-4026-0-HVRE,1929-4036-0-GVRE,6950-4109-0-RVRE,2308-2029-0-RVRE,4948-4081-0-RVRE,5954-3098-0-R1VRE,6435-4099-14-GVRE,7053-4107-14-RVRE,4384-3073-0-RVRE,5348-3091-0-RVRE,9019-3156-0-RVRE,1676-4031-0-GVRE,2386-6013-0-R1VRE,3994-6029-0-GVRE,4593-3077-0-RVRE,7583-5041-0-HVRE,621-2007-14-RVRE,5284-6044-0-RVRE,483-2008-0-RVRE,5533-3092-0-HVRE,8303-3140-0-H1VRE,5214-4087-0-HVRE,5924-3095-14-RVRE,4280-2041-14-HVRE,615-3018-0-HVRE,3233-1045-60-H1VRE,905-4021-0-RVRE,5006-5030-0-RVRE,5925-3097-0-HVRE,6648-4103-0-HVRE,4703-4078-0-R1VRE,4902-4076-14-RVRE,729-4016-0-HVRE,6129-1092-0-HVRE,8052-3132-0-HVRE,4784-3082-0-RVRE,1334-2020-0-R1VRE,2886-5012-0-RVRE,6748-6057-0-HVRE,2243-3041-14-RVRE,1889-3036-0-OVRE,4145-6030-14-RVRE,3320-D044-1-R-TIPmvre,4009-E118-14-R-TIPmvre,5261-4089-0-RVRE,5285-6045-0-RVRE,3226-4049-14-RVRE,344-1009-0-HVRE,899-D004-14-G-TIPmvre,3082-3051-0-RVRE,5088-6043-0-HVRE,6988-1099-0-RVRE,3717-G013-14-O-TIPmvre,4143-2042-0-RVRE,3673-4064-0-HVRE,4999-3085-0-HVRE,3743-D050-1-G-TIPmvre,1781-3033-30-RVRE,3890-6028-0-RVRE,3667-E109-14-R-TIPmvre,3672-K017-1-G-TIPmvre,442-1011-14-RVRE,4544-5027-0-RVRE,4786-5025-14-HVRE,8232-2079-0-HVRE,1321-3028-0-RVRE,6429-1096-0-RVRE,6652-3103-14-RVRE
3399-4058-0-RVRE,1984,1554,1554,1554,1554,1554,1554,1554,1555,1554,1554,1557,1554,1554,1554,1554,1554,1554,1554,1554,1554,1554,1554,1555,1552,1551,81,270,81,82,96,96,82,82,81,81,82,96,96,96,83,85,83,196,196,196,81,81,96,96,81,83,81,86,98,81,231,81,81,83,81,85,96,294,83,90,96,280,81,96,81,81,81,81,83,82,302,81,98,98,98,178,178,178,178,178,178,184,178,179,178,178,180,178,340,576,591,591,591,576,578,576,576,576,671,591,591,576,576,576,576,577,578,576,591,583,569,568,579,265,204,202,202,204,1236,1236,1228,1236,1236,1236,190,385,188,434,433,637,430,431,102,1623,1636,1574,1574,1574,1571,1949,1949,1949,1949,1949,1957,1957
1016-2017-0-RVRE,1554,2190,2177,2176,2176,2176,2172,2172,2171,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2170,2169,32,220,32,32,47,47,32,32,32,32,33,47,47,47,34,34,34,30,30,30,32,32,47,47,32,34,32,37,47,32,180,32,32,32,32,36,47,245,32,41,47,228,32,47,32,32,32,32,34,32,252,32,49,49,49,91,91,91,91,91,91,97,91,91,91,91,93,91,251,487,502,502,502,487,488,487,487,487,485,502,502,487,487,487,487,488,489,487,502,492,476,476,499,269,61,59,59,61,1119,1119,1111,1119,1119,1118,46,239,47,432,431,637,431,433,52,1718,1621,1728,1728,1728,1725,1555,1555,1555,1555,1547,1554,1554
5948-6048-14-RVRE,1554,2177,2213,2176,2176,2176,2172,2172,2171,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2170,2169,32,220,32,32,47,47,32,32,32,32,33,47,47,47,34,34,34,30,30,30,32,32,47,47,32,34,32,37,47,32,180,32,32,32,32,36,47,245,32,41,47,228,32,47,32,32,32,32,34,32,252,32,48,48,48,91,91,91,91,91,91,97,91,91,91,91,93,91,251,487,502,502,502,487,488,487,487,487,485,502,502,487,487,487,487,488,489,487,502,492,476,476,499,269,61,59,59,61,1118,1118,1110,1118,1118,1117,45,238,46,432,431,637,431,433,52,1718,1621,1728,1728,1728,1725,1555,1555,1555,1555,1547,1554,1554
793-A001-120-G-TIPmvre,1554,2176,2176,2205,2176,2176,2172,2172,2171,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2170,2169,32,220,32,32,47,47,32,32,32,32,33,47,47,47,34,34,34,30,30,30,32,32,47,47,32,34,32,37,47,32,180,32,32,32,32,36,47,245,32,41,47,228,32,47,32,32,32,32,34,32,252,32,48,48,48,91,91,91,91,91,91,97,91,91,91,91,93,91,251,487,502,502,502,487,488,487,487,487,485,502,502,487,487,487,487,488,489,487,502,492,476,476,499,269,61,59,59,61,1118,1118,1110,1118,1118,1117,45,238,46,432,431,637,431,433,52,1718,1621,1728,1728,1728,1725,1555,1555,1555,1555,1547,1554,1554
1090-E022-60-R-TIPmvre,1554,2176,2176,2176,2198,2196,2172,2172,2171,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2170,2169,32,220,32,32,47,47,32,32,32,32,33,47,47,47,34,34,34,30,30,30,32,32,47,47,32,34,32,37,47,32,180,32,32,32,32,36,47,245,32,41,47,228,32,47,32,32,32,32,34,32,252,32,48,48,48,91,91,91,91,91,91,97,91,91,91,91,93,91,251,487,502,502,502,487,488,487,487,487,485,502,502,487,487,487,487,488,489,487,502,492,476,476,499,269,61,59,59,61,1118,1118,1110,1118,1118,1117,45,238,46,432,431,637,431,433,52,1718,1621,1728,1728,1728,1725,1555,1555,1555,1555,1547,1554,1554
738-E023-1-R-TIPmvre,1554,2176,2176,2176,2196,2196,2172,2172,2171,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2172,2170,2169,32,220,32,32,47,47,32,32,32,32,33,47,47,47,34,34,34,30,30,30,32,32,47,47,32,34,32,37,47,32,180,32,32,32,32,36,47,245,32,41,47,228,32,47,32,32,32,32,34,32,252,32,48,48,48,91,91,91,91,91,91,97,91,91,91,91,93,91,251,487,502,502,502,487,488,487,487,487,485,502,502,487,487,487,487,488,489,487,502,492,476,476,499,269,61,59,59,61,1118,1118,1110,1118,1118,1117,45,238,46,432,431,637,431,433,52,1718,1621,1728,1728,1728,1725,1555,1555,1555,1555,1547,1554,1554
1047-4017-14-GVRE,1554,2172,2172,2172,2172,2172,2224,2213,2191,2191,2187,2186,2186,2187,2187,2179,2175,2173,2173,2173,2173,2173,2173,2172,2170,2169,32,220,32,32,47,47,32,32,32,32,33,47,47,47,34,34,34,30,30,30,32,32,47,47,32,34,32,37,47,32,180,32,32,32,32,36,47,245,32,41,47,228,32,47,32,32,32,32,34,32,252,32,48,48,48,91,91,91,91,91,91,97,91,91,91,91,93,91,251,487,502,502,502,487,488,487,487,487,485,502,502,487,487,487,487,488,489,487,502,492,476,476,500,269,61,59,59,61,1118,1118,1110,1118,1118,1117,45,238,46,432,431,637,431,433,52,1718,1621,1730,1730,1730,1726,1555,1555,1555,1555,1547,1554,1554
1896-4034-0-HVRE,1554,2172,2172,2172,2172,2172,2213,2230,2192,2192,2187,2186,2186,2187,2187,2179,2175,2173,2173,2173,2173,2173,2173,2172,2170,2169,32,220,32,32,47,47,32,32,32,32,33,47,47,47,34,34,34,30,30,30,32,32,47,47,32,34,32,37,47,32,180,32,32,32,32,36,47,245,32,41,47,228,32,47,32,32,32,32,34,32,252,32,48,48,48,91,91,91,91,91,91,97,91,91,91,91,93,91,251,487,502,502,502,487,488,487,487,487,485,502,502,487,487,487,487,488,489,487,502,492,476,476,500,269,61,59,59,61,1118,1118,1110,1118,1118,1117,45,238,46,432,431,637,431,433,52,1718,1621,1730,1730,1730,1726,1555,1555,1555,1555,1547,1554,1554
5855-2060-0-RVRE,1555,2171,2171,2171,2171,2171,2191,2192,2221,2190,2185,2186,2184,2185,2185,2177,2173,2172,2172,2172,2172,2172,2172,2171,2169,2168,32,220,32,32,47,47,32,32,32,32,32,47,47,47,34,36,34,32,32,32,32,32,47,47,32,34,32,37,49,32,180,32,32,32,32,36,47,245,38,41,47,228,32,47,32,32,32,32,34,36,252,32,48,48,48,101,101,101,101,101,101,107,97,97,97,101,103,101,261,487,502,502,502,487,487,487,487,487,487,502,502,487,487,487,487,488,489,487,502,492,478,476,500,269,66,64,64,66,1130,1130,1122,1130,1131,1129,55,248,55,442,441,646,441,443,57,1720,1623,1730,1730,1730,1728,1556,1556,1556,1556,1548,1555,1555
635-C003-1-G-TIPmvre,1554,2172,2172,2172,2172,2172,2191,2192,2190,2196,2187,2186,2186,2187,2187,2179,2175,2173,2173,2173,2173,2173,2173,2172,2170,2169,32,220,32,32,47,47,32,32,32,32,33,47,47,47,34,34,34,30,30,30,32,32,47,47,32,34,32,37,47,32,180,32,32,32,33,36,47,245,32,41,47,228,32,47,32,32,32,32,35,32,252,32,48,48,48,91,91,91,91,91,91,97,91,91,91,91,93,91,251,487,502,502,502,487,488,487,487,487,485,502,502,488,487,487,487,488,489,487,502,492,476,476,500,269,61,59,59,61,1118,1118,1110,1118,1118,1117,45,238,46,432,431,637,431,433,52,1718,1621,1730,1730,1730,1726,1556,1555,1555,1555,1547,1554,1554
