"","times_snp_appears"
"280",3
"318",1
"319",1
"408",1
"1714",1
"1726",1
"2276",1
"6456",2
"6539",1
"6960",2
"7304",1
"7534",1
"8281",1
"9130",1
"11805",2
"12915",1
"15403",1
"18047",1
"18095",1
"18148",1
"18189",1
"18207",1
"18207.1",1
"18226",1
"18307",1
"19199",1
"19536",1
"19823",1
"19894",1
"20206",2
"20272",1
"20289",1
"20479",1
"20701",1
"21101",1
"21848",1
"21934",2
"22034",1
"22037",1
"22466",1
"22519",1
"23059",2
"23362",2
"23530",2
"23803",2
"24882",1
"24882.1",1
"24883",1
"24883.1",1
"25310",2
"25574",2
"25682",2
"25706",2
"25722",2
"25730",2
"25760",2
"25769",2
"25847",2
"25856",2
"25859",2
"26365",1
"26369",2
"26384",2
"26390",2
"26699",2
"26705",2
"26757",2
"27104",2
"27118",2
"27138",2
"27252",2
"28635",1
"29169",2
"29277",1
"29724",2
"29979",2
"30535",1
"31050",1
"32565",1
"32899",1
"32901",1
"32902",1
"32903",1
"33007",1
"33034",1
"39222",1
"39617",1
"39965",1
"41378",1
"43105",1
"43357",2
"45880",1
"46376",1
"46670",1
"48247",1
"48444",1
"51849",1
"51861",1
"53330",1
"53900",1
"54298",1
"54358",1
"54775",1
"57869",3
"58158",5
"58243",2
"58272",1
"58275",1
"58287",1
"58293",1
"58296",1
"58299",1
"58300",1
"58302",1
"58308",1
"58310",1
"58311",1
"58314",1
"58335",1
"58356",1
"58362",1
"58365",1
"58395",1
"58406",1
"58421",1
"58428",1
"58440",1
"58461",1
"58470",1
"58485",1
"58488",1
"58495",1
"58497",1
"58503",1
"58506",1
"58509",1
"58512",1
"58515",1
"58516",1
"58524",1
"58533",1
"58562",1
"58566",6
"58584",1
"58593",1
"58608",1
"58614",1
"58638",1
"58698",1
"58708",1
"58712",1
"58716",1
"58732",1
"58758",1
"58768",1
"58773",1
"58782",1
"58795",1
"58798",1
"58821",1
"58824",1
"58838",1
"58845",1
"59031",1
"59034",1
"59039",1
"59043",1
"59062",1
"59076",1
"59359",4
"59395",1
"61199",1
"61930",6
"63239",1
"63268",1
"63293",1
"63296",1
"63299",1
"63301",1
"63308",1
"63335",1
"63336",1
"63339",1
"63340",1
"63345",1
"63378",1
"63382",1
"63391",1
"63770",1
"63846",1
"63867",1
"63873",1
"64471",1
"64626",1
"65763",1
"65928",2
"65934",2
"65943",2
"65946",2
"65952",2
"65962",2
"65967",2
"65970",2
"65973",2
"66042",4
"66065",4
"66069",4
"67054",3
"67946",2
"68694",1
"71576",1
"71584",1
"71587",1
"71614",8
"71617",8
"71622",8
"71629",7
"71633",4
"71638",3
"71641",3
"71644",3
"71653",2
"71654",2
"71755",3
"71995",1
"72081",1
"72700",1
"72703",1
"72901",1
"73108",1
"73120",1
"73323",3
"74373",5
"74376",5
"74379",5
"74385",5
"74410",3
"74593",1
"74768",1
"75398",1
"75410",1
"75692",3
"75799",2
"76881",3
"77064",1
"77116",1
"77119",1
"77140",2
"77148",2
"77151",2
"77162",1
"77170",1
"77229",2
"77230",2
"77245",1
"77253",1
"77288",1
"77294",2
"77309",2
"77873",1
"77921",3
"77996",1
"78035",1
"78038",1
"78039",1
"78041",1
"78047",1
"78059",1
"78071",1
"78074",1
"78650",1
"78653",1
"78654",1
"78658",1
"78663",1
"78677",1
"78686",1
"78689",1
"78701",1
"78702",1
"78704",1
"78716",1
"78719",1
"78722",1
"78744",1
"78746",1
"78747",1
"78750",1
"78751",1
"78752",1
"78753",1
"78754",1
"78776",1
"78792",1
"78794",1
"78795",1
"78798",1
"78819",1
"78831",1
"78833",1
"78837",1
"78839",1
"78842",1
"78848",1
"78851",1
"78864",1
"78869",1
"78875",2
"78888",1
"78917",1
"78929",1
"78937",1
"78938",1
"78947",1
"78950",1
"78984",1
"79010",1
"79026",1
"79028",1
"79030",1
"79031",1
"79045",1
"79052",1
"79055",1
"79076",1
"79083",1
"79088",1
"79091",1
"79100",1
"79109",1
"79115",1
"79124",1
"79127",1
"79133",1
"79144",1
"79151",1
"79283",1
"79289",1
"79298",1
"79299",1
"79301",1
"79306",1
"79314",1
"79316",1
"79325",1
"79328",1
"79349",1
"79365",1
"79370",1
"79371",1
"79376",1
"79382",1
"79388",1
"79391",1
"79404",1
"79405",1
"79415",1
"79418",1
"79421",1
"79457",1
"79469",1
"79472",1
"79484",1
"79487",1
"79496",1
"79497",1
"79499",1
"79502",1
"79505",1
"79511",1
"79526",2
"79529",1
"79530",1
"79535",1
"79538",1
"79547",1
"79553",1
"79553.1",1
"79565",1
"79568",1
"79575",2
"79577",1
"79587",1
"79589",1
"79592",1
"79595",1
"79597",1
"79598",1
"79601",1
"79603",1
"79607",1
"79608",1
"79609",1
"79613",1
"79619",1
"79622",1
"79640",1
"79643",1
"79644",1
"79647",2
"79654",1
"79655",1
"79661",1
"79673",1
"79674",1
"79676",2
"79682",1
"79685",1
"79692",1
"79694",1
"79706",1
"79709",1
"79716",1
"79718",1
"79725",1
"79746",2
"79750",1
"79760",1
"79769",1
"79769.1",1
"79781",1
"79781.1",1
"79787",1
"79787.1",1
"79789",1
"79790",1
"79791",1
"79792",1
"79802",1
"79814",1
"79816",1
"79830",1
"79836",1
"79844",1
"79847",1
"79850",1
"79856",1
"79859",1
"79862",1
"79878",1
"79888",1
"79911",1
"79940",1
"79941",1
"79972",1
"79992",1
"80000",1
"80018",1
"80205",1
"80226",1
"80231",1
"80234",1
"80238",1
"80245",1
"80557",3
"80720",1
"80819",3
"81086",3
"81099",4
"82156",2
"82162",2
"82714",1
"83387",3
"83803",3
"84513",2
"85387",1
"89147",1
"90180",1
"90335",1
"90400",1
"90906",1
"93429",1
"94248",1
"95603",1
"96205",1
"97294",1
"100524",1
"104098",1
"104825",2
"104903",1
"105027",1
"106725",1
"106830",1
"107186",1
"107543",1
"107944",1
"108852",3
"111617",1
"111980",1
"111993",1
"112110",1
"113032",1
"114474",1
"114765",1
"114932",1
"117501",1
"118004",1
"120172",1
"120290",1
"121183",1
"121291",2
"122390",1
"123498",1
"123566",1
"123661",1
"123736",1
"123750",1
"123886",1
"124114",1
"124184",1
"124211",1
"124417",1
"124463",1
"124467",1
"124498",1
"124552",1
"124617",1
"124618",1
"124620",1
"124651",1
"124755",1
"124756",1
"124759",1
"124768",1
"124798",1
"124816",1
"124822",1
"124827",1
"125232",1
"125242",1
"125380",1
"125568",1
"125704",1
"125791",1
"126173",1
"126321",2
"126457",1
"126901",1
"126963",1
"127074",1
"127174",1
"127354",1
"127537",2
"127963",1
"128616",1
"128891",1
"129059",1
"129586",1
"129683",1
"130349",1
"130483",1
"130525",1
"130735",1
"131099",1
"131372",1
"131401",1
"131441",1
"132046",1
"132316",1
"132668",1
"132799",1
"133472",1
"133854",1
"133953",1
"134016",1
"134135",1
"134980",1
"135236",1
"135290",1
"135797",1
"138589",1
"138617",1
"139060",1
"139315",1
"139327",1
"139396",1
"139444",1
"140721",1
"140817",1
"140860",1
"140902",1
"140923",1
"141187",1
"141493",1
"141824",1
"141831",1
"141834",1
"141853",1
"141873",1
"141929",1
"141938",1
"141970",1
"141975",1
"142016",1
"142036",1
"142069",1
"142415",1
"142905",1
"143005",1
"143307",1
"143455",1
"143986",1
"144056",1
"144112",1
"144501",2
"144536",1
"144596",1
"144933",1
"145035",1
"145047",1
"145074",1
"145435",2
"145774",1
"145821",1
"145958",1
"145969",1
"146596",1
"146730",1
"146827",1
"146932",1
"147027",1
"147052",1
"147466",1
"148193",1
"148594",1
"148625",1
"148801",1
"148929",1
"148932",1
"148942",2
"149035",1
"149733",1
"149857",1
"149984",1
"150286",1
"150401",1
"150630",1
"151333",2
"151689",1
"151780",1
"151789",1
"151868",1
"151885",1
"151894",1
"151934",1
"151939",1
"151945",1
"151963",1
"151981",1
"152093",1
"152094",1
"152114",1
"152120",1
"152129",1
"152132",1
"152136",1
"152144",1
"152145",1
"152150",1
"152158",1
"152162",1
"152171",1
"152174",1
"152192",1
"152198",1
"152321",1
"152336",1
"152339",1
"152363",1
"152381",1
"152384",1
"152402",1
"153129",1
"153144",1
"153157",1
"153356",1
"153414",1
"153477",2
"153531",1
"153543",1
"153567",1
"153574",1
"153711",1
"154175",1
"154407",1
"154594",1
"154686",1
"154848",1
"155211",1
"155413",1
"155416",1
"155421",1
"155430",1
"155433",1
"155466",1
"155469",1
"155472",1
"155478",1
"155517",1
"155638",1
"155707",2
"156857",2
"157814",2
"158709",1
"158881",1
"161272",1
"161460",1
"161545",1
"161604",1
"161707",1
"162252",1
"162334",1
"162402",1
"162581",1
"162697",1
"162757",1
"162785",1
"162817",1
"162849",1
"162861",1
"163365",1
"163392",1
"163431",1
"163434",1
"163437",1
"163452",1
"163458",1
"163460",1
"164201",1
"164309",1
"164747",1
"164968",1
"164999",1
"165218",1
"165224",1
"165227",1
"165464",1
"165466",1
"165553",1
"165554",1
"165558",1
"165590",1
"165616",1
"165649",1
"165717",1
"165730",1
"165739",1
"165754",1
"165757",1
"165760",1
"165761",1
"165769",1
"165793",1
"165805",1
"165808",1
"165934",1
"165943",1
"165958",1
"166030",1
"166057",1
"166245",1
"166258",1
"166260",1
"166330",1
"166376",1
"166414",1
"166676",1
"166705",1
"166790",1
"166989",1
"166996",1
"167412",1
"167480",1
"167495",1
"167558",1
"167584",1
"167605",1
"168216",1
"168286",2
"168319",1
"168478",1
"168511",1
"168603",1
"168756",1
"168794",1
"168893",1
"169028",1
"169110",1
"169195",1
"169199",1
"169287",1
"169304",1
"169312",1
"169644",1
"170021",1
"170202",1
"171010",1
"171965",1
"172059",1
"172216",1
"172321",1
"172863",1
"173141",1
"173441",1
"173527",1
"173565",1
"173839",1
"173887",1
"175610",1
"176292",1
"176303",1
"176439",1
"176488",1
"177434",1
"177462",1
"179073",1
"179174",1
"179422",1
"179626",1
"179980",2
"179981",1
"180101",1
"181460",1
"182877",1
"183282",1
"183427",1
"183892",1
"184070",1
"184266",1
"184284",2
"184294",1
"184298",1
"184601",1
"184772",1
"184900",1
"184915",1
"185057",1
"185719",4
"187248",1
"187263",1
"187384",2
"187536",1
"187941",1
"189261",1
"189437",1
"189964",1
"190231",1
"190273",1
"190594",1
"191224",1
"191321",1
"191431",1
"191845",1
"192296",1
"192371",1
"192377",1
"192415",1
"192799",1
"192840",1
"192846",1
"193201",1
"193300",1
"193304",1
"193327",1
"193381",1
"193381.1",1
"193580",1
"194211",1
"194242",1
"194354",1
"194408",1
"194444",1
"194662",1
"194791",1
"195230",1
"195290",1
"195446",1
"196232",1
"196367",1
"196858",1
"196995",1
"197364",1
"197940",1
"198487",1
"198797",1
"199115",1
"199452",1
"199523",1
"201256",1
"201610",1
"201698",1
"202157",1
"202326",1
"202823",1
"202889",2
"203113",1
"203204",1
"203499",1
"203672",1
"203694",1
"203910",1
"204248",1
"204778",1
"204814",1
"205075",1
"205337",1
"205343",1
"205348",1
"205349",1
"205363",1
"205471",1
"205894",1
"207091",2
"207092",2
"207094",2
"207461",1
"208096",2
"208239",1
"208647",1
"208767",1
"208821",1
"208888",1
"208984",3
"208987",6
"208988",6
"208991",6
"209273",10
"209276",10
"209277",10
"209388",1
"209456",1
"209503",1
"209640",1
"209739",1
"209754",1
"209769",1
"209862",2
"209871",1
"210150",1
"210228",1
"210246",1
"210312",1
"210318",1
"210354",1
"210399",1
"210402",1
"210408",1
"210501",1
"210573",1
"210629",1
"210691",1
"210691.1",1
"210960",1
"211008",1
"211269",1
"211528",1
"211572",1
"211597",2
"211696",1
"211849",1
"211945",1
"212000",1
"212131",1
"212191",1
"212198",1
"212206",1
"212374",1
"212375",1
"212377",1
"212525",2
"212552",1
"212614",1
"212621",1
"212645",1
"212646",1
"212647",2
"212690",3
"212719",2
"212774",1
"212783",2
"212788",2
"212790",2
"213100",1
"213227",1
"213266",1
"213269",1
"213275",1
"213299",1
"213368",1
"213468",1
"213469",1
"213491",1
"213493",1
"213566",1
"213610",1
"213637",1
"213644",1
"213658",1
"213687",2
"213699",1
"213708",1
"213726",2
"213788",1
"213854",1
"213857",1
"213872",1
"213876",1
"213877",1
"213883",1
"213887",1
"213893",1
"213899",2
"213965",1
"213972",1
"214005",1
"214067",1
"214163",1
"214202",1
"214207",1
"214229",2
"214271",1
"214439",2
"214511",1
"214559",2
"214642",1
"214658",1
"214660",1
"214673",1
"214675",1
"214676",1
"214677",1
"214820",1
"214822",2
"214886",1
"214945",2
"214945.1",1
"214990",1
"215026",2
"215068",2
"215073",1
"215132",1
"215314",2
"215321",1
"215322",1
"215347",2
"215445",1
"215470",2
"215491",2
"215530",2
"215578",2
"215599",1
"215635",1
"215656",1
"215680",2
"215704",1
"215794",1
"215797",1
"215868",1
"216223",1
"216300",2
"216471",1
"216634",1
"216981",1
"217032",1
"217227",1
"217258",1
"217260",1
"217274",2
"217338",1
"217752",1
"217762",1
"217851",1
"217917",1
"218079",1
"218398",1
"218865",2
"219026",1
"219147",2
"219505",1
"219567",1
"219606",2
"219807",1
"220023",1
"220263",1
"220291",2
"220377",1
"220414",2
"220446",2
"220453",1
"220507",1
"220990",2
"221466",2
"221514",1
"221701",1
"221717",1
"221775",2
"221834",1
"222269",2
"222680",2
"222825",1
"222909",2
"223185",1
"223433",1
"223657",2
"223789",2
"223918",2
"224020",2
"224149",2
"224359",1
"224491",1
"224567",1
"224599",1
"224605",1
"224607",1
"224608",1
"224611",1
"224632",1
"224638",1
"224641",1
"224644",1
"224647",1
"224650",1
"224825",1
"224876",1
"224932",1
"224998",1
"225079",1
"225381",1
"225586",1
"225604",1
"225622",1
"225628",1
"225668",1
"225794",1
"225866",1
"225908",1
"225913",1
"225914",1
"225918",1
"225980",2
"226078",1
"226094",1
"227581",1
"227599",1
"227638",1
"228265",1
"228469",1
"228510",1
"228545",1
"228586",1
"228675",1
"228771",1
"228964",1
"229025",1
"229130",1
"229218",1
"229236",1
"229296",1
"229322",1
"229399",1
"229453",1
"229492",1
"229966",1
"230031",1
"230180",1
"230220",1
"230279",1
"230368",1
"230575",1
"230820",1
"230821",1
"230825",1
"230872",1
"231560",1
"231591",1
"231599",1
"231890",1
"231970",1
"232128",1
"232194",1
"232278",1
"232424",1
"232642",1
"232910",1
"233010",1
"233141",1
"233213",1
"233216",1
"233246",1
"233402",1
"233489",1
"233555",1
"233606",1
"233639",1
"233654",1
"233741",1
"233864",1
"234300",1
"234324",1
"234391",1
"234394",1
"234456",1
"234640",1
"234703",1
"235057",1
"235170",1
"235771",1
"236167",1
"236254",1
"236638",1
"236653",1
"236934",1
"237200",1
"237226",1
"237346",1
"237622",1
"237679",1
"237892",1
"237958",1
"237964",1
"237973",1
"237979",1
"238003",1
"238015",1
"238432",1
"238775",1
"238779",1
"238852",1
"239038",1
"239139",1
"239326",1
"239368",1
"239400",1
"239580",2
"239629",1
"240016",1
"240268",1
"240310",1
"240586",1
"240610",1
"240616",1
"240908",1
"241246",1
"241334",1
"241427",1
"241430",1
"241511",2
"241515",2
"241528",2
"241612",1
"241615",1
"241664",1
"241772",1
"241808",1
"241943",1
"241957",1
"241967",1
"242093",1
"242135",1
"243305",1
"243992",1
"244118",1
"244809",1
"244844",3
"244968",1
"244996",1
"245864",1
"246086",2
"246335",2
"246339",1
"246466",1
"246513",2
"246683",2
"246686",2
"246689",2
"246776",2
"247012",2
"247209",2
"247879",2
"248335",1
"248941",2
"250135",2
"251953",1
"252503",1
"253119",1
"253120",1
"253411",1
"256504",2
"258286",1
"260156",12
"260160",8
"260192",5
"260249",3
"260285",2
"260321",2
"260334",1
"260667",1
"260885",2
"261308",2
"261338",2
"261406",2
"261444",1
"261494",3
"261507",3
"261525",3
"261528",3
"261639",2
"261786",2
"262101",2
"262220",2
"262318",3
"262688",2
"262730",2
"262934",2
"262967",2
"263264",2
"263438",2
"263567",2
"263585",2
"263621",2
"263732",2
"263860",7
"263861",7
"263873",2
"264086",2
"264213",1
"264227",2
"264299",3
"264332",2
"264488",2
"264853",1
"264897",2
"264939",2
"265119",3
"265801",2
"266235",3
"266345",2
"266393",2
"266435",2
"266580",2
"266628",1
"267005",3
"267237",2
"267290",2
"267508",3
"267513",1
"267634",2
"267678",2
"267742",2
"268031",3
"268107",3
"268111",3
"268569",1
"268576",3
"268658",3
"270159",4
"270203",3
"270222",1
"270237",1
"270450",3
"270734",8
"271081",2
"271199",2
"271362",1
"271412",2
"271466",2
"271589",2
"271664",2
"271734",1
"271815",3
"271932",1
"271994",1
"272071",2
"272202",2
"272205",2
"272209",2
"272286",2
"272325",3
"272334",3
"272393",1
"272448",3
"272451",3
"272856",2
"272896",1
"272919",2
"272922",2
"272931",2
"272934",2
"272967",2
"273318",2
"274006",2
"274008",1
"274099",2
"274430",2
"274524",2
"274644",2
"274677",1
"274678",1
"274840",1
"275218",1
"275494",3
"275677",1
"275725",1
"275943",2
"275993",1
"276131",1
"276155",2
"276437",1
"276523",1
"276608",1
"276834",2
"276887",2
"277005",1
"277088",1
"277187",1
"277207",1
"277239",3
"277481",1
"278894",4
"278899",5
"278921",3
"278924",3
"278927",3
"278936",3
"278972",2
"279044",2
"279063",2
"279098",2
"279119",1
"279131",2
"279132",2
"279140",1
"279143",1
"279197",1
"279212",1
"279227",1
"279230",2
"279263",1
"279275",1
"279308",2
"279311",2
"279323",2
"279326",2
"279359",2
"279360",2
"279364",1
"279377",8
"279379",10
"279380",10
"279381",10
"279382",9
"279396",3
"279401",2
"279404",2
"279410",2
"279419",2
"279428",2
"279430",3
"279437",4
"279446",4
"279464",3
"279470",3
"279491",3
"279509",3
"279522",3
"279548",3
"279560",2
"279569",2
"279578",2
"279587",2
"279596",2
"279602",2
"279608",2
"279623",2
"279632",2
"279647",2
"279722",2
"279724",3
"279731",3
"279735",3
"279740",3
"279743",4
"279755",9
"279758",9
"279761",9
"279764",9
"279767",9
"279779",9
"279782",9
"279785",9
"279797",15
"279798",15
"279801",15
"279802",15
"279811",15
"279952",13
"279962",6
"279973",6
"279975",5
"279990",2
"279991",2
"280012",2
"280014",2
"280018",2
"280038",1
"280043",1
"280046",1
"280061",1
"280127",1
"280130",1
"280136",1
"280139",1
"280140",1
"280174",1
"280184",1
"280204",1
"280217",1
"280228",1
"280237",1
"280238",1
"280253",1
"280268",1
"280271",1
"280310",1
"280331",1
"280337",2
"280363",1
"280387",1
"280409",1
"280411",1
"280415",1
"280421",1
"280468",1
"280652",1
"280661",1
"280730",1
"280739",1
"280743",1
"280760",1
"280853",1
"280859",1
"280880",1
"280952",1
"280988",1
"281045",1
"281099",1
"281108",1
"281114",1
"281120",1
"281171",1
"281219",1
"281309",1
"281402",1
"281414",1
"281435",1
"281498",1
"281610",1
"281621",1
"281639",1
"281654",2
"281661",1
"281698",4
"281704",2
"281798",2
"281857",2
"281926",1
"282114",1
"282166",1
"282181",1
"282221",1
"282289",1
"282304",1
"282350",1
"282379",1
"282421",1
"282424",1
"282468",1
"282469",1
"282496",1
"282499",1
"282547",1
"282601",3
"282627",1
"282628",1
"282720",2
"282751",1
"282853",1
"282865",1
"282898",1
"282904",1
"282988",1
"283021",1
"283048",4
"283111",1
"283129",1
"283138",1
"283171",1
"283180",1
"283195",1
"283201",1
"283210",1
"283255",2
"283305",1
"283306",1
"283321",2
"283327",3
"283359",5
"283407",3
"283455",1
"283462",8
"283660",2
"283672",2
"283831",2
"283861",1
"283864",1
"283900",2
"283960",1
"283984",1
"283993",1
"284053",1
"284098",1
"284115",1
"284140",1
"284154",1
"284167",1
"284182",1
"284230",1
"284280",1
"284287",1
"284289",1
"284299",1
"284317",1
"284320",1
"284359",1
"284433",1
"284544",1
"284575",1
"284683",1
"284711",2
"284826",2
"284903",3
"285030",2
"285034",3
"285103",4
"285153",4
"285160",2
"285193",3
"285221",2
"285268",2
"285304",1
"285355",1
"285399",1
"285424",2
"285430",2
"285502",3
"285559",5
"285589",6
"285598",7
"285631",7
"285645",3
"285955",5
"286099",4
"286118",1
"286430",3
"286729",3
"286896",1
"290226",2
"292063",1
"293672",1
"294470",3
"296719",3
"297463",3
"298512",1
"299977",3
"303900",1
"312475",1
"312737",1
"312928",2
"312987",2
"314093",8
"314273",8
"315158",1
"315247",7
"315294",7
"315339",7
"315411",1
"315478",7
"315537",10
"315610",19
"315625",17
"315685",18
"315698",13
"315701",19
"315855",1
"315894",5
"315942",7
"315951",7
"316724",7
"316752",7
"317807",5
"318058",7
"318585",8
"318927",7
"319000",7
"319001",1
"319420",1
"319423",7
"319502",7
"319833",11
"320306",8
"320444",27
"320599",19
"320672",24
"320723",25
"320810",16
"320866",7
"321306",1
"321389",7
"321435",7
"321590",7
"321641",7
"321730",7
"321878",1
"322474",1
"322689",7
"323040",1
"323163",1
"323226",7
"323358",7
"323715",7
"323719",7
"324348",7
"324659",1
"324663",7
"325021",7
"325032",7
"325046",7
"325049",7
"325058",7
"325060",7
"325082",7
"325084",7
"325086",7
"325087",7
"325135",7
"325141",7
"325147",7
"325153",7
"325159",7
"325162",7
"325173",1
"325180",7
"325207",7
"325319",7
"325423",7
"325495",7
"325509",7
"325630",2
"325830",7
"326010",7
"326043",7
"326047",7
"326055",7
"326088",7
"326091",7
"326148",8
"326151",7
"326157",7
"326160",7
"326196",7
"326211",7
"326229",7
"326238",7
"326286",7
"326322",7
"326358",7
"326374",7
"326376",7
"326379",7
"326382",7
"326390",7
"326398",7
"326401",7
"326406",7
"326450",7
"326455",7
"326464",7
"326468",7
"326478",7
"326484",7
"326490",7
"326501",7
"326593",7
"326628",7
"326631",7
"326634",7
"326646",7
"326681",7
"326683",7
"326685",7
"326695",7
"326703",7
"326709",7
"326712",7
"326718",7
"326742",7
"326747",7
"326751",7
"326793",7
"326805",7
"326811",7
"326814",7
"326859",7
"326865",7
"326913",7
"326952",8
"326958",8
"326965",9
"326967",9
"326968",9
"326973",9
"326974",9
"326978",9
"326979",9
"326991",8
"327006",7
"327007",1
"327009",7
"327055",7
"327060",7
"327069",7
"327075",7
"327085",7
"327090",7
"327114",7
"327126",7
"327173",8
"327195",8
"327210",8
"327232",7
