"","times_snp_appears"
"8938.1",1
"11160.1",1
"29703.1",2
"29719.1",1
"31198.1",3
"34154.1",1
"48106.1",1
"48697.1",3
"49516.1",0
"61822.1",2
"66365.1",3
"98919.1",1
"99695.1",1
"99710.1",1
"104552.1",3
"106906.1",1
"108313.1",1
"118755.1",3
"141737.1",1
"155570.1",3
"171256.1",1
"193554.1",0
"194038.1",1
"206766.1",3
"208859.1",1
"209986.1",1
"228978.1",1
"228979.1",1
"247962.1",1
"253436.1",1
"253484.1",2
"253668.1",1
"254206.1",1
"256729.1",3
"270417.1",1
"273607.1",1
"283165.1",3
"283288.1",1
"283693.1",1
"285159.1",1
"292947.1",0
"293263.1",4
"322383.1",1
"329629.1",2
"340038.1",1
"340434.1",2
"345353.1",1
"349985.1",0
"354245.1",1
"355424.1",2
"355436.1",2
"355510.1",1
"356867.1",1
"374675.1",1
"383730.1",0
"390435.1",1
"400335.1",1
"406737.1",1
"407281.1",1
"411109.1",1
"419639.1",3
"420093.1",3
"420633.1",1
"420732.1",1
"420741.1",2
"420741.2",1
"420744.1",1
"420756.1",1
"420768.1",1
"420801.1",1
"420837.1",2
"420852.1",2
"420867.1",1
"420873.1",1
"420876.1",1
"420918.1",2
"420924.1",1
"420927.1",2
"420951.1",2
"420957.1",2
"420975.1",1
"421008.1",1
"421059.1",2
"421071.1",1
"421104.1",1
"421449.1",1
"421503.1",1
"421521.1",1
"421566.1",1
"421602.1",1
"421638.1",1
"421683.1",1
"421731.1",1
"421941.1",1
"422841.1",1
"422842.1",1
"422845.1",1
"423010.1",1
"423016.1",1
"423361.1",1
"426270.1",1
"426474.1",1
"426579.1",2
"426600.1",2
"426615.1",1
"426651.1",1
"426744.1",3
"426768.1",3
"426885.1",2
"426978.1",2
"427074.1",2
"427107.1",2
"427185.1",2
"427185.2",2
"427209.1",1
"427239.1",3
"427353.1",3
"427359.1",1
"427365.1",1
"427374.1",2
"427413.1",1
"427419.1",2
"427446.1",1
"427449.1",2
"427449.2",1
"427497.1",2
"427497.2",1
"427527.1",1
"427536.1",1
"427551.1",2
"427848.1",1
"427851.1",2
"427869.1",1
"428253.1",1
"428744.1",2
"428873.1",2
"428972.1",1
"429047.1",1
"429227.1",3
"429245.1",3
"429299.1",1
"429332.1",1
"429416.1",3
"429574.1",1
"429623.1",1
"429641.1",2
"429681.1",3
"429686.1",3
"429737.1",4
"429748.1",3
"429788.1",3
"429861.1",1
"429865.1",1
"429887.1",3
"429890.1",3
"429920.1",1
"429926.1",2
"429929.1",1
"429947.1",1
"429995.1",2
"434128.1",1
"436059.1",2
"436065.1",2
"439660.1",1
"459917.1",1
"486187.1",4
"486829.1",1
"488368.1",1
"493961.1",1
"498100.1",0
"504354.1",3
"506412.1",3
"513632.1",2
"513644.1",1
"513708.1",1
"513932.1",2
"514346.1",1
"520291.1",1
"521752.1",1
"530933.1",1
"531014.1",1
"531111.1",1
"531410.1",1
"541197.1",1
"543495.1",3
"552726.1",1
"557137.1",1
"560954.1",3
"565028.1",1
"566159.1",1
"568395.1",1
"568408.1",1
"573671.1",3
"576697.1",1
"576927.1",2
"577372.1",0
"577375.1",1
"577489.1",1
"577498.1",1
"577744.1",1
"578068.1",2
"578316.1",4
"578666.1",1
"579874.1",1
"581741.1",0
"582037.1",3
"583009.1",1
"583110.1",1
"583672.1",3
"583972.1",1
"584152.1",1
"584176.1",1
"584833.1",1
"584846.1",1
"584889.1",2
"585009.1",1
"585492.1",1
"585494.1",1
"585529.1",1
"585741.1",1
"585757.1",1
"585767.1",1
"585826.1",1
"597562.1",2
"597837.1",1
"597999.1",2
"598047.1",1
"598392.1",4
"598410.1",2
"602449.1",1
"602909.1",1
"603442.1",1
"604639.1",1
"606314.1",3
"606859.1",1
"606859.2",1
"607084.1",0
"612660.1",3
"612995.1",1
"614329.1",4
"614776.1",1
"615194.1",3
"617392.1",1
"618400.1",2
"619574.1",4
"620003.1",1
"620021.1",1
"620564.1",2
"622127.1",1
"622504.1",1
"622990.1",3
"624037.1",4
"624102.1",2
"625158.1",4
"625315.1",1
"626138.1",3
"626147.1",1
"626487.1",4
"626568.1",3
"629994.1",1
"635676.1",1
"637406.1",2
"637993.1",1
"649709.1",1
"655731.1",1
"657695.1",2
