,CB1,CB2,CB3,ERR2092980,ERR2092981,ERR1045849,ERR1045852,SRR447229,SRR447230,SRR447234,SRR515127,SRR515554,SRR515126,SRR515552,SRR064779,SRR447236,SRR447245,SRR447239,ERR1045847,ERR1045795,SRR2095366,ERR1045798,SRR6000499,ERR1045859,SRR3664368,SRR1151145,SRR5364843,ERR1045815
CB1,11145,11127,11117,9988,9976,10411,9778,8592,8586,8593,9350,9325,9568,9545,9142,9140,9140,9142,9756,9077,8615,2002,2032,2064,2177,1751,1767,1915
CB2,11127,11162,11103,9977,9964,10404,9767,8588,8582,8589,9343,9317,9559,9540,9138,9136,9137,9138,9749,9079,8616,2006,2035,2094,2206,1753,1766,1914
CB3,11117,11103,11152,10006,9993,10397,9778,8593,8586,8593,9352,9326,9570,9545,9163,9161,9161,9163,9773,9086,8635,2017,2047,2077,2190,1755,1771,1919
ERR2092980,9988,9977,10006,11208,11188,9596,9484,8455,8450,8456,9234,9210,9050,9032,9219,9217,9217,9219,9844,8533,8144,1972,2000,2068,2181,1683,1706,1993
ERR2092981,9976,9964,9993,11188,11191,9588,9475,8446,8441,8447,9225,9199,9052,9031,9210,9208,9208,9210,9832,8523,8138,1967,1996,2062,2176,1678,1701,1988
ERR1045849,10411,10404,10397,9596,9588,10588,9815,8626,8620,8627,9367,9356,9556,9551,9093,9091,9094,9093,9684,8959,8430,2023,2047,2059,2163,1687,1682,1926
ERR1045852,9778,9767,9778,9484,9475,9815,10551,8741,8735,8742,9593,9582,9730,9724,8774,8772,8772,8774,9400,8683,8203,1982,2014,2025,2129,1661,1656,1973
SRR447229,8592,8588,8593,8455,8446,8626,8741,9474,9465,9473,9017,9019,8764,8769,8891,8891,8889,8892,8464,7573,7230,1873,1923,1884,2004,1644,1636,1971
SRR447230,8586,8582,8586,8450,8441,8620,8735,9465,9469,9467,9014,9015,8759,8765,8884,8884,8882,8884,8459,7572,7228,1873,1923,1884,2004,1642,1634,1969
SRR447234,8593,8589,8593,8456,8447,8627,8742,9473,9467,9476,9017,9020,8764,8770,8891,8891,8889,8891,8465,7574,7230,1873,1923,1884,2004,1643,1635,1971
SRR515127,9350,9343,9352,9234,9225,9367,9593,9017,9014,9017,10140,10102,9535,9514,8706,8704,8704,8708,9144,8077,7683,1885,1933,1938,2053,1699,1691,1959
SRR515554,9325,9317,9326,9210,9199,9356,9582,9019,9015,9020,10102,10112,9508,9518,8709,8707,8707,8709,9133,8072,7672,1882,1929,1937,2046,1688,1680,1957
SRR515126,9568,9559,9570,9050,9052,9556,9730,8764,8759,8764,9535,9508,10650,10599,8634,8634,8632,8634,9084,8963,8504,1924,1970,1969,2082,1654,1652,2046
SRR515552,9545,9540,9545,9032,9031,9551,9724,8769,8765,8770,9514,9518,10599,10619,8637,8637,8635,8637,9079,8938,8483,1930,1976,1976,2084,1650,1648,2043
SRR064779,9142,9138,9163,9219,9210,9093,8774,8891,8884,8891,8706,8709,8634,8637,9968,9963,9955,9960,9286,7956,7730,1969,2018,1997,2115,1617,1612,1988
SRR447236,9140,9136,9161,9217,9208,9091,8772,8891,8884,8891,8704,8707,8634,8637,9963,9963,9953,9957,9284,7956,7728,1967,2016,1995,2113,1617,1612,1988
SRR447245,9140,9137,9161,9217,9208,9094,8772,8889,8882,8889,8704,8707,8632,8635,9955,9953,9965,9955,9284,7953,7725,1967,2016,1996,2114,1615,1610,1988
SRR447239,9142,9138,9163,9219,9210,9093,8774,8892,8884,8891,8708,8709,8634,8637,9960,9957,9955,9972,9286,7956,7728,1966,2015,1995,2113,1617,1612,1988
ERR1045847,9756,9749,9773,9844,9832,9684,9400,8464,8459,8465,9144,9133,9084,9079,9286,9284,9284,9286,10356,8601,8135,1934,1962,2001,2105,1686,1681,1953
ERR1045795,9077,9079,9086,8533,8523,8959,8683,7573,7572,7574,8077,8072,8963,8938,7956,7956,7953,7956,8601,11623,9882,2034,2063,2090,2189,1650,1651,1824
SRR2095366,8615,8616,8635,8144,8138,8430,8203,7230,7228,7230,7683,7672,8504,8483,7730,7728,7725,7728,8135,9882,11429,2142,2191,2210,2320,1656,1658,1738
ERR1045798,2002,2006,2017,1972,1967,2023,1982,1873,1873,1873,1885,1882,1924,1930,1969,1967,1967,1966,1934,2034,2142,6539,6441,5277,5208,451,443,146
SRR6000499,2032,2035,2047,2000,1996,2047,2014,1923,1923,1923,1933,1929,1970,1976,2018,2016,2016,2015,1962,2063,2191,6441,6495,5220,5172,453,445,163
ERR1045859,2064,2094,2077,2068,2062,2059,2025,1884,1884,1884,1938,1937,1969,1976,1997,1995,1996,1995,2001,2090,2210,5277,5220,6557,6440,388,381,162
SRR3664368,2177,2206,2190,2181,2176,2163,2129,2004,2004,2004,2053,2046,2082,2084,2115,2113,2114,2113,2105,2189,2320,5208,5172,6440,6607,430,434,193
SRR1151145,1751,1753,1755,1683,1678,1687,1661,1644,1642,1643,1699,1688,1654,1650,1617,1617,1615,1617,1686,1650,1656,451,453,388,430,6182,6166,68
SRR5364843,1767,1766,1771,1706,1701,1682,1656,1636,1634,1635,1691,1680,1652,1648,1612,1612,1610,1612,1681,1651,1658,443,445,381,434,6166,6353,74
ERR1045815,1915,1914,1919,1993,1988,1926,1973,1971,1969,1971,1959,1957,2046,2043,1988,1988,1988,1988,1953,1824,1738,146,163,162,193,68,74,6471
