"","times_snp_appears"
"10512.1",1
"15991.1",1
"17124.1",1
"17145.1",2
"17364.1",1
"17370.1",1
"19298.1",2
"19454.1",2
"20776.1",3
"21431.1",1
"21569.1",2
"24608.1",1
"26673.1",1
"35576.1",1
"36682.1",1
"36901.1",2
"36937.1",2
"37111.1",1
"43777.1",2
"47980.1",1
"48009.1",1
"48577.1",1
"48655.1",1
"48805.1",1
"71107.1",1
"84532.1",1
"84783.1",1
"85168.1",1
"93240.1",1
"96692.1",1
"96806.1",4
"96890.1",1
"96950.1",1
"97820.1",1
"98045.1",3
"98102.1",1
"98183.1",1
"98952.1",2
"107771.1",2
"109896.1",1
"110600.1",3
"110651.1",1
"110696.1",1
"110699.1",1
"110702.1",1
"110981.1",1
"128704.1",1
"137013.1",1
"139455.1",6
"139509.1",1
"139580.1",1
"139634.1",1
"139763.1",2
"139834.1",1
"140078.1",1
"140914.1",1
"147306.1",1
"148361.1",1
"148367.1",1
"149625.1",1
"153157.1",1
"153172.1",2
"153268.1",2
"153372.1",2
"153439.1",2
"153523.1",3
"153613.1",3
"153697.1",1
"153706.1",1
"160194.1",1
"162003.1",1
"164510.1",1
"172341.1",2
"175465.1",1
"175654.1",1
"183894.1",3
"185103.1",1
"185599.1",2
"186734.1",2
"186767.1",1
"187691.1",2
"189498.1",2
"189996.1",1
"214823.1",1
"221287.1",1
"227964.1",2
"232893.1",1
"239256.1",1
"241849.1",1
"241855.1",1
"241859.1",1
"242065.1",1
"244097.1",1
"244966.1",2
"245086.1",1
"245164.1",1
"245182.1",2
"245689.1",1
"251278.1",1
"251413.1",3
"251414.1",3
"251561.1",1
"251630.1",1
"251633.1",1
"251686.1",1
"251704.1",1
"251935.1",1
"251939.1",1
"251965.1",1
"252082.1",1
"252133.1",1
"252199.1",3
"252200.1",2
"252264.1",2
"252311.1",1
"252313.1",1
"252528.1",2
"256065.1",1
"256101.1",3
"256298.1",6
"272033.1",1
"272732.1",2
"279232.1",1
"279709.1",1
"303825.1",1
"304014.1",1
"332706.1",1
"333622.1",1
"333643.1",2
"333666.1",0
"339591.1",1
"373542.1",2
"400414.1",2
"405869.1",1
"405917.1",1
"405944.1",1
"411648.1",1
"413733.1",1
"416618.1",1
"419193.1",1
"422871.1",1
"450550.1",1
"454367.1",1
"458524.1",1
"459956.1",2
"460163.1",1
"460814.1",1
"468073.1",2
"468145.1",5
"468642.1",2
"468711.1",1
"468750.1",1
"468865.1",1
"468868.1",1
"468932.1",2
"468938.1",1
"468995.1",2
"473970.1",3
"477746.1",1
"478643.1",0
"479204.1",1
"479335.1",2
"479748.1",0
"480417.1",1
"480831.1",2
"480831.2",2
"480855.1",1
"480912.1",4
"480915.1",2
"481011.1",4
"481156.1",1
"485582.1",1
"485585.1",1
"490220.1",1
"492091.1",1
"492154.1",1
"503041.1",2
"503464.1",1
"503707.1",1
"512613.1",1
"520644.1",2
"535544.1",2
"537536.1",1
"550084.1",0
"550379.1",2
"556243.1",1
"559069.1",1
"559225.1",1
"561064.1",2
"561202.1",1
"561205.1",1
"561649.1",1
"565782.1",1
"573280.1",0
"574874.1",1
"575774.1",1
"586080.1",2
"587435.1",1
"594361.1",1
"600031.1",1
"607426.1",7
"608296.1",1
"608581.1",1
"618987.1",1
"619532.1",1
"622089.1",1
"660623.1",0
"692739.1",1
"702231.1",2
"706765.1",2
"707433.1",1
"713609.1",1
"732095.1",1
"732586.1",1
"733448.1",1
"738763.1",1
"738881.1",2
"739058.1",2
"769973.1",1
"772370.1",2
"776995.1",1
"785217.1",3
"785217.2",1
"785712.1",2
"785883.1",1
"785895.1",1
"803832.1",1
"808266.1",1
"810505.1",1
"810985.1",1
"811156.1",1
"811231.1",1
"815139.1",1
"815157.1",2
"815703.1",2
"837743.1",2
"839552.1",1
"839624.1",2
"864318.1",1
"879516.1",1
"886115.1",2
"891236.1",2
"896409.1",3
"898789.1",1
"900409.1",1
"907846.1",1
"931769.1",1
"931964.1",1
"932537.1",2
"942217.1",2
"942220.1",2
"942292.1",2
"942316.1",3
"942457.1",1
"942804.1",1
"949576.1",2
"950367.1",2
"955874.1",2
"956177.1",1
"956261.1",1
"956288.1",2
"956501.1",4
"956519.1",5
"956660.1",3
"956669.1",3
"956672.1",3
"956831.1",1
"957227.1",1
"959243.1",5
"959865.1",1
"960291.1",3
"964500.1",2
"986238.1",1
"996475.1",1
"1034544.1",2
"1034975.1",1
"1040340.1",1
"1041346.1",1
"1041391.1",1
"1046731.1",1
"1049778.1",1
"1073908.1",1
"1073986.1",3
"1081217.1",2
"1088122.1",1
"1088459.1",1
"1094494.1",0
"1101160.1",2
"1106247.1",4
"1126942.1",1
