"","times_snp_appears"
"58",1
"106",1
"108",1
"393",2
"394",1
"438",1
"465",1
"474",1
"480",1
"498",1
"552",3
"559",1
"582",3
"588",2
"591",1
"600",1
"621",2
"660",1
"669",1
"690",1
"747",3
"759",3
"774",3
"798",2
"810",1
"831",1
"843",1
"867",2
"870",2
"882",1
"900",1
"903",2
"909",1
"930",1
"939",1
"942",1
"966",3
"969",1
"970",1
"981",1
"1011",1
"1020",1
"1029",1
"1032",1
"1044",1
"1089",1
"1110",1
"1299",3
"1302",3
"1317",2
"1323",1
"1347",2
"1504",1
"1557",1
"1608",1
"1614",1
"1623",1
"1797",1
"1807",1
"1842",3
"1848",1
"1860",3
"1866",3
"1875",1
"1884",1
"1887",3
"1939",1
"1975",1
"1998",1
"2001",1
"2013",1
"2019",1
"2038",2
"2061",1
"2136",3
"2139",1
"2157",3
"2187",1
"2211",3
"2250",1
"2307",1
"2310",1
"2316",1
"2343",1
"2376",3
"2397",1
"2422",1
"2457",1
"2514",1
"2532",1
"2593",1
"2595",1
"2601",3
"2628",0
"2634",3
"2667",3
"2715",3
"2742",1
"2748",3
"2754",1
"2760",1
"2800",3
"2821",1
"2851",1
"2860",1
"2878",3
"2920",1
"2941",3
"3025",1
"3028",1
"3055",1
"3079",1
"3097",1
"3103",1
"3106",1
"3163",1
"3173",3
"3188",1
"3196",1
"3220",3
"3244",2
"3362",2
"3515",1
"3520",1
"3547",1
"3565",1
"3595",2
"3622",1
"3628",1
"3696",3
"3751",1
"3763",1
"3802",1
"3826",2
"3937",1
"3961",1
"3964",1
"3975",1
"4024",1
"4030",1
"4045",1
"4102",1
"4132",3
"4135",3
"4144",3
"4177",2
"4336",0
"4351",1
"4420",1
"4423",1
"4437",1
"4441",1
"4442",1
"4471",1
"4477",1
"4495",1
"4501",1
"4587",1
"4600",2
"4630",3
"4639",3
"4651",3
"4777",3
"4780",1
"4822",1
"4829",3
"4873",1
"4912",3
"4933",1
"4945",1
"4963",1
"4969",3
"5021",2
"5061",1
"5077",2
"5095",2
"5106",1
"5116",1
"5169",3
"5279",1
"5296",3
"5315",1
"5359",1
"5362",1
"5444",1
"5446",1
"5459",1
"5560",3
"5564",1
"5619",1
"5657",1
"5693",1
"5774",3
"6080",1
"6101",2
"6110",1
"6130",3
"6295",3
"6314",1
"6431",3
"6446",3
"6461",1
"6467",3
"6566",1
"6682",1
"6702",1
"6716",2
"6737",1
"6800",1
"6820",2
"6860",1
"6959",1
"6971",2
"6992",1
"6995",2
"7018",1
"7184",2
"7210",1
"7232",1
"7271",2
"7279",1
"7292",2
"7301",2
"7316",2
"7337",1
"7343",2
"7346",2
"7366",1
"7405",1
"7427",1
"7484",1
"7502",3
"7511",2
"7548",3
"7577",1
"7580",1
"7598",2
"7637",1
"7640",3
"7775",1
"7805",1
"7826",1
"7863",1
"8172",3
"8268",3
"8358",1
"8490",1
"8493",1
"8553",1
"8574",2
"8577",1
"8592",1
"8790",2
"8865",3
"8883",1
"8937",1
"8968",1
"9034",1
"9103",1
"9125",1
"9274",1
"9333",1
"9339",1
"9405",1
"9483",1
"9555",1
"9597",1
"9606",2
"9630",2
"9657",1
"9738",2
"9768",1
"9794",3
"9866",1
"9902",1
"9908",1
"9911",1
"9938",1
"9944",3
"9951",3
"10060",1
