,CB1,CB2,CB3,ERR2092980,ERR2092981,ERR1045849,ERR1045852,SRR447229,SRR447230,SRR447234,SRR515127,SRR515554,SRR515126,SRR515552,SRR064779,SRR447236,SRR447245,SRR447239,ERR1045847,ERR1045795,SRR2095366,ERR1045798,SRR6000499,ERR1045859,SRR3664368,SRR1151145,SRR5364843,ERR1045815
CB1,6180,6161,6147,5058,5054,5421,4782,3131,3124,3132,4242,4215,4605,4574,3827,3827,3828,3829,4746,4576,4228,1571,1548,1612,1605,1386,1410,1185
CB2,6161,6195,6132,5046,5041,5413,4770,3126,3119,3127,4234,4206,4595,4568,3822,3822,3824,3824,4738,4577,4228,1574,1550,1641,1633,1387,1408,1183
CB3,6147,6132,6177,5071,5066,5402,4777,3127,3119,3127,4239,4211,4602,4569,3843,3843,3844,3845,4758,4580,4243,1581,1558,1620,1613,1385,1409,1184
ERR2092980,5058,5046,5071,6313,6301,4641,4523,3029,3023,3030,4161,4135,4122,4096,3939,3939,3940,3941,4869,4067,3792,1576,1551,1651,1644,1353,1384,1298
ERR2092981,5054,5041,5066,6301,6312,4641,4522,3028,3022,3029,4160,4132,4132,4103,3938,3938,3939,3940,4865,4065,3794,1579,1555,1653,1647,1356,1387,1301
ERR1045849,5421,5413,5402,4641,4641,5573,4794,3140,3133,3141,4234,4221,4568,4555,3753,3753,3757,3755,4649,4433,4018,1567,1538,1582,1566,1297,1300,1171
ERR1045852,4782,4770,4777,4523,4522,4794,5524,3249,3242,3250,4454,4441,4736,4722,3428,3428,3429,3430,4359,4151,3785,1520,1499,1542,1526,1265,1268,1212
SRR447229,3131,3126,3127,3029,3028,3140,3249,3517,3507,3516,3413,3413,3305,3302,3080,3082,3081,3083,2958,2576,2347,946,943,936,936,783,783,745
SRR447230,3124,3119,3119,3023,3022,3133,3242,3507,3510,3509,3409,3408,3299,3297,3072,3074,3073,3074,2952,2574,2344,945,942,935,935,780,780,742
SRR447234,3132,3127,3127,3030,3029,3141,3250,3516,3509,3519,3413,3414,3305,3303,3080,3082,3081,3082,2959,2577,2347,946,943,936,936,782,782,745
SRR515127,4242,4234,4239,4161,4160,4234,4454,3413,3409,3413,4889,4849,4429,4400,3248,3248,3249,3252,3991,3433,3153,1311,1306,1343,1338,1191,1191,1086
SRR515554,4215,4206,4211,4135,4132,4221,4441,3413,3408,3414,4849,4857,4400,4402,3249,3249,3250,3251,3978,3426,3140,1306,1300,1340,1329,1178,1178,1082
SRR515126,4605,4595,4602,4122,4132,4568,4736,3305,3299,3305,4429,4400,5689,5630,3321,3323,3322,3323,4076,4464,4119,1495,1488,1519,1512,1291,1297,1318
SRR515552,4574,4568,4569,4096,4103,4555,4722,3302,3297,3303,4400,4402,5630,5642,3316,3318,3317,3318,4063,4431,4090,1493,1486,1518,1506,1279,1285,1307
SRR064779,3827,3822,3843,3939,3938,3753,3428,3080,3072,3080,3248,3249,3321,3316,4303,4300,4293,4297,3926,3105,2993,1188,1184,1195,1193,902,905,908
SRR447236,3827,3822,3843,3939,3938,3753,3428,3082,3074,3082,3248,3249,3323,3318,4300,4302,4293,4296,3926,3107,2993,1188,1184,1195,1193,904,907,910
SRR447245,3828,3824,3844,3940,3939,3757,3429,3081,3073,3081,3249,3250,3322,3317,4293,4293,4306,4295,3927,3105,2991,1189,1185,1197,1195,903,906,911
SRR447239,3829,3824,3845,3941,3940,3755,3430,3083,3074,3082,3252,3251,3323,3318,4297,4296,4295,4311,3928,3107,2993,1187,1183,1195,1193,904,907,910
ERR1045847,4746,4738,4758,4869,4865,4649,4359,2958,2952,2959,3991,3978,4076,4063,3926,3926,3927,3928,5301,4055,3703,1458,1433,1504,1488,1276,1279,1178
ERR1045795,4576,4577,4580,4067,4065,4433,4151,2576,2574,2577,3433,3426,4464,4431,3105,3107,3105,3107,4055,7586,5959,2067,2043,2102,2081,1749,1758,1558
SRR2095366,4228,4228,4243,3792,3794,4018,3785,2347,2344,2347,3153,3140,4119,4090,2993,2993,2991,2993,3703,5959,7620,2289,2285,2336,2326,1869,1879,1586
ERR1045798,1571,1574,1581,1576,1579,1567,1520,946,945,946,1311,1306,1495,1493,1188,1188,1189,1187,1458,2067,2289,10642,10491,9359,9170,4620,4620,3950
SRR6000499,1548,1550,1558,1551,1555,1538,1499,943,942,943,1306,1300,1488,1486,1184,1184,1185,1183,1433,2043,2285,10491,10492,9249,9081,4569,4569,3914
ERR1045859,1612,1641,1620,1651,1653,1582,1542,936,935,936,1343,1340,1519,1518,1195,1195,1197,1195,1504,2102,2336,9359,9249,10618,10381,4536,4537,3945
SRR3664368,1605,1633,1613,1644,1647,1566,1526,936,935,936,1338,1329,1512,1506,1193,1193,1195,1193,1488,2081,2326,9170,9081,10381,10428,4458,4470,3856
SRR1151145,1386,1387,1385,1353,1356,1297,1265,783,780,782,1191,1178,1291,1279,902,904,903,904,1276,1749,1869,4620,4569,4536,4458,10417,10409,3938
SRR5364843,1410,1408,1409,1384,1387,1300,1268,783,780,782,1191,1178,1297,1285,905,907,906,907,1279,1758,1879,4620,4569,4537,4470,10409,10604,3952
ERR1045815,1185,1183,1184,1298,1301,1171,1212,745,742,745,1086,1082,1318,1307,908,910,911,910,1178,1558,1586,3950,3914,3945,3856,3938,3952,9976
