"","times_snp_appears"
"12",1
"80",1
"101",1
"116",0
"120",0
"164",0
"192",0
"214",1
"262",1
"283",1
"317",0
"385",0
"420",0
"436",1
"930",0
"954",0
"966",0
"1014",1
"1065",1
"1221",0
"1224",0
"1335",1
"1374",1
"1650",1
"1668",1
"1906",1
"1908",1
"1921",1
"1930",1
"1935",1
"1951",0
"1957",0
"1958",0
"1980",0
"1989",1
"2024",1
"2053",1
"2074",1
"2090",2
"2134",1
"2166",1
"2315",2
"2338",1
"2419",1
"2530",1
"2608",1
"2617",1
"2632",0
"2643",1
"2725",1
"3028",0
"3085",0
"3304",1
"3322",1
"3390",0
"3412",0
"3462",1
"3471",1
"3497",1
"3537",1
"3620",1
"3683",1
"3794",1
"3865",1
"3945",1
"4271",1
"4418",1
"4607",1
"4872",1
"4886",1
"5096",1
"5256",1
"5355",1
"5396",2
"5501",1
"5587",1
"5888",1
"5901",1
"5956",1
"6076",1
"6299",2
"6504",1
"6797",1
"6932",1
"6997",1
"7118",1
"7282",6
"7284",1
"7391",1
"7532",0
"7544",2
"7556",2
"7557",1
"7688",1
"7811",1
"7868",1
"8006",1
"8009",1
"8054",1
"8252",1
"8400",2
"8402",1
"8423",2
"8427",2
"8432",2
"8450",2
"8453",2
"8460",2
"8471",1
"8489",0
"8495",0
"8514",1
"8516",0
"8522",3
"8525",5
"8531",8
"8532",8
"8534",5
"8538",1
"8552",2
"8561",1
"8562",1
"8564",1
"8750",0
"8963",1
"8996",2
"9137",1
"9161",1
"9230",0
"9307",1
"9680",1
"9725",1
"9738",1
"9756",3
"9762",1
"9780",1
"9782",2
"9839",2
"9863",2
"9901",1
"9938",0
"9950",1
"9959",1
"9965",1
"9980",1
"9986",1
"9989",1
"9992",2
"9998",1
"10004",2
"10052",1
"10061",1
"10067",1
"10079",1
"10082",1
"10097",1
"10103",1
"10106",1
"10118",1
"10127",1
"10133",1
"10136",1
"10142",1
"10151",1
"10154",1
"10157",0
"10160",1
"10163",1
"10163.1",1
"10166",1
"10169",1
"10175",1
"10297",1
"10559",1
"10627",1
"10628",1
"10734",1
"10783",1
"10825",1
"10991",1
"11058",1
"11067",1
"11084",0
"11177",1
"11192",1
"11305",1
"11327",2
"11372",1
"11486",2
"11488",1
"11550",1
"11598",1
"11628",1
"11643",2
"11645",3
"11727",0
"12234",0
"12275",0
"12284",0
"12311",2
"12314",2
"12320",2
"12356",2
"12366",1
"12372",1
"12416",1
"12498",3
"12666",1
"13223",0
"13292",1
"13727",2
"13734",1
"13763",2
"13821",2
"13932",1
"14025",1
"14188",1
"14222",1
"14231",1
"14236",1
"14269",1
"14324",1
"14326",1
"14327",1
"14328",1
"14331",1
"14350",0
"14354",1
"14363",0
"14365",0
"14375",0
"14376",0
"14380",2
"14388",3
"14393",1
"14417",0
"14427",1
"14461",1
"14464",2
"14484",1
"14494",0
"14506",1
"14517",0
"14518",0
"14521",1
"14542",2
"14557",1
"14584",2
"14586",2
"14598",1
"14601",3
"14605",1
"14610",2
"14614",0
"14616",3
"14622",1
"14622.1",2
"14623",1
"14623.1",1
"14625",3
"14632",1
"14636",1
"14637",2
"14641",1
"14648",2
"14650",0
"14669",2
"14670",2
"14672",2
"14743",2
"14752",0
"14781",0
"14783",1
"14835",1
"14875",0
"14892",1
"14900",1
"14949",0
"15153",0
"15352",1
"15407",1
"15419",1
"15440",0
"15551",2
"15605",1
"15717",1
"15750",2
"15794",1
"15835",1
"15842",1
"15853",1
"15855",2
"15858",2
"15861",2
"15872",2
"15875",2
"15879",2
"15897",2
"15914",2
"16078",1
"16163",0
"16169",0
"16188",1
"16228",2
"16276",1
"16348",1
"16405",1
"16420",1
"16421",1
"16444",2
"16456",1
"16498",1
"16502",1
"16534",1
"16555",0
"16606",1
"16633",1
"16864",1
"16876",1
"16883",2
"16903",0
"16909",0
"16915",2
"16921",2
"16924",2
"16945",1
"16948",0
"17017",2
"17038",1
"17074",1
"17095",1
"17115",2
"17119",1
"17127",1
"17128",2
"17155",2
"17179",1
"17184",0
"17214",1
