"","times_snp_appears"
"156",1
"237",1
"240",1
"243",3
"259",1
"280",1
"286",2
"309",0
"318",2
"384",1
"444",1
"471",1
"555",1
"618",7
"651",1
"654",1
"693",1
"768",2
"789",1
"849",1
"903",1
"987",1
"999",1
"1131",2
"1194",2
"1224",5
"1254",1
"1287",2
"1400",1
"1418",1
"1423",1
"1430",1
"1433",1
"1458",1
"1474",1
"1480",1
"1492",3
"1494",1
"1497",1
"1512",1
"1554",1
"1752",1
"1763",2
"1790",3
"1883",2
"1913",3
"1928",1
"1931",3
"1940",2
"1955",2
"1976",5
"1985",3
"1991",7
"2027",1
"2036",1
"2039",2
"2072",10
"2075",1
"2102",1
"2120",1
"2133",1
"2138",4
"2144",3
"2150",1
"2180",1
"2213",4
"2276",1
"2381",1
"2424",4
"2432",4
"2495",7
"2555",1
"2585",11
"2603",3
"2633",1
"2654",3
"2663",1
"2669",0
"2681",6
"2684",1
"2690",0
"2714",1
"2733",1
"2746",1
"2769",2
"2789",1
"2791",1
"2792",9
"2794",8
"2808",1
"2811",2
"2812",1
"2816",6
"2825",2
"2829",1
"2838",2
"2844",1
"2855",9
"2861",1
"2862",2
"2863",1
"2884",2
"2889",3
"2890",3
"2891",1
"2895",1
"2901",3
"2910",2
"2912",1
"2920",1
"2921",1
"2932",1
"2934",10
"2951",1
"2956",4
"2969",10
"2970",10
"2974",1
"2977",1
"2979",6
"2981",1
"2989",1
"3002",1
"3011",1
"3012",1
"3039",1
"3057",10
"3058",8
"3059",2
"3061",1
"3076",1
"3077",1
"3112",1
"3116",1
"3130",10
"3147",1
"3148",1
"3149",1
"3156",2
"3168",1
"3172",6
"3175",1
"3177",1
"3182",1
"3184",1
"3185",10
"3186",2
"3243",7
"3248",1
"3259",2
"3261",2
"3278",1
"3281",1
"3287",1
"3308",1
"3331",1
"3333",1
"3334",10
"3335",1
"3337",0
"3365",0
"3367",1
"3393",1
"3404",0
"3419",7
"3426",7
"3428",4
"3430",1
"3465",2
"3475",2
"3476",1
"3478",1
"3481",2
"3484",1
"3486",1
"3497",1
"3511",1
"3541",2
"3542",1
"3546",10
"3547",1
"3554",2
"3577",1
"3580",1
"3590",1
"3623",1
"3666",3
"3693",3
"3727",3
"3748",3
"3767",2
"3772",3
"3790",2
"3808",3
"3829",3
"3830",3
"3850",2
"3853",2
"3868",6
"3871",6
"3874",6
"3880",5
"3881",5
"3895",1
"3905",11
"3910",13
"3939",2
"3952",3
"3991",0
"4000",7
"4012",13
"4015",12
"4018",12
"4024",1
"4099",9
"4100",1
"4108",2
"4111",1
"4114",2
"4117",2
"4132",1
"4152",3
"4173",1
"4216",1
"4222",0
"4237",3
"4258",2
"4260",1
"4273",2
"4324",2
"4331",1
"4340",1
"4369",10
"4370",1
"4381",4
"4426",2
"4435",6
"4441",12
"4486",1
"4504",4
"4506",2
"4516",6
"4519",3
"4526",1
"4537",10
"4555",3
"4568",4
"4591",0
"4612",0
"4615",2
"4621",2
"4675",1
"4702",1
"4721",2
"4732",4
"4744",1
"4751",1
"4780",0
"4784",5
"4845",1
"4864",1
"4871",1
"5036",1
"5132",4
"5303",6
"5318",3
"5408",1
"5411",1
"5412",1
"5504",2
"5513",2
"5564",1
"5576",1
"5579",1
"5609",2
"5618",1
"5807",3
"5891",3
"5939",10
"5963",1
"6050",1
"6098",3
"6101",1
"6116",4
"6129",1
"6182",1
"6203",1
"6269",1
"6281",1
"6311",1
"6374",2
"6398",1
"6425",1
"6503",1
"6558",8
"6581",1
"6650",1
"6662",2
"6677",7
"6701",0
"6719",0
"6722",10
"6725",0
"6797",2
"6831",2
"6842",1
"6843",5
"6881",1
"6905",1
"6914",0
"6977",1
"7022",0
"7064",9
"7085",3
"7223",3
"7271",1
"7434",1
"7458",6
"7461",18
"7501",1
"7504",3
"7554",1
"7573",1
"7593",1
"7604",1
"7665",1
"7674",1
"7686",2
"7713",3
"7731",4
"7746",1
"7761",2
"7790",1
"7792",1
"7810",2
"7813",1
"7891",4
"7934",1
"7954",8
"8046",1
"8049",0
"8052",1
"8079",1
"8082",0
"8088",1
"8112",1
"8126",2
"8157",1
"8169",0
"8218",6
"8229",2
"8232",1
"8256",12
"8279",1
"8284",10
"8384",1
"8387",3
"8531",4
"8580",3
"8636",6
"8705",1
"8744",10
"8774",1
"8792",13
"8795",0
"8831",1
"8867",1
"8876",1
"8906",1
"8942",2
"8945",1
"8954",4
"8963",14
"8981",1
"8996",1
"8997",1
"9066",2
"9084",1
"9089",1
"9098",1
"9113",1
"9410",16
"9417",1
"9461",1
"9464",1
"9469",1
"9480",1
"9545",1
"9563",1
"9632",1
"9650",1
"9653",1
"9665",1
"9767",1
"9884",1
"9911",1
"9956",1
"9959",1
"9968",1
"9980",1
"9986",0
"9995",1
"10199",0
"10202",1
"10257",1
"10463",1
"10504",1
"10507",1
"10813",1
"10927",1
"10997",1
"10999",1
"11074",1
"11130",1
"11157",1
"11182",1
"11249",1
"11311",1
"11322",1
"11534",1
"11606",2
"11705",3
"11733",1
"11804",2
"11813",11
"11822",2
"11876",3
"11978",9
"11983",1
"12156",1
"12161",1
"12271",3
"12382",1
"12388",1
"12583",1
"12667",1
"12718",1
"12836",1
"12850",1
"12859",1
"13135",1
"13156",1
"13162",1
"13174",1
"13175",1
"13183",1
"13198",1
"13210",1
"13214",1
"13231",1
"13243",1
"13282",2
"13291",1
"13298",4
"13312",1
"13315",2
"13316",2
"13321",1
"13327",1
"13333",1
"13336",2
"13339",1
"13340",3
"13342",3
"13360",1
"13384",2
"13387",2
"13388",3
"13396",2
"13399",2
"13405",2
"13408",8
"13421",1
"13423",2
"13429",2
"13441",2
